English	Asturian
Malcolm X	Malcolm X
Maldives	Maldives
Mali	Malí
Malta	Malta
Malta	Categoría:Malta
Maltese language	Maltés
Mammal	Mamíferu
Manchuria	Manchuria
Manhattan	Manhattan
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Zedong
Map	Mapa
March	Marzu
March 17	17 de marzu
March 19	19 de marzu
March 2	2 de marzu
March 25	25 de marzu
Marco Polo	Marco Polo
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mars (disambiguation)	Marte
Marshall Islands	Islles Marshall
Martin Luther	Martín Lutero
Martin Luther King	Martin Luther King
Martinique	Martinica
Marx Brothers	Hermanos Marx
Marxism	Marxismu
Marxism	Categoría:Marxismu
Mary Shelley	Mary Wollstonecraft Shelley
Mary Wollstonecraft	Mary Wollstonecraft (feminismu)
Mass	Masa
Mathematics	Matemátiques
Mathematics	Categoría:Matemátiques
Maurice Ravel	Maurice Ravel
Mauritania	Mauritania
Mauritius	Mauricio
Max Weber	Max Weber
May	Mayu
May 1	1 de mayu
May 24	24 de mayu
Mayor	Alcalde
Mead	Hidromiel
Medication	Melecina
Medicine	Medicina
Medicine	Categoría:Medicina
Mediterranean Sea	Mar Mediterraneu
Melting point	Puntu de fusión
Mercury (element)	Mercuriu (elementu)
Mercury (planet)	Mercuriu (planeta)
Meridian (geography)	Meridianu
Mesolithic	Mesolíticu
Mesopotamia	Mesopotamia
Mesozoic	Mesozoicu
Metabolism	Metabolismu
Metalloid	Metaloide
Meteorite	Meteoritu
Meteoroid	Meteoroide
Meteorology	Categoría:Meteoroloxía
Metre	Metru
Mexico	México
Mexico	Categoría:México
Michigan	Michigan
Mickey Mouse	Mickey Mouse
Microbiology	Microbioloxía
Microeconomics	Microeconomía
Micronesia	Micronesia
Middle Ages	Edá Media
Middle East	Oriente Mediu
Miguel de Cervantes	Miguel de Cervantes
Mikhail Bakunin	Bakunin
Mikhail Gorbachev	Mijaíl Gorbachov
Milk	Lleche
Milky Way	Camín de Santiago
Millennium	Mileniu
Million	Millón
Mining	Minería
Minos	Minos
Miocene	Miocenu
Mirror	Espeyu
Mnemosyne	Mnemósine
Moirae	Moiras
Moldova	Moldavia
Moldova	Categoría:Moldavia
Molecule	Molécula
Monaco	Mónaco
Monaco	Categoría:Mónaco
Monday	Llunes
Money	Dineru
Mongolia	Mongolia
Mongolia	Categoría:Mongolia
Mont Blanc	Mont Blanc
Montenegro	Montenegru
Montenegro	Categoría:Montenegru
Month	Mes
Montserrat	Montserrat
Moon	Lluna
Morocco	Marruecos
Morocco	Categoría:Marruecos
Morphine	Morfina
Moscow	Moscú
Mosque	Mezquita
Motion (physics)	Movimientu
Mount Etna	Etna
Mount Everest	Everest
Mount Kilimanjaro	Kilimanjaro
Mount Olympus	Monte Olimpu
Mountain	Monte
Mountain range	Cordal
Mozambique	Mozambique
Mozambique	Categoría:Mozambique
Muhammad	Mahoma
Muhammad Ali	Muhammad Ali
Mumbai	Mumbai
Munich	Munich
Municipality	Municipiu
Musa (genus)	Plátanu
Muscat	Mascate
Muse	Muses
Music	Música
Music	Categoría:Música
Musical instrument	Instrumentu musical
Musician	Músicu
Mustelidae	Mustélidos
Myanmar	Categoría:Myanmar
Mythology	Mitoloxía
Mythology	Categoría:Mitoloxía
N	N
NATO	Organización del Tratáu del Atlánticu Norte
NATO	Categoría:OTAN
Nadir	Nadir
Namibia	Namibia
Naples	Nápoles
Nashville	Nashville, Tennessee
Nation	Nación
National anthem	Himnu nacional
National park	Parque nacional
Nationalism	Nacionalismu
Nationalism	Categoría:Nacionalismu
Natural science	Ciencies naturales
Nature	Natura
Nauru	Nauru
Nautical mile	Milla náutica
Navy	Armada
Nazism	Categoría:Nazismu
Neanderthal	Homo sapiens neanderthalensis
Nebraska	Nebraska
Necktie	Corbata
Nefertiti	Nefertiti
Nelson Mandela	Nelson Mandela
Nemean Lion	Lleón de Nemea
Nemesis (mythology)	Némesis (mitoloxía)
Neolithic	Neolíticu
Neon	Neón
Nepal	Nepal
Nepal	Categoría:Nepal
Neptune	Neptunu (planeta)
Netherlands	Holanda
Netherlands	Categoría:Holanda
Neutrino	Neutrín
Neutron	Neutrón
Nevada	Nevada
New Orleans	Nueva Orleans
New Testament	Nuevu Testamentu
New York	Nueva York (estáu)
New Zealand	Nueva Zelanda
New Zealand	Categoría:Nueva Zelanda
Newark	Newark, Nueva Jersey
Newton	Newton (unidá)
Niagara Falls	Catarates del Niágara
Nicaragua	Nicaragua
Niger	Níxer
Nigeria	Nixeria
Nile	Ríu Nilu
Nitrogen	Nitróxenu
Noam Chomsky	Noam Chomsky
Nobel Prize	Premiu Nobel
Nobel Prize	Categoría:Premiu Nobel
Noble gas	Gas noble
Nonmetal	Non metal
North America	Norteamérica
North Carolina	Carolina del Norte
North Dakota	Dakota del Norte
North Korea	Corea del Norte
North Korea	Categoría:Corea del Norte
North Pole	Polu Norte
North Sea	Mar del Norte
Northern Hemisphere	Hemisferiu Norte
Northern Ireland	Irlanda del Norte
Northern Mariana Islands	Islles Marianes del Norte
Norway	Noruega
Norway	Categoría:Noruega
November	Payares
November 1	1 de payares
November 11	11 de payares
November 2	2 de payares
November 5	5 de payares
Number	Númberu
Numismatics	Numismática
Nut (fruit)	Frutu secu
Nymph	Ninfa
Nyx (mythology)	Nyx
O	O
OPEC	Organización de Países Esportadores de Petroleu
Oceania	Oceanía
Oceanus	Océanu (mitoloxía)
October	Ochobre
October 12	12 d'ochobre
October 24	24 d'ochobre
Ohm	Ohmiu
Oklahoma	Oklahoma
Oligocene	Oligocenu
Olympic Games	Xuegos Olímpicos
Omaha	Omaha
Oman	Omán
Oman	Categoría:Omán
Omega	Omega
Ontology	Ontoloxía
Operating system	Sistema operativu
Ophiuchus	Ophiuchus
Orange (colour)	Naranxa
Orangutan	Orangután
Orbit	Órbita
Organism	Ser vivu
Origami	Origami
Orson Welles	Orson Welles
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Imperiu Otomanu
Oviedo	Uviéu
Oxide	Óxidu
Oxygen	Oxíxenu
Ozone layer	Capa d'ozonu
P	P
Pacific Ocean	Océanu Pacíficu
Pakistan	Paquistán
Pakistan	Categoría:Paquistán
Palau	Palaos
Paleocene	Paleocenu
Paleolithic	Paleolíticu
Paleontology	Categoría:Paleontoloxía
Palermo	Palermo
Palestine	Palestina
Palestine	Categoría:Palestina
Panama	Panamá
Panama	Categoría:Panamá
Pangaea	Panxea
Papua New Guinea	Papúa Nueva Guinea
Paraguay	Paraguay
Parallax	Paralax
Parallelogram	Paralelogramu
Paramaribo	Paramaribo
Paris	París
Parliament	Parllamentu
Parsec	Pársec
Pascal (unit)	Pascal (unidá)
Passeriformes	Categoría:Passeriformes
Pathology	Patoloxía
Pedunculate Oak	Quercus robur
Peninsula	Península
Pentagon	Pentágonu
People	Categoría:Biografíes
People's Republic of China	China
Pepsi	Pepsi
Period (periodic table)	Periodu de la tabla periódica
Periodic table	Tabla periódica
Peru	Perú
Peru	Categoría:Perú
Petrarch	Petrarca
Philippines	Filipines
Philippines	Categoría:Filipines
Philosophy	Filosofía
Philosophy	Categoría:Filosofía
Phoneme	Fonema
Phonetics	Fonética
Phonetics	Categoría:Fonética
Phonology	Fonoloxía
Phosphorus	Fósforu
Photography	Fotografía
Photography	Categoría:Fotografía
Photosphere	Fotosfera
Physics	Física
Physics	Categoría:Física
Physiology	Fisioloxía
Pi	Pi
Pierre Curie	Pierre Curie
Piracy	Piratería
Plane (mathematics)	Planu (xeometría)
Planet	Planeta
Plant	Plantae
Plato	Platón
Playboy	Playboy
Pleistocene	Pleistocenu
Pleven	Pleven
Pliocene	Pliocenu
Plovdiv	Plovdiv
Pluto	Plutón (planeta nanu)
Pluto (disambiguation)	Plutón
Poaceae	Gramínea
Point (geometry)	Puntu (xeometría)
Poland	Polonia
Poland	Categoría:Polonia
Police	Policía
Political party	Partíu políticu
Political science	Ciencies Polítiques
Politics	Política
Politics	Categoría:Política
Polonium	Poloniu
Polygon	Polígonu
Polynesia	Polinesia
Pop music	Pop
Pope	Papa
Population	Población
Pornography	Pornografía
Porto	Portu
Portsmouth	Portsmouth
Portugal	Portugal
Portugal	Categoría:Portugal
Postal code	Códigu postal
Potassium	Potasiu
Potato	Solanum tuberosum
Pound sterling	Llibra esterlina
Power (physics)	Potencia
Prague	Praga
Prehistory	Prehistoria
President	Presidente
President of the United States	Llista presidentes d'Estaos Uníos
Pressure	Presión
Prime Meridian	Meridianu de Greenwich
Prism (geometry)	Prisma (xeometría)
Prism (optics)	Prisma (óptica)
Programming language	Llinguaxe de programación
Prolog	Prolog
Pronoun	Pronome
Propaganda	Propaganda
Proton	Protón
Providence	Providence, Rhode Island
Pseudoscience	Categoría:Pseudociencia
Psychoanalysis	Psicoanálisis
Psychology	Sicoloxía
Psychology	Categoría:Psicoloxía
Pterosaur	Pterosauria
Ptolemaic dynasty	Dinastía Tolemaica
Ptolemy	Claudio Ptolomeo
Public domain	Dominiu públicu
Puerto Rico	Puerto Rico
Puerto Rico	Categoría:Puerto Rico
Pyongyang	Pyongyang
Pythagoras	Pitágoras
Q	Q
Qatar	Qatar
Qatar	Categoría:Qatar
Quadrilateral	Cuadriláteru
Quark	Quark
Quaternary	Edá Cuaternaria
Quechua	Quechua
Queens	Queens
R	R
Racism	Racismu
Radius	Radiu (xeometría)
Rain	Lluvia
Rainbow	Arcu la vieya
Recife	Recife
Rectangle	Rectángulu
Red	Bermeyu
Red Sea	Mar Bermeya
Reggae	Reggae
Religion	Relixón
Religion	Categoría:Relixón
Renaissance	Renacimientu
Republic	República
Republic of China	Taiwán
Republic of Ireland	República d'Irlanda
Republic of Ireland	Categoría:Irlanda
Republic of the Congo	Congo
Republican Party (United States)	Partíu Republicanu de los Estaos Xuníos
Rhea (mythology)	Rea
Rhodes	Rodes
Rhombus	Rombu
Richard Nixon	Richard Nixon
Right ascension	Ascensión reuta
Rio de Janeiro (state)	Río de Janeiro (estáu)
River	Ríu
Roald Amundsen	Roald Amundsen
Robert De Niro	Robert De Niro
Robert Falcon Scott	Robert Falcon Scott
Rock music	Rock
Roman Catholic Church	Ilesia Católica
Roman Empire	Imperiu Romanu
Roman mythology	Categoría:Mitoloxía romana
Romania	Rumanía
Romania	Categoría:Rumanía
Romansh	Retorrománicu
Rome	Roma
Ruble	Rublu
Rudolf Hess	Rudolf Hess
Russia	Rusia
Russia	Categoría:Rusia
Rwanda	Ruanda
Rye	Secale cereale
S	S
Sacramento	Sacramento, California
Saddam Hussein	Sadam Husein
Sahara	Desiertu del Sáḥara
Saint Kitts and Nevis	San Cristuébanu y Nieves
Saint Lucia	Categoría:Santa Llucía
Saint Peter	Apóstol San Pedru
Saint Vincent and the Grenadines	San Vicente y les Granadines
Saladin	Saladín
Samoa	Samoa
San Antonio	San Antonio (Texas)
San Diego	San Diego, California
San Francisco	San Francisco
San Jose	San José, California
San Marino	San Marino
San Marino	Categoría:San Marino
Sand	Sable (material)
Sanskrit	Sánscritu
Santa Fe	Santa Fe, Nuevu Méxicu
Santos (Săo Paulo)	Santos
Sappho	Safo
Sarajevo	Sarayevo
Sardine	Parrocha
Saturn	Saturnu (planeta)
Saudi Arabia	Arabia Saudina
Saxony	Saxonia
Scandium	Escandiu
Science	Ciencia
Science	Categoría:Ciencies
Scorpius	Escorpión (constelación)
Scotland	Escocia
Scotland	Categoría:Escocia
Scottish Gaelic	Gaélicu escocés
Sculpture	Escultura
Sculpture	Categoría:Escultura
Sea Otter	Llundria marina
Sea level	Nivel de la mar
Sea of Azov	Mar d'Azov
Sea of Japan	Mar de Xapón
Season	Estación del añu
Second	Segundu
Second Vatican Council	Conciliu Vaticanu Segundu
Seed	Semiente
Segovia	Segovia
Selene	Selene
Semantics	Semántica
Semantics	Categoría:Semántica
Semiotics	Semiótica
Senate	Senáu
Senegal	Senegal
Seoul	Seúl
September	Setiembre
September 11	11 de setiembre
September 17	17 de setiembre
September 29	29 de setiembre
Serbia	Serbia
Serbia	Categoría:Serbia
Serbia and Montenegro	Serbia y Montenegru
Serbia and Montenegro	Categoría:Serbia y Montenegru
Seychelles	Seychelles
Sharia	Xaria
Shrimp	Esguila
Siberia	Siberia
Sicily	Sicilia
Siemens (unit)	Siemens (unidá)
Sierra Leone	Sierra Leona
Sigmund Freud	Sigmund Freud
Silicon	Siliciu
Silk Road	Ruta de la seda
Silver	Plata
Singapore	Singapur
Singapore	Categoría:Singapur
Sirius	Sirius
Sisyphus	Sísifu
Sitting Bull	Toro Sentáu
Skagerrak	Estrechu de Skagerrak
Skinhead	Skinhead
Skopje	Skopje
Skyscraper	Rascacielos
Slovakia	Eslovaquia
Slovakia	Categoría:Eslovaquia
Slovenia	Eslovenia
Slovenia	Categoría:Eslovenia
Snake	Culiebra
Snow	Ñeve
Socialism	Socialismu
Society	Categoría:Sociedá
Society	Sociedá
Sociolinguistics	Sociollingüística
Sociology	Socioloxía
Sociology	Categoría:Socioloxía
Socrates	Sócrates
Sodium	Sodiu
Sofia	Sofía
Software	Categoría:Software
Solanaceae	Categoría:Solanaceae
Solar System	Sistema solar
Solar energy	Enerxía solar
Solomon Islands	Islles Salomón
Somalia	Somalia
Sorghum	Sorghum
Source code	Códigu fonte
South Africa	Categoría:Sudáfrica
South America	América del Sur
South Carolina	Carolina del Sur
South Dakota	Dakota del Sur
South Korea	Corea del Sur
South Korea	Categoría:Corea del Sur
South Pole	Polu Sur
Southern Hemisphere	Hemisferiu Sur
Sovereignty	Soberanía
Soviet Union	Xunión Soviética
Soviet Union	Categoría:Xunión Soviética
Spain	España
Spain	Categoría:España
Spam (electronic)	Corréu puxarra
Spanish Civil War	Guerra Civil Española
Spanish people	Categoría:Españoles
Sparta	Esparta
Spear	Llanza
Species	Especie
Speleology	Espeleoloxía
Sport	Deporte
Spring (season)	Primavera
Springfield	Springfield, Illinois
Square (geometry)	Cuadráu
Square metre	Metru cuadráu
Squash (sport)	Escuax
Squirrel	Esguilu
Sri Lanka	Sri Lanka
Star	Estrella
State	País
Steradian	Estereorradián
Stone Age	Edá de Piedra
Submarine	Somarín
Sudan	Sudán
Sudoku	Sudoku
Suez Canal	Canal de Suez
Sulfur	Azufre
Sumer	Sumeria
Summer	Branu
Sun	Sol
Sunday	Domingu
Sunflower	Mirasol
Surgery	Ciruxía
Suriname	Surinam
Suriname	Categoría:Surinam
Svalbard	Svalbard
Swaziland	Suazilandia
Sweden	Suecia
Sweden	Categoría:Suecia
Switzerland	Suiza
Switzerland	Categoría:Suiza
Sword	Espada
Symptom	Síntoma
Syndicate	Sindicatu
Syphilis	Sífilis
Syria	Siria
Syria	Categoría:Siria
T	T
Taekwondo	Taekwondo
Tajikistan	Tayiquistán
Taliban	Talibán
Tang Dynasty	Dinastía Tang
Tanzania	República Xunida de Tanzania
Tanzania	Categoría:Tanzania
Tartarus	Tártaru (mitoloxía)
Taxus baccata	Texu
Tea	Té
Technology	Teunoloxía
Technology	Categoría:Teunoloxía
Telecommunication	Telecomunicación
Telephone	Teléfonu
Telescope	Telescopiu
Television	Televisión
Temperature	Temperatura
Tennessee	Tennessee
Tesla (unit)	Tesla (unidá)
Tethys (mythology)	Tetis (mitoloxía)
Texas	Texas
Thailand	Tailandia
Thales	Tales de Mileto
The Gambia	Gambia
Theatre	Teatru
Theocracy	Teocracia
Theta	Theta
Thomas Aquinas	Tomás d'Aquino
Thomas Edison	Thomas Alva Edison
Thomas Jefferson	Thomas Jefferson
Thrace	Tracia
Thucydides	Tucídides
Thursday	Xueves
Tiber	Tíber
Tibet	Categoría:Tíbet
Tiger	Panthera tigris
Tigris	Tigris
Time	Tiempu
Time	Categoría:Tiempu
Time zone	Fusu horariu
Timur	Tamerlán
Tin	Estañu
Titan (disambiguation)	Titán
Titan (mythology)	Titán (mitoloxía)
Tocantins (state)	Tocantins
Togo	Togo
Tokyo	Tokio
Toledo	Toledo
Tomato	Tomate
Tonga	Tonga
Tongue	Llingua (muérganu)
Tony Blair	Tony Blair
Topeka	Topeka, Kansas
Tower of Babel	Torre de Babel
Trade union	Sindicatu
Transmission Control Protocol	Transmission Control Protocol
Transylvania	Transilvania
Trapezoid	Trapeciu (figura)
Treaty	Tratáu internacional
Trenton	Trenton, Nueva Jersey
Triangle	Triángulu
Triassic	Triásicu
Triceratops	Triceratops
Trigonometric function	Función trigonométrica
Trinidad and Tobago	Trinidá y Tobago
Triskelion	Trisquel
Tritium	Tritiu
Trotskyism	Trotskismu
Tuberculosis	Tuberculosis
Tuesday	Martes
Tundra	Tundra
Tunisia	Túnez
Turbine	Turbina
Turkey	Turquía
Turkey	Categoría:Turquía
Tuvalu	Tuvalu
Tux	Tux
Typhon	Tifón (mitoloxía)
U	U
UNESCO	UNESCO
Uganda	Uganda
Ukraine	Ucrania
Ukraine	Categoría:Ucrania
Ulster	Ulster
Ultrasound	Ultrasoníu
Unidentified flying object	Oxetu esnalador non identificáu
United Arab Emirates	Emiratos Árabes Xuníos
United Kingdom	Reinu Xuníu
United Kingdom	Categoría:Reinu Xuníu
United Nations	Organización de les Naciones Uníes
United Nations	Categoría:ONU
United Nations Children's Fund	Unicef
United States	Estaos Xuníos d'América
United States	Categoría:Estaos Xuníos d'América
United States dollar	Dólar estaunidense
Universe	Universu
Unix	Unix
Ununbium	Ununbiu
Ununhexium	Ununhexiu
Ununpentium	Ununpentiu
Ununquadium	Ununquadiu
Ununtrium	Ununtriu
Uranus	Uranu (planeta)
Uranus (mythology)	Uranu (mitoloxía)
Ursa Major	Sietestrellu
Uruguay	Uruguay
Utah	Utah
Uzbekistan	Uzbequistán
Uzbekistan	Categoría:Uzbequistán
V	V
Valencia	Valencia
Vampire	Vampiru
Vanadium	Vanadiu
Vanuatu	Vanuatu
Varna	Varna
Vatican City	Vaticano
Vatican City	Categoría:Vaticano
Vegetable	Verdura
Velociraptor	Velociraptor
Venezuela	Venezuela
Venezuela	Categoría:Venezuela
Venice	Venecia
Venus	Venus (planeta)
Venus (disambiguation)	Venus
Venus (mythology)	Venus (mitoloxía)
Veto	Veto
Vichy	Vichy
Video game	Videoxuegu
Vietnam	Vietnam
Vietnam	Categoría:Vietnam
Viking	Viquingu
Vinegar	Vinagre
Violin	Vigulín
Virgo (constellation)	Virgu
Vladimir Lenin	Lenin
Vladimir Putin	Vladimir Putin
Volt	Voltiu
Vowel	Vocal
W	W
Walnut	Nuez
Wart	Úzara
Washington	Washington DC
Washington (disambiguation)	Washington
Water	Agua
Watt	Vatiu
Wax	Cera
Weapon	Arma
Web browser	Navegador web
Webcam	Cámara web
Weber (unit)	Weber (unidá)
Wednesday	Miércoles
Week	Selmana
Weight	Pesu
Western Sahara	Saḥara Occidental
Western Sahara	Categoría:Saḥara Occidental
Wheel	Rueda
Wiesbaden	Wiesbaden
Wildcat	Algaire
William II	Guillermo II d'Alemaña
William Shakespeare	William Shakespeare
William of Ockham	Guillelmu d'Ockham
Wine	Vinu
Winston Churchill	Winston Churchill
Winter	Iviernu
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woody Allen	Woody Allen
World Bank	Bancu Mundial
World Health Organization	OMS
World Trade Organization	Organización Mundial del Comerciu
World War I	Primera guerra mundial
World War II	Segunda Guerra Mundial
World War II	Categoría:Segunda Guerra Mundial
World Wide Web	World Wide Web
X	X
Y	Y
Yahweh	Xehová
Yale University	Yale
Yard	Yarda
Yasser Arafat	Yasser Arafat
Year	Añu
Yeast	Lleldu
Yellow	Mariellu
Yemen	Yemen
Yemen	Categoría:Yemen
Yoghurt	Yogur
Yom Kippur	Yom Kippur
Z	Z
Zagreb	Zagreb
Zambia	Zambia
Zaragoza	Zaragoza
Zenith	Cénit
Zeta	Dseta
Zeus	Zeus
Zimbabwe	Zimbabue
Zinc	Cinc
Zodiac	Zodíacu
Zoology	Zooloxía
