English	Hindi
Lancashire	लैंकाशायर
Language	भाषा
Laos	लाओस
Laptop	लैपटॉप
Laser	लेसर विज्ञान
Latin	लातिनी भाषा
Latin alphabet	रोमन लिपि
Latitude	अक्षांश रेखाएं
Latvia	लातविया
Law	विधि
Leap year	अधिवर्ष
Lebanon	लेबनान
Lens (optics)	लेंस
Leo (constellation)	सिंह
Leon Trotsky	त्रोत्स्की
Leonardo da Vinci	लियोनार्दो दा विन्ची
Leonhard Euler	लियोनार्ड ओइलर
Leprosy	कुष्ठ
Lesotho	लेसोथो
Lever	उत्तोलक
Lewis Carroll	लुइस कैरल
Liberation Tigers of Tamil Eelam	लिबरेशन टाइगर्स आफ तमिल ईलम
Liberia	लाइबेरिया
Library	पुस्तकालय
Libya	लीबिया
Liechtenstein	लीख़्टेनश्टाइन
Light-year	प्रकाश-वर्ष
Lille	लील
Limit (mathematics)	सीमा (गणित)
Lincolnshire	लिंकनशायर
Linear equation	रेखीय समीकरण
Linguistics	भाषाविज्ञान
Linguistics	श्रेणी:भाषा-विज्ञान
Linux	लिनक्स
Lisbon	लिस्बन
Literature	साहित्य
Literature	श्रेणी:साहित्य
Lithium	लिथियम
Lithuania	लिथुआनिया
Litre	लीटर
Logarithm	लघुगणक
Logic	तर्कशास्त्र
Lolita	लोलिता
London	लंदन
London	श्रेणी:लंदन
Long Beach	लॉंग बीच, केलिफ़ोर्निया
Los Angeles	लॉस ऐन्जेलिस
Louisiana	लुईज़ियाना
Lucrezia Borgia	लुक्रेजिया बोर्गिया
Luigi Pirandello	लुइगि पिरण्डेलो
Lunar eclipse	चन्द्र ग्रहण
Lux	लक्स
Luxembourg	लक्सेम्बर्ग
Lyon	ल्यों
Machine code	मशीनी भाषा
Machine translation	मशीनी अनुवाद
Madagascar	मेडागास्कर
Madison	मैडिसन
Madrid	मैड्रिड
Maghreb	मग़रेब
Magic (paranormal)	जादू
Magnesium	मेगनीसियम
Maharashtra	महाराष्ट्र
Mahatma Gandhi	महात्मा गांधी
Mahayana	महायान
Maine	मेन
Maize	मक्का (फसल)
Malachite	ताप्रांगीयिज
Malaria	मलेरिया
Malaysia	मलेशिया
Maldives	मालदीव
Mali	माली
Malta	माल्टा
Mammal	स्तनधारी
Management	प्रबन्धन
Manchuria	मंचूरिया
Manganese	मंगनीज
Manipur	मणिपुर
Mantra	मन्त्र
Mao Zedong	माओ त्सेतूंग
Map	मानचित्र
Marble	संगमर्मर
March 17	17 मार्च
March 19	19 मार्च
March 2	2 मार्च
March 25	25 मार्च
Marco Polo	मार्को पोलो
Margaret Thatcher	मारगरेट थाचर
Marie Curie	मेरी क्युरी
Marilyn Monroe	मर्लिन मुनरो
Mark Twain	मार्क ट्वैन
Market	बाज़ार
Mars (mythology)	मार्स
Marseille	मार्सैय
Martin Luther	मार्टिन लुथर
Martin Luther King	मार्टिन लूथर किंग
Martin Scorsese	मार्टिन स्कोर्सेसे
Martina Navratilova	मार्टिना नवरातिलोवा
Martinique	मार्तिनीक
Mary Wollstonecraft	मेरी वुलस्टोनक्राफ़्ट
Mashhad	मशहद
Massachusetts Institute of Technology	मसाचुसेट्स तकनीकी संस्थान
Mathematics	गणित
Mathematics	प्रवेशद्वार:गणित
Mauna Loa	मौनालोआ
Mauritius	मॉरिशस
Max Born	माक्स बोर्न
Max Planck	माक्स प्लान्क
Maxwell's equations	मैक्सवेल के समीकरण
May	मई
May 1	1 मई
Mayor	महापौर
Measurement	मापन
Mechanical engineering	यान्त्रिकी
Mechanical engineering	श्रेणी:यान्त्रिकी
Medicine	आयुर्विज्ञान
Medicine	श्रेणी:आयुर्विज्ञान
Medina	मदीना
Meditation	ध्यान
Mediterranean Sea	भूमध्य सागर
Mekong	मेकांग नदी
Mental disorder	मानसिक रोग
Mercury (mythology)	मरक्युरी
Mercury (planet)	बुध
Mesopotamia	मेसोपोटामिया
Metal	धातु
Metallurgy	धातुकर्म
Metaphysics	तत्त्वमीमांसा
Metre	मीटर
Mexico	मेक्सिको
Michigan	मिशिगन
Michigan	श्रेणी:मिशिगन
Microprocessor	माइक्रोप्रोसेसर
Microscope	सूक्ष्मदर्शी यंत्र
Middle East	मध्यपूर्व
Mikhail Gorbachev	मिखाइल गोर्बाचोफ
Milan	मिलानो
Milk	दूध
Millard Fillmore	मिलर्ड फिलमोर
Minaret	मीनार
Mineral	खनिज
Minerva	मिनर्वा
Minnesota	श्रेणी:मिनेसोटा
Minute	मिनट
Mirror	दर्पण
Mobile phone	मोबाइल फोन
Mogadishu	मोगादीशू
Moldova	मोल्दाविया
Mole (unit)	मोल (इकाई)
Molybdenum	मोलिब्डेनम
Monaco	मोनैको
Monarchy	राजतन्त्र
Monday	सोमवार
Money	पैसा
Mongolia	मंगोलिया
Monica Seles	मोनिका सेलेस
Monotheism	एकेश्वरवाद
Monsoon	मॉनसून
Monte Carlo	मोंटी कार्लो
Month	मास
Montserrat	मोंट्सेराट
Moon	चन्द्रमा
Morocco	मोरक्को
Morse code	मोर्स कोड
Moscow	मास्को
Moses	मूसा
Mosque	मस्जिद
Mother Teresa	मदर टेरेसा
Mount Etna	माउण्ट एटना
Mount Everest	माउंट एवरेस्ट
Mount Fuji	फ्यूजीयामा
Mount Pinatubo	माउण्टपिनाटुबो
Mount St. Helens	माउण्ट सेण्ट हेलेन्स
Mount Vesuvius	विसूवियस
Mountain	पर्वत
Mountain pass	दर्रा
Mozambique	मोस़ाम्बीक
Muhammad	मुहम्मद
Mumbai	मुम्बई
Murray Gell-Mann	मरे गेलमन
Mushroom	कुकुरमुत्ता
Music	संगीत
Musician	संगीतकार
Mycology	कवक विज्ञान
NATO	नैटो
Nadine Gordimer	नेडीन गोर्डिमर
Nagasaki	नागासाकी
Nahuatl	नावातल
Namibia	नामीबिया
Nancy	नांसी
Nanotechnology	नैनोतकनीकी
Nantes	नांत
Naples	नापोलि
Nation	राष्ट्र
Natural science	प्राकृतिक विज्ञान
Nauru	नाउरु
Nautical mile	नॉटिकल मील
Navigation	दिक्चालन
Navy	नौसेना
Nebraska	नेब्रास्का
Nefertiti	नेफरतिति
Nelson Mandela	नेल्सन मंडेला
Neon	नियोन
Nepal	नेपाल
Nepal	श्रेणी:नेपाल
Nephthys	नेफ़्थिस
Netherlands	नीदरलैंड
Neutron	न्यूट्रॉन
Nevada	नेवाडा
New Hampshire	नया हेम्पशायर
New Jersey	नया जर्सी
New Mexico	नया मेक्सिको
New Orleans	न्यू आर्लीन्स
New South Wales	न्यू साउथ वेल्स
New Testament	नया नियम
New Year	नया साल
New York	नया यॉर्क
New York City	न्यूयॉर्क शहर
New Zealand	न्यूज़ीलैंड
Newport	न्यूपोर्ट
Nicaragua	निकारागुआ
Nice	नीस
Nickel	निकेल
Nicosia	निकोसिया
Niels Bohr	नील्स बोह्र
Niger	नाइगर
Nigeria	नाईजीरिया
Nikola Tesla	निकोला टेस्ला
Nile	नील नदी
Niobium	नायोबियम
Nitrogen	नाइट्रोजन
Noam Chomsky	नोआम चाम्सकी
Nobel Prize	नोबेल पुरस्कार
Nobel Prize	श्रेणी:नोबेल पुरस्कार
Norfolk	नॉर्फ़क
North	उत्तर
North America	उत्तरी अमरीका
North America	श्रेणी:उत्तरी अमरीका
North Carolina	उत्तर केरोलाइना
North Dakota	उत्तर डेकोटा
North Korea	उत्तरी कोरिया
North Sea	उत्तरी सागर
North Yorkshire	नॉर्थ यॉर्कशायर
Northern Ireland	उत्तरी आयरलैंड
Norway	नॉर्वे
November 1	1 नवंबर
November 11	11 नवंबर
November 2	2 नवंबर
November 5	5 नवंबर
Nuclear physics	नाभिकीय भौतिकी
Number	अंक
Oahu	ओहाऊ
Obesity	मेदुरता
Ocean	महासागर
Ocean current	महासागरीय धारा
Oceania	ओशीनिया
Oceanography	श्रेणी:समुद्र विज्ञान
October Revolution	अक्तूबर समाजवादी क्रांति
Odyssey	ओडेसी
Ohm	ओह्म
Ohm's law	ओम का नियम
Oklahoma	ओक्लाहोमा
Old Testament	पुराना नियम
Oliver Cromwell	ऑलिवर क्रॉमवेल
Olivine	ओलीवाइन
Olympic Games	ओलम्पिक खेल
Oman	ओमान
Onion	प्याज़
Ontario	ओन्टारियो
Opel	ओपल
Opera (Internet suite)	ओपेरा
Operating system	प्रचालन तंत्र
Optics	श्रेणी:दर्पण
Orange (colour)	नारंगी (रंग)
Oregon	औरिगन
Organ (anatomy)	अंग (शरीर रचना)
Organic chemistry	कार्बनिक रसायन
Organization	व्यवस्था
Orissa	उड़ीसा
Osaka	ओसाका
Osama bin Laden	ओसामा बिन लादेन
Oscar Wilde	ऑस्कर वाइल्ड
Osiris	ओसिरिस
Oslo	ओस्लो
Otto von Bismarck	ओटो फोन बिस्मार्क
Ottoman Empire	उस्मानी साम्राज्य
Oxygen	आक्सीजन
Ozone	ओजोन
Pablo Neruda	पाबलो नेरुडा
Pablo Picasso	पाब्लो पिकासो
Pacific Ocean	प्रशान्त महासागर
Pakistan	पाकिस्तान
Pakistan	श्रेणी:पाकिस्तान
Palermo	पलेर्मो
Palestine	फ़िलस्तीन
Pali	पालि
Palladium	पलाडियम
Palm Sunday	पाम रविवार
Papua New Guinea	पापुआ न्यू गिनी
Parabola	परवलय
Paradox	परोक्षक
Parallax	दिग्भेद
Paramaribo	पारामरीबो
Paris	पेरिस
Parliament	संसद
Parsec	पारसैक
Parvati	पार्वती
Pascal (unit)	पास्कल (इकाई)
Patent	पेटेन्ट
Patrick White	पेट्रिक व्हैट
Paul Johann Ludwig von Heyse	पाल हेज़े
Peanut	मूँगफली
Peloponnesian War	पेलोपोनेशियन युद्ध
Pencil	रानी (रंग)
Penicillin	पेनिसिलिन
Pennsylvania	पेन्सिलवेनिया
People's Republic of China	जनवादी गणराज्य चीन
Percy Bysshe Shelley	पर्सी बिश शेली
Periodic table	आवर्त सारणी
Persephone	पर्सिफ़ोनी
Persian Empire	फ़ारस
Perth	पर्थ
Peru	पेरू
Pesticide	कीटनाशक
Peter Sellers	पीटर सेलर्स
Pharaoh	फारो
Philipp Lenard	फिलिप लेनार्ड
Philippines	फ़िलिपीन्स
Philosophy	दर्शन
Phoenix (spacecraft)	फ़ीनिक्स (अंतरिक्ष यान)
Phosphorus	फास्फोरस
Photosynthesis	प्रकाश संश्लेषण
Physician	चिकित्सक
Physics	भौतिक शास्त्र
Physics	श्रेणी:भौतिकी
Pierre Curie	पिएर क्युरी
Pisa	पीसा
Pittsburgh	पिट्सबर्ग, पेन्सिलवेनिया
Pixel	पिक्सल
Pizza	पिज्जा
Planet	ग्रह
Plate tectonics	प्लेट विवर्तिनिकी
Plato	प्लेटो
Pluto	यम ग्रह
Plutonium	प्लुटोनियम
Poetry	काव्य
Poetry	श्रेणी:काव्य
Poland	पोलैंड
Police	पुलिस
Politics	राजनीति
Pollution	प्रदूषण
Pomegranate	अनार
Pompeii	पोम्पेइ
Pope	पोप
Population	जनसंख्या
Port Louis	पोर्ट लुई
Portugal	पुर्तगाल
Poseidon	वरुण (ग्रह)
Potassium	पोटासियम
Potato	आलू
Pregnancy	गर्भावस्था
President	राष्ट्रपति
Pressure	दबाव
Prime Meridian	मध्याह्न रेखा
Prime minister	प्रधानमन्त्री
Professor	प्रोफ़ेसर
Programmer	प्रोग्रामर
Programming language	प्रोग्रामिंग भाषा
Propaganda	दुष्प्रचार
Prose	गद्य
Protestant Reformation	धर्मसुधार
Proton	प्रोटॉन
Psoriasis	सोरियासिस
Psychology	मानस शास्त्र
Ptah	पिताह
Ptolemy	क्लाडियस टॉलमी
Puerto Rico	प्युर्तोरिको
Punjab (India)	पंजाब
Pyongyang	प्योंगयांग
Pythagoras	पाइथागोरस
Qatar	क़तर
Quadratic equation	वर्ग समीकरण
Quadrilateral	चतुर्भुज
Queensland	क्वीन्सलैण्ड
Ra	रा
Rabindranath Tagore	रवीन्द्रनाथ ठाकुर
Rachel Carson	रेचल कार्सन
Radon	रेडन
Rain	वर्षा
Rama	राम
Ramayana	रामायण
Ravenna	रवेन्ना
Rawalpindi	रावलपिंडी
Rectangle	आयत
Red	लाल
Religion	धर्म
Religion	श्रेणी:धर्म
Renaissance	पुनर्जागरण
Reproduction	प्रजनन
Reptile	सरीसृप
Republic	गणराज्य
Republic of China	चीनी गणराज्य
Rhode Island	रोड आइलैंड
Rhythm and blues	आर और बी संगीत
Rice	चावल
Richard Feynman	रिचर्ड फिलिप्स फाइनमेन
Richard Nixon	रिचर्ड निक्सन
Rio de Janeiro	रीओ दी जैनेरो
River	नदी
River Thames	टेम्स नदी
Roald Amundsen	रुआल एद्मुंदसन
Rocky Mountains	रॉकी पर्वत
Rodent	गिलहरी
Roman Empire	रोमन साम्राज्य
Roman mythology	श्रेणी:रोमन धर्म
Romania	रोमानिया
Rome	रोम
Ronald Reagan	रोनाल्ड रीगन
Rosa Parks	रोजा पार्क्स
Rosetta Stone	रोज़ेटा शिला
Rosh Hashanah	रौशन-शनाह
Rubidium	रुबिडियम
Rudyard Kipling	रुडयार्ड किपलिंग
Russia	रुस
Russia	श्रेणी:रूस
Russo-Japanese War	रूस-जापान युद्ध
Ruthenium	रुथेनियम
Rwanda	रवांडा
Saddam Hussein	सद्दाम हुसैन
Sail	पाल
Saint Kitts and Nevis	सेंट किट्स और नेविस
Saint Vincent and the Grenadines	सेंट विन्सेंट और ग्रेनाडीन्स
Saladin	सलाउद्दीन
Salt Lake City	सॉल्ट लेक सिटी, यूटा
Samuel Beckett	सेम्युल बेकेट
Samuel Taylor Coleridge	सेम्येल टेलर कोलरिज
Samurai	सामुराई
San Marino	सान मारिनो
Sanskrit	संस्कृत भाषा
Santiago	सेंटियागो
Sapphire	नीलम
Sardinia	सारडीनिया
Sari	सारि, ईरान
Satan	शैतान
Satanism	शैतानी धर्म
Satellite	उपग्रह
Saturday	शनिश्चरवार
Saturn	शनि
Saudi Arabia	साउदी अरब
Saul Bellow	सौल बेल्लो
Scandium	स्काण्डियम
School	विद्यालय
Science	विज्ञान
Science	श्रेणी:विज्ञान
Scotland	स्कॉटलैंड
Screw	पेच
Sea	सागर
Sears Tower	सियर्स मीनार
Season	ऋतु
Seattle	सीऐटल
Second	सैकण्ड
Seed	बीज
Selenium	सेलेनियम
Senegal	सेनेगल
Seoul	सियोल
September 11	11 सितंबर
Serbia and Montenegro	सर्बिया और मोंटेनीग्रो
Sergei Eisenstein	सेर्गे आइसेन्स्टाइन
Series (mathematics)	श्रेणी (गणित)
Set (mythology)	सेत
Set theory	समुच्चय सिद्धान्त
Sexual intercourse	मैथुन
Seychelles	सेशल्स
Shanghai	शंघाई
Share (finance)	शेयर
Sherlock Holmes	शर्लक होम्स
Shikoku	शिकोकू
Shinto	शिन्तो धर्म
Ship	जलयान
Shiva	शिव
Sichuan	सीश्वान
Siemens (unit)	साइमन्स (इकाई)
Sierra Leone	सिएरा लियोन
Sigmund Freud	सिग्मुंड फ़्रोइड
Sigrid Undset	सिग्रिड उंडसेट
Sikhism	सिख धर्म
Sikkim	सिक्किम
Silicon	सिलिकॉन
Silicon Valley	सिलिकॉन वैली
Silk	रेशम
Silk Road	रेशम मार्ग
Silver	रूप्यम्
Sinclair Lewis	सिंकलेर लुइस
Singapore	सिंगापुर
Sitting Bull	सिटिंग बुल
Skyscraper	गगनचुम्बी इमारत
Slavery	ग़ुलामी
Slovakia	स्लोवाकिया
Slovakia	श्रेणी:स्लोवाकिया
Slovenia	स्लोवेनिया
Snake	सांप
Snow	हिमपात
Soap	साबुन
Socialism	समाजवाद
Socialist Party (France)	समाजवादी दल (फ़्राँस)
Society	समाज
Sodium	सोडियम
Solar System	सौर मंडल
Solar eclipse	सूर्यग्रहण
Solomon Islands	सोलोमन द्वीप
Somalia	सोमालिया
Somerset	समरसेट
South	दक्षिण
South America	दक्षिणी अमरीका
South Australia	साउथ आस्ट्रेलिया
South Korea	दक्षिण कोरिया
Southeast Asia	दक्षिण पूर्व एशिया
Sovereignty	सार्वभौम राष्ट्र
Spacecraft	अंतरिक्ष यान
Spain	स्पेन
Spain	श्रेणी:स्पेन
Spanish Civil War	स्पेनी गृहयुद्ध
Spanish-American War	स्पेन अमेरिका का युद्ध
Spice	मसाला
Spring (season)	वसन्त ऋतु
Square (geometry)	वर्गाकार
Sri Lanka	श्रीलंका
Sri Lanka	श्रेणी:श्रीलंका
Statistics	सांख्यिकी
Steam engine	भाप का इंजन
Steffi Graf	स्टेफी ग्राफ
Steven Spielberg	स्टीवेन स्पीलबर्ग
Stockholm	स्टॉकहोम
Stone Age	पाषाण युग
Strait of Gibraltar	जिब्राल्टर जलसन्धि
Strait of Hormuz	होर्मुज जलसन्धि
Strait of Magellan	मैगेलन जलसन्धि
Strait of Messina	मेसिना जलसन्धि
Straits	श्रेणी:विश्व की प्रमुख जलसन्धियाँ
Strasbourg	स्ट्रासबर्ग
Stroke	पक्षाघात
Strontium	स्ट्रोन्सियम
Submarine	पनडुब्बी
Subversion (software)	सबवर्ज़न
Sudan	सूडान
Sudoku	सु डोकु
Suffix	प्रत्यय
Sufism	सूफ़ीवाद
Suharto	सुहार्तो
Sukarno	सुकर्णो
Sulfur	गन्धक
Sulfur dioxide	सल्फर डाइआक्साइड
Sumatra	सुमात्रा
Sumer	सुमेर
Summer	ग्रीष्म ऋतु
Sun	सूर्य
Sunday	रविवार
Sunni Islam	सुन्नी
Superconductivity	अतिचालकता
Sura	सूरा
Suriname	सूरिनाम
Surrey	सरी
Swaziland	स्वाजीलैंड
Sweden	स्वीडन
Switzerland	स्विट्ज़रलैंड
Sydney	सिडनी
Synagogue	यहूदी मंदिर
Syria	सीरिया
System	तंत्र
T. S. Eliot	टी एस एलियट
Table tennis	टेबल टेनिस
Taipei	ताइपे
Taiwan	ताइवान
Taj Mahal	ताजमहल
Taliban	तालेबान आन्दोलन
Tallinn	ताल्लिन
Tamil Nadu	तमिल नाडु
Tanzania	तंज़ानिया
Taoism	ताओ धर्म
Tasmania	टासमानिया
Tbilisi	थ्बिलीसी
Tea	चाय
Technetium	टेक्निशियम
Technology	तकनीकी
Tehran	तेहरान
Telecommunication	दूरसंचार
Telescope	दूरदर्शी
Television	दूरदर्शन
Tellurium	टेलुरियम
Temperature	तापमान
Temple	मन्दिर
Tennessee	टेनेसी
Tennis	टेनिस
Texas	टेक्सास
Thailand	थाईलैंड
The Gambia	गाम्बिया
Theocracy	धर्मतंत्र
Theodor Mommsen	थियोडोर मोम्मसेन
Theodore Roosevelt	थियोडोर रोज़वेल्ट
Theorem	प्रमेय
Theory of relativity	सापेक्षिकता का सिद्धांत
Theravada	थेरवाद
Thermodynamics	उष्मागतिशास्त्र
Thomas Aquinas	थामस एक्विनास
Thomas Mann	थामस मान
Thorium	थोरियम
Thoth	थोथ
Thumb	अंगुष्ठ
Tianjin	तिआंजिन
Tiberius	टैबीरियस
Tibet	तिब्बत
Tide	ज्वार-भाटा
Time	काल
Time zone	समय मण्डल
Timur	तैमूरलंग
Tin	त्रपु
Titanium	टाइटानियम
Togo	टोगो
Tokyo	टोक्यो
Tomato	टमाटर
Toni Morrison	टोनी मारिसन
Tony Blair	टोनी ब्लेयर
Toulon	तुलों
Toulouse	तुलूज़
Tour de France	टुअर दि फ़्राँस
Tourism	पर्यटन
Tower of London	टावर ऑफ़ लंदन
Town	शहर
Tractor	ट्रैक्टर
Train	रेलगाडी
Transformer	ट्रान्सफार्मर
Transistor	ट्रांज़िस्टर
Transliteration	लिप्यन्तरण
Transportation	श्रेणी:यातायात
Trigonometry	त्रिकोणमिति
Trinidad	ट्रिनिडाड
Trinidad and Tobago	ट्रिनिडाड और टोबागो
Trojan War	ट्रॉय का युद्ध
Tropic of Cancer	कर्क रेखा
Truck	ट्रक
Tsunami	सूनामी
Tuberculosis	तपेदिक
Tuesday	मंगलवार
Tunisia	टुनिशिया
Turin	टोरीनो
Turkey	तुर्की
Turmeric	हल्दी
Tycho Brahe	टैको ब्राहे
Uganda	युगांडा
Ukraine	उक्राइना
Ultraviolet	पराबैंगनी
United Arab Emirates	संयुक्त अरब इमारात
United Kingdom	संयुक्त राजशाही (ब्रिटेन)
United Kingdom	श्रेणी:संयुक्त राजशाही
United Nations	संयुक्त राष्ट्र
United States	संयुक्त राज्य अमेरिका
United States Virgin Islands	सं. रा. वर्जिन द्वीप-समूह
United States dollar	अमरीकी डॉलर
Universe	ब्रह्माण्ड
University	विश्वविद्यालय
Upanishad	उपनिषद् सूची
Ural Mountains	यूराल
Urdu	उर्दू भाषा
Utah	यूटा
Uterus	गर्भ
Uttar Pradesh	उत्तर प्रदेश
Uzbekistan	उज़्बेकिस्तान
Valence	वलांस
Valentine's Day	वैलेंटाइन्स दिवस
Vanadium	वनडियम
Vatican City	वैटिकन शहर
Vector (spatial)	सदिश राशि
Vegetarianism	शाकाहार
Velocity	वेग
Venice	वेनिस
Venus	वीनस
Vermont	वर्मांट
Verona	वेरोना
Victor Hugo	विक्टर ह्यूगो
Victoria (Australia)	विक्टोरिया (ऑस्ट्रेलिया)
Vienna	वियना
Vietnam	वियतनाम
Vietnam War	वियतनाम युद्ध
Viking	वाइकिंग
Violin	वायलिन
Virgil	वर्जिल
Virgo (constellation)	कन्या
Virus	वायरस
Vishnu	विष्णु
Vittorio De Sica	वित्तोरियो दे सिका
Vladimir Lenin	व्लाडिमिर लेनिन
Vladimir Nabokov	व्लदीमिर नाबोकोव
Vladimir Putin	व्लादिमीर पुतिन
Volcano	ज्वालामुखी
Volume	आयतन
Voodoo	वूडू
Vowel	स्वर वर्ण
Vulcan (mythology)	वुल्कन
Wales	वेल्स
Walt Disney	वाल्ट डिज्नी
War	संग्राम
Washington	डिस्ट्रिक्ट ऑफ कोलंबिया
Washington	वाशिंगटन
Water	पानी
Waterfall	झरना
Watermelon	तरबूज
Watt-hour	वॉट-आवर
Weapon	शस्त्र
Weather	मौसम
Web page	जालपृष्ठ
Wednesday	बुधवार
Week	सप्ताह
Weight	भार
Wellington	वेलिंग्टन
West Bengal	पश्चिम बंगाल
West Sussex	वेस्ट ससेक्स
Western Australia	वेर्स्टन आस्ट्रेलिया
Wheat	गेहूँ
Wheel	चक्र
William Butler Yeats	विलियम बटलर येट्स
William Faulkner	विलियम फाकनर
William Gladstone	विलियम ग्लाडस्टोन
William Golding	विलियम गोल्डिंग
William Howard Taft	विलियम टाफ्ट
William II	कैसर विल्हेम द्वितीय (जर्मनी)
William McKinley	विलियम मकिन्ली
William Shakespeare	विलियम शेक्सपीयर
William Shockley	विलियम शोक्ली
William Wordsworth	विलियम वर्ड्सवर्थ
Winston Churchill	विंस्टन चर्चहिल
Winter	शीत ऋतु
Wisconsin	विस्कांसिन
Wolfgang Amadeus Mozart	वोल्फ़गांक आमडेयुस मोत्सार्ट
Wolfgang Pauli	वुल्फगांग पौली
Woman	नारी
Woodrow Wilson	वूड्रो विलसन
Worcestershire	वॉस्टरशायर
World Bank	विश्व बैंक
World Health Organization	विश्व स्वास्थ्य संगठन
World Trade Organization	विश्व व्यापार संगठन
World War I	प्रथम विश्वयुद्ध
World War II	द्वितीय विश्वयुद्ध
World Wide Web	विश्व व्यापी वेब
World war	विश्वयुद्ध
Writing system	लिपि
X-ray	एक्स किरण
Xenon	ज़ेनान
Xinjiang	शिंज्यांग
Yangon	यांगून
Yangtze River	चांग ज्यांग
Yasser Arafat	यासिर अराफ़ात (फिलिस्तीनी नेता)
Yellow	पीला
Yellow River	ह्वांगहो
Yemen	यमन
Yoga	योग
Yom Kippur	योम किपुर
Yttrium	इत्रियम
Yunnan	यून्नान
Zachary Taylor	ज़ेकरी टेलर
Zambia	ज़ाम्बिया
Zeus	ज़्यूस
Zimbabwe	ज़िम्बाबवे
Zinc	जस्ता
Zirconium	जर्कोनियम
Zoology	प्राणी विज्ञान
Zoology	श्रेणी:पशु विज्ञान
Zoroaster	ज़रथुश्त्र
Zoroastrianism	पारसी धर्म
