English	Persian
Commonwealth of Nations	اتحادیه کشورهای همسود
Communication	رده:ارتباطات
Communication	ارتباطات
Communism	کمونیسم
Communism	رده:کمونیسم
Comoros	کومور
Comoros	رده:کومور
Compact Disc	لوح فشرده
Company (military unit)	گروهان
Compass	قطب‌نما
Compass (drafting)	پرگار
Compiler	همگردان
Complex number	عدد مختلط
Composer	آهنگساز
Composite material	کامپوزیت
Composite number	اعداد مرکب
Computational linguistics	زبان‌شناسی محاسباتی
Computed tomography	مقطع‌نگاری رایانه‌ای
Computer	رایانه
Computer file	پرونده (رایانه)
Computer graphics	رده:گرافیک رایانه‌ای
Computer hardware	سخت‌افزار
Computer network	شبكه
Computer program	برنامه (رایانه)
Computer programming	برنامه‌نویسی
Computer programming	رده:برنامه‌نویسی
Computer science	علوم رایانه
Computer software	نرم‌افزار
Computer virus	ویروس‌های رایانه‌ای
Computing	رده:رایانه
Conakry	کوناکری
Concentration	غلظت
Concerto	کنسرتو
Concord	کنکورد (نیوهمپشر)
Concrete	بتن
Condom	کاندوم
Conducting	رهبری ارکستر
Cone (geometry)	مخروط
Confederate States of America	ایالات مؤتلفه آمریکا
Confederation	کنفدراسیون
Confession	اعتراف
Confucianism	آئین کنفوسیانیسم
Confucius	کنفوسیوس
Congo	کنگو (ابهام‌زدایی)
Congo River	رود کنگو
Connecticut	کنتیکت
Consensus	اجماع
Conservatism	محافظه‌کاری
Consonant	صامت
Constantine I	کنستانتین یکم
Constantinople	قسطنطنیه
Constellation	صورت فلکی
Constitution (political)	قانون اساسی
Continent	قاره
Convection	همرفت
Cooking	آشپزی
Cooperative	شرکت تعاونی
Coordinated Universal Time	زمان هماهنگ جهانی
Copenhagen	کپنهاگ
Copper	مس
Copyright	حق تکثیر
Cor anglais	کر آنگله
Coraciiformes	سبزقباسانان
Coral	مرجان دریایی
Coral Sea	دریای کورال
Coral reef	آبسنگ مرجانی
Coriander	گشنیز
Coriolis effect	نیروی کوریولیس
Cormorant	باکلان
Cornell University	دانشگاه کرنل
Corrosion	خوردگی
Corsica	جزیره کرس
Corvette	ناوچه سبک
Cosmic microwave background radiation	تابش زمینه کیهانی
Cosmic ray	پرتوهای کیهانی
Cosmology	کیهان‌شناسی
Costa Rica	کاستاریکا
Cotton	پنبه
Cougar	شیر کوهی
Coulomb's law	قانون کولن
Country	کشور
Covalent bond	پیوند کووالانسی
Coyote	کایوتی
Crab Nebula	سحابی خرچنگ
Crane (bird)	درنا
Crete	کرت
Cricket	کریکت
Cricket (insect)	جیرجیرک
Criminal law	رده:حقوق کیفری
Criminal law	حقوق کیفری
Croatia	کرواسی
Croatia	رده:کرواسی
Cross product	ضرب خارجی
Crow	کلاغ
Cruiser	ناو‌
Crustacean	سخت‌پوستان
Crux	چلیپا (صورت فلکی)
Cryptography	رمزنگاری
Crystal	بلور
Crystallography	بلورشناسی
Cuba	کوبا
Cuba	رده:کوبا
Cube	مکعب
Cubic metre	متر مکعب
Cubism	حجم‌گری
Cultural Revolution	انقلاب فرهنگی چین
Culture	فرهنگ
Cupressaceae	سرویان
Curitiba	كوريتيبا
Curium	کوریوم
Currency	رده:واحد پول کشورها
Currency	واحد پول
Curve	خم
Cusco	کوزکو
Cyan	آبی دریایی
Cyanide	سیانور
Cybernetics	سیبرنتیک
Cyberpunk	سایبرپانک
Cyclone	چرخند
Cygnus (constellation)	ماکیان (صورت فلکی)
Cyperaceae	جگنیان
Cyprinid	کپورماهیان
Cyprus	قبرس
Cyprus	رده:قبرس
Cyrillic alphabet	سیریلیک
Cyrus the Great	کوروش دوم
Cystic fibrosis	فیبروز کیستیک
Czech Republic	جمهوری چک
Czech Republic	رده:جمهوری چک
Czechoslovakia	چکسلواکی
D	D
D. W. Griffith	دیوید وارک گریفیث
DNA	دی‌ان‌ای
DOS	داس (سیستم عامل)
DVD	دی‌وی‌دی
Dada	دادائیسم
Daedalus	دایدالوس
Dagger	خنجر
Dalai Lama	دالایی لاما
Dallas	دالاس
Dalmatia	دالماتیا
Dam	سد
Damascus	دمشق
Dance	رقص
Dandelion	قاصدک
Daniel Bernoulli	دانیل برنولی
Dante Alighieri	دانته آلیگیری
Danube	دانوب
Dar es Salaam	دار السلام (تانزانیا)
Dardanelles	داردانل
Dark matter	ماده تاریک
Darmstadtium	دارمشتادیوم
Darwin	داروین (استرالیا)
Das Kapital	سرمایه (کتاب)
Data	داده‌ها
Data mining	داده‌کاوی
Data structure	ساختار داده‌ها
Database	دادگان
Database management system	سیستم مدیریت پایگاه داده
Date Palm	خرما
David	داوود
David Hilbert	داوید هیلبرت
David Hume	دیوید هیوم
David Livingstone	دیوید لیوینگستن
Day	روز
De facto	دی فاکتو
Dead Sea	دریای مرده
Deadly nightshade	شابیزک
Death	مرگ
Death	رده:مرگ
Decade	دهه
December	دسامبر
December 31	۳۱ دسامبر
December 8	۸ دسامبر
Decius (emperor)	دقیانوس
Declination	میل
Deconstruction	ساختارشکنی
Deer	آهو
Definition	تعریف
Degree (angle)	درجه (زاویه)
Deism	خداانگاری
Delaware	دلاویر
Delft	دلفت
Dell	دل (شرکت)
Delta (letter)	دلتا
Deluge (mythology)	طوفان بزرگ
Demeter	دیمیتیر
Democracy	مردم‌سالاری
Democratic Party (United States)	حزب دموکرات ایالات متحده آمریکا
Democratic Republic of the Congo	جمهوری دموکراتیک کنگو
Democratic Republic of the Congo	رده:جمهوری دموکراتیک کنگو
Democritus	دموکریتوس
Demon	دیو
Demosthenes	دموستن
Deng Xiaoping	دنگ ژیائوپینگ
Denis Diderot	دنیس دیدرو
Denmark	دانمارک
Denmark	رده:دانمارک
Dennis Gabor	دنیس گابور
Density	چگالی
Dental caries	پوسیدگی دندان
Denver	دنور
Derivative	مشتق
Des Moines	دی‌موین
Desert	بیابان
Desiderius Erasmus	دزیدریوس اراسموس
Design	طراحی
Design	رده:طراحی
Destroyer	ناوشکن
Determinant	دترمینان
Detroit	دیترویت
Deuterium	دوتریوم
Deuteronomy	سفر تثنیه
Developmental psychology	روانشناسی رشد
Dhaka	داکا
Diabetes mellitus	مرض قند
Dialect	گویش
Dialectic	دیالکتیک
Diameter	قطر (ریاضی)
Diamond	الماس
Diana	پرنسس دیانا
Diana (mythology)	دیانا
Diarrhea	اسهال‌
Dice	طاس
Dictatorship	دیکتاتوری
Diego Rivera	دیه‌گو ریورا
Differential equation	معادله دیفرانسیل
Diffraction	پراش
Diffusion	نفوذ (فیزیک)
Digital camera	دوربین دیجیتال
Digital subscriber line	خط دیجیتال مشترکین
Dijon	دیژون
Dill	شوید
Dimension	بعد
Dingo	دینگو
Dinosaur	دایناسور
Diocletian	دیوکلسین
Diode	دیود
Dionysus	دیونسیوس
Diphtheria	دیفتری
Diplomacy	دیپلماسی
Direct current	جریان مستقیم
Disambiguation	رده:صفحات ابهام‌زدایی
Disc jockey	دی‌جی
Discrimination	تبعیض
Disease	بیماری
Divergence	دیورژانس
Division (mathematics)	تقسیم
Division (military)	لشکر
Divorce	طلاق
Dizzy Gillespie	دیزی گیلیسپی
Djibouti	رده:جیبوتی
Djibouti (city)	جیبوتی (شهر)
Dmitri Mendeleev	دمیتری مندلیف
Dmitri Shostakovich	دمیتری شوستاکوویچ
Dnieper River	دنیپر
Dodoma	دودوما
Dog	سگ
Doha	دوحه
Dollar	دلار
Domain name	دامنه اینترنتی
Dome	گنبد
Domesday Book	کتاب روز رستاخیز
Dominica	دومینیکا
Dominican Republic	جمهوری دومینیکن
Don Quixote	دن کیشوت
Donetsk	دونتسک
Donkey	خر
Door	در
Doppler effect	اثر دوپلر
Dorado	ماهی زرین (صورت فلکی)
Doris Lessing	دوریس لسینگ
Double bass	کنترباس
Dover	دوور
Down syndrome	سندرم داون
Dracula	دراکولا
Dragon	اژدها
Dream	رویا
Dresden	درسدن
Dromedary	شتر
Drought	خشکسالی
Drug addiction	اعتیاد
Drum	طبل
Dualism	دوگانه‌انگاری
Dubai	دبی
Dublin	دوبلین
Dubnium	دوبنیوم
Duck	اردک
Duke	دوک
Duke Ellington	دوک الینگتون
Duke University	دانشگاه دوک
Dune	ریگ روان
Duodenum	دوازدهه
Durban	دربن
Dushanbe	دوشنبه (تاجیکستان)
Dustin Hoffman	داستین هافمن
Dutch people	رده:اهالی هلند
Dwight D. Eisenhower	دوایت آیزنهاور
Dynamics (physics)	دینامیک
Dysprosium	دیسپروزیوم
Dystopia	پادآرمان‌شهر
E	E
E (mathematical constant)	عدد e
E-mail	پست الکترونیکی
E. T. A. Hoffmann	ارنست هوفمان
ETA	اتا
Eagle	عقاب
Ear	گوش
Earth	زمین
Earth science	علوم زمین
Earthquake	زمین‌لرزه
East	خاور
East Germany	جمهوری دمکراتیک آلمان
East Timor	تیمور شرقی
Easter	عید پاک
Ecclesiastes	کتاب جامعه
Echidna	خارپشت بی‌دندان
Echinoderm	خارپوستان
Eclipse	خورشید گرفتگی
Ecliptic	دایرةالبروج
Ecology	بوم‌شناسی
Economics	اقتصاد
Economy	اقتصاد
Ecosystem	اکوسیستم
Ecuador	اکوادور
Ecuador	رده:اکوادور
Edgar Allan Poe	ادگار آلن پو
Edinburgh	ادینبورگ
Edirne	ادیرنه
Edmond Halley	ادموند هالی
Edmonton	ادمونتون
Edmund Hillary	ادموند هیلاری
Edmund Husserl	ادموند هوسرل
Education	آموزش و پرورش
Edvard Grieg	ادوارد گریگ
Edvard Munch	ادوارد مونک
Edward Teller	ادوارد تلر
Edwin Hubble	ادوین هابل
Eel	مارماهی
Egg (biology)	تخم مرغ
Eggplant	بادنجان
Egypt	مصر
Egypt	رده:مصر
Eiffel Tower	برج ایفل
Einsteinium	اینشتینیوم
Ejaculation	انزال
El Paso	ال پاسو (آمریکا)
El Salvador	السالوادور
El Salvador	رده:السالوادور
Elam	تمدن عیلام
Elbe	الب
Eleanor Roosevelt	النور روزولت
Election	انتخابات
Electra	الکترا
Electric charge	بار الکتریکی
Electric current	جریان الکتریکی
Electric field	میدان الکتریکی
Electric guitar	گیتار الکتریک
Electric motor	موتور الکتریکی
Electrical engineering	رده:مهندسی برق
Electrical engineering	مهندسی برق
Electrical resistance	مقاومت الکتریکی
Electricity	الکتریسیته
Electrocardiogram	الکتروکاردیوگرام
Electrochemistry	الکتروشیمی
Electromagnetic radiation	تابش الکترومغناطیسی
Electromagnetism	الکترومغناطیس
Electron	الکترون
Electron microscope	میکروسکوپ الکترونی
Electronics	الکترونیک
Elementary particle	ذرات بنیادی
Elephant	فیل
Elevator	آسانسور
Elizabeth Taylor	الیزابت تیلور
Ella Fitzgerald	الا فیتزجرالد
Ellipse	بیضی
Ellipsis	سه نقطه
Elvis Presley	الویس پریسلی
Embryo	جنین
Emerald	زمرد
Emiliano Zapata	امیلیانو زاپاتا
Emily Dickinson	امیلی دیکنسون
Emir	امیر
Emma Goldman	اما گلدمن
Empedocles	امپدوکل
Emperor Penguin	پنگوئن فرمانفرما
Empire State Building	ساختمان امپایر استیت
Encyclopedia	دانشنامه
Energy	انرژی
Engineer	مهندس
Engineering	رده:مهندسی
England	انگلستان
England	رده:انگلستان
English language	زبان انگلیسی
English language	رده:زبان انگلیسی
English people	رده:اهالی انگلستان
Enki	ائا
Enrico Caruso	انریکو کاروسو
Enrico Fermi	انریکو فرمی
Entomology	حشره‌شناسی
Entropy	انتروپی
Environment	رده:محیط زیست
Enzyme	زیمایه
Eon (geology)	ائون
Ephesus	افسس
Epic poetry	حماسه
Epictetus	اپیکتت
Epicurus	اپیکور
Epidemiology	همه‌گیرشناسی
Epigraphy	سنگ‌نوشته
Epimetheus (mythology)	اپیمتئوس
Epistemology	شناخت‌شناسی
Epistle to the Galatians	نامه به غلاطیان
Epistle to the Romans	نامه به رومیان
Equation	معادله
Equator	استوا
Equatorial Guinea	گینه استوایی
Equatorial Guinea	رده:گینه استوایی
Equinox	اعتدال بهاری
Equisetum	دم‌اسبی (گیاه)
Erato	اراتو
Erbium	اربیوم
Erebus	اربوس
Eridanus (constellation)	جوی (صورت فلکی)
Erik Satie	اریک ساتی
Eris (dwarf planet)	اریس
Eris (mythology)	اریس (شخصیت افسانه‌ای)
Eritrea	رده:اریتره
Ernest Hemingway	ارنست همینگوی
Ernest Rutherford	ارنست رادرفورد
Erwin Rommel	اروین رومل
Escape velocity	سرعت گریز
Esfahan	اصفهان
Esperanto	اسپرانتو
Ester	استر (شیمی)
Estonia	رده:استونی
Estrogen	استروژن
Ethanol	اتانول
Ethernet	اترنت
Ethiopia	اتیوپی
Ethiopia	رده:اتیوپی
Ethnic group	گروه قومی
Ethylene	اتیلن
Etymology	ریشه‌شناسی
Eucharist	عشای ربانی
Euclid	اقلیدس
Eukaryote	یوکاریوت
Euphrates	فرات
Euripides	ائوریپیدس
Euro	یورو
Europa (moon)	اروپا (قمر)
Europa (mythology)	ائوروپه
Europe	اروپا
Europe	رده:اروپا
European Central Bank	بانک مرکزی اروپا
European Union	اتحادیهٔ اروپا
European Union	رده:اتحادیه اروپا
Europium	یوروپیوم
Euterpe	ائوترپه
Euthanasia	اوتانازی
Eva Braun	اوا براون
Evanescence	اونسنس
Evaporation	تبخیر
Even-toed ungulate	جفت‌سمان
Evolution	نظریه تکامل
Exclamation mark	علامت تعجب
Exhibitionism	عریان‌گرایی
Existentialism	اگزیستانسیالیسم
Exodus	سفر خروج
Expected value	میانگین
Expo (exhibition)	نمایشگاه جهانی
Exponential function	تابع نمایی
Exponentiation	توان (ریاضی)
Expressionism	هیجان‌نمایی
Eye	چشم
F	F
Fabaceae	پروانه‌داران
Fable	حکایت
Face	صورت
Fact	الگو:مدرک
Factorial	فاکتوریل
Factory	کارخانه
Fado	فادو
Fagales	توس‌ها
Fahrenheit	مقیاس فارنهایت
Falcon	شاهین
Falkland Islands	جزایر فالکلند
Fallacy	سفسطه
Fantasy	فانتزی
Far East	خاور دور
Fascism	فاشیسم
Fast food	فست فود
Fasting	روزه
Fault (geology)	گسل
Fauvism	فوویسم
Fear	ترس
February	فوریه
February 12	۱۲ فوریه
February 14	۱۴ فوریه
February 2	۲ فوریه
February 22	۲۲ فوریه
February 29	۲۹ فوریه
Feces	مدفوع
Federal Bureau of Investigation	اف‌بی‌آی
Federal Reserve System	فدرال ریزرو
Federated States of Micronesia	ایالات فدرال میکرونزی
Federation	فدراسیون
Federico Fellini	فدریکو فلینی
Fedora (Linux distribution)	فدورا کر
Feldspar	فلدسپات
Felidae	گربه‌سانان
Felix Mendelssohn	فلیکس مندلسون
Feminism	فمینیسم
Feminism	رده:فمینیسم
Fennel	رازیانه
Fenugreek	شنبلیله
Ferdinand Magellan	فردیناند ماژلان
Ferdinand de Saussure	فردیناند دو سوسور
Fermentation (biochemistry)	تخمیر
Fermentation (food)	تخمیر
Fermion	فرمیون
Fertile Crescent	هلال بارور
Feudalism	فئودالیسم
Fibonacci number	اعداد فیبوناچی
Fidel Castro	فیدل کاسترو
Field (mathematics)	میدان (ریاضی)
Fighter aircraft	جنگنده (هواپیما)
Fiji	فیجی
File Allocation Table	جدول تخصیص فایل
File Transfer Protocol	اف‌تی‌پی
Film	رده:سینما
Film	فیلم
Film	درگاه:سینما
Film director	کارگردان
Finance	مالیه
Finger	انگشت دست
Finland	فنلاند
Finland	رده:فنلاند
Fire	آتش
Firearm	جنگ‌افزار گرم
Firewall (networking)	فایروال
Firmware	میان‌افزار
First Epistle to the Corinthians	نامه اول به قرنتیان
First language	زبان مادری
Fish	ماهی
Fishing	ماهی‌گیری
Fjord	آبدره
Flag	پرچم
Flamenco	فلامنکو
Flamingo	فلامینگو
Flood	سیل
Floppy disk	فلاپی‌دیسک
Florence	فلورانس
Florence Nightingale	فلورانس نایتینگل
Florida	فلوریدا
Flour	آرد
Flower	گل (گیاه)
Fluid	شاره
Fluid mechanics	مکانیک شاره‌ها
Flute	فلوت
Fly	دوبالان
Folic acid	ویتامین ب۹
Food	غذا
Food and Agriculture Organization	فائو
Football (soccer)	فوتبال
Football (soccer)	رده:فوتبال
Football (soccer) clubs	رده:تیم‌های فوتبال
Forbidden City	شهر ممنوعه
Force	نیرو
Forest	جنگل
Formaldehyde	فرمالدهید
Fort Worth	فورت وورث
Fossil	سنگواره
Fossil fuel	سوخت فسیلی
Foucault pendulum	آونگ فوکو
Fourier series	سری فوریه
Fox	روباه
Fractal	برخال
Fraction (mathematics)	کسر (ریاضی)
France	فرانسه
France	رده:فرانسه
Francis Bacon	فرانسیس بیکن
Francis Crick	فرانسیس کریک
Francis Ford Coppola	فرانسیس فورد کاپولا
Francisco Franco	فرانسیسکو فرانکو
Francisco Goya	فرانسیسکو گویا
Francium	فرانسیوم
Frank Lloyd Wright	فرانک لوید رایت
Frank Sinatra	فرانک سیناترا
Frankfort	فرانکفورت، کنتاکی
Frankfurt	فرانکفورت
Franz Kafka	فرانتس کافکا
Franz Liszt	فرانتس لیست
Franz Schubert	فرانتز شوبرت
Freemasonry	فراماسونری
Freetown	فری‌تاون
French Polynesia	پلی‌نزی فرانسه
French Revolution	انقلاب فرانسه
French Revolution	رده:انقلاب فرانسه
French people	رده:اهالی فرانسه
Frequency	بسامد
Freshwater	آب شیرین
Fresno	فرزنو
Friction	اصطکاک
Friday	آدینه
Fridtjof Nansen	فریتیوف نانسن
Friedrich Engels	فریدریش انگلس
Friesland	فریسلاند
Frigate	ناوچه
Fritz Haber	فریتس هابر
Frog	قورباغه
Fruit	میوه
Fruit	رده:میوه‌ها
Fuel	سوخت
Full moon	بدر
Funafuti	فونافوتی
Function (mathematics)	تابع
Fundamental	رده:رده‌ها
Fundamental interaction	نیروهای بنیادی در فیزیک
Fundamentalism	بنیادگرایی
Fungus	قارچ
Futurism (art)	فوتوریسم
Fuzzy logic	منطق فازی
Fyodor Dostoevsky	فئودور داستایوسکی
G	G
GIMP	گیمپ
GNOME	گنوم
GNU	گنو
Gabon	گابن
Gaborone	گابورون
Gabriel	جبرئیل
Gabriel Lippmann	گابریل لیپمن
Gadolinium	گادولینیوم
Gaia (mythology)	گایا (افسانه)
Galatia	گالاتیا
Galaxy	کهکشان
Galen	جالینوس
Galicia (Spain)	گالیسیا
Galileo (spacecraft)	فضاپیمای گالیله
Galileo Galilei	گالیلئو گالیله
Galliformes	ماکیان‌سانان
Gallium	گالیوم
Gamal Abdel Nasser	جمال عبدالناصر
Game	بازی
Game theory	نظریه بازی‌ها
Gamma ray	پرتو گاما
Ganesha	گانش
Ganja	گنجه
Garden	باغ
Gardening	باغبانی
Gargoyle	دهانه‌اژدر
Garlic	سیر (گیاه)
Garnet	لعل
Gas	گاز
Gas constant	ثابت عمومی گازها
Gasoline	بنزین
Gastrointestinal tract	دستگاه گوارش
Gastropoda	شکم‌پایان
Gaul	گل روم (فرانسه)
Gautama Buddha	گوتاما بودا
Gaza	غزه (شهر)
Gaza Strip	نوار غزه
Gear	چرخ‌دنده
Geisha	گیشا
Gemini (constellation)	دوپیکر
Gemstone	سنگ‌های قیمتی
General Officer	تیمسار
General relativity	نسبیت عام
Genesis	سفر پیدایش
Genetics	رده:ژنتیک
Geneva	ژنو
Genie	جن
Genitive case	اضافه (دستور زبان)
Genoa	جنوا
Genocide	نسل‌کشی
Genocide	رده:نسل‌کشی‌ها
Genome	ژنوم
Genus	سرده
Geodesy	ژئودزی
Geodesy	رده:ژئودزی
Geoffrey Chaucer	جفری چاوسر
Geography	جغرافیا
Geology	رده:زمین‌شناسی
Geology	زمین‌شناسی
Geometric progression	تصاعد هندسی
Geometry	هندسه
Geometry	رده:هندسه
Geomorphology	زمین‌ریخت‌شناسی
Geophysics	ژئوفیزیک
Geophysics	رده:فیزیک زمین
Geopolitics	ژئوپلیتیک
Georg Wilhelm Friedrich Hegel	گئورگ ویلهلم فریدریش هگل
George Berkeley	جورج برکلی
George Bernard Shaw	جورج برنارد شاو
George Boole	جرج بول
George Bush	جرج بوش
George Frideric Handel	گئورگ فریدریش هندل
George Harrison	جورج هریسون
George Lucas	جورج لوکاس
George Orwell	جورج اورول
George Paget Thomson	جرج پاجت تامسون
George W. Bush	جورج دبلیو بوش
George Washington	جورج واشنگتن
Georges Bizet	ژرژ بیزه
Georges Simenon	ژرژ سیمنون
Georgetown	جرج‌تاون
Georgia (U.S. state)	جورجیا
Georgia (country)	گرجستان
Georgia (country)	رده:گرجستان
Gerald Ford	جرالد فورد
German language	زبان آلمانی
German mark	مارک آلمان
Germanium	ژرمانیوم
Germany	آلمان
Germany	رده:آلمان
Gestapo	گشتاپو
Ghana	غنا
Ghana	رده:غنا
Ghetto	گتو
Giacomo Puccini	جاکومو پوچینی
Gibraltar	جبل‌الطارق
Gigabyte	گیگابایت (یکا)
Gilgamesh	گیلگامش
Ginger	زنجبیل
Ginkgo	ژینکو
Giordano Bruno	جوردانو برونو
Giovanni Boccaccio	جووانی بوکاچیو
Giraffe	زرافه
Giuseppe Garibaldi	جوزپه گاریبالدی
Giuseppe Verdi	جوزپه وردی
Giza	جیزه
Glacier	یخچال طبیعی
Gladiator	گلادیاتور
Gland	غده
Glasgow	گلاسگو
Glasnost	گلاسنوست
Glass	شیشه
Glasses	عینک
Glider	بادپر
Global Positioning System	سامانه موقعیت‌یاب جهانی
Global warming	گرمایش زمین
Globalization	جهانی‌سازی
Globe artichoke	کنگر فرنگی
Gluon	گلئون
Gneiss	گنیس
Goalkeeper	دروازه‌بان
Goat	بز
Gobi Desert	بیابان گبی
God	خدا
Gold	طلا
Golda Meir	گلدا مایر
Golden Gate Bridge	پل گلدن گیت
Golf	گلف
Google	گوگل
Gorgon	گورگون
Gospel of Luke	انجیل لوقا
Gothenburg	گوتنبورگ
Gothic architecture	معماری گوتیک
Gout	نقرس
Gradient	گرادیان
Graffiti	دیوارنویسی
Graham Greene	گراهام گرین
Gram	گرم
Grammar	دستور زبان
Grammar	رده:دستور زبان
Granada	گرانادا
Granite	سنگ خارا
Grape	انگور
Grapefruit	دارابی
Graphite	گرافیت
Gravitation	گرانش
Gravitational constant	ثابت گرانش
Graviton	گراویتون
Gray (unit)	گری (فیزیک)
Gray Wolf	گرگ
Graz	گراتس
Great Barrier Reef	صخره‌های مرجانی بزرگ استرالیا
Great Lakes	دریاچه‌های بزرگ
Great Wall of China	دیوار چین
Greatest common divisor	بزرگترین مقسوم علیه مشترک
Grebe	کشیم
Greece	یونان
Greece	رده:یونان
Greek alphabet	الفبای یونانی
Greek mythology	رده:اساطیر یونانی
Green	سبز
Greenhouse	گلخانه
Greenhouse effect	گازهای گلخانه‌ای
Greenhouse gas	انتشار کربن
Greenland	گرینلند
Greenwich Mean Time	زمان گرینویچ
Gregor Mendel	گرگور مندل
Gregorian calendar	گاهشماری گرگوری
Grenoble	گرونوبل
Grey	خاکستری
Griffin	شیردال
Gross domestic product	تولید ناخالص داخلی
Group (mathematics)	گروه (ریاضی)
Group (periodic table)	گروه جدول تناوبی
Group theory	نظریه گروه‌ها
Grover Cleveland	استیفن گراور کلیولند
Gruiformes	درناسانان
Grus (constellation)	درنا (صورت فلکی)
Guadeloupe	جزیره گوادلوپ
Guam	گوآم
Guangzhou	گوانگ‌ژو
Guano	گوانو
Guatemala	رده:گواتمالا
Guatemala City	گواتمالاسیتی
Guglielmo Marconi	گولیلمو مارکونی
Guild	صنف
Guillaume Apollinaire	گیوم آپولینر
Guinea	گینه
Guinea	رده:گینه
Guinea-Bissau	گینه بیسائو
Guinea-Bissau	رده:گینه بیسائو
Guitar	گیتار
Gujarat	گجرات
Gulf War	جنگ خلیج فارس
Gulf of Aden	خلیج عدن
Gulf of Aqaba	خلیج ایلات
Gulf of Guinea	خلیج گینه
Gulf of Mexico	خلیج مکزیک
Gulf of Oman	دریای عمان
Gull	مرغ نوروزی
Gustav Mahler	گوستاو مالر
Gustave Flaubert	گوستاو فلوبر
Guyana	رده:گویان
Gymnosperm	بازدانگان
Gyroscope	ژیروسکوپ
H	H
H. G. Wells	هربرت جرج ولز
HIV	اچ‌آی‌وی
HTML	اچ‌تی‌ام‌ال
Hacker	هکر
Hades	هادس
Hadron	هادرون
Haemophilia	هموفیلی
Hafnium	هافنیوم
Hagia Sophia	ایاصوفیه
Haifa	حیفا
Haiku	هایکو
Hail	تگرگ
Hair	مو
Haiti	هائیتی
Haiti	رده:هائیتی
Hajj	حج
Half-life	نیمه عمر
Halloween	هالووین
Halogen	هالوژن
Hamas	حماس
Hamburg	هامبورگ
Hamburger	همبرگر
Hamlet	هملت (نمایشنامه)
Hammer	چکش
Hammurabi	حمورابی
Han Dynasty	سلسله هان
Hand	دست
Handgun	سلاح کمری
Hanging	دار زدن
Hanging Gardens of Babylon	باغ‌های معلق بابل
Hannah Arendt	هانا آرنت
Hannibal	هانیبال
Hanoi	هانوی
Hanover	هانوفر
Hans Bethe	هانس بته
Hans Christian Andersen	هانس کریستین آندرسن
Hanukkah	حنوکا
Harare	هراره
Harem	حرم‌سرا
Harlem	هارلم (نیویورک)
Harmonica	ساز دهنی
Harold Pinter	هارولد پینتر
Harriet Beecher Stowe	هریت بیچر استو
Harrisburg	هریسبورگ
Harry Houdini	هری هودینی
Hartford	هارتفورد
Hassium	هاسیوم
Havana	هاوانا
Hawaii	هاوائی
Hawaii	رده:هاوایی
Head	سر
Heart	قلب
Heat	گرما
Heaven	بهشت
Heavy metal music	موسیقی هوی متال
Heavy water	آب سنگین
Hebrew alphabet	الفبای عبری
Hebrew calendar	تقویم عبری
Hecate	هکاته
Hectare	هکتار
Hector Berlioz	هکتور برلیوز
Hedgehog	جوجه‌تیغی
Heinrich Hertz	هاینریش هرتز
Heinrich Himmler	هاینریش هیملر
Helen	هلن
Helen Keller	هلن کلر
Helena	هلنا
Helicopter	بالگرد
Helium	هلیم
Hell	جهنم
Helmut Schmidt	هلموت اشمیت
Helsinki	هلسینکی
Hematology	خون‌شناسی
Henri Becquerel	هانری بکرل
Henri Matisse	هانری ماتیس
Henrik Ibsen	هنریک ایبسن
Henry Cavendish	هنری کاوندیش
Henry David Thoreau	هنری دیوید تورو
Henry Fonda	هنری فوندا
Henry Ford	هنری فورد
Henry Kissinger	هنری کیسینجر
Henry Miller	هنری میلر
Henry Moore	هنری مور
Hepatitis	هپاتیت
Hera	هرا
Heraclitus	هراکلیتوس
Herat	هرات
Herbert Hoover	هربرت هوور
Herbert Marcuse	هربرت مارکوزه
Herbert Spencer	هربرت اسپنسر
Herman Melville	هرمان ملویل
Hermann Hesse	هرمان هسه
Hermann Minkowski	هرمان مینکوفسکی
Hermeneutics	هرمنوتیک
Hermes	هرمس
Herodotus	هرودوت
Heroin	هروئین
Heron	حواصیل
Hertz	هرتز
Hesperides	هسپریدس
Hesse	هسن
Hestia	هستیا
Heterosexuality	دگرجنس‌گرایی
Hexadecimal	هگزادسیمال
Hezbollah	حزب‌الله لبنان
Hideki Yukawa	هیدکی یوکاوا
Hieronymus Bosch	هیرونیموس بوش
Hilbert space	فضای هیلبرت
Himalayas	هیمالیا
Hindu Kush	هندوکش
Hinduism	آئین هندو
Hippie	هیپی
Hippocrates	بقراط
Hiroshima	هیروشیما
Hispaniola	هیسپانیولا
Histology	بافت‌شناسی
Histone	هیستون
History	تاریخ
History	رده:تاریخ
History	درگاه:تاریخ
Ho Chi Minh	هو شی مین
Ho Chi Minh City	شهر هوشی‌مین
Hobby	سرگرمی‌ها
Hokusai	هوکوسائی
Hollywood	هالیوود، کالیفرنیا
Holmium	هولمیوم
Holocene	هولوسین
Holography	تمام‌نگاری
Holy Roman Empire	امپراتوری مقدس روم
Holy Spirit	روح‌القدس
Homeopathy	هومئوپاتی
Homer	هومر
Homo habilis	انسان ابزارساز
Homonym	هم‌آوا
Homosexuality	همجنس‌گرایی
Honduras	هندوراس
Honey	عسل
Hong Kong	هنگ‌کنگ
Honiara	هونیارا
Honolulu	هونولولو
Hookah	قلیان
Hooke's law	قانون هوک
Hoopoe	هدهد
Horace	هوراس
Hormone	هورمون
