English	Slovak
Caelum	Súhvezdie Rydlo
Caesium	Cézium
Caffeine	Kofeín
Cairo	Káhira
Calabria	Kalábria
Calais	Calais
Calcite	Kalcit
Calcium	Vápnik
Calcium carbonate	Uhličitan vápenatý
Calcium oxide	Oxid vápenatý
Calculator	Kalkulačka
Calculus	Infinitezimálny počet
Caldera	Kaldera
Calendar	Kalendár
California	Kalifornia
California	Kategória:Kalifornia
Californium	Kalifornium
Caligula	Caligula
Calliope	Kalliopa
Callisto (moon)	Kallisto (mesiac)
Calvados	Calvados (departement)
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvinizmus
Cambodia	Kambodža
Cambodia	Kategória:Kambodža
Cambrian	Kambrium
Cambridge	Cambridge (Cambridgeshire)
Cambridge (disambiguation)	Cambridge
Camembert (cheese)	Camembert
Cameroon	Kamerun
Cameroon	Kategória:Kamerun
Campania	Kampánia
Canada	Kanada
Canada	Kategória:Kanada
Canadian dollar	Kanadský dolár
Canary Islands	Kanárske ostrovy
Canary Islands	Kategória:Kanárske ostrovy
Canberra	Canberra
Cancer (constellation)	Súhvezdie Rak
Candela	Kandela
Candle	Sviečka
Canidae	Psovité
Canis Major	Súhvezdie Veľký pes
Canis Minor	Súhvezdie Malý pes
Cannabis (drug)	Marihuana
Cannes	Cannes
Canon (company)	Canon (podnik)
Canopus	Canopus
Canterbury	Canterbury
Canute the Great	Knut Veľký
Capacitance	Elektrická kapacita
Capacitor	Kondenzátor (elektrotechnika)
Cape Canaveral	Mys Canaveral
Cape Town	Kapské Mesto
Cape Verde	Kapverdy
Cape Verde	Kategória:Kapverdy
Cape of Good Hope	Mys Dobrej nádeje (JAR)
Capital	Hlavné mesto
Capital (economics)	Kapitál
Capital punishment	Trest smrti
Capitalism	Kapitalizmus
Capricornus	Súhvezdie Kozorožec
Caracal	Rys karakal
Caracas	Caracas
Carat (mass)	Karát
Carat (purity)	Karát
Caravaggio	Michelangelo Merisi da Caravaggio
Carbon	Uhlík
Carbon dioxide	Oxid uhličitý
Carbon monoxide	Oxid uhoľnatý
Carbonic acid	Kyselina uhličitá
Carboxylic acid	Karboxylová kyselina
Carburetor	Karburátor
Card game	Kartová hra
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinál
Cardinal Richelieu	Armand Jean du Plessis de Richelieu
Cardiology	Kategória:Kardiológia
Caribbean	Kategória:Karibik
Caribbean Sea	Karibské more
Caricature	Karikatúra
Carina (constellation)	Súhvezdie Kýl
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Maria von Weber	Carl Maria von Weber
Carnival	Fašiangy
Carnivora	Mäsožravce (cicavce)
Carolus Linnaeus	Carl Linné
Carpathian Mountains	Karpaty
Carson City	Carson City
Cartagena	Cartagena (Španielsko)
Cartesian coordinate system	Karteziánska sústava súradníc
Cartesian product	Karteziánsky súčin
Carthage	Kartágo
Cartography	Kartografia
Cartography	Kategória:Kartografia
Casablanca	Casablanca
Caspian Sea	Kaspické more
Cassandra	Kassandra
Cassiopeia (constellation)	Súhvezdie Kasiopeja
Cast iron	Liatina
Castile (historical region)	Kastília
Castle	Hrad
Castling	Rošáda (šach)
Castries	Castries
Casus belli	Casus belli
Cat	Mačka domáca
Catalonia	Katalánsko
Catalonia	Kategória:Katalánsko
Catalysis	Katalyzátor (chémia)
Catharism	Albigénstvo
Cathedral	Katedrála
Catherine Parr	Katarína Parrová
Catherine of Aragon	Katarína Aragónska
Cathode	Katóda
Catholicism	Katolicizmus
Cattle	Tur domáci
Catullus	Gaius Valerius Catullus
Cauliflower	Karfiol
Cavalry	Jazdectvo (druh pozemných vojsk)
Cave	Jaskyňa
Cayenne	Cayenne
Cayman Islands	Kajmanie ostrovy
Cecil Rhodes	Cecil Rhodes
Celestial equator	Nebeský rovník
Celestial mechanics	Kategória:Nebeská mechanika
Celestial mechanics	Nebeská mechanika
Celestial sphere	Nebeská sféra
Celibacy	Celibát
Cell (biology)	Bunka
Cell membrane	Cytoplazmatická membrána
Cell nucleus	Bunkové jadro
Cell wall	Bunková stena
Cellulose	Celulóza (organická látka)
Celsius	Stupeň Celzia
Cemetery	Cintorín
Cenozoic	Kenozoikum
Centaur	Kentaur (bytosť)
Centaurus	Súhvezdie Kentaur
Center of mass	Ťažisko (fyzika)
Centimetre	Centimeter
Central Africa	Stredná Afrika
Central African Republic	Stredoafrická republika
Central African Republic	Kategória:Stredoafrická republika
Central America	Stredná Amerika
Central America	Kategória:Stredná Amerika
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Central Powers	Ústredné veľmoci
Central nervous system	Centrálna nervová sústava
Central processing unit	CPU
Centre	Centre (región)
Centriole	Centriola
Century	Storočie
Cephalopod	Hlavonožce
Cepheus (constellation)	Súhvezdie Cefeus
Cerberus	Kerberos
Cereal	Obilie
Cerebellum	Mozoček
Ceres (dwarf planet)	1 Ceres
Cerium	Cér
Cestoda	Pásomnice (Cestodes)
Cetacea	Veľryby (rad)
Cetus	Súhvezdie Veľryba
Chad	Čad
Chad	Kategória:Čad
Chaffinch	Pinka lesná
Chair	Stolička
Chalcedony	Chalcedón
Chamaeleon	Súhvezdie Chameleón
Chamois	Kamzík vrchovský
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Eurotunel
Chaos (mythology)	Chaos (staroveké Grécko)
Charadriiformes	Kulíkotvaré
Charlemagne	Karol Veľký
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Robert Darwin
Charles Dickens	Charles Dickens
Charles Fourier	François Marie Charles Fourier
Charles Peirce	Charles Sanders Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Karol II. (Francúzsko)
Charleston	Charleston (Západná Virgínia)
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte
Charmed	Čarodejnice (seriál)
Charon (moon)	Cháron (mesiac)
Charon (mythology)	Cháron (mytológia)
Chartres	Chartres
Chauvinism	Šovinizmus
Che Guevara	Che Guevara
Chechnya	Čečensko
Cheese	Syr
Cheetah	Gepard
Chelyabinsk	Čeľabinsk
Chemical bond	Chemická väzba
Chemical compound	Chemická zlúčenina
Chemical element	Chemický prvok
Chemical engineering	Chemické inžinierstvo
Chemical formula	Chemický vzorec
Chemical reaction	Chemická reakcia
Chemistry	Chémia
Chemistry	Kategória:Chémia
Chemistry	Portál:Chémia
Chemnitz	Chemnitz
Cheque	Šek
Chernobyl	Černobyľ
Chert	Silicit
Cherub	Cherub
Chess	Šach (hra)
Chess	Kategória:Šach
Chess opening	Otvorenie (šach)
Cheyenne	Cheyenne
Chi (letter)	Chí
Chiang Kai-shek	Ťie-š’ Ťiang
Chicago	Chicago
Chickenpox	Ovčie kiahne
Childbirth	Pôrod
Chile	Čile
Chile	Kategória:Čile
Chimborazo (volcano)	Chimborazo (sopka)
Chimera (mythology)	Chiméra (mytológia)
China	Kategória:Čína (historická krajina)
China	Čína (civilizácia)
Chitin	Chitín
Chlorine	Chlór
Chloroform	Trichlórmetán
Chlorophyll	Chlorofyl
Chloroplast	Chloroplast
Chocolate	Čokoláda
Cholera	Cholera
Cholesterol	Cholesterol
Chondrichthyes	Drsnokožce
Chord (music)	Akord (hudba)
Chordate	Chordáty
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kresťanstvo
Christianity	Kategória:Kresťanstvo
Christmas	Vianoce
Christmas	Kategória:Vianoce
Christmas tree	Vianočný stromček
Christopher Columbus	Krištof Kolumbus
Christopher Marlowe	Christopher Marlowe
Chromatography	Chromatografia
Chromium	Chróm
Chromosome	Chromozóm
Chuck Berry	Chuck Berry
Chukchi Sea	Čukotské more
Church	Cirkev
Church (building)	Kostol
Cicero	Marcus Tullius Cicero
Ciconiiformes	Bocianotvaré
Cigarette	Cigareta
Cinnabar	Cinabarit
Circinus	Súhvezdie Kružidlo
Circle	Kružnica
Circulatory system	Obehová sústava
Circumcision	Obriezka
Citizenship	Občianstvo
Citric acid cycle	Krebsov cyklus
Civil war	Občianska vojna
Class	Trieda
Class (computer science)	Trieda (programovanie)
Classical mechanics	Klasická mechanika
Classical music	Kategória:Vážna hudba
Classicism	Klasicizmus
Claude Monet	Claude Monet
Claude Shannon	Claude Elwood Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clavicle	Kľúčna kosť
Clef	Kľúč (hudba)
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Kleopatra
Clergy	Duchovenstvo
Cleveland	Cleveland (Ohio)
Client-server	Klient-server
Climate	Podnebie
Climate change	Klimatické zmeny
Climatology	Klimatológia
Climatology	Kategória:Klimatológia
Clinical depression	Depresia (psychológia)
Clio	Kleio
Clitoris	Dráždec
Clock	Hodiny
Clock Tower	Hodinová veža (Westminsterský palác)
Cloud	Oblak
Clovis I	Chlodovik I.
Cnidaria	Pŕhlivce
Coal	Uhlie
Coast	Pobrežie
Cobalt	Kobalt
Coccinellidae	Lienkovité
Cockatoo	Kakaduorodé
Cockroach	Šváby (hmyz)
Cocos (Keeling) Islands	Kokosové ostrovy
Codeine	Kodeín
Coffea	Kávovník
Coffee	Káva
Cognitive psychology	Kognitívna psychológia
Cognitive science	Kognitívna veda
Colchis	Kolchida
Cold War	Studená vojna
Cold War	Kategória:Studená vojna
Colin Powell	Colin Powell
Colloid	Koloid
Cologne	Kolín nad Rýnom
Colombia	Kolumbia
Colombia	Kategória:Kolumbia
Colombo	Kolombo
Color	Farba (fyzika)
Colorado	Colorado (štát USA)
Colorado	Kategória:Colorado (štát USA)
Colosseum	Koloseum
Colossus of Rhodes	Rodský kolos
Colubrid	Užovkovité
Columba (constellation)	Súhvezdie Holubica
Columbia	Columbia (Južná Karolína)
Columbia	Columbia
Columbia River	Columbia (rieka)
Columbiformes	Kategória:Holubotvaré
Columbiformes	Holubotvaré
Columbus	Columbus (Ohio)
Columbus	Columbus
Coma	Kóma
Coma Berenices	Súhvezdie Vlasy Bereniky
Comedy	Komédia
Comenius	Jan Amos Komenský
Comet	Kométa
Comma (punctuation)	Čiarka (interpunkčné znamienko)
Commedia dell'arte	Commedia dell'Arte
Commonwealth of Independent States	Spoločenstvo nezávislých štátov
Commonwealth of Nations	Spoločenstvo národov
Communication	Kategória:Komunikácia
Communism	Komunizmus
Communism	Kategória:Komunizmus
Comoros	Komory
Comoros	Kategória:Komory
Compact Disc	Kompaktný disk
Company (military unit)	Rota
Compass	Kompas
Complex instruction set computer	Complex Instruction Set Computer
Complex number	Komplexné číslo
Composer	Skladateľ
Composite number	Zložené číslo
Computed tomography	Počítačová tomografia
Computer	Počítač
Computer architecture	Architektúra počítača
Computer display	Monitor (displej)
Computer file	Súbor (informatika)
Computer graphics	Kategória:Počítačová grafika
Computer hardware	Hardvér
Computer programming	Kategória:Programovanie
Computer science	Veda o počítačoch
Computer science	Kategória:Informatika
Computer software	Softvér
Computer virus	Počítačový vírus
Computer-aided design	Computer Aided Design
Conakry	Konakry
Concentration	Koncentrácia
Concord	Concord (New Hampshire)
Concrete	Betón
Condom	Prezervatív
Conducting	Dirigent
Cone (geometry)	Kužeľ
Confederate States of America	Konfederované americké štáty
Confession	Sviatosť zmierenia
Confirmation	Sviatosť birmovania
Conflict	Konflikt
Confucianism	Konfucianizmus
Confucius	Konfucius
Congo	Kongo
Congo River	Kongo (rieka)
Conic section	Kužeľosečka
Connecticut	Connecticut
Connecticut	Kategória:Connecticut
Consensus	Konsenzus
Conservation of energy	Prvý termodynamický zákon
Conservatism	Konzervativizmus
Consonant	Spoluhláska
Constantine I	Konštantín Veľký
Constellation	Súhvezdie
Constitution (political)	Ústava
Contact lens	Kontaktná šošovka
Continent	Svetadiel
Continental drift	Pohyb kontinentov
Continental shelf	Šelf
Contract bridge	Bridž
Convection	Prúdenie tepla
Cooperative	Družstvo (ekonómia)
Coordinate system	Sústava súradníc
Copenhagen	Kodaň
Copper	Meď
Copyright	Autorské právo
Coraciiformes	Krakľotvaré
Coral Sea	Koralové more
Coral reef	Koralový útes
Corinth	Korint
Coriolis effect	Coriolisova sila
Cork (city)	Cork (mesto v Írsku)
Cormorant	Kormoránovité
Cornea	Rohovka
Cornwall	Cornwall (grófstvo)
Corona Borealis	Súhvezdie Severná koruna
Corrosion	Korózia
Corsica	Korzika
Corundum	Korund
Corvidae	Krkavcovité
Corvus (constellation)	Súhvezdie Havran
Cosmic microwave background radiation	Reliktové žiarenie
Cosmic ray	Kozmické žiarenie
Cosmology	Kozmológia
Cosmology	Kategória:Kozmológia
Costa Rica	Kostarika
Costa Rica	Kategória:Kostarika
Cotonou	Cotonou
Cotopaxi	Cotopaxi (sopka)
Cotton	Bavlna
Cougar	Puma americká
Coulomb	Coulomb
Coulomb's law	Coulombov zákon
Council of Trent	Tridentský koncil
Counterpoint	Kontrapunkt
Country music	Country
Court	Súd
Covalent bond	Kovalentná väzba
Coventry	Coventry
Crab Nebula	Krabia hmlovina
Crater (constellation)	Súhvezdie Pohár
Creationism	Kreacionizmus
Cremona	Cremona (mesto)
Cretaceous	Krieda (geochronologická jednotka)
Crete	Kréta
Cricket	Kriket
Cricket (insect)	Svrčkovité
Crimean War	Krymská vojna
Criminal law	Kategória:Trestné právo
Criminal law	Trestné právo
Criminology	Kriminológia
Criminology	Kategória:Kriminológia
Croatia	Chorvátsko
Croatia	Kategória:Chorvátsko
Crocodile	Krokodílovité
Crocodilia	Krokodílotvaré
Cronus	Kronos (mytológia)
Cross	Kríž
Cross product	Vektorový súčin
Crossbow	Kuša
Crucifixion	Ukrižovanie
Crust (geology)	Zemská kôra
Crustacean	Kôrovce
Crux	Súhvezdie Južný kríž
Cryptography	Kategória:Kryptografia
Crystallography	Kryštalografia
Crystallography	Kategória:Kryštalografia
Ctenophore	Rebrovky
Cuba	Kuba
Cuba	Kategória:Kuba
Cube	Kocka
Cubic metre	Kubický meter
Cubism	Kubizmus
Cuculiformes	Kukučkotvaré
Culture	Kultúra (spoločenské vedy)
Culture	Kategória:Kultúra
Cumbria	Cumbria
Cumulus cloud	Kumulus
Curitiba	Curitiba
Curium	Curium
Currency	Kategória:Mena
Cusco	Cusco (mesto)
Cyanobacteria	Sinice
Cybernetics	Kybernetika
Cyberpunk	Kyberpunk
Cyclades	Kyklady
Cyclone	Tlaková níž
Cygnus (constellation)	Súhvezdie Labuť
Cypriniformes	Kaprotvaré
Cyprus	Cyprus
Cyprus	Kategória:Cyprus (štát)
Cyrillic alphabet	Cyrilika
Cyrus the Great	Kýros II.
Cystic fibrosis	Cystická fibróza
Cytoplasm	Cytoplazma
Cytoskeleton	Cytoskelet
Czech Republic	Česko
Czech Republic	Kategória:Česko
Czechoslovakia	Česko-Slovensko
Czechoslovakia	Kategória:Česko-Slovensko
D	D
D. H. Lawrence	David Herbert Lawrence
D. W. Griffith	David Wark Griffith
DDT	Dichlórdifenyltrichlóretán
DNA	Deoxyribonukleová kyselina
DOS	DOS
DVD	DVD
Dachshund	Jazvečík
Dada	Dadaizmus
Dagger	Dýka
Dakar	Dakar
Dalai Lama	Dalajláma
Dallas	Dallas
Dalmatia	Dalmácia
Damascus	Damask
Dance	Tanec
Dance	Kategória:Tanec
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Dánska koruna
Dante Alighieri	Dante Alighieri
Danube	Dunaj
Dar es Salaam	Dar es Salám
Dardanelles	Dardanely
Dark matter	Tmavá hmota
Darmstadtium	Darmstadtium
Darwin	Darwin
Data mining	Hĺbková analýza dát
Data structure	Údajová štruktúra
Database	Databáza
Database management system	Databázový systém
Dative case	Datív
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davisov pohár
Days	Kategória:Dni
De facto	De facto
Deacon	Diakon
Dead Sea	Mŕtve more
Deadly nightshade	Ľuľkovec zlomocný
Death	Smrť
Death	Kategória:Smrť
December	December
December 31	31. december
December 8	8. december
Decibel	Decibel
Decimal	Desiatková číselná sústava
Decius (emperor)	Décius
Declination	Deklinácia
Deco	Deco
Deconstruction	Dekonštrukcia (filozofia)
Deflation	Deflácia
Degree	Stupeň
Degree (angle)	Stupeň (uhol)
Deimos (moon)	Deimos (mesiac)
Deism	Deizmus
Delaware	Delaware (štát USA)
Delaware	Kategória:Delaware (štát USA)
Delft	Delft
Delhi	Dillí
Delphi	Delfy
Delphinus	Súhvezdie Delfín
Delta	Delta
Delta (letter)	Delta (grécke písmeno)
Deluge (mythology)	Potopa sveta
Demagogy	Demagógia
Dementia	Demencia
Demeter	Demeter (bohyňa)
Democracy	Demokracia
Democratic Party (United States)	Demokratická strana (USA)
Democratic Republic of the Congo	Kongo (býv. Zair)
Democratic Republic of the Congo	Kategória:Kongo (býv. Zair)
Democritus	Demokritos
Demography	Demografia
Demography	Kategória:Demografia
Demon	Démon
Demosthenes	Demostenes
Dengue fever	Horúčka dengue
Denis Diderot	Denis Diderot
Denmark	Dánsko
Denmark	Kategória:Dánsko
Dennis Gabor	Dennis Gabor
Dental caries	Zubný kaz
Dentistry	Kategória:Zubné lekárstvo
Denver	Denver
Derivative	Derivácia (funkcia)
Dermatology	Dermatológia
Des Moines	Des Moines
Desert	Púšť
Deserts	Kategória:Púšte
Desiderius Erasmus	Erazmus Rotterdamský
Design	Kategória:Dizajn
Detroit	Detroit
Deuterium	Deutérium
Deuteronomy	Deuteronómium
Developmental psychology	Vývinová psychológia
Device driver	Ovládač
Devon	Devon (Anglicko)
Devonian	Devón
Dew point	Rosný bod
Dhaka	Dháka
Dharma	Dharma
Dhaulagiri	Dhaulágirí
Diabetes mellitus	Cukrovka
Diacritic	Diakritické znamienko
Dialect	Nárečie
Dialectic	Dialektika
Diameter	Priemer (geometria)
Diamond	Diamant
Diana	Diana Frances Mountbattenová-Windsorová
Diarrhea	Hnačka
Diaspora	Diaspóra (Židia)
Diatom	Rozsievky
Dictatorship	Diktatúra
Dictionary	Slovník
Diesel	Motorová nafta
Diesel engine	Dieselový motor
Differential equation	Diferenciálna rovnica
Diffraction	Difrakcia
Diffusion	Difúzia (fyzika)
Digestive system	Kategória:Tráviaca sústava
Digital	Číslicovosť (opak analógovosti)
Digital camera	Digitálny fotoaparát
Digital photography	Digitálna fotografia
Digital subscriber line	Digital Subscriber Line
Dill	Kôpor voňavý
Dimension	Rozmer
Dinosaur	Dinosaury
Diocese	Diecéza
Diocletian	Dioklecián
Dionysus	Dionýzos
Diphthong	Dvojhláska
Diplodocus	Diplodocus
Diplomacy	Diplomacia
Diplomacy	Kategória:Diplomacia
Dire Straits	Dire Straits
Direct current	Jednosmerný prúd
Disambiguation	Kategória:Wikipédia:Rozlišovacie stránky
Disc jockey	Diskotekár
Discourse	Diskurz
Discrimination	Diskriminácia (znevýhodňovanie)
Disease	Choroba
Distance	Vzdialenosť
Distillation	Destilácia
Divergence	Divergencia (vektorové pole)
Division (mathematics)	Delenec
Djibouti	Kategória:Džibutsko
Djibouti (city)	Džibuti
Dmitri Mendeleev	Dmitrij Ivanovič Mendelejev
Dmitri Shostakovich	Dmitrij Dmitrijevič Šostakovič
Dnieper River	Dneper
Dnipropetrovsk	Dnepropetrovsk
Doberman Pinscher	Doberman
Document	Dokument (informácia v materiálnej podobe)
Dodecanese	Dodekanéz
Dodoma	Dodoma
Dog	Pes domáci
Dogma	Dogma
Doha	Dauha
Dollar	Dolár
Dolly (sheep)	Ovca Dolly
Dolmen	Dolmen
Dolomite	Dolomit (minerál)
Dome	Kupola
Domestication	Domestikácia
Dominica	Dominika (štát)
Dominica	Kategória:Dominika (štát)
Dominican Order	Rehoľa kazateľov
Dominican Republic	Dominikánska republika
Dominican Republic	Kategória:Dominikánska republika
Domitian	Domicián
Don Quixote	Dômyselný rytier Don Quijote de la Mancha
Don River (Russia)	Don
Donato Bramante	Donato Bramante
Door	Dvere
Doppler effect	Dopplerov jav
Dorado	Súhvezdie Mečiar
Doric order	Dórsky sloh
Doris Lessing	Doris Lessingová
Dortmund	Dortmund
Douala	Douala
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Down syndrome	Downov syndróm
Draco (constellation)	Súhvezdie Drak
Dragon	Drak
Drama	Dráma
Draughts	Dáma (hra)
Dresden	Drážďany
Druid	Druid
Drum	Bubon (hudba)
Dubai	Dubaj (mesto)
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovník
Dugong	Dugongovité
Duke	Vojvoda
Dunkirk	Dunkerque
Duodenum	Dvanástnik
Durban	Durban
Dushanbe	Dušanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategória:Holandské osobnosti
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dynamika (fyzika)
Dynamite	Dynamit
Dynasty	Dynastia
Dyslexia	Dyslexia
Dysprosium	Dysprózium
Dystopia	Antiutópia
E	E
E (mathematical constant)	Eulerovo číslo
E-mail	E-mail
E. T. A. Hoffmann	Ernst Theodor Amadeus Hoffmann
ETA	Baskicko a jeho sloboda
Ear	Ucho
Earth	Zem
Earth	Kategória:Zem
Earth science	Vedy o Zemi
Earthquake	Zemetrasenie
East	Východ (svetová strana)
East Africa	Východná Afrika
East China Sea	Východočínske more
East Germany	Nemecká demokratická republika
East Sussex	East Sussex
East Timor	Východný Timor
East Timor	Kategória:Východný Timor
Easter	Veľká noc
Eastern Orthodox Church	Pravoslávna cirkev
Eccentricity (mathematics)	Excentricita
Echinoderm	Ostnatokožce
Eclipse	Zatmenie
Eclipse (software)	Eclipse
Ecliptic	Ekliptika
Ecological niche	Ekologická nika
Ecology	Ekológia
Ecology	Kategória:Ekológia
Econometrics	Ekonometria
Economics	Ekonomický systém
Economics	Kategória:Ekonómia a ekonomika
Economy	Ekonomický systém
Ecosystem	Ekosystém
Ecuador	Ekvádor
Ecuador	Kategória:Ekvádor
Ecumenical council	Ekumenický koncil
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edmond Halley	Edmund Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Percival Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Education	Vzdelanie
Education	Kategória:Vzdelanie
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Eduard Vyznávač
Edwin Hubble	Edwin Powell Hubble
Eel	Úhorotvaré
Egypt	Egypt
Egypt	Kategória:Egypt
Egyptology	Egyptológia
Eiffel Tower	Eiffelova veža
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejaculation	Ejakulácia
El Cid	El Cid Campeador
El Paso	El Paso
El Salvador	Salvádor
El Salvador	Kategória:Salvádor
Elam	Elam
Elbe	Labe
Eleanor Roosevelt	Eleanor Rooseveltová
Election	Voľby
Electric charge	Elektrický náboj
Electric current	Elektrický prúd
Electric guitar	Elektrická gitara
Electrical engineering	Kategória:Elektrotechnika
Electrical engineering	Elektrotechnika
Electrical resistance	Elektrický odpor
Electricity	Elektrina
Electricity	Kategória:Elektrina
Electrochemistry	Kategória:Elektrochémia
Electrolysis	Elektrolýza
Electrolyte	Elektrolyt
Electromagnetic radiation	Elektromagnetické žiarenie
Electromagnetic spectrum	Elektromagnetické spektrum
Electromagnetism	Elektromagnetizmus
Electromagnetism	Kategória:Elektromagnetizmus
Electron	Elektrón
Electronegativity	Elektronegativita
Electronics	Elektronika
Electronics	Kategória:Elektronika
Elegy	Elégia
Elementary particle	Elementárna častica
Elephant	Slonovité
Elevator	Výťah (dopravný prostriedok)
Elf	Elf
Elias Canetti	Elias Canetti
Elijah	Eliáš (prorok)
Ellipse	Elipsa
Ellipsis	Elipsa (literatúra)
Elvis Presley	Elvis Presley
Embryo	Embryo
Embryology	Embryológia
Emerald	Smaragd
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emma Goldman	Emma Goldmanová
Emotion	Emócia
Emotion	Kategória:Emócie
Empathy	Vcítenie
Empedocles	Empedokles
Empire State Building	Empire State Building
Empiricism	Empirizmus
Emu	Emu hnedý
Encyclopedia	Encyklopédia
Endemism	Endemit
Endocrine system	Endokrinná sústava
Endocrinology	Endokrinológia
Energy	Energia
Energy (society)	Energia
Engine	Motor
England	Anglicko
England	Kategória:Anglicko
English Channel	Lamanšský prieliv
English language	Angličtina
English language	Kategória:Angličtina
English people	Kategória:Anglické osobnosti
English people	Angličania
Enki	Enki
Enrico Fermi	Enrico Fermi
Entertainment	Kategória:Zábava
Enthalpy	Entalpia
Entomology	Entomológia
Entomology	Kategória:Entomológia
Entropy	Entropia
Environment	Kategória:Životné prostredie
Enzyme	Enzým
Eocene	Eocén
Eon (geology)	Eón (geológia)
Eos	Eos
Ephesus	Efez
Epic poetry	Epos
Epictetus	Epiktetos
Epicurus	Epikuros
Epidemic	Epidémia
Epidemiology	Epidemiológia
Epigraphy	Epigrafika
Epilepsy	Epilepsia
Epinephrine	Epinefrín
Epirus (periphery)	Epirus
Epistemology	Teória poznania
Epithelium	Epitel
Epsilon	Epsilon
Equation	Rovnica (matematika)
Equator	Rovník
Equatorial Guinea	Rovníková Guinea
Equatorial Guinea	Kategória:Rovníková Guinea
Equidae	Equus (rod)
Equinox	Rovnodennosť
Erasure	Erasure
Erato	Erato (múza)
Eratosthenes	Eratostenes
Erbium	Erbium
Erebus	Erebos
Erection	Erekcia
Eridanus (constellation)	Súhvezdie Eridanus
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (dwarf planet)	136199 Eris
Eris (mythology)	Eris
Eritrea	Kategória:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Werner Siemens
Eros (mythology)	Eros (mytológia)
Erosion	Erózia
Erwin Rommel	Erwin Rommel
Escape velocity	Úniková rýchlosť
Eschatology	Eschatológia
Esophagus	Pažerák
Esperanto	Esperanto
Esperanto	Kategória:Esperanto
Espoo	Espoo
Essay	Esej
Essen	Essen
Essential oil	Éterický olej
Essex	Essex (grófstvo)
Ester	Ester (zlúčenina)
Estonia	Kategória:Estónsko
Eta (letter)	Éta
Etching	Lept
Ethane	Etán
Ethanol	Etanol
Ethernet	Ethernet
Ethics	Etika
Ethics	Kategória:Etika
Ethiopia	Etiópia
Ethiopia	Kategória:Etiópia
Ethnic group	Etnikum
Ethnography	Etnografia
Ethnology	Kategória:Etnológia
Ethology	Etológia
Ethylene	Etén
Etymology	Etymológia
Eucharist	Sviatosť Oltárna
Euclid	Euklides
Euclidean geometry	Euklidovská geometria
Eugene O'Neill	Eugene O'Neill
Eukaryote	Eukaryoty
Eunuch	Eunuch
Euphemism	Eufemizmus
Euphrates	Eufrat
Eurasia	Eurázia
Euripides	Euripides
Euro	Euro
Europa (moon)	Európa (mesiac)
Europe	Európa
Europe	Kategória:Európa
European Central Bank	Európska centrálna banka
European Magpie	Straka čiernozobá
European Union	Európska únia
European Union	Kategória:Európska únia
Europium	Európium
Eusebius of Caesarea	Eusebios z Kaisareie
Euterpe	Euterpa
Euthanasia	Eutanázia
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Vyparovanie
Even-toed ungulate	Párnokopytníky
Excalibur	Excalibur (meč)
Exclamation mark	Výkričník
Excommunication	Exkomunikácia
Executive (government)	Výkonná moc
Exhibitionism	Exhibicionizmus
Existentialism	Existencializmus
Exodus	Exodus (Biblia)
Experiment	Pokus
Explosion	Explózia
Expo (exhibition)	Expo
Exponential function	Exponenciálna funkcia
Exponentiation	Mocnina
Expressionism	Expresionizmus
Extinction	Vymieranie
Eye	Oko
