English	Hungarian
Calcium carbonate	Kalcium-karbonát
Calcium oxide	Kalcium-oxid
Calculator	Számológép
Caldera	Kaldera
Calendar	Naptár
California	Kalifornia
California	Kategória:Kalifornia
Californium	Kalifornium
Caligula	Caligula
Calligraphy	Kalligráfia
Calliope	Kalliopé (múzsa)
Callisto (moon)	Kallisztó (hold)
Callisto (mythology)	Kallisztó
Calvary	Kálvária
Calvin Coolidge	Calvin Coolidge
Calvinism	Kálvinizmus
Calypso (mythology)	Kalüpszó
Cambodia	Kambodzsa
Cambodia	Kategória:Kambodzsa
Cambrian	Kambrium
Cambridge	Cambridge
Cambridge	Cambridge, Massachusetts
Camel	Teve
Camembert (cheese)	Camembert
Camera	Kamera
Cameroon	Kamerun
Cameroon	Kategória:Kamerun
Campania	Campania
Canada	Kanada
Canada	Kategória:Kanada
Canadian dollar	Kanadai dollár
Canary Islands	Kanári-szigetek
Canberra	Canberra
Cancer	Rák (betegség)
Candela	Kandela
Canis Major	Nagy Kutya csillagkép
Canis Minor	Kis Kutya csillagkép
Cannabis	Kender
Cannes	Cannes
Cannon	Ágyú
Canoe	Kenu
Cantata	Kantáta
Canute the Great	I. Kanut dán király
Capacitor	Kondenzátor (elektronika)
Cape Canaveral	Cape Canaveral
Cape Town	Fokváros
Cape Verde	Zöld-foki Köztársaság
Cape Verde	Kategória:Zöld-foki-szigetek
Capital	Főváros
Capital (economics)	Tőke
Capital punishment	Halálbüntetés
Capitalism	Kapitalizmus
Cappadocia	Kappadókia
Capricornus	Bak csillagkép
Capsicum	Paprika
Caracal	Karakál
Caracas	Caracas
Carat (mass)	Karát
Carat (purity)	Karát
Caravaggio	Caravaggio
Carbohydrate	Szénhidrát
Carbon	Szén
Carbon dioxide	Szén-dioxid
Carbon monoxide	Szén-monoxid
Carbonic acid	Szénsav
Carboniferous	Karbon
Carboxylic acid	Karbonsavak
Carburetor	Porlasztó
Cardamom	Kardamom
Cardiff	Cardiff
Cardinal (Catholicism)	Bíboros
Cardinal Richelieu	Richelieu bíboros
Caribbean	Karib-térség
Caribbean Sea	Karib-tenger
Caricature	Karikatúra
Carina (constellation)	Hajógerinc csillagkép
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnivora	Ragadozók
Carnivorous plant	Húsevő növények
Carolingian dynasty	Karolingok
Carolus Linnaeus	Carl von Linné
Carpathian Mountains	Kárpátok
Carrot	Sárgarépa
Cartagena	Cartagena
Cartesian product	Descartes-szorzat
Carthage	Karthágó
Cartography	Térképészet
Cartography	Kategória:Térképészet
Cary Grant	Cary Grant
Caryophyllales	Szegfűvirágúak
Caspian Sea	Kaszpi-tenger
Cassandra	Kasszandra
Cassiopeia (constellation)	Kassziopeia csillagkép
Cast iron	Öntöttvas
Castile (historical region)	Kasztília
Castle	Vár
Castries	Castries
Casus belli	Casus belli
Cat	Macska
Catalonia	Katalónia
Cataphract	Kataphrakta
Cataract	Szürkehályog
Catfish	Harcsaalakúak
Catharism	Katarok
Cathedral	Székesegyház
Catherine of Aragon	Aragóniai Katalin
Catholicism	Katolicizmus
Cattle	Szarvasmarha
Cattle Egret	Pásztorgém
Catullus	Catullus
Cauliflower	Karfiol
Cavalry	Lovasság
Cave	Barlang
Cayenne	Cayenne
Cayman Islands	Kajmán-szigetek
Cecil Rhodes	Cecil Rhodes
Celery	Zeller
Celestial mechanics	Kategória:Égi mechanika
Celestial mechanics	Égi mechanika
Cell (biology)	Sejt
Cell nucleus	Sejtmag
Cell wall	Sejtfal
Cello	Cselló
Cellulose	Cellulóz
Celsius	Celsius-skála
Cemetery	Temető
Cenozoic	Kainozoikum
Census	Népszámlálás
Centaur	Kentaur
Centaurus	Kentaur csillagkép
Centimetre	Centiméter
Central Africa	Közép-Afrika
Central African Republic	Közép-afrikai Köztársaság
Central African Republic	Kategória:Közép-afrikai Köztársaság
Central America	Kategória:Közép-Amerika
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Central Powers	Központi hatalmak
Central bank	Központi bank
Central processing unit	CPU
Centre	Centre
Century	Évszázad
Cephalopod	Fejlábúak
Cepheus (constellation)	Cepheus csillagkép
Ceramic	Kerámia
Cerberus	Kerberosz
Cerebellum	Kisagy
Ceres (dwarf planet)	Ceres (törpebolygó)
Ceres (mythology)	Ceres
Cerium	Cérium
Cesare Borgia	Cesare Borgia
Cestoda	Galandférgek
Cetacea	Cetek
Cetus	Cet csillagkép
Chad	Csád
Chad	Kategória:Csád
Chaffinch	Erdei pinty
Chair	Szék
Chamaeleon	Kaméleon csillagkép
Chamois	Zerge
Champagne (wine)	Pezsgő
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Csatorna-alagút
Chaos (mythology)	Khaosz
Charadriiformes	Lilealakúak
Charlemagne	Nagy Károly frank uralkodó
Charleroi	Charleroi
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	II. Kopasz Károly
Charlie Chaplin	Charles Chaplin
Charlie Parker	Charlie Parker
Charmed	Bűbájos boszorkák
Charon (moon)	Charon (hold)
Charon (mythology)	Kharón
Chauvinism	Sovinizmus
Che Guevara	Che Guevara
Cheese	Sajt
Cheetah	Gepárd
Chelyabinsk	Cseljabinszk
Chemical bond	Kémiai kötés
Chemical compound	Vegyület
Chemical element	Kémiai elem
Chemical formula	Vegyképlet
Chemical reaction	Kémiai reakció
Chemical warfare	Vegyi fegyver
Chemistry	Kémia
Chemistry	Kategória:Kémia
Chemistry	Portál:Kémia
Chemnitz	Chemnitz
Chennai	Csennaj
Cheque	Csekk
Chernobyl	Csernobil
Cherry	Cseresznye
Chess	Sakk
Chess	Kategória:Sakk
Chess opening	Sakkmegnyitás
Chester A. Arthur	Chester A. Arthur
Cheyenne	Cheyenne (Wyoming)
Chi (letter)	Khi
Chiang Kai-shek	Csang Kaj-sek
Chicago	Chicago
Chicken	Házityúk
Chickenpox	Bárányhimlő
Child	Gyerek
Chile	Chile
Chile	Kategória:Chile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Khimaira
Chimpanzee	Csimpánz
China	Kategória:Kína
Chios	Kiosz
Chiron	Kheirón
Chitin	Kitin
Chlorine	Klór
Chloroform	Kloroform
Chlorophyll	Klorofill
Chloroplast	Kloroplasztisz
Chocolate	Csokoládé
Cholera	Kolera
Chondrichthyes	Porcos halak
Chongqing	Chongqing
Chord (music)	Akkord
Chordate	Gerinchúrosok
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kereszténység
Christianity	Kategória:Kereszténység
Christmas	Karácsony
Christmas tree	Karácsonyfa
Christopher Columbus	Kolumbusz Kristóf
Christopher Marlowe	Christopher Marlowe
Chromatin	Kromatin
Chromatography	Kromatográfia
Chromium	Króm
Chromosome	Kromoszóma
Chronology	Kategória:Időtartományok
Chuck Berry	Chuck Berry
Church (building)	Egyház
Cicero	Marcus Tullius Cicero
Ciconiiformes	Gólyaalakúak
Cinderella	Hamupipőke
Cinnabar	Cinnabarit
Cinnamon	Fahéjfa
Circe	Kirké
Circinus	Körző csillagkép
Circle	Kör
Circulatory system	Keringési rendszer
Circumcision	Körülmetélés
Circus	Cirkusz
Citizenship	Állampolgárság
Citric acid	Citromsav
Citric acid cycle	Citromsavciklus
Civil war	Polgárháború
Civilization	Civilizáció
Clarinet	Klarinét
Clark Gable	Clark Gable
Class (biology)	Osztály (rendszertan)
Classical mechanics	Klasszikus mechanika
Classical music	Klasszikus zene
Classicism	Klasszicizmus
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clavicle	Kulcscsont
Clay	Agyag
Clef	C-kulcsok
Clergy	Klérus
Cleveland	Cleveland
Client-server	Kliens-szerver architektúra
Climate	Éghajlat
Climate change	Klímaváltozás
Climatology	Klimatológia
Climatology	Kategória:Klimatológia
Clinical depression	Depresszió
Clio	Kleio
Clitoris	Csikló
Clock	Óra (eszköz)
Clock Tower	Big Ben
Clothing	Kategória:Ruházat
Cloud	Felhő
Clove	Szegfűszeg
Clovis I	I. Klodvig
Cnidaria	Csalánozók
Coat of arms	Címer
Cobalt	Kobalt
Cocaine	Kokain
Coccinellidae	Katicabogarak
Cockatoo	Kakadufélék
Cockroach	Csótányok
Cocos (Keeling) Islands	Kókusz (Keeling)-szigetek
Codeine	Kodein
Coffee	Kávé
Coffee	Kategória:Kávék
Cognitive science	Kognitív tudomány
Coin	Pénzérme
Colchis	Kolkhisz
Cold War	Hidegháború
Cold War	Kategória:Hidegháború
Cologne	Köln
Colombia	Kolumbia
Colombia	Kategória:Kolumbia
Colombo	Colombo
Color	Szín
Colorado	Colorado
Colorado	Kategória:Colorado
Colosseum	Colosseum
Colossus of Rhodes	Rodoszi Kolosszus
Colubrid	Siklófélék
Columba (constellation)	Galamb csillagkép
Columbia	Columbia
Columbia University	Columbia Egyetem
Columbidae	Galambfélék
Columbiformes	Kategória:Galambalakúak
Columbiformes	Galambalakúak
Coma Berenices	Bereniké haja csillagkép
Comedy	Komédia
Comenius	Comenius
Comet	Üstökös
Comma (punctuation)	Vessző
Commerce	Kategória:Kereskedelem
Common cold	Megfázás
Commonwealth of Independent States	Független Államok Közössége
Commonwealth of Nations	Nemzetközösség
Communication	Kategória:Kommunikáció
Communication	Kommunikáció
Communism	Kommunizmus
Communism	Kategória:Kommunizmus
Comoros	Comore-szigetek
Comoros	Kategória:Comore-szigetek
Compact Disc	CD
Company (military unit)	Század
Compass	Iránytű
Compiler	Fordítóprogram
Complex instruction set computer	CISC
Complex number	Komplex számok
Composer	Zeneszerző
Composite material	Kompozit anyagok
Composite number	Összetett számok
Computed tomography	Komputertomográfia
Computer	Számítógép
Computer architecture	Számítógép-architektúra
Computer display	Monitor
Computer file	Adatállomány
Computer hardware	Hardver
Computer hardware	Kategória:Hardver
Computer network	Számítógép-hálózat
Computer programming	Számítógép-programozás
Computer programming	Kategória:Számítógép-programozás
Computer science	Számítástechnika
Computer science	Kategória:Számítógép-tudomány
Computer software	Szoftver
Computer virus	Számítógépes vírus
Computer-aided design	CAD
Conakry	Conakry
Concentration	Koncentráció
Concerto	Versenymű
Concrete	Beton
Conducting	Karmester
Cone (geometry)	Kúp
Confederate States of America	Amerikai Konföderációs Államok
Confirmation	Bérmálás
Conflict	Konfliktus
Confucianism	Konfucianizmus
Confucius	Konfucius
Congo	Kongó
Congo River	Kongó (folyó)
Conic section	Kúpszelet
Connecticut	Connecticut
Connecticut	Kategória:Connecticut
Conquistador	Konkvisztádor
Consensus	Konszenzus
Conservation of energy	energiamegmaradás
Conservatism	Konzervativizmus
Consonant	Mássalhangzó
Constantine I	I. Constantinus
Constantinople	Konstantinápoly
Constellation	Csillagkép
Constitution (political)	Alkotmány
Consul	Consul
Consumption (economics)	Fogyasztás
Contact lens	Kontaktlencse
Continent	Kontinens
Contract	Szerződés
Contract bridge	Bridzs
Cooperative	Szövetkezet
Coordinated Universal Time	Egyezményes koordinált világidő
Copenhagen	Koppenhága
Copper	Réz
Copyright	Szerzői jog
Cor anglais	Angolkürt
Coraciiformes	Szalakótaalakúak
Coral	Virágállatok
Coriander	Koriander
Corinth	Korinthosz
Coriolis effect	Coriolis-erő
Cormorant	Kárókatonafélék
Cornea	Szaruhártya
Cornell University	Cornell Egyetem
Cornwall	Cornwall
Corona Borealis	Északi Korona csillagkép
Corporation	Vállalat
Corsica	Korzika
Corundum	Korund
Corvette	Korvett
Corvidae	Varjúfélék
Corvus (constellation)	Holló csillagkép
Cosmic microwave background radiation	Mikrohullámú kozmikus háttérsugárzás
Cosmic ray	Kozmikus sugárzás
Cosmology	Kozmológia
Cosmology	Kategória:Kozmológia
Costa Rica	Costa Rica
Costa Rica	Kategória:Costa Rica
Cotopaxi	Cotopaxi
Cotton	Pamut
Cougar	Puma
Coulomb	Coulomb
Coulomb's law	Coulomb-törvény
Council of Trent	Tridenti zsinat
Counterpoint	Ellenpont
Country	Ország
Country music	Country
Court	Bíróság
Covalent bond	Kovalens kötés
Coyote	Prérifarkas
Crab Nebula	Rák-köd
Crane (bird)	Darufélék
Crater (constellation)	Serleg csillagkép
Creationism	Kreacionizmus
Cretaceous	Kréta (időszak)
Crete	Kréta
Cricket	Krikett
Crimea	Krím
Crimean War	Krími háború
Criminal law	Büntetőjog
Criminology	Kriminológia
Criminology	Kategória:Kriminológia
Croatia	Horvátország
Croatia	Kategória:Horvátország
Crocodile	Krokodilfélék
Crocodilia	Krokodilok
Cross product	Vektoriális szorzat
Crossbow	Számszeríj
Crossword	Keresztrejtvény
Crucifixion	Keresztre feszítés
Cruiser	Cirkáló
Crust (geology)	Földkéreg
Crustacean	Rákok
Crux	Dél Keresztje csillagkép
Cryptography	Kriptográfia
Cryptography	Kategória:Kriptográfia
Ctenophore	Bordásmedúzák
Cuba	Kuba
Cuba	Kategória:Kuba
Cube	Kocka
Cubic metre	Köbméter
Cubism	Kubizmus
Cuculiformes	Kakukkalakúak
Cucumber	Uborka
Cucurbitaceae	Kabakosok
Cultural Revolution	Kulturális forradalom
Culture	Kultúra
Culture	Kategória:Kultúra
Cumulus cloud	Gomolyfelhő
Cupressaceae	Ciprusfélék
Curitiba	Curitiba
Curium	Kűrium
Curling	Curling
Currency	Valuta
Curry	Curry
Curve	Görbe (matematika)
Cusco	Cuzco
Cyanobacteria	Cianobaktériumok
Cybernetics	Kibernetika
Cyberpunk	Cyberpunk
Cyclades	Kükládok
Cyclone	Ciklon
Cyclops	Küklopszok
Cygnus (constellation)	Hattyú csillagkép
Cylinder (geometry)	Henger
Cyperaceae	Palkafélék
Cyprinid	Pontyfélék
Cypriniformes	Pontyalakúak
Cyprus	Ciprus
Cyprus	Kategória:Ciprus
Cyrillic alphabet	Cirill ábécé
Cyrus the Great	Nagy Kürosz
Cystic fibrosis	Cisztás fibrózis
Cytoplasm	Citoplazma
Czech Republic	Csehország
Czech Republic	Kategória:Csehország
Czechoslovakia	Csehszlovákia
Czechoslovakia	Kategória:Csehszlovákia
D	D
D. H. Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
DNA	Dezoxiribonukleinsav
DOS	DOS
DVD	DVD
Dachshund	Tacskó
Dada	Dadaizmus
Daedalus	Daidalosz
Daguerreotype	Dagerrotípia
Dahlia	Dália (virág)
Dakar	Dakar
Dalai Lama	Dalai láma
Dallas	Dallas
Dalmatia	Dalmácia
Damascus	Damaszkusz
Dance	Tánc
Dance	Kategória:Tánc
Dandelion	Gyermekláncfű
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Dán korona
Dante Alighieri	Dante Alighieri
Danube	Duna
Daphne	Daphné
Dar es Salaam	Dar es-Salaam
Dardanelles	Dardanellák
Darfur	Dárfúr
Darjeeling	Dardzsiling
Dark matter	Sötét anyag
Darmstadtium	Darmstadtium
Darwin	Darwin (Ausztrália)
Darwin	Darwin
Data	Adat
Data mining	Adatbányászat
Data structure	Adatszerkezet
Database	Adatbázis
Database management system	Adatbázis-kezelő rendszer
Dative case	Részes eset
Daugavpils	Daugavpils
David	Dávid király
David Hilbert	David Hilbert
David Hume	David Hume
David Ricardo	David Ricardo
Davis Cup	Davis-kupa
Day	Nap (időegység)
De facto	De facto
Deacon	Diakónus
Dead Sea	Holt-tenger
Dead Sea scrolls	Holt-tengeri tekercsek
Deadly nightshade	Nadragulya
Death	Halál
Death	Kategória:Halál
December	December
December 31	December 31
December 8	December 8
Decibel	Decibel
Decimal	Tízes számrendszer
Deco	Deco
Deconstruction	Dekonstrukció
Deductive reasoning	Dedukció
Deer	Szarvas
Definition	Definíció
Deflation	Defláció
Degree	Fok#Szög
Degree (angle)	Fok#Sz.C3.B6g
Deimos (moon)	Deimosz (hold)
Deism	Deizmus
Delaware	Delaware
Delaware	Kategória:Delaware
Delhi	Delhi
Dell	Dell
Delphi	Delphoi
Delphinus	Delfin csillagkép
Delta (letter)	Delta
Deluge (mythology)	Özönvíz (mitológia)
Demagogy	Demagógia
Demeter	Démétér
Democracy	Demokrácia
Democratic Party (United States)	Demokrata Párt
Democratic Republic of the Congo	Kongói Demokratikus Köztársaság
Democratic Republic of the Congo	Kategória:Kongói Demokratikus Köztársaság
Democritus	Démokritosz
Demography	Demográfia
Demosthenes	Démoszthenész
Deng Xiaoping	Deng Xiaoping
Dengue fever	Dengue-láz
Denis Diderot	Denis Diderot
Denmark	Dánia
Denmark	Kategória:Dánia
Dennis Gabor	Gábor Dénes
Dental caries	Fogszuvasodás
Dentistry	Kategória:Fogászat
Dentistry	Fogászat
Denver	Denver (Colorado)
Derivative	Differenciálhányados
Desert	Sivatag
Deserts	Kategória:Sivatagok
Desiderius Erasmus	Rotterdami Erasmus
Design	Formatervezés
Destroyer	Romboló
Determinant	Determináns
Determinism	Determinizmus
Detroit	Detroit
Deuterium	Deutérium
Developmental psychology	Fejlődéslélektan
Device driver	Hardver-illesztőprogram
Devonian	Devon (időszak)
Dew point	Harmatpont
Dewey Decimal Classification	Dewey-féle tizedes osztályozás
Dhaka	Dakka
Dhole	Ázsiai vadkutya
Diabetes mellitus	Cukorbetegség
Diacritic	Diakritikus jel
Dialect	Dialektus
Dialectic	Dialektika
Diamond	Gyémánt
Diana	Diána walesi hercegné
Diarrhea	Hasmenés
Diatom	Kovamoszatok
Dice	Dobókocka
Dicotyledon	Kétszikűek
Dictatorship	Diktatúra
Dictionary	Szótár
Diesel engine	Dízelmotor
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Differenciálegyenlet
Diffraction	Diffrakció
Digestive system	Kategória:Emésztőrendszer
Digital	Digitális
Digital camera	Digitális fényképezőgép
Dill	Kapor (növény)
Dimension	Dimenzió
Dingo	Dingó
Dinosaur	Dinoszaurusz
Diocese	Egyházmegye
Diocletian	Diocletianus
Diode	Dióda
Dionysus	Dionüszosz
Diphtheria	Diftéria
Diphthong	Kettőshangzó
Diplodocus	Diplodocus
Diplomacy	Diplomácia
Diplomacy	Kategória:Diplomácia
Dire Straits	Dire Straits
Direct current	Egyenáram
Disambiguation	Kategória:Egyértelműsítő lapok
Disc jockey	Lemezlovas
Discourse	Diskurzus
Discrimination	Diszkrimináció
Disease	Betegség
Distillation	Desztilláció
Divergence	Divergencia (vektoranalízis)
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategória:Dzsibuti
Dmitri Mendeleev	Dmitrij Ivanovics Mengyelejev
Dmitri Shostakovich	Dmitrij Dmitrijevics Sosztakovics
Dnieper River	Dnyeper
Doberman Pinscher	Dobermann
Dodecahedron	Dodekaéder
Dodecanese	Dodekanéz
Dodo	Mauritius-szigeti dodó
Dodoma	Dodoma
Dog	Kutya
Dogma	Dogma
Doha	Doha
Dolomite	Dolomit
Domain (biology)	Domén (rendszertan)
Domain name	Tartománynév
Dome	Kupola
Domesday Book	Doomsday Book
Domestication	Háziasítás
Dominica	Dominikai Közösség
Dominica	Kategória:Dominikai Közösség
Dominican Order	Domonkos-rend
Dominican Republic	Dominikai Köztársaság
Dominican Republic	Kategória:Dominikai Köztársaság
Domitian	Domitianus
Don Quixote	Don Quijote
Don River (Russia)	Don
Donald Duck	Donald kacsa
Donetsk	Donyeck
Donkey	Háziszamár
Dopamine	Dopamin
Doppler effect	Doppler-effektus
Dorado	Aranyhal csillagkép
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Double bass	Nagybőgő
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Down syndrome	Down-szindróma
Draco (constellation)	Sárkány csillagkép
Dracula	Drakula
Dragon	Sárkány
Drama	Dráma
Draughts	Dámajáték
Dresden	Drezda
Dromedary	Egypúpú teve
Drought	Aszály
Drug addiction	Függőség
Druid	Druida
Drum	Dob
Dualism	Dualizmus (filozófia)
Dualism (philosophy of mind)	Dualizmus (filozófia)
Dubai	Dubaj
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Dugong	Dugong
Duke	Herceg
Duke Ellington	Duke Ellington
Duke University	Duke Egyetem
Duodenum	Patkóbél
Dushanbe	Dusanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategória:Hollandok
Dwight D. Eisenhower	Dwight David Eisenhower
Dynamite	Dinamit
Dynasty	Dinasztia
Dyslexia	Diszlexia
Dysprosium	Diszprózium
Dystopia	Disztópia
E	E
E (mathematical constant)	Euler-féle szám
E-mail	E-mail
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	ETA
Eagle	Sas
Ear	Fül
Eared seal	Fülesfókafélék
Earless seal	Valódi fókafélék
Earth	Föld
Earth science	Földtudomány
Earthquake	Földrengés
East Africa	Kelet-Afrika
East Germany	Német Demokratikus Köztársaság
East Timor	Kelet-Timor
Easter	Húsvét
Eastern Orthodox Church	Ortodox kereszténység
Ebola	Ebola
Ebro	Ebro
Ecclesiastes	Prédikátor könyve
Echidna (mythology)	Ekhidna
Echinoderm	Tüskésbőrűek
Eclipse	Napfogyatkozás
Eclipse (software)	Eclipse
Ecliptic	Ekliptika
Ecology	Ökológia
Econometrics	Ökonometria
Economics	Közgazdaságtan
Economics	Kategória:Közgazdaságtan
Economy	közgazdaságtan
Ecuador	Ecuador
Ecuador	Kategória:Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Education	Oktatás
Education	Kategória:Oktatás
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Teller Ede
Edward the Confessor	Hitvalló Eduárd angol király
Edwin Hubble	Edwin Hubble
Eel	Angolnaalakúak
Egg (biology)	Tojás (biológia)
Eggplant	Padlizsán
Egypt	Egyiptom
Egypt	Kategória:Egyiptom
Egyptian pound	Egyiptomi font
Eiffel Tower	Eiffel-torony
Eindhoven	Eindhoven
Einsteinium	Einsteinium
El Cid	Rodrigo Díaz de Vivar
El Greco	El Greco
El Salvador	Salvador
El Salvador	Kategória:Salvador
Elam	Elám
Elbe	Elba
Election	Parlamenti választás
Electra	Élektra
Electric charge	Elektromos töltés
Electric current	Elektromos áram
Electric field	Elektromos mező
Electric guitar	Elektromos gitár
Electrical resistance	Elektromos ellenállás
Electricity	Elektromosság
Electrocardiogram	Elektrokardiográfia
Electrolysis	Elektrolízis
Electrolyte	Elektrolit
Electromagnetic radiation	Elektromágneses hullám
Electromagnetism	Elektromágnesség
Electron	Elektron
Electron microscope	Elektronmikroszkóp
Electronegativity	Elektronegativitás
Electronics	Elektronika
Electronics	Kategória:Elektronika
Elegy	Elégia
Elementary particle	Elemi részecske
Elephant	Elefántfélék
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Illés próféta
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Ellipszis (görbe)
Ellipsis	Három pont
Elvis Presley	Elvis Presley
Emilia-Romagna	Emilia–Romagna
Emily Dickinson	Emily Dickinson
Emir	Emír
Emoticon	Hangulatjel
Empathy	Empátia
Empedocles	Empedoklész
Emperor	Császár
Emperor Penguin	Császárpingvin
Empire	Birodalom
Empire State Building	Empire State Building
Empiricism	Empirizmus
Emu	Emufélék
Emulator	Emulátor
Encyclopedia	Enciklopédia
Endemism	Endemikus faj
Endocrine system	Belső elválasztású mirigyek
Endocrinology	Endokrinológia
Endocrinology	Kategória:Endokrinológia
Energy	Energia
Energy (society)	Energia
Engineering	Mérnöki tudomány
England	Anglia
England	Kategória:Anglia
English Channel	La Manche
English Civil War	Angol polgári forradalom
English language	Angol nyelv
English language	Kategória:Angol nyelv
English people	Kategória:Angolok
English people	Angolok
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Enthalpy	Entalpia
Entomology	Entomológia
Entropy	Entrópia
Enzyme	Enzim
Eocene	Eocén
Eon (geology)	Eon
Eos	Éósz
Ephesus	Epheszosz
Epic poetry	Epika
Epicenter	Epicentrum
Epictetus	Epiktétosz
Epicurus	Epikurosz
Epidemiology	Járványtan
Epilepsy	Epilepszia
Epimetheus (mythology)	Epimétheusz
Epinephrine	Adrenalin
Epiphany (Christian)	Vízkereszt
Epistemology	Ismeretelmélet
Epistle to the Romans	Pál levele a rómaiakhoz
Epsilon	Epszilon
Equation	Egyenlet
Equator	Egyenlítő
Equatorial Guinea	Egyenlítői-Guinea
Equatorial Guinea	Kategória:Egyenlítői-Guinea
Equidae	Lófélék
Equinox	Napéjegyenlőség
Erasure	Erasure
Erato	Erató
Eratosthenes	Eratoszthenész Pentatlosz
Erbium	Erbium
Erebus	Erebosz
Erection	Erekció
Ericaceae	Hangafélék
Ericales	Erikavirágúak
Eridanus (constellation)	Eridánusz csillagkép
Erik Satie	Erik Satie
Eris (dwarf planet)	136199 Erisz
Eris (mythology)	Erisz
Eritrea	Kategória:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Eros (mythology)	Erósz
Erosion	Talajerózió
Erwin Rommel	Erwin Rommel
Escape velocity	Szökési sebesség
Esperanto	Eszperantó nyelv
Esperanto	Kategória:Eszperantó
Espoo	Espoo
Essay	Esszé
Essen	Essen
Essential oil	Illóolaj
Estonia	Kategória:Észtország
Eta (letter)	Éta
Etching	Rézkarc
Ethane	Etán
Ethanol	Etanol
Ether	Éter (kémia)
Ethernet	Ethernet
Ethics	Etika (filozófia)
Ethiopia	Etiópia
Ethiopia	Kategória:Etiópia
Ethnic group	Etnikum
Ethnography	Néprajz
Ethology	Etológia
Ethylene	Etilén
Etymology	Etimológia
Eucharist	Eucharisztia
Euclid	Euklidész
Eugene O'Neill	Eugene O’Neill
Eukaryote	Eukarióták
Euphemism	Eufemizmus
Euphrates	Eufrátesz
Eurasia	Eurázsia
Eurasian Badger	Borz
Euripides	Euripidész
Euro	Euró
Europa (moon)	Europé (hold)
Europa (mythology)	Európa (mitológia)
Europe	Európa
Europe	Kategória:Európa
European Central Bank	Európai Központi Bank
European Community	Európai Közösség
European Magpie	Szarka
European Union	Európai Unió
European Union	Kategória:Európai Unió
Europium	Európium
Eusebius of Caesarea	Caesareai Euszebiosz
Euterpe	Euterpé
Euthanasia	Eutanázia
Eva Braun	Eva Braun
Evangelista Torricelli	Evangelista Torricelli
Even-toed ungulate	Párosujjú patások
Evolution	Evolúció
Excalibur	Excalibur
Exchange rate	Deviza
Exclamation mark	Felkiáltójel
Existentialism	Egzisztencializmus
Exodus	Mózes második könyve
Expected value	Várható érték
Exponential function	Exponenciális függvény
Exponentiation	Hatvány
Expressionism	Expresszionizmus
Extinction	Kihalás
Eye	Szem
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fable	Fabula
Factorial	Faktoriális
Facula	Napfolt
Fado	Fado
Fagales	Bükkfavirágúak
Fahrenheit	Fahrenheit
Fairy	Tündér
Fairy tale	Mese
Falcon	Falco (madárnem)
Falconiformes	Sólyomalakúak
Falkland Islands	Falkland-szigetek
Fallacy	Érvelési hiba
Fallow Deer	Európai dámvad
Family (biology)	Család (rendszertan)
Family name	Vezetéknév
Fantasy	Fantasy
Far East	Távol-Kelet
Faroe Islands	Kategória:Feröer
Fascism	Fasizmus
Fascism	Kategória:Fasizmus
Fashion	Divat
Fast food	Gyorsétterem
Fatty acid	Zsírsav
Fault (geology)	Törés (geológia)
