English	Georgian
Deism	დეიზმი
Delaware	დელავერი (შტატი)
Delhi	დელი
Delphinus	დელფინი (თანავარსკვლავედი)
Delta (letter)	დელტა (ასო)
Deluge (mythology)	წარღვნა
Demeter	დემეტრა
Democracy	დემოკრატია
Democratic Party (United States)	დემოკრატიული პარტია (აშშ)
Democratic Republic of the Congo	კონგოს დემოკრატიული რესპუბლიკა
Democratic Republic of the Congo	კატეგორია:კონგოს დემოკრატიული რესპუბლიკა
Demosthenes	დემოსთენე
Denis Diderot	დენი დიდრო
Denmark	დანია
Denmark	კატეგორია:დანია
Denver	დენვერი
Deserts	კატეგორია:უდაბნოები
Design	დიზაინი
Desmond Tutu	დეზმონდ ტუტუ
Detroit	დეტროიტი
Dew	ნამი
Dhaka	დაკა
Dharma	დჰარმა
Dhole	წითელი მგელი
Diabetes mellitus	შაქრის დიაბეტი
Dialectic	დიალექტიკა
Dialectical materialism	დიალექტიკური მატერიალიზმი
Diamond	ბრილიანტი
Diaspora	დიასპორა
Diatom	კაჟოვანი წყალმცენარეები
Dictatorship	დიქტატურა
Diego Rivera	დიეგო რივერა
Differential equation	დიფერენციალური განტოლებები
Dill	კამა (მცენარე)
Dingo	დინგო
Dinosaur	დინოზავრები
Diocletian	დიოკლეტიანე
Diode	დიოდი
Dionysus	დიონისე
Diplodocus	დიპლოდოკი
Diplomacy	კატეგორია:დიპლომატია
Disambiguation	კატეგორია:მრავალმნიშვნელოვანი
Disc jockey	დისკ-ჟოკეი
Discrimination	დისკრიმინაცია
Dmitri Mendeleev	დიმიტრი მენდელეევი
Dmitri Shostakovich	დიმიტრი შოსტაკოვიჩი
Dog	ძაღლი
Doha	დოჰა
Dolly (sheep)	დოლი (ცხვარი)
Dolmen	დოლმენი
Domain name	დომენური სახელი
Dome	კამარა
Dominican Republic	დომინიკელთა რესპუბლიკა
Dominican Republic	კატეგორია:დომინიკელთა რესპუბლიკა
Domitian	დომიციანე
Donald Duck	დონალდ დაკი
Donatello	დონატელო
Donetsk	დონეცკი
Donkey	ვირი
Doris Lessing	დორის ლესინგი
Dortmund	დორტმუნდი
Double bass	კონტრაბასი
Down syndrome	დაუნის სინდრომი
Drama	დრამა
Dresden	დრეზდენი
Drug addiction	ნარკომანია
Druid	დრუიდები
Dualism	დუალიზმი
Dublin	დუბლინი
Duck	იხვები
Duke Ellington	დიუკ ელინგტონი
Dushanbe	დუშანბე
Dustin Hoffman	დასტინ ჰოფმანი
Dutch people	კატეგორია:ჰოლანდიელები
Dwight D. Eisenhower	დუაიტ ეიზენჰაუერი
E	E
Eagle	არწივი
Eared seal	ყურებიანი სელაპი
Earless seal	სელაპისებრნი
Earth	დედამიწა
Earth	კატეგორია:დედამიწა
Earth science	დედამიწის მეცნიერებები
Earthquake	მიწისძვრა
East Africa	აღმოსავლეთი აფრიკა
East China Sea	აღმოსავლეთ ჩინეთის ზღვა
East Germany	გერმანიის დემოკრატიული რესპუბლიკა
East Timor	აღმოსავლეთი ტიმორი
Easter	აღდგომა
Echinoderm	კანეკლიანები
Ecology	ეკოლოგია
Ecology	კატეგორია:ეკოლოგია
Economics	ეკონომიკა
Economics	კატეგორია:ეკონომიკა
Ecuador	ეკვადორი
Edgar Allan Poe	ედგარ ალან პო
Edgar Degas	ედგარ დეგა
Edinburgh	ედინბურგი
Edmond Halley	ედმუნდ ჰალეი
Edmund Hillary	ედმუნდ ჰილარი
Edmund Husserl	ედმუნდ ჰუსერლი
Education	განათლება
Education	კატეგორია:განათლება
Edvard Munch	ედვარდ მუნკი
Edward the Confessor	ედუარდ აღმსარებელი
Edwin Hubble	ედუინ ჰაბლი
Eel	გველთევზასნაირნი
Eggplant	ბადრიჯანი
Egypt	ეგვიპტე
Egypt	კატეგორია:ეგვიპტე
Egyptology	ეგვიპტოლოგია
Eiffel Tower	ეიფელის კოშკი
Einsteinium	აინშტაინიუმი
El Greco	ელ გრეკო
El Paso	ელ-პასო
El Salvador	სალვადორი
Elam	ელამი
Electric guitar	ელექტროგიტარა
Electricity	ელექტრობა
Electricity	კატეგორია:ელექტროენერგია
Electron	ელექტრონი
Electronics	ელექტრონიკა
Elegy	ელეგია (პოეზია)
Elephant	სპილოსებრნი
Elia Kazan	ელია კაზანი
Elias Canetti	ელიას კანეტი
Ella Fitzgerald	ელა ფიცჯერალდი
Ellipse	ელიფსი
Elvis Presley	ელვის პრესლი
Embryology	ემბრიოლოგია
Emilia-Romagna	ემილია-რომანია
Emiliano Zapata	ემილიანო საპატა
Emir	ამირა
Emoticon	სიცილაკი
Emperor	იმპერატორი
Empire	იმპერია
Empire State Building	ემპაია სტეიტ ბილდინგი
Encyclopedia	ენციკლოპედია
Endemism	ენდემები
Endocrinology	ენდოკრინოლოგია
Energy	ენერგია
Energy	კატეგორია:ენერგია
Engineering	საინჟინრო მეცნიერება
Engineering	კატეგორია:საინჟინრო მეცნიერება
England	ინგლისი
England	კატეგორია:ინგლისი
English Channel	ლა-მანშის სრუტე
English language	ინგლისური ენა
English language	კატეგორია:ინგლისური ენა
English people	კატეგორია:ინგლისელები
Enrico Caruso	ენრიკო კარუზო
Entertainment	კატეგორია:გართობა
Entomology	ენტომოლოგია
Entomology	კატეგორია:ენტომოლოგია
Enzyme	ფერმენტები
Epiphany (Christian)	ნათლისღება
Epistemology	ეპისტემოლოგია
Epsilon	ეფსილონი (ასო)
Equation	განტოლება
Equator	ეკვატორი
Equatorial Guinea	ეკვატორული გვინეა
Equinox	ბუნიაობა
Eratosthenes	ერატოსთენე
Ericaceae	მანანასებრნი
Eris (dwarf planet)	ერისი
Ernest Hemingway	ერნესტ ჰემინგუეი
Ernest Rutherford	ერნესტ რეზერფორდი
Eros (mythology)	ეროსი (ღვთაება)
Erwin Rommel	ერვინ რომელი
Esfahan	ისპაჰანი
Esperanto	ესპერანტო
Espionage	შპიონაჟი
Espoo	ესპოო
Essay	ესეი
Estonia	კატეგორია:ესტონეთი
Eta (letter)	ეტა (ასო)
Ethics	კატეგორია:ეთიკა
Ethiopia	ეთიოპია
Ethiopia	კატეგორია:ეთიოპია
Etymology	ეტიმოლოგია
Eucalyptus	ევკალიპტი
Eucharist	ზიარება
Euclid	ევკლიდე
Euphemism	ევფემიზმი
Eurasia	ევრაზია
Eurasian Badger	მაჩვი
Euro	ევრო
Europe	ევროპა
Europe	კატეგორია:ევროპა
European Central Bank	ევროპის ცენტრალური ბანკი
European Magpie	კაჭკაჭი
European Union	ევროპის კავშირი
European Union	კატეგორია:ევროპის კავშირი
Evangelista Torricelli	ევანჯელისტა ტორიჩელი
Evolution	ევოლუცია
Exhibitionism	ექსჰიბიციონიზმი
Existentialism	ეგზისტენციალიზმი
Expo (exhibition)	მსოფლიო ექსპოზიცია
Exponential function	მაჩვენებლიანი ფუნქცია
Expressionism	ექსპრესიონიზმი
Eye	თვალი
F	F
Fact	თარგი:ფაქტი
Fairy tale	ზღაპარი
Falcon	ბაზი (ფრინველი)
Falconiformes	შავარდნისნაირნი
Family (biology)	ოჯახი (ბიოლოგია)
Family history	გენეალოგია
Fascism	ფაშიზმი
Fascism	კატეგორია:ფაშიზმი
Fashion	კატეგორია:მოდა
Fashion	მოდა
Fast food	ფასტფუდი
Fasting	მარხვა
Fauvism	ფოვიზმი
February	თებერვალი
February 12	12 თებერვალი
February 14	14 თებერვალი
February 2	2 თებერვალი
February 22	22 თებერვალი
February 29	29 თებერვალი
Federal Reserve System	ფედერალური სარეზერვო სისტემა
Fedora (Linux distribution)	Fedora Core
Felidae	კატისებრნი
Felix Mendelssohn	ფელიქს მენდელსონ-ბართოლდი
Feminism	ფემინიზმი
Fencing	ფარიკაობა
Fenugreek	უცხო სუნელი
Ferdinand Magellan	ფერნანდო მაგელანი
Ferdinand de Saussure	ფერდინანდ დე სოსიური
Feudalism	ფეოდალიზმი
Fiction	კატეგორია:გამონაგონი
Fictional character	პერსონაჟი
Fidel Castro	ფიდელ კასტრო
Fiji	ფიჯი
File Transfer Protocol	FTP
Film	კატეგორია:კინო
Film	პორტალი:კინო
Finance	კატეგორია:ფინანსები
Finland	ფინეთი
Finland	კატეგორია:ფინეთი
First Crusade	პირველი ჯვაროსნული ლაშქრობა
First aid	პირველადი სამედიცინო დახმარება
First language	დედაენა
Fish	თევზები
Fish	კატეგორია:თევზები
Fjord	ფიორდი
Flatworm	ბრტყელი ჭიები
Florence	ფლორენცია
Florida	ფლორიდა (შტატი)
Florida	კატეგორია:ფლორიდა
Fog	ნისლი
Foot (unit of length)	ფუტი
Football (soccer)	ფეხბურთი
Football (soccer)	კატეგორია:ფეხბურთი
Football (soccer) by country	კატეგორია:ფეხბურთი ქვეყნების მიხედვით
Football (soccer) clubs	კატეგორია:საფეხბურთო კლუბები
Football (soccer) managers	კატეგორია:ფეხბურთის მწვრთნელები
Football (soccer) players	კატეგორია:ფეხბურთელები
Football (soccer) venues	კატეგორია:საფეხბურთო სტადიონები
Forbidden City	აკრძალული ქალაქი
Force	ძალა
Forest	ტყე
Fort Worth	ფორტ უორზი
Fox	მელა
Fractal	ფრაქტალი
France	საფრანგეთი
France	კატეგორია:საფრანგეთი
Francis Drake	ფრენსის დრეიკი
Francis II	ფრანც II (სრი)
Francisco Franco	ფრანსისკო ფრანკო
Francisco Goya	ფრანსისკო გოია
Francisco Pizarro	ფრანსისკო პისარო
Francium	ფრანციუმი
Frank Lloyd Wright	ფრენკ ლოიდ რაიტი
Frank Sinatra	ფრენკ სინატრა
Frankfurt	მაინის ფრანკფურტი
Frankfurt (Oder)	ფრანკფურტ-ან-დერ-ოდერი
Frankfurt (disambiguation)	ფრანკფურტი
Franklin Pierce	ფრანკლინ პირსი
Frans Hals	ფრანს ჰალსი
Franz Kafka	ფრანც კაფკა
Franz Liszt	ფერენც ლისტი
Franz Schubert	ფრანც შუბერტი
Fred Astaire	ფრედ ასტერი
French Revolution	საფრანგეთის რევოლუცია
French Revolution	კატეგორია:საფრანგეთის რევოლუცია
French people	კატეგორია:ფრანგები
Frequency	სიხშირე
Fresno	ფრესნო
Friday	პარასკევი
Friedrich Engels	ფრიდრიხ ენგელსი
Frigate	ფრეგატი
Friuli-Venezia Giulia	ფრიული-ვენეცია-ჯულია
Fruit	კატეგორია:ხილი
Fuel	საწვავი
Full moon	სავსე მთვარე
Function (mathematics)	ფუნქცია (მათემატიკა)
Fundamental	კატეგორია:ძირითადი კატეგორიები
Fungi	კატეგორია:სოკოები
Fungus	სოკოები
Furniture	კატეგორია:ავეჯი
Futurism (art)	ფუტურიზმი
Fyodor Dostoevsky	თედორე დოსტოევსკი
G	G
Gabon	გაბონი
Gabriel	გაბრიელ მთავარანგელოზი
Gaia (mythology)	გეა
Galicia (Spain)	გალისია
Galileo Galilei	გალილეო გალილეი
Galliformes	ქათმისნაირნი
Game	თამაში
Gamma	გამა (ასო)
Ganesha	განეშა
Ganja	განჯა
Garnet	გრანატები
Gas	აირი
Gay	გეი
Gaza Strip	ღაზის სექტორი
Geisha	გეიშა
Gemini (constellation)	მარჩბივი (თანავარსკვლავედი)
Gene	გენი
Genealogy	გენეალოგია
Genealogy	კატეგორია:გენეალოგია
General Officer	გენერალი
Genesis	ჯენესისი
Genetics	გენეტიკა
Genetics	კატეგორია:გენეტიკა
Geneva	ჟენევა
Genoa	გენუა
Genocide	გენოციდი
Genocide	კატეგორია:გენოციდი
Geodesy	კატეგორია:გეოდეზია
Geography	გეოგრაფია
Geography	კატეგორია:გეოგრაფია
Geography	პორტალი:გეოგრაფია
Geology	კატეგორია:გეოლოგია
Geometric progression	გეომეტრიული პროგრესია
Geometry	გეომეტრია
Geometry	კატეგორია:გეომეტრია
Geomorphology	კატეგორია:გეომორფოლოგია
Geophysics	კატეგორია:გეოფიზიკა
Geopolitics	გეოპოლიტიკა
Georg Wilhelm Friedrich Hegel	გეორგ ვილჰელმ ფრიდრიხ ჰეგელი
George Bernard Shaw	ჯორჯ ბერნარდ შოუ
George Bush	ჯორჯ ბუში
George Frideric Handel	გეორგ ფრიდრიხ ჰენდელი
George Gershwin	ჯორჯ გერშვინი
George Harrison	ჯორჯ ჰარისონი
George Marshall	ჯორჯ მარშალი
George Orwell	ჯორჯ ორუელი
George W. Bush	ჯორჯ უოლკერ ბუში
George Washington	ჯორჯ ვაშინგტონი
Georges Simenon	ჟორჟ სიმენონი
Georgia (U.S. state)	ჯორჯია
Georgia (country)	საქართველო
Georgia (country)	კატეგორია:საქართველო
Gerald Ford	ჯერალდ ფორდი
German language	გერმანული ენა
German language	კატეგორია:გერმანული ენა
Germany	გერმანია
Germany	კატეგორია:გერმანია
Geronimo	ჯერონიმო
Gestapo	გესტაპო
Geyser	გეიზერი
Ghana	განა
Ghana	კატეგორია:განა
Ghent	გენტი
Ghetto	გეტო
Giacomo Puccini	ჯაკომო პუჩინი
Giant Panda	ბამბუკის დათვი
Gibbon	გიბონისებრნი
Gibraltar	გიბრალტარი
Gilgamesh	გილგამეში
Ginkgo	გინკგო
Giordano Bruno	ჯორდანო ბრუნო
Giovanni Boccaccio	ჯოვანი ბოკაჩო
Giraffe	ჟირაფი
Giuseppe Garibaldi	ჯუზეპე გარიბალდი
Giuseppe Verdi	ჯუზეპე ვერდი
Glasgow	გლაზგო
Global warming	გლობალური დათბობა
Globalization	გლობალიზაცია
Glucose	გლუკოზა
Goa	გოა (შტატი)
Goat	თხა
Gobi Desert	გობი (უდაბნო)
God	ღმერთი
Gold	ოქრო
Golda Meir	გოლდა მეირი
Golden Eagle	მთის არწივი
Golden Gate Bridge	გოლდენ გეიტი (ხიდი)
Good Friday	დიდი პარასკევი
Google	გუგლი
Gorgon	გორგონები
Gorilla	გორილა
Gothic	გოთიკა (მრავალმნიშვნელოვანი)
Gothic architecture	გოტიკური არქიტექტურა
Gotthold Ephraim Lessing	გოტჰოლდ ეფრაიმ ლესინგი
Grace Kelly	გრეის კელი
Graffiti	გრაფიტი
Grammar	გრამატიკა
Grammar	კატეგორია:გრამატიკა
Graphic design	კატეგორია:გრაფიკული დიზაინი
Graphic design	გრაფიზმი
Gray Wolf	მგელი
Graz	გრაცი
Great Britain	დიდი ბრიტანეთი (კუნძული)
Great Depression	დიდი დეპრესია
Great Wall of China	ჩინეთის დიდი კედელი
Great white shark	თეთრი ზვიგენი
Greece	საბერძნეთი
Greece	კატეგორია:საბერძნეთი
Greek alphabet	ბერძნული დამწერლობა
Greek alphabet	კატეგორია:ბერძნული ანბანი
Greek mythology	ბერძნული მითოლოგია
Greek mythology	კატეგორია:ბერძნული მითოლოგია
Greenhouse effect	სათბურის ეფექტი
Greenhouse gas	სათბურის აირები
Greenland	გრენლანდია
Greenland	კატეგორია:გრენლანდია
Gregorian calendar	გრიგორიანული კალენდარი
Greta Garbo	გრეტა გარბო
Group	ჯგუფი
Group (mathematics)	ჯგუფი (მათემატიკა)
Group theory	ჯგუფთა თეორია
Grover Cleveland	გროვერ კლივლენდი
Grozny	გროზნო
Gruiformes	წეროსნაირნი
Guadalajara	გვადალახარა
Guernsey	გერნსი
Guillaume Apollinaire	გიიომ აპოლინერი
Guinea	გვინეა
Guinea-Bissau	გვინეა-ბისაუ
Gujarat	გუჯარათი
Gulag	გულაგი
Gulf War	სპარსეთის ყურის ომი (1990-1991)
Gustav Klimt	გუსტავ კლიმტი
Gustav Mahler	გუსტავ მალერი
Gustave Courbet	გუსტავ კურბე
Gustave Flaubert	გუსტავ ფლობერი
Guy de Maupassant	გი დე მოპასანი
Gymnastics	ტანვარჯიში
H	H
HTML	ჰიპერტექსტური მარკირების ენა
Hacker	ჰაკერი
Hades	ჰადესი
Hadrian	ადრიანე
Hadrian's Wall	ადრიანეს კედელი
Hagia Sophia	აია-სოფიას ტაძარი
Haifa	ჰაიფა
Haiku	ჰაიკუ
Hair	თმა
Haiti	ჰაიტი
Haiti	კატეგორია:ჰაიტი
Halle	ჰალე (ზაალე)
Hallucination	ჰალუცინაცია
Hamas	ჰამასი
Hamburg	ჰამბურგი
Hamlet	ჰამლეტი
Hammurabi	ხამურაბი
Hanging	ჩამოხრჩობა
Hanging Gardens of Babylon	ბაბილონის დაკიდული ბაღები
Hannibal	ჰანიბალი
Hanoi	ჰანოი
Hanover	ჰანოვერი
Hans Christian Andersen	ჰანს კრისტიან ანდერსენი
Hanuman	ჰანუმანი
Happiness	ბედნიერება
Harlem	ჰარლემი
Harold Pinter	ჰაროლდ პინტერი
Haute-Normandie	ზემო ნორმანდია
Havana	ჰავანა
Hawaii	ჰავაი (შტატი)
Hazel	თხილი
Health	კატეგორია:ჯანმრთელობა
Heart	გული (ორგანო)
Heavy metal	კატეგორია:ჰევი მეტალი
Hebrew alphabet	ებრაული დამწერლობა
Hecate	ჰეკატე
Hectare	ჰექტარი
Hector Berlioz	ჰექტორ ბერლიოზი
Heinrich Hertz	ჰაინრიხ რუდოლფ ჰერცი
Heinrich Himmler	ჰაინრიხ ჰიმლერი
Heinrich Schliemann	ჰაინრიხ შლიმანი
Helios	ჰელიოსი
Helium	ჰელიუმი
Helmut Schmidt	ჰელმუტ შმიდტი
Helsinki	ჰელსინკი
Henri Matisse	ანრი მატისი
Henrik Ibsen	ჰენრიკ იბსენი
Henry James	ჰენრი ჯეიმსი
Henry Moore	ჰენრი მური
Hephaestus	ჰეფესტოსი
Hera	ჰერა
Heracles	ჰერაკლე (მითოლოგია)
Heraldry	ჰერალდიკა
Heraldry	კატეგორია:ჰერალდიკა
Herbert Hoover	ჰერბერტ ჰუვერი
Hercules	ჰერაკლე (მითოლოგია)
Herman Melville	ჰერმან მელვილი
Hermann Hesse	ჰერმან ჰესე
Hermes	ჰერმესი (მითოლოგია)
Hesse	ჰესენი
Hesse	კატეგორია:ჰესენი
Hestia	ჰესტია
Heterosexuality	ჰეტეროსექსუალობა
Hideki Yukawa	ჰიდეკი იუკავა
Hieronymus Bosch	ჰიერონიმუს ბოსხი
Himalayas	ჰიმალაი
Hinduism	ინდუიზმი
Hinduism	კატეგორია:ინდუიზმი
Hippocrates	ჰიპოკრატე
Hippopotamus	ბეჰემოთი
Hirohito	ჰიროჰიტო
Hiroshima	ჰიროსიმა
Hispaniola	ჰაიტი (კუნძული)
Histology	ჰისტოლოგია
Historiography	ისტორიოგრაფია
History	ისტორია
History	კატეგორია:ისტორია
History	პორტალი:ისტორია
Ho Chi Minh	ხო ში მინი
Hobby	ჰობი
Holiday	დღესასწაული
Hollywood	ჰოლივუდი
Holy Roman Empire	საღვთო რომის იმპერია
Holy Roman Empire	კატეგორია:საღვთო რომის იმპერია
Homer	ჰომეროსი
Hominidae	ადამიანის მსგავსი მაიმუნები
Homonym	ომონიმია
Homophobia	ჰომოფობია
Homosexuality	ჰომოსექსუალობა
Honduras	ჰონდურასი
Honey Buzzard	ბოლოკარკაზი
Hong Kong	ჰონკონგი
Hong Kong	კატეგორია:ჰონკონგი
Honolulu	ჰონოლულუ
Horace	ჰორაციუსი
Horatio Nelson	ჰორაციო ნელსონი
Hormone	ჰორმონი
Horoscope	ჰოროსკოპი
Horse	ცხენი
Horus	ჰორი
House	სახლი
Houston	ჰიუსტონი
Howard Carter (archaeologist)	ჰოუარდ კარტერი
Hudson River	ჰუდზონი (მდინარე)
Hugh Capet	ჰუგო კაპეტი
Huguenot	ჰუგენოტები
Human	ადამიანი
Hummingbird	კოლიბრები
Humor	კატეგორია:იუმორი
Humour	იუმორი
Hundred Years' War	ასწლიანი ომი
Hungary	უნგრეთი
Hungary	კატეგორია:უნგრეთი
Hydrogen	წყალბადი
Hydrology	კატეგორია:ჰიდროლოგია
Hyena	აფთარი
Hymenoptera	კატეგორია:სიფრიფანაფრთიანები
Hyperbola	ჰიპერბოლა
Hypertext	ჰიპერტექსტი
I	I
I. M. Pei	იუჰ მინ პეი
IPod	აიპოდი
Iberian Peninsula	პირენეის ნახევარკუნძული
Ice	ყინული
Iceland	ისლანდია
Iceland	კატეგორია:ისლანდია
Ichthyology	იქთიოლოგია
Icon	ხატი
Idaho	აიდაჰო
Idealism	იდეალიზმი
Ideology	იდეოლოგია
Ido	იდო
Igloo	იგლუ
Ignatius of Loyola	იგნასიო ლოიოლა
Igor Stravinsky	იგორ სტრავინსკი
Illinois	ილინოისი (შტატი)
Illinois	კატეგორია:ილინოისი
Illyria	ილირია
Imam	იმამი
Immanuel Kant	იმანუელ კანტი
Imperialism	იმპერიალიზმი
Impressionism	იმპრესიონიზმი
India	ინდოეთი
India	კატეგორია:ინდოეთი
Indian Ocean	ინდოეთის ოკეანე
Indian Ocean	კატეგორია:ინდოეთის ოკეანე
Indiana	ინდიანა
Indianapolis	ინდიანაპოლისი
Indira Gandhi	ინდირა განდი
Indonesia	ინდონეზია
Indonesia	კატეგორია:ინდონეზია
Indra	ინდრა
Indulgence	ინდულგენცია
Indus (constellation)	ინდოელი (თანავარსკვლავედი)
Industry	კატეგორია:ინდუსტრია
Infectious disease	ინფექციური დაავადებები
Inflation	ინფლაცია
Influenza	გრიპი
Information	ინფორმაცია
Information technology	საინფორმაციო ტექნოლოგია
Information theory	ინფორმაციის თეორია
Ingmar Bergman	ინგმარ ბერგმანი
Ingrid Bergman	ინგრიდ ბერგმანი
Inner Mongolia	შიგა მონღოლეთი
Innsbruck	ინსბრუკი
Inorganic chemistry	კატეგორია:არაორგანული ქიმია
Integral	ინტეგრალი
Intercontinental ballistic missile	საკონტინენტთაშორისო ბალისტიკური რაკეტა
Interlingua	ინტერლინგუა
International Court of Justice	გაეროს საერთაშორისო სასამართლო
International Monetary Fund	საერთაშორისო სავალუტო ფონდი
International System of Units	ერთეულთა საერთაშოირისო სისტემა
International law	კატეგორია:საერთაშორისო სამართალი
International organization	საერთაშორისო ორგანიზაცია
Internet	ინტერნეტი
Internet	კატეგორია:ინტერნეტი
Internet Explorer	Internet Explorer
Interval (music)	ინტერვალი (მუსიკა)
Invertebrate	უხერხემლოები
Io (moon)	იო (თანამგზავრი)
Io (mythology)	იო (მითოლოგია)
Iota	იოტა (ასო)
Iowa	აიოვა
Iran	ირანი
Iran	კატეგორია:ირანი
Iran-Iraq War	ირან-ერაყის ომი
Iraq	ერაყი
Iraq	კატეგორია:ერაყი
Ireland	კატეგორია:ირლანდია
Irish people	კატეგორია:ირლანდიელები
Iron	რკინა
Iron Age	რკინის ხანა
Iron Curtain	რკინის ფარდა
Irony	ირონია
Irrational number	ირაციონალური რიცხვი
Isaac Newton	ისააკ ნიუტონი
Isadora Duncan	აისედორა დუნკანი
Isis	ისიდა
Islam	ისლამი
Islam	კატეგორია:ისლამი
Islamabad	ისლამაბადი
Islamic calendar	ჰიჯრა (კალენდარი)
Island	კუნძული
Isle of Man	კუნძული მენი
Israel	ისრაელი
Israel	კატეგორია:ისრაელი
Istanbul	სტამბოლი
Istanbul	კატეგორია:სტამბოლი
Italian Peninsula	აპენინის ნახევარკუნძული
Italy	იტალია
Italy	კატეგორია:იტალია
Ivan Pavlov	ივანე პავლოვი
Ivy League	აივი ლიგა
J	J
J. D. Salinger	ჯერომ სელინჯერი
Jack Kerouac	ჯეკ კერუაკი
Jack London	ჯეკ ლონდონი
Jackdaw	ჭკა
Jackson Pollock	ჯექსონ პოლოკი
Jacksonville	ჯექსონვილი
Jacques Derrida	ჟაკ დერიდა
Jacques Offenbach	ჟაკ ოფენბახი
Jakarta	ჯაკარტა
Jamaica	იამაიკა
Jamaica	კატეგორია:იამაიკა
James A. Garfield	ჯეიმზ გარფილდი
James Buchanan	ჯეიმზ ბიუკენენი
James Cook	ჯეიმზ კუკი
James Joyce	ჯეიმზ ჯოისი
James K. Polk	ჯეიმზ ნოქს პოლკი
James Madison	ჯეიმზ მედისონი
James Monroe	ჯეიმზ მონრო
James Prescott Joule	ჯეიმზ პრესკოტ ჯოული
Jammu and Kashmir	ჯამუ და ქაშმირი
Jan Hus	იან ჰუსი
Jan van Eyck	იან ვან ეიკი
Jane Austen	ჯეინ ოსტინი
Janis Joplin	ჯენის ჯოპლინი
January	იანვარი
January 1	1 იანვარი
January 19	19 იანვარი
January 20	20 იანვარი
January 6	6 იანვარი
Janus (mythology)	იანუსი (ღმერთი)
Japan	იაპონია
Japan	კატეგორია:იაპონია
Jason	იასონი
Java (programming language)	ჯავა (პროგრამირების ენა)
Jawaharlal Nehru	ჯავაჰარლალ ნერუ
Jazz	ჯაზი
Jazz	კატეგორია:ჯაზი
Jean-Jacques Rousseau	ჟან-ჟაკ რუსო
Jean-Paul Sartre	ჟან-პოლ სარტრი
Jeddah	ჯიდა
Jersey	ჯერსი
Jerusalem	იერუსალიმი
Jerusalem	კატეგორია:იერუსალიმი
Jesus	იესო ქრისტე
Jew	ებრაელები
Jimi Hendrix	ჯიმი ჰენდრიქსი
Jimmy Carter	ჯიმი კარტერი
Joan of Arc	ჟან დ'არკი
Johann Sebastian Bach	იოჰან სებასტიან ბახი
Johann Wolfgang von Goethe	იოჰან ვოლფგანგ ფონ გოეთე
Johannes Brahms	იოჰანეს ბრამსი
Johannes Gutenberg	იოჰან გუტენბერგი
Johannes Kepler	იოჰანეს კეპლერი
Johannesburg	იოჰანესბურგი
John Adams	ჯონ ადამსი
John Calvin	ჟან კალვინი
John Chrysostom	იოანე ოქროპირი (ბიზანტია)
John Dalton	ჯონ დალტონი
John Dewey	ჯონ დიუი
John Galsworthy	ჯონ გოლზუორთი
John Lennon	ჯონ ლენონი
John Maynard Keynes	ჯონ მეინარდ კეინსი
John Milton	ჯონ მილტონი
John Quincy Adams	ჯონ კუინსი ადამსი
John Ruskin	ჯონ რესკინი
John Steinbeck	ჯონ სტაინბეკი
John Tyler	ჯონ ტაილერი
John Wycliffe	ჯონ უიკლიფი
John the Baptist	იოანე ნათლისმცემელი
John von Neumann	ჯონ ფონ ნოიმანი
Johnny Cash	ჯონი კეში
Jordan	იორდანია
Jordan	კატეგორია:იორდანია
Jorge Luis Borges	ხორხე ლუის ბორხესი
Joseph Goebbels	იოზეფ გებელსი
Joseph Haydn	იოზეფ ჰაიდნი
Joseph Stalin	იოსებ სტალინი
Journalism	კატეგორია:ჟურნალისტიკა
Judaism	იუდაიზმი
Judaism	კატეგორია:იუდაიზმი
Judea	იუდეა
Judo	ძიუდო
Judy Garland	ჯუდი გარლანდი
Julian calendar	იულიუსის კალენდარი
Julian the Apostate	იულიან განდგომილი
Julius Caesar	იულიუს კეისარი
July	ივლისი
July 1	1 ივლისი
July 4	4 ივლისი
June	ივნისი
June 14	14 ივნისი
June 21	21 ივნისი
June 23	23 ივნისი
June 24	24 ივნისი
June 29	29 ივნისი
June 3	3 ივნისი
Juneau	ჯუნო
Juno (mythology)	იუნონა
Jupiter	იუპიტერი (პლანეტა)
Jupiter	კატეგორია:იუპიტერი
Jupiter (mythology)	იუპიტერი (ღმერთი)
Jurassic	იურული სისტემა
K	K
K2	კ2
Kabul	ქაბული
Kalahari Desert	კალაჰარი
Kamikaze	კამიკაძე
Kandahar	კანდაგარი
Kansas	კანზასი
Kansas City	კანზას-სიტი
Kappa	კაპა (ასო)
Karachi	კარაჩი
Karaoke	კარაოკე
Karl Marx	კარლ მარქსი
Karma	კარმა
Karnataka	კარნატაკა
Katharine Hepburn	ქეთრინ ჰეპბერნი
Kathmandu	კატმანდუ
Katowice	კატოვიცე
Kaunas	კაუნასი
Kazakhstan	ყაზახეთი
Kazakhstan	კატეგორია:ყაზახეთი
Kazan	ყაზანი
Kazimir Malevich	კაზიმირ მალევიჩი
Kelvin	კელვინი
Kentucky	კენტუკი (შტატი)
Kenya	კენია
Kharkiv	ხარკოვი
Khmer Rouge	წითელი ქმერები
Khufu	ხეოფსი
Kiev	კიევი
Kigali	კიგალი
Kilogram	კილოგრამი
Kinematics	კინემატიკა
King Lear	მეფე ლირი
Kinshasa	კინშასა
Kiribati	კირიბატი
Knut Hamsun	კნუტ ჰამსუნი
Kobe	კობე
Kolkata	კოლკატა
