Thai	English
ผลึก	Crystal
ผลิกศาสตร์	Crystallography
ประเทศคิวบา	Cuba
ทรงลูกบาศก์	Cube
ลูกบาศก์เมตร	Cubic metre
การปฏิวัติทางวัฒนธรรม	Cultural Revolution
วัฒนธรรม	Culture
หมวดหมู่:วัฒนธรรม	Culture
กูรีตีบา	Curitiba
คูเรียม	Curium
หมวดหมู่:สกุลเงิน	Currency
สกุลเงิน	Currency
กุสโก	Cusco
สาหร่ายสีเขียวแกมน้ำเงิน	Cyanobacteria
ไซคลอปส์	Cyclops
ทรงกระบอก	Cylinder (geometry)
กก	Cyperaceae
วงศ์ปลาตะเพียน	Cyprinid
ประเทศไซปรัส	Cyprus
หมวดหมู่:ประเทศไซปรัส	Cyprus
อักษรซีริลลิก	Cyrillic alphabet
พระเจ้าไซรัสมหาราช	Cyrus the Great
ระบบเส้นใยของเซลล์	Cytoskeleton
สาธารณรัฐเช็ก	Czech Republic
เชโกสโลวาเกีย	Czechoslovakia
D	D
ดีเอ็นเอ	DNA
ดอส	DOS
ดีวีดี	DVD
ดัชชุน	Dachshund
กระบวนการดาแกโรไทป์	Daguerreotype
ทะไลลามะ	Dalai Lama
ดัลลัส	Dallas
เขื่อน	Dam
การเต้นรำ	Dance
หมวดหมู่:การเต้น	Dance
เดเนียล ดีโฟ	Daniel Defoe
แม่น้ำดานูบ	Danube
สสารมืด	Dark matter
ดาร์มสแทดเทียม	Darmstadtium
ข้อมูล	Data
การทำเหมืองข้อมูล	Data mining
โครงสร้างข้อมูล	Data structure
ฐานข้อมูล	Database
ระบบจัดการฐานข้อมูล	Database management system
เดวิด	David
ดาฟิด ฮิลแบร์ท	David Hilbert
เดวิด ฮูม	David Hume
เดวิด ลิฟวิงสโตน	David Livingstone
วัน	Day
หมวดหมู่:วัน	Days
ทะเลเดดซี	Dead Sea
ม้วนหนังสือแห่งทะเลสาบเดดซี	Dead Sea scrolls
ความตาย	Death
ทศวรรษ	Decade
ธันวาคม	December
31 ธันวาคม	December 31
8 ธันวาคม	December 8
เดซิเบล	Decibel
เลขฐานสิบ	Decimal
เดคลิเนชัน	Declination
กวาง	Deer
ภาวะเงินฝืด	Deflation
องศา (มุม)	Degree (angle)
ดีมอส	Deimos (moon)
มลรัฐเดลาแวร์	Delaware
เดลล์	Dell
กลุ่มดาวโลมา	Delphinus
เดลตา	Delta (letter)
ตำนานน้ำท่วมโลก	Deluge (mythology)
ภาวะสมองเสื่อม	Dementia
ประชาธิปไตย	Democracy
พรรคเดโมแครต (สหรัฐอเมริกา)	Democratic Party (United States)
สาธารณรัฐประชาธิปไตยคองโก	Democratic Republic of the Congo
Category:ประชากร	Demography
เติ้ง เสี่ยวผิง	Deng Xiaoping
โรคไข้เลือดออก	Dengue fever
ประเทศเดนมาร์ก	Denmark
หมวดหมู่:ประเทศเดนมาร์ก	Denmark
ความหนาแน่น	Density
หมวดหมู่:ทันตกรรม	Dentistry
ทันตกรรม	Dentistry
เดนเวอร์	Denver
อนุพันธ์	Derivative
ดิมอยน์	Des Moines
ทะเลทราย	Desert
หมวดหมู่:ทะเลทราย	Deserts
อีราสมุส	Desiderius Erasmus
ดีเทอร์มิแนนต์	Determinant
ดิวเทอเรียม	Deuterium
ระบบทศนิยมดิวอี้	Dewey Decimal Classification
ธากา	Dhaka
พุทธธรรม	Dharma
หมาใน	Dhole
เบาหวาน	Diabetes mellitus
ภาษาถิ่น	Dialect
ทฤษฎีวัตถุนิยมวิภาษ	Dialectical materialism
เส้นผ่านศูนย์กลาง	Diameter
เพชร	Diamond
ไดอานา อดีตเจ้าหญิงแห่งเวลส์	Diana
ลูกเต๋า	Dice
ระบอบเผด็จการ	Dictatorship
พจนานุกรม	Dictionary
น้ำมันดีเซล	Diesel
ดีเซล	Diesel engine
สมการเชิงอนุพันธ์	Differential equation
การย่อยอาหาร	Digestion
หมวดหมู่:ระบบทางเดินอาหาร	Digestive system
ดิจิทัล	Digital
กล้องดิจิทัล	Digital camera
มิติ	Dimension
ไดโนเสาร์	Dinosaur
ไดโอคลีเชียน	Diocletian
ไดโอด	Diode
การทูต	Diplomacy
ไดแซ็กคาไรด์	Disaccharide
หมวดหมู่:การแก้ความกำกวม	Disambiguation
ดีเจ	Disc jockey
วาทกรรม	Discourse
โรค	Disease
ระยะทาง	Distance
การหาร	Division (mathematics)
ดิซซี กิลเลสพี	Dizzy Gillespie
ดมีตรี เมนเดเลเยฟ	Dmitri Mendeleev
ดิมิทรี ดิมิทรีวิช ชอสตาโกวิช	Dmitri Shostakovich
คริสต์ศาสนปราชญ์	Doctor of the Church
ทรงสิบสองหน้า	Dodecahedron
โดโด้	Dodo
สุนัข	Dog
ดอลลาร์	Dollar
โลมา	Dolphin
เขต (ชีววิทยา)	Domain (biology)
โดเมนเนม	Domain name
โดม	Dome
ประเทศโดมินิกา	Dominica
ลัทธิโดมินิกัน	Dominican Order
สาธารณรัฐโดมินิกัน	Dominican Republic
ดอนกิโฆเต้	Don Quixote
โดนาเทลโล	Donatello
โดนาโต ดันเจโล บรามันเต	Donato Bramante
โดเนตสค์	Donetsk
ลา	Donkey
โดพามีน	Dopamine
กลุ่มดาวปลากระโทงแทง	Dorado
ดอร์ทมุนด์	Dortmund
ดับเบิลเบส	Double bass
ดักลาส แมกอาร์เทอร์	Douglas MacArthur
กลุ่มอาการดาวน์	Down syndrome
กลุ่มดาวมังกร	Draco (constellation)
มังกร	Dragon
ดรามา	Drama
ความฝัน	Dream
เครื่องดื่ม	Drink
ดูไบ	Dubai
ดับลิน	Dublin
ดุบเนียม	Dubnium
เป็ด	Duck
พะยูน	Dugong
ดุค เอลลิงตัน	Duke Ellington
มหาวิทยาลัยดุ๊ก	Duke University
ลำไส้เล็กส่วนต้น	Duodenum
เดอร์บัน	Durban
ดัสติน ฮอฟแมน	Dustin Hoffman
หมวดหมู่:ชาวเนเธอร์แลนด์	Dutch people
ดไวต์ ดี. ไอเซนฮาวร์	Dwight D. Eisenhower
พลศาสตร์	Dynamics (physics)
ไดนาไมต์	Dynamite
ราชวงศ์	Dynasty
ดิสโพรเซียม	Dysprosium
ดิสโทเปีย	Dystopia
E	E
E (ค่าคงตัว)	E (mathematical constant)
อีเมล	E-mail
อินทรี	Eagle
หู	Ear
วงศ์แมวน้ำ	Eared seal
วงศ์แมวน้ำ	Earless seal
โลก	Earth
หมวดหมู่:โลก	Earth
วิทยาศาสตร์โลก	Earth science
แผ่นดินไหว	Earthquake
ทิศตะวันออก	East
ทะเลจีนตะวันออก	East China Sea
ประเทศเยอรมนีตะวันออก	East Germany
ประเทศติมอร์ตะวันออก	East Timor
หมวดหมู่:ประเทศติมอร์ตะวันออก	East Timor
อีสเตอร์	Easter
นิกายอีสเติร์นออร์โธด็อกซ์	Eastern Orthodox Church
แม่น้ำเอโบร	Ebro
ปัญญาจารย์	Ecclesiastes
อิคิดนา	Echidna
อีคิดนา (เทพปกรณัม)	Echidna (mythology)
เอไคโนดอร์มาทา	Echinoderm
อุปราคา	Eclipse
สุริยวิถี	Ecliptic
นิเวศวิทยา	Ecology
หมวดหมู่:นิเวศวิทยา	Ecology
เศรษฐศาสตร์	Economics
หมวดหมู่:เศรษฐศาสตร์	Economics
เศรษฐศาสตร์	Economy
ระบบนิเวศ	Ecosystem
ประเทศเอกวาดอร์	Ecuador
การประชุมสภาบาทหลวง	Ecumenical council
เอ็ดการ์ เดอกาส์	Edgar Degas
เอดินบะระ	Edinburgh
เอดมันด์ ฮิลลารี	Edmund Hillary
การศึกษา	Education
หมวดหมู่:การศึกษา	Education
เอดเวิร์ด เจนเนอร์	Edward Jenner
สมเด็จพระเจ้าเอ็ดเวิร์ดผู้สารภาพ	Edward the Confessor
เอ็ดวิน ฮับเบิล	Edwin Hubble
ปลาไหล	Eel
มะเขือยาว	Eggplant
ประเทศอียิปต์	Egypt
หมวดหมู่:ประเทศอียิปต์	Egypt
ปอนด์อียิปต์	Egyptian pound
หอไอเฟล	Eiffel Tower
ไอน์สไตเนียม	Einsteinium
เอลซิด	El Cid
เอลเกรโก	El Greco
ประเทศเอลซัลวาดอร์	El Salvador
การเลือกตั้ง	Election
ประจุไฟฟ้า	Electric charge
กระแสไฟฟ้า	Electric current
สนามไฟฟ้า	Electric field
กีตาร์ไฟฟ้า	Electric guitar
มอเตอร์	Electric motor
หมวดหมู่:วิศวกรรมไฟฟ้า	Electrical engineering
วิศวกรรมไฟฟ้า	Electrical engineering
ความต้านทานไฟฟ้า	Electrical resistance
ไฟฟ้า	Electricity
เคมีไฟฟ้า	Electrochemistry
อิเล็กโทรไลต์	Electrolyte
คลื่นแม่เหล็กไฟฟ้า	Electromagnetic radiation
สเปกตรัมแม่เหล็กไฟฟ้า	Electromagnetic spectrum
ทฤษฎีแม่เหล็กไฟฟ้า	Electromagnetism
อิเล็กตรอน	Electron
กล้องจุลทรรศน์อิเล็กตรอน	Electron microscope
อิเล็กโตรเนกาทิวิตี	Electronegativity
อิเล็กทรอนิกส์	Electronics
อนุภาคมูลฐาน	Elementary particle
ช้าง	Elephant
พราย	Elf
เอลลา ฟิทซ์เจอรัลด์	Ella Fitzgerald
จุดไข่ปลา	Ellipsis
เอลวิส เพรสลีย์	Elvis Presley
เอ็มบริโอ	Embryo
คัพภวิทยา	Embryology
มรกต	Emerald
แคว้นเอมีเลีย-โรมานยา	Emilia-Romagna
เอมีเลียโน ซาปาตา	Emiliano Zapata
อีโมติคอน	Emoticon
หมวดหมู่:อารมณ์	Emotion
จักรพรรดิ	Emperor
จักรวรรดิ	Empire
ตึกเอ็มไพร์สเตต	Empire State Building
อิมัลชัน	Emulsion
สารานุกรม	Encyclopedia
ต่อมหมวกไต	Endocrine system
พลังงาน	Energy
พลังงาน	Energy (society)
วิศวกร	Engineer
วิศวกรรมศาสตร์	Engineering
หมวดหมู่:วิศวกรรม	Engineering
อังกฤษ	England
หมวดหมู่:อังกฤษ	England
ช่องแคบอังกฤษ	English Channel
ภาษาอังกฤษ	English language
ชาวอังกฤษ	English people
เอนรีโก แฟร์มี	Enrico Fermi
หมวดหมู่:การบันเทิง	Entertainment
เอนทาลปี	Enthalpy
กีฏวิทยา	Entomology
หมวดหมู่:กีฏวิทยา	Entomology
เอนโทรปี	Entropy
เอนไซม์	Enzyme
มหากาพย์	Epic poetry
โรคระบาด	Epidemic
ระบาดวิทยา	Epidemiology
ญาณวิทยา	Epistemology
เนื้อเยื่อบุผิว	Epithelium
เอปไซลอน	Epsilon
สมการ	Equation
เส้นศูนย์สูตร	Equator
ประเทศอิเควทอเรียลกินี	Equatorial Guinea
วิษุวัต	Equinox
เอราทอสเทนีส	Eratosthenes
เออร์เบียม	Erbium
กลุ่มดาวแม่น้ำ	Eridanus (constellation)
เอริก ซาที	Erik Satie
อีริส	Eris (dwarf planet)
เออร์เนสต์ เฮมิงเวย์	Ernest Hemingway
เออร์เนสต์ รูเทอร์ฟอร์ด	Ernest Rutherford
โลกาวินาศ	Eschatology
อีโคไล	Escherichia coli
หลอดอาหาร	Esophagus
ภาษาเอสเปรันโต	Esperanto
จารกรรม	Espionage
เอสเพรสโซ	Espresso
เรียงความ	Essay
เอสเซิน	Essen
น้ำมันหอมระเหย	Essential oil
เอสเซกซ์	Essex
อีตา	Eta (letter)
เอทานอล	Ethanol
อีเทอร์เน็ต	Ethernet
จริยธรรม	Ethics
ประเทศเอธิโอเปีย	Ethiopia
ศัพทมูลวิทยา	Etymology
ยูคาลิปตัส	Eucalyptus
ยุคลิด	Euclid
ยูแคริโอต	Eukaryote
ขันที	Eunuch
ทวีปยูเรเชีย	Eurasia
ยูโร	Euro
ทวีปยุโรป	Europe
หมวดหมู่:ทวีปยุโรป	Europe
สหภาพยุโรป	European Union
หมวดหมู่:สหภาพยุโรป	European Union
ยูโรเพียม	Europium
การุณยฆาต	Euthanasia
เอวานเจลิสตา โตร์ริเชลลี	Evangelista Torricelli
วิวัฒนาการ	Evolution
อัศเจรีย์	Exclamation mark
อำนาจบริหาร	Executive (government)
อัตถิภาวนิยม	Existentialism
พระธรรมอพยพ	Exodus
การยกกำลัง	Exponentiation
การสูญพันธุ์	Extinction
ตา	Eye
หมวดหมู่:ตา	Eye
F	F
สกอตต์ ฟิตซ์เจอรัลด์	F. Scott Fitzgerald
นิทาน	Fable
แฟกทอเรียล	Factorial
จุดมืดดวงอาทิตย์	Facula
องศาฟาเรนไฮต์	Fahrenheit
การใช้งานโดยชอบธรรม	Fair use
เทพนิยาย	Fairy tale
เหยี่ยว	Falcon
หมู่เกาะฟอล์กแลนด์	Falkland Islands
หมวดหมู่:ครอบครัว	Family
นามสกุล	Family name
แฟนตาซี	Fantasy
ตะวันออกไกล	Far East
ฟารัด	Farad
ลัทธิฟาสซิสต์	Fascism
หมวดหมู่:แฟชั่น	Fashion
แฟชั่น	Fashion
ฟาตาห์	Fatah
กรดไขมัน	Fatty acid
โทรสาร	Fax
กุมภาพันธ์	February
12 กุมภาพันธ์	February 12
14 กุมภาพันธ์	February 14
2 กุมภาพันธ์	February 2
22 กุมภาพันธ์	February 22
29 กุมภาพันธ์	February 29
อุจจาระ	Feces
สำนักงานสืบสวนกลางแห่งสหรัฐอเมริกา	Federal Bureau of Investigation
ประเทศไมโครนีเซีย	Federated States of Micronesia
Fedora Core	Fedora (Linux distribution)
วงศ์เสือและแมว	Felidae
ฮวงจุ้ย	Feng shui
ยี่หร่า	Fennel
เฟนรีร์	Fenrir
เฟอร์ดินันด์ มาเจลลัน	Ferdinand Magellan
เฟอร์เมียม	Fermium
การปฏิสนธิ	Fertilisation
ศักดินา	Feudalism
เลขฟีโบนัชชี	Fibonacci number
หมวดหมู่:บันเทิงคดี	Fiction
ฟิเดล คาสโตร	Fidel Castro
สเก็ตลีลา	Figure skating
ประเทศฟิจิ	Fiji
เอฟทีพี	File Transfer Protocol
ฟีลิปโป บรูเนลเลสกี	Filippo Brunelleschi
หมวดหมู่:ภาพยนตร์	Film
ภาพยนตร์	Film
สถานีย่อย:ภาพยนตร์	Film
หมวดหมู่:การเงิน	Finance
การเงิน	Finance
นิ้วมือ	Finger
ประเทศฟินแลนด์	Finland
หมวดหมู่:ประเทศฟินแลนด์	Finland
ไฟ	Fire
ปืน	Firearm
ไฟร์วอลล์	Firewall (networking)
เฟิร์มแวร์	Firmware
ภาษาแม่	First language
ปลา	Fish
หมวดหมู่:ปลา	Fish
การตกปลา	Fishing
ธง	Flag
แฟลเจลลัม	Flagellum
ประเทศฟลานเดอส์	Flanders
หนอนตัวแบน	Flatworm
หมัด	Flea
ภาษาเฟลมิช	Flemish (linguistics)
ฟลิปฟล็อป	Flip-flop (electronics)
อุทกภัย	Flood
ฟลอปปีดิสก์	Floppy disk
ฟีเรนเซ	Florence
ฟลอเรนซ์ ไนติงเกล	Florence Nightingale
มลรัฐฟลอริดา	Florida
หมวดหมู่:มลรัฐฟลอริดา	Florida
ดอกไม้	Flower
พืชดอก	Flowering plant
ฟลุต	Flute
แมลงวัน	Fly
อาหาร	Food
องค์การอาหารและการเกษตรแห่งสหประชาชาติ	Food and Agriculture Organization
ฟุต	Foot (unit of length)
ฟุตบอล	Football (soccer)
หมวดหมู่:ฟุตบอล	Football (soccer)
หมวดหมู่:นักฟุตบอล	Football (soccer) players
พระราชวังต้องห้าม	Forbidden City
แรง	Force
ป่าไม้	Forest
การป่าไม้	Forestry
ฟอร์มาลดีไฮด์	Formaldehyde
กรดฟอร์มิก	Formic acid
กลุ่มดาวเตาหลอม	Fornax
ภาษาฟอร์แทรน	Fortran
ซากดึกดำบรรพ์	Fossil
เชื้อเพลิงซากดึกดำบรรพ์	Fossil fuel
อนุกรมฟูริเยร์	Fourier series
หมาจิ้งจอก	Fox
แฟร็กทัล	Fractal
เศษส่วน	Fraction (mathematics)
ประเทศฝรั่งเศส	France
หมวดหมู่:ประเทศฝรั่งเศส	France
ฟรานซิส คริก	Francis Crick
ฟรานซิส เดรก	Francis Drake
สมเด็จพระจักรพรรดิฟรานซ์ที่ 2 แห่งโรมันอันศักดิ์สิทธิ์	Francis II
ฟรองซีส ปูเลงก์	Francis Poulenc
ฟรานซิสแห่งอาซิซิ	Francis of Assisi
ลัทธิฟรานซิสกัน	Franciscan
ฟรันซิสโก ฟรังโก	Francisco Franco
ฟรันซิสโก โกยา	Francisco Goya
ฟรันซิสโก ปีซาร์โร	Francisco Pizarro
แฟรนเซียม	Francium
แฟรงก์ ลอยด์ ไรต์	Frank Lloyd Wright
แฟรงก์เฟิร์ต (มลรัฐเคนทักกี)	Frankfort
ฟรังค์ฟูร์ทอัมไมน์	Frankfurt
แฟรงก์เฟิร์ต (แก้ความกำกวม)	Frankfurt (disambiguation)
ฟรานซ์ ลิซท์	Franz Liszt
ฟรานซ์ ปีเตอร์ ชูเบิร์ต	Franz Schubert
สมเด็จพระจักรพรรดิฟรีดริชที่ 2 แห่งโรมันอันศักดิ์สิทธิ์	Frederick II
เสรีภาพ	Freedom (philosophy)
เสรีภาพในการแสดงออก	Freedom of speech
ฟรีทาวน์	Freetown
ฟรีแวร์	Freeware
เฟรนช์โปลินีเซีย	French Polynesia
การปฏิวัติฝรั่งเศส	French Revolution
ความถี่	Frequency
จิตรกรรมฝาผนัง	Fresco
แรงเสียดทาน	Friction
วันศุกร์	Friday
ฟริดท์จอฟ นันเซน	Fridtjof Nansen
ฟรีดริช เองเงิลส์	Friedrich Engels
กบ	Frog
ฟรักโทส	Fructose
ผลไม้	Fruit
หมวดหมู่:ผลไม้	Fruit
เชื้อเพลิง	Fuel
เซลล์เชื้อเพลิง	Fuel cell
ฟุกุโอะกะ (เมือง)	Fukuoka
วันเพ็ญ	Full moon
ฟังก์ชัน (คณิตศาสตร์)	Function (mathematics)
หมวดหมู่:มูลฐาน	Fundamental
ความเชื่อมูลฐานทางศาสนา	Fundamentalism
เห็ดรา	Fungus
ฟังก์	Funk
ตรรกศาสตร์คลุมเครือ	Fuzzy logic
ฟีโอดอร์ ดอสโตเยฟสกี	Fyodor Dostoevsky
G	G
กิมป์	GIMP
GNOME	GNOME
กนู	GNU
ประเทศกาบอง	Gabon
ญิบรีล	Gabriel
แกโดลิเนียม	Gadolinium
ดาราจักร	Galaxy
กาเลน	Galen
แคว้นกาลิเซีย	Galicia (Spain)
ยานกาลิเลโอ	Galileo (spacecraft)
กาลิเลโอ กาลิเลอี	Galileo Galilei
ถุงน้ำดี	Gallbladder
แกลเลียม	Gallium
แกลลอน	Gallon
การพนัน	Gambling
เกม	Game
ทฤษฎีเกม	Game theory
แกมมา	Gamma
รังสีแกมมา	Gamma ray
พระพิฆเนศวร	Ganesha
แม่น้ำคงคา	Ganges
มณฑลกานซู	Gansu
สวนอีเด็น	Garden of Eden
การจัดสวน	Gardening
การ์ฟีลด์	Garfield
ปนาลี	Gargoyle
กระเทียม	Garlic
แก๊ส	Gas
ค่าคงตัวของแก๊ส	Gas constant
แก๊สโซลีน	Gasoline
ระบบย่อยอาหาร	Gastrointestinal tract
พระโคตมพุทธเจ้า	Gautama Buddha
เกย์	Gay
ฉนวนกาซา	Gaza Strip
เกอิชา	Geisha
กลุ่มดาวคนคู่	Gemini (constellation)
อัญมณี	Gemstone
หน่วยพันธุกรรม	Gene
ความตกลงทั่วไปว่าด้วยการค้าและภาษีศุลกากร	General Agreement on Tariffs and Trade
ทฤษฎีสัมพัทธภาพทั่วไป	General relativity
พระธรรมปฐมกาล	Genesis
พันธุวิศวกรรม	Genetic engineering
พันธุศาสตร์	Genetics
เจนีวา	Geneva
ลักษณะทางพันธุกรรม	Genotype
สกุล (ชีววิทยา)	Genus
เจฟฟรีย์ ชอเซอร์	Geoffrey Chaucer
ภูมิศาสตร์	Geography
หมวดหมู่:ภูมิศาสตร์	Geography
หมวดหมู่:ธรณีวิทยา	Geology
ธรณีวิทยา	Geology
การก้าวหน้าเรขาคณิต	Geometric progression
เรขาคณิต	Geometry
หมวดหมู่:รูปทรงเรขาคณิต	Geometry
ธรณีสัณฐานวิทยา	Geomorphology
ธรณีฟิสิกส์	Geophysics
หมวดหมู่:ธรณีฟิสิกส์	Geophysics
จอร์จ บาร์กลีย์	George Berkeley
จอร์จ บูล	George Boole
จอร์จ บุช	George Bush
จอร์จ เฟรดริก ฮันเดล	George Frideric Handel
จอร์จ ลูคัส	George Lucas
จอร์จ มาร์แชลล์	George Marshall
จอร์จ ออร์เวลล์	George Orwell
จอร์จ สตีเฟนสัน	George Stephenson
จอร์จ ดับเบิลยู. บุช	George W. Bush
จอร์จ วอชิงตัน	George Washington
ชอร์ช บีเซ	Georges Bizet
มลรัฐจอร์เจีย	Georgia (U.S. state)
หมวดหมู่:มลรัฐจอร์เจีย	Georgia (U.S. state)
ประเทศจอร์เจีย	Georgia (country)
หมวดหมู่:ประเทศจอร์เจีย	Georgia (country)
เจอราร์ด ปีเตอร์ ไคเปอร์	Gerard Kuiper
เยอรมันเชฟเฟิร์ด	German Shepherd Dog
ภาษาเยอรมัน	German language
มาร์กเยอรมัน	German mark
เจอร์เมเนียม	Germanium
ประเทศเยอรมนี	Germany
หมวดหมู่:ประเทศเยอรมนี	Germany
เจอโรนิโม	Geronimo
ประเทศกานา	Ghana
ผี	Ghost
จาโกโม ปุชชีนี	Giacomo Puccini
แพนด้ายักษ์	Giant Panda
ชะนี	Gibbon
ยิบรอลตาร์	Gibraltar
จิกะไบต์	Gigabyte
กิลกาเมช	Gilgamesh
ขิง	Ginger
แปะก๊วย	Ginkgo
จอร์โจ วาซารี	Giorgio Vasari
จอตโต ดี บอนโดเน	Giotto di Bondone
ยีราฟ	Giraffe
จูเซปเป แวร์ดี	Giuseppe Verdi
ธารน้ำแข็ง	Glacier
กลาสโกว์	Glasgow
แก้ว	Glass
จีพีเอส	Global Positioning System
ปรากฏการณ์โลกร้อน	Global warming
โลกาภิวัตน์	Globalization
อาร์ติโชค	Globe artichoke
กลูโคส	Glucose
กลูตาเมต	Glutamic acid
ไกลโคไลซิส	Glycolysis
หมากล้อม	Go (board game)
รัฐกัว	Goa
ผู้รักษาประตู	Goalkeeper
แพะ	Goat
ทะเลทรายโกบี	Gobi Desert
ทองคำ	Gold
สะพานโกลเดนเกต	Golden Gate Bridge
กอล์ฟ	Golf
หมวดหมู่:กอล์ฟ	Golf
กอลจิ คอมเพล็กซ์	Golgi apparatus
กูเกิล	Google
กูกอล	Googol
กอร์กอน	Gorgon
ลิงกอริลลา	Gorilla
พระวรสาร	Gospel
พระวรสารนักบุญลูค	Gospel of Luke
สถาปัตยกรรมกอธิค	Gothic architecture
โรคเกาต์	Gout
รัฐบาล	Government
เกรซ เคลลี	Grace Kelly
กราฟฟิตี	Graffiti
กรัม	Gram
ไวยากรณ์	Grammar
ลิงค์	Grammatical gender
กรานาดา	Granada
เทนนิสแกรนด์สแลม	Grand Slam (tennis)
หินแกรนิต	Granite
องุ่น	Grape
Grapefruit	Grapefruit
กราฟิกดีไซน์	Graphic design
ส่วนต่อประสานกราฟิกกับผู้ใช้	Graphical user interface
แกรไฟต์	Graphite
ความโน้มถ่วง	Gravitation
หมาป่า	Gray Wolf
เกรตบาร์ริเออร์รีฟ	Great Barrier Reef
บริเตนใหญ่	Great Britain
ภาวะเศรษฐกิจตกต่ำครั้งใหญ่	Great Depression
เกรตเลกส์	Great Lakes
เกรตริฟต์แวลลีย์	Great Rift Valley
กำแพงเมืองจีน	Great Wall of China
ปลาฉลามขาว	Great white shark
นครลอนดอนและปริมณฑล	Greater London
ตัวหารร่วมมาก	Greatest common divisor
ประเทศกรีซ	Greece
หมวดหมู่:ประเทศกรีซ	Greece
อักษรกรีก	Greek alphabet
ตำนานเทพเจ้ากรีก	Greek mythology
สีเขียว	Green
ปรากฏการณ์เรือนกระจก	Greenhouse effect
แก๊สเรือนกระจก	Greenhouse gas
กรีนแลนด์	Greenland
กรีนพีซ	Greenpeace
เวลามาตรฐานกรีนิช	Greenwich Mean Time
เกรเกอร์ เมนเดล	Gregor Mendel
ปฏิทินเกรโกเรียน	Gregorian calendar
สีเทา	Grey
กริฟฟอน	Griffin
ผลิตภัณฑ์มวลรวมภายในประเทศ	Gross domestic product
กรุ๊ป	Group
กรุป (คณิตศาสตร์)	Group (mathematics)
หมู่ในตารางธาตุ	Group (periodic table)
ทฤษฎีกรุป	Group theory
กลุ่มดาวนกกระเรียน	Grus (constellation)
กวาเดอลูป	Guadeloupe
กวม	Guam
มณฑลกวางตุ้ง	Guangdong
กว่างโจว	Guangzhou
กัวเตมาลาซิตี	Guatemala City
กูกลีเอลโม มาร์โคนี	Guglielmo Marconi
กีโยม อาโปลีแนร์	Guillaume Apollinaire
กิโยติน	Guillotine
ประเทศกินี	Guinea
กินนี่พิก	Guinea pig
ประเทศกินี-บิสเซา	Guinea-Bissau
กีตาร์	Guitar
รัฐคุชราต	Gujarat
สงครามอ่าวเปอร์เซีย	Gulf War
อ่าวเอเดน	Gulf of Aden
อ่าวบอทเนีย	Gulf of Bothnia
อ่าวฟินแลนด์	Gulf of Finland
อ่าวเม็กซิโก	Gulf of Mexico
อ่าวไทย	Gulf of Thailand
นกนางนวล	Gull
ดินปืน	Gunpowder
กุสตาฟ คลิมต์	Gustav Klimt
กุสตาฟ มาห์เลอร์	Gustav Mahler
นรีเวชวิทยา	Gynaecology
ยิปซัม	Gypsum
ไจโรสโคป	Gyroscope
H	H
เอชไอวี	HIV
HTML	HTML
แฮกเกอร์	Hacker
ฮาเดส	Hades
แฮฟเนียม	Hafnium
สุเหร่าโซเฟีย	Hagia Sophia
ไฮกุ	Haiku
ลูกเห็บ	Hail
ประเทศเฮติ	Haiti
หมวดหมู่:ประเทศเฮติ	Haiti
ฮัจญ์	Hajj
ตราฮาลาล	Halal
ครึ่งชีวิต	Half-life
วันฮาโลวีน	Halloween
แฮโลเจน	Halogen
ฮามาส	Hamas
ฮัมบูร์ก	Hamburg
แฮมเลต	Hamlet
ค้อน	Hammer
ค้อนเคียว	Hammer and sickle
กษัตริย์ฮัมมูราบี	Hammurabi
ราชวงศ์ฮั่น	Han Dynasty
มือ	Hand
ระเบิดมือ	Hand grenade
ปืนสั้น	Handgun
การแขวนคอ	Hanging
สวนลอยบาบิโลน	Hanging Gardens of Babylon
ฮันนิบาล บาร์กา	Hannibal
ฮานอย	Hanoi
ฮันโนเวอร์	Hanover
ฮันส์ คริสเตียน แอนเดอร์เซน	Hans Christian Andersen
หนุมาน	Hanuman
ฮาร์ป	Harp
ฮาร์ปซิคอร์ด	Harpsichord
ฮาร์ปี้	Harpy
แฮเรียต บีเชอร์ สโตว์	Harriet Beecher Stowe
ฮาสเซียม	Hassium
แคว้นโอต-นอร์มองดี	Haute-Normandie
มลรัฐฮาวาย	Hawaii
หมวดหมู่:มลรัฐฮาวาย	Hawaii
ประมุขแห่งรัฐ	Head of state
สุขภาพ	Health
หมวดหมู่:สุขภาพ	Health
หัวใจ	Heart
ความร้อน	Heat
เครื่องจักรความร้อน	Heat engine
สวรรค์	Heaven
เฮฟวีเมทัล	Heavy metal music
มณฑลเหอเป่ย์	Hebei
อักษรฮีบรู	Hebrew alphabet
ปฏิทินฮีบรู	Hebrew calendar
เฮกตาร์	Hectare
เฮกเตอร์ (ทรอย)	Hector
เอกเตอร์ แบร์ลิออส	Hector Berlioz
เม่น	Hedgehog
เฮล	Hel (being)
เฮเลน (ทรอย)	Helen
เฮเลน เคลเลอร์	Helen Keller
เฮลิคอปเตอร์	Helicopter
ฮีเลียม	Helium
นรก	Hell
เฮลซิงกิ	Helsinki
โลหิตวิทยา	Hematology
หมวดหมู่:โลหิตวิทยา	Hematology
ฮีโมโกลบิน	Hemoglobin
อองรี เบ็กเกอเรล	Henri Becquerel
อองรี มาตีส	Henri Matisse
เฮนรี คาเวนดิช	Henry Cavendish
เฮนรี เดวิด ทอโร	Henry David Thoreau
