Vietnamese	English
Màu sắc	Color
Colorado	Colorado
Đấu trường La Mã	Colosseum
Tượng thần Mặt Trời ở Rhodes	Colossus of Rhodes
Họ Rắn nước	Colubrid
Thiên Cáp	Columba (constellation)
Columbia	Columbia
Sông Columbia	Columbia River
Đại học Columbia	Columbia University
Chim bồ câu	Columbidae
Columbus, Ohio	Columbus
Columbus	Columbus
Hậu Phát	Coma Berenices
Sao chổi	Comet
Cộng đồng các Quốc gia Độc lập	Commonwealth of Independent States
Khối Thịnh vượng chung Anh	Commonwealth of Nations
Thể loại:Truyền thông	Communication
Chủ nghĩa cộng sản	Communism
Thể loại:Cộng sản	Communism
Comoros	Comoros
Đĩa CD	Compact Disc
La bàn	Compass
Trình biên dịch	Compiler
Trường số phức	Complex number
Nhà soạn nhạc	Composer
Vật liệu composite	Composite material
Hợp số	Composite number
Máy tính	Computer
Kiến trúc máy tính	Computer architecture
Màn hình máy tính	Computer display
Tập tin	Computer file
Thể loại:Đồ họa máy tính	Computer graphics
Phần cứng	Computer hardware
Thể loại:Phần cứng	Computer hardware
Mạng máy tính	Computer network
Lập trình	Computer programming
Thể loại:Lập trình	Computer programming
Khoa học máy tính	Computer science
Thể loại:Khoa học máy tính	Computer science
Phần mềm	Computer software
Virus (máy tính)	Computer virus
CAD	Computer-aided design
Category:Khoa học máy tính	Computing
Nồng độ	Concentration
Concerto	Concerto
Concord, New Hampshire	Concord
Bê tông	Concrete
Bao cao su	Condom
Mặt nón	Cone (geometry)
Liên minh miền Nam	Confederate States of America
Nho giáo	Confucianism
Khổng Tử	Confucius
Congo	Congo
Sông Congo	Congo River
Đường cô-nic	Conic section
Connecticut	Connecticut
Mô liên kết	Connective tissue
Bảo toàn năng lượng	Conservation of energy
Constantine I	Constantine I
Constantinople	Constantinople
Chòm sao	Constellation
Hiến pháp	Constitution (political)
Kính áp tròng	Contact lens
Lục địa	Continent
Trôi dạt lục địa	Continental drift
Thềm lục địa	Continental shelf
Giờ phối hợp quốc tế	Coordinated Universal Time
Copenhagen	Copenhagen
Đồng (nguyên tố)	Copper
Quyền tác giả	Copyright
Bộ Sả	Coraciiformes
San hô	Coral
Rạn san hô	Coral reef
Hiệu ứng Coriolis	Coriolis effect
Đại học Cornell	Cornell University
Bắc Miện	Corona Borealis
Corse	Corsica
Họ Quạ	Corvidae
Ô Nha	Corvus (constellation)
Bức xạ phông vi sóng vũ trụ	Cosmic microwave background radiation
Bức xạ vũ trụ	Cosmic ray
Costa Rica	Costa Rica
Cotonou	Cotonou
Báo sư tử	Cougar
Coulomb (đơn vị)	Coulomb
Lực tĩnh điện	Coulomb's law
Nhạc đồng quê	Country music
Tòa án	Court
Liên kết cộng hóa trị	Covalent bond
Coventry	Coventry
Chó sói đồng cỏ Bắc Mỹ	Coyote
Cận bộ Cua	Crab
Cự Tước	Crater (constellation)
Kỷ Creta	Cretaceous
Crete	Crete
Cricket	Cricket
Dế mèn	Cricket (insect)
Tội phạm	Crime
Chiến tranh Crimea	Crimean War
Thể loại:Tội phạm học	Criminology
Croatia	Croatia
Họ Cá sấu đích thực	Crocodile
Bộ Cá sấu	Crocodilia
Cronus	Cronus
Nhân vectơ	Cross product
Nỏ	Crossbow
Tuần dương hạm	Cruiser
Lớp vỏ (địa chất)	Crust (geology)
Động vật giáp xác	Crustacean
Nam Thập Tự	Crux
Mật mã học	Cryptography
Thể loại:Mật mã học	Cryptography
Tinh thể	Crystal
Sứa lược	Ctenophore
Cuba	Cuba
Thể loại:Cuba	Cuba
Khối lập phương	Cube
Mét khối	Cubic metre
Lập thể	Cubism
Bộ Cu cu	Cuculiformes
Dưa chuột	Cucumber
Họ Bầu bí	Cucurbitaceae
Cách mạng văn hóa	Cultural Revolution
Văn hóa	Culture
Thể loại:Văn hóa	Culture
Mây tích	Cumulus cloud
Họ Hoàng đàn	Cupressaceae
Curitiba	Curitiba
Thể loại:Tiền tệ	Currency
Tiền tệ	Currency
Cà ri	Curry
Xanh lơ	Cyan
Vi khuẩn lam	Cyanobacteria
Điều khiển học	Cybernetics
Thiên Nga (chòm sao)	Cygnus (constellation)
Hình trụ tròn	Cylinder (geometry)
Họ Cói	Cyperaceae
Họ Cá chép	Cyprinid
Bộ Cá chép	Cypriniformes
Cộng hòa Síp	Cyprus
Cyrus Đại đế	Cyrus the Great
Tế bào chất	Cytoplasm
Cytosine	Cytosine
Cộng hòa Séc	Czech Republic
Thể loại:Cộng hòa Séc	Czech Republic
Tiệp Khắc	Czechoslovakia
Thể loại:Tiệp Khắc	Czechoslovakia
D	D
ADN	DNA
Đĩa DVD	DVD
Thược dược	Dahlia
Dakar	Dakar
Đạt-lại Lạt-ma	Dalai Lama
Dallas, Texas	Dallas
Damascus	Damascus
Thể loại:Khiêu vũ	Dance
Bồ công anh	Dandelion
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Sông Donau	Danube
Dar es Salaam	Dar es Salaam
Darfur (địa lý)	Darfur
Darjiling	Darjeeling
Vật chất tối	Dark matter
Darwin (Úc)	Darwin
Darwin (định hướng)	Darwin
Tư Bản (Karl Marx)	Das Kapital
Dữ liệu	Data
Khai phá dữ liệu	Data mining
Cấu trúc dữ liệu	Data structure
Cơ sở dữ liệu	Database
Hệ quản trị cơ sở dữ liệu	Database management system
Chi Chà là	Date Palm
David	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
De facto	De facto
Biển Chết	Dead Sea
Chết	Death
Thể loại:Chết	Death
Tháng mười hai	December
31 tháng 12	December 31
8 tháng 12	December 8
Decibel	Decibel
Hệ thập phân	Decimal
Decius (hoàng đế)	Decius (emperor)
Xích vĩ	Declination
Deco	Deco
Suy diễn logic	Deductive reasoning
Định nghĩa	Definition
Giảm phát	Deflation
Độ (định hướng)	Degree
Độ (góc)	Degree (angle)
Deimos (vệ tinh)	Deimos (moon)
Delaware	Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delphi	Delphi
Hải Đồn	Delphinus
Đại hồng thủy	Deluge (mythology)
Chứng mất trí	Dementia
Demeter	Demeter
Dân chủ	Democracy
Đảng Dân chủ Hoa Kỳ	Democratic Party (United States)
Cộng hòa Dân chủ Congo	Democratic Republic of the Congo
Thể loại:Cộng hòa Dân chủ Congo	Democratic Republic of the Congo
Democritus	Democritus
Quỷ	Demon
Đặng Tiểu Bình	Deng Xiaoping
Sốt xuất huyết Dengue	Dengue fever
Đan Mạch	Denmark
Thể loại:Đan Mạch	Denmark
Mật độ	Density
Thể loại:Nha khoa	Dentistry
Nha khoa	Dentistry
Denver, Colorado	Denver
Đạo hàm và vi phân của hàm số	Derivative
Des Moines, Iowa	Des Moines
Sa mạc	Desert
Thể loại:Sa mạc	Deserts
Thể loại:Thiết kế	Design
Tàu khu trục	Destroyer
Định thức	Determinant
Detroit, Michigan	Detroit
Chương trình điều khiển	Device driver
Kỷ Devon	Devonian
Sương	Dew
Điểm sương	Dew point
Dhaka	Dhaka
Pháp (Phật giáo)	Dharma
Đái tháo đường	Diabetes mellitus
Phương ngữ	Dialect
Biện chứng	Dialectic
Đường kính	Diameter
Kim cương	Diamond
Diana, công nương xứ Wales	Diana
Xúc xắc	Dice
Thực vật hai lá mầm	Dicotyledon
Độc tài	Dictatorship
Từ điển	Dictionary
Dầu diesel	Diesel
Động cơ Diesel	Diesel engine
Nhiễu xạ	Diffraction
Thể loại:Hệ tiêu hoá	Digestive system
Kỹ thuật số	Digital
Máy ảnh số	Digital camera
DSL	Digital subscriber line
Dijon	Dijon
Khủng long	Dinosaur
Giáo phận	Diocese
Điốt bán dẫn	Diode
Bệnh bạch hầu	Diphtheria
Diplodocus	Diplodocus
Ngoại giao	Diplomacy
Dire Straits	Dire Straits
Điện một chiều	Direct current
Thể loại:Trang định hướng	Disambiguation
Khoảng cách	Distance
Chưng cất	Distillation
Toán tử div	Divergence
Sư đoàn	Division (military)
Djibouti (thành phố)	Djibouti (city)
Dmitri Ivanovich Mendeleev	Dmitri Mendeleev
Sông Dnepr	Dnieper River
Dnipropetrovsk	Dnipropetrovsk
Dobermann	Doberman Pinscher
Tiến sĩ Hội thánh	Doctor of the Church
Văn kiện	Document
Dodoma	Dodoma
Chó	Dog
Doha	Doha
Đô la	Dollar
Vực (sinh học)	Domain (biology)
Tên miền	Domain name
Kiến trúc vòm	Dome
Dominica	Dominica
Cộng hòa Dominicana	Dominican Republic
Đôn Kihôtê	Don Quixote
Sông Đông	Don River (Russia)
Vịt Donald	Donald Duck
Donetsk	Donetsk
Hiệu ứng Doppler	Doppler effect
Kiếm Ngư	Dorado
Thức cột Doric	Doric order
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Đại hồ cầm	Double bass
Douglas MacArthur	Douglas MacArthur
Hội chứng Down	Down syndrome
Thiên Long	Draco (constellation)
Rồng	Dragon
Lưu vực	Drainage basin
Dresden	Dresden
Lạc đà một bướu	Dromedary
Trống	Drum
Thuyết nhị nguyên	Dualism
Dubai	Dubai
Dublin	Dublin
Bò biển	Dugong
Đại học Duke	Duke University
Dunkerque	Dunkirk
Dushanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Thể loại:Người Hà Lan	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Động lực học	Dynamics (physics)
Dynamit	Dynamite
Chứng khó đọc	Dyslexia
E	E
Số e	E (mathematical constant)
Thư điện tử	E-mail
ETA	ETA
Tai	Ear
Họ Hải cẩu thật sự	Earless seal
Trái Đất	Earth
Thể loại:Trái Đất	Earth
Khoa học Trái Đất	Earth science
Động đất	Earthquake
Hướng Đông	East
Đông Hải (biển Trung Quốc)	East China Sea
Cộng hòa Dân chủ Đức	East Germany
Đông Timor	East Timor
Lễ Phục Sinh	Easter
Chính Thống giáo Đông phương	Eastern Orthodox Church
Nhật thực	Eclipse
Eclipse (môi trường phát triển tích hợp)	Eclipse (software)
Mặt phẳng hoàng đạo	Ecliptic
Sinh thái học	Ecology
Thể loại:Sinh thái học	Ecology
Kinh tế lượng	Econometrics
Kinh tế học	Economics
Thể loại:Kinh tế học	Economics
Kinh tế	Economy
Hệ sinh thái	Ecosystem
Ecuador	Ecuador
Thể loại:Ecuador	Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgh
Edmund Halley	Edmond Halley
Edmonton, Alberta	Edmonton
Edmund Hillary	Edmund Hillary
Edo	Edo
Giáo dục	Education
Thể loại:Giáo dục	Education
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Hubble
Bộ Cá chình	Eel
Trứng gà	Egg (biology)
Cà tím	Eggplant
Ai Cập	Egypt
Thể loại:Ai Cập	Egypt
Tháp Eiffel	Eiffel Tower
Xuất tinh	Ejaculation
El Salvador	El Salvador
Thể loại:El Salvador	El Salvador
Elam	Elam
Eleanor Roosevelt	Eleanor Roosevelt
Bầu cử	Election
Điện tích	Electric charge
Dòng điện	Electric current
Điện trường	Electric field
Động cơ điện	Electric motor
Thể loại:Kỹ thuật điện	Electrical engineering
Điện trở	Electrical resistance
Điện	Electricity
Thể loại:Điện học	Electricity
Điện tâm đồ	Electrocardiogram
Điện hóa	Electrochemistry
Thể loại:Điện hóa	Electrochemistry
Điện phân	Electrolysis
Bức xạ điện từ	Electromagnetic radiation
Thể loại:Điện từ học	Electromagnetism
Điện tử	Electron
Kính hiển vi điện tử	Electron microscope
Độ âm điện	Electronegativity
Điện tử học	Electronics
Thể loại:Điện tử học	Electronics
Nguyên tố	Element
Hạt sơ cấp	Elementary particle
Voi	Elephant
Elias Canetti	Elias Canetti
Elíp	Ellipse
Elvis Presley	Elvis Presley
Ngọc lục bảo	Emerald
Emily Dickinson	Emily Dickinson
Hoàng đế	Emperor
Đế quốc	Empire
Tòa nhà Empire State	Empire State Building
Chủ nghĩa kinh nghiệm	Empiricism
Nhũ tương	Emulsion
Bách khoa toàn thư	Encyclopedia
Đặc hữu	Endemism
Thể loại:Nội tiết học	Endocrinology
Năng lượng	Energy
Năng lượng	Energy (society)
Kỹ sư	Engineer
Anh	England
Biển Manche	English Channel
Cách mạng Anh	English Civil War
Tiếng Anh	English language
Thể loại:Tiếng Anh	English language
Enrico Fermi	Enrico Fermi
Thể loại:Giải trí	Entertainment
Enthalpy	Enthalpy
Côn trùng học	Entomology
Entropy	Entropy
Môi trường	Environment
Enzym	Enzyme
Thế Eocen	Eocene
Liên đại địa chất	Eon (geology)
Sử thi	Epic poetry
Chấn tâm	Epicenter
Epicurus	Epicurus
Dịch tễ học	Epidemiology
Adrenaline	Epinephrine
Thư gởi các tín hữu tại Rôma	Epistle to the Romans
Biểu mô	Epithelium
Phương trình	Equation
Xích đạo	Equator
Guinea Xích Đạo	Equatorial Guinea
Họ Ngựa	Equidae
Eratosthenes	Eratosthenes
Liệt dương	Erectile dysfunction
Cương cứng	Erection
Họ Thạch nam	Ericaceae
Bộ Thạch nam	Ericales
Ba Giang	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (hành tinh lùn)	Eris (dwarf planet)
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Verner Von Siemens	Ernst Werner von Siemens
Eros (thần thoại)	Eros (mythology)
Erwin Rommel	Erwin Rommel
Tốc độ vũ trụ cấp 2	Escape velocity
E. coli	Escherichia coli
Quốc tế ngữ	Esperanto
Espoo	Espoo
Cà phê espresso	Espresso
Tinh dầu	Essential oil
Este	Ester
Thể loại:Estonia	Estonia
Estrogen	Estrogen
Êtan	Ethane
Êtanol	Ethanol
Ete	Ether
Ethernet	Ethernet
Luân lý học	Ethics
Thể loại:Luân lý học	Ethics
Ethiopia	Ethiopia
Thể loại:Ethiopia	Ethiopia
Tập tính học	Ethology
Êtilen	Ethylene
Tiệc Thánh	Eucharist
Euclid	Euclid
Hình học Euclide	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Sinh vật nhân chuẩn	Eukaryote
Hoạn quan	Eunuch
Khinh từ	Euphemism
Euphrates	Euphrates
Lục địa Á-Âu	Eurasia
Euro	Euro
Châu Âu	Europe
Thể loại:Châu Âu	Europe
Ngân hàng Trung ương Châu Âu	European Central Bank
Ác là	European Magpie
Liên minh châu Âu	European Union
Thể loại:Liên Minh Châu Âu	European Union
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Bộ Guốc chẵn	Even-toed ungulate
Tiến hóa	Evolution
Excalibur	Excalibur
Tỷ giá hối đoái	Exchange rate
Quyền hành pháp	Executive (government)
Sách Xuất hành	Exodus
Giá trị kỳ vọng	Expected value
Nổ	Explosion
Triển lãm thế giới	Expo (exhibition)
Lũy thừa	Exponentiation
Chủ nghĩa biểu hiện	Expressionism
Tuyệt chủng	Extinction
Mắt	Eye
Thể loại:Mắt	Eye
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Họ Đậu	Fabaceae
Ngụ ngôn	Fable
Tiêu bản:Cần chú thích	Fact
Giai thừa	Factorial
Vết đen Mặt Trời	Facula
Bộ Dẻ gai	Fagales
Độ Fahrenheit	Fahrenheit
Sử dụng hợp lý	Fair use
Chi Cắt	Falcon
Quần đảo Falkland	Falkland Islands
Pháp Luân Công	Falun Gong
Thể loại:Gia đình	Family
Họ (sinh học)	Family (biology)
Gia phả	Family history
Họ	Family name
Viễn Đông	Far East
Farad	Farad
Chủ nghĩa phát xít	Fascism
Thể loại:Chủ nghĩa phát xít	Fascism
Thể loại:Thời trang	Fashion
Thời trang	Fashion
Trường phái dã thú	Fauvism
Tháng hai	February
12 tháng 2	February 12
14 tháng 2	February 14
2 tháng 2	February 2
22 tháng 2	February 22
29 tháng 2	February 29
Cách mạng Tháng Hai	February Revolution
Phân	Feces
Cục Điều tra Liên bang	Federal Bureau of Investigation
Cục Dự trữ Liên bang Hoa Kỳ	Federal Reserve System
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Họ Mèo	Felidae
Felix Mendelssohn	Felix Mendelssohn
Phong thủy	Feng shui
Cỏ ca ri	Fenugreek
Ferdinand Magellan	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermion	Fermion
Phà	Ferry
Trăng lưỡi liềm mầu mỡ	Fertile Crescent
Phân bón	Fertilizer
Phong kiến	Feudalism
Dãy Fibonacci	Fibonacci number
Fidel Castro	Fidel Castro
Trường (toán học)	Field (mathematics)
Máy bay tiêm kích	Fighter aircraft
Fiji	Fiji
FAT	File Allocation Table
FTP	File Transfer Protocol
Thể loại:Phim	Film
Điện ảnh	Film
Chủ đề:Điện ảnh	Film
Thể loại:Tài chính	Finance
Phần Lan	Finland
Thể loại:Phần Lan	Finland
Chi Linh sam	Fir
Lửa	Fire
Tường lửa (mạng máy tính)	Firewall (networking)
Thập tự chinh thứ nhất	First Crusade
Thư thứ nhất gởi các tín hữu tại Côrintô	First Epistle to the Corinthians
Cá	Fish
Thể loại:Cá	Fish
Hồng hạc	Flamingo
Bộ nhớ flash	Flash memory
Trung tiện	Flatulence
Giun dẹp	Flatworm
Bọ chét	Flea
Đá lửa (lịch sử)	Flint
Ổ đĩa mềm	Floppy disk
Firenze	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Hoa	Flower
Thực vật có hoa	Flowering plant
Cơ học chất lưu	Fluid mechanics
Sáo ngang	Flute
Sương mù	Fog
Axít folic	Folic acid
Phụ gia thực phẩm	Food additive
Chuỗi thức ăn	Food chain
Bóng đá	Football (soccer)
Thể loại:Bóng đá	Football (soccer)
Thể loại:Bóng đá theo quốc gia	Football (soccer) by country
Thể loại:Câu lạc bộ bóng đá	Football (soccer) clubs
Thể loại:Cầu thủ bóng đá	Football (soccer) players
Cố Cung	Forbidden City
Lực	Force
Rừng	Forest
Lâm nghiệp	Forestry
Dĩa	Fork
Hình thức chính thể	Form of government
Fomanđêhít	Formaldehyde
Axít formic	Formic acid
Thiên Lô	Fornax
Forth Worth, Texas	Fort Worth
Fortran	Fortran
Con lắc Foucault	Foucault pendulum
Chuỗi Fourier	Fourier series
Phân dạng	Fractal
Pháp	France
Thể loại:Pháp	France
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis thành Assisi	Francis of Assisi
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Franxi	Francium
Chiến tranh Pháp-Phổ	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frankfurt am Main	Frankfurt
Thể loại:Frankfurt am Main	Frankfurt
Frankfurt (Oder)	Frankfurt (Oder)
Frankfurt (định hướng)	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Tự do ngôn luận	Freedom of speech
Phần mềm miễn phí	Freeware
Polynésie thuộc Pháp	French Polynesia
Cách mạng Pháp	French Revolution
Thể loại:Cách mạng Pháp	French Revolution
Thể loại:Người Pháp	French people
Tần số	Frequency
Nước ngọt	Freshwater
Fresno, California	Fresno
Freyja	Freyja
Freyr	Freyr
Ma sát	Friction
Thứ Sáu	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frigg	Frigg
Ếch	Frog
Thể loại:Trái cây	Fruit
Nhiên liệu	Fuel
Tế bào nhiên liệu	Fuel cell
Tẩu pháp	Fugue
Fukuoka (thành phố)	Fukuoka
Hàm số	Function (mathematics)
Thể loại:Căn bản	Fundamental
Lực cơ bản	Fundamental interaction
Thể loại:Nấm	Fungi
Nấm	Fungus
Chủ nghĩa vị lai	Futurism (art)
Lôgic mờ	Fuzzy logic
Fyodor Mikhailovich Dostoevsky	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
Gabon	Gabon
Gaborone	Gaborone
Gabriel Lippmann	Gabriel Lippmann
Gaia (thần thoại)	Gaia (mythology)
Thiên hà	Galaxy
Galilea	Galilee
Galileo Galilei	Galileo Galilei
Bộ Gà	Galliformes
Gali	Gallium
Gallon	Gallon
Gamal Abdel Nasser	Gamal Abdel Nasser
Đánh bạc	Gambling
Lý thuyết trò chơi	Game theory
Tia gamma	Gamma ray
Sông Hằng	Ganges
Cam Túc	Gansu
Gap, Hautes-Alpes	Gap
Vườn cảnh	Garden
Garfield	Garfield
Tỏi	Garlic
Chất khí	Gas
Hằng số khí	Gas constant
Xăng	Gasoline
Hệ tiêu hóa	Gastrointestinal tract
Gaule	Gaul
Thích-ca Mâu-ni	Gautama Buddha
Dải Gaza	Gaza Strip
Geisha	Geisha
Song Tử (chòm sao)	Gemini (constellation)
Ngọc	Gemstone
Gene	Gene
Gia phả học	Genealogy
Hiệp ước chung về thuế quan và mậu dịch	General Agreement on Tariffs and Trade
Đại tướng	General Officer
Lý thuyết tương đối rộng	General relativity
Sách Sáng thế	Genesis
Mã di truyền	Genetic code
Kỹ thuật di truyền	Genetic engineering
Di truyền học	Genetics
Thể loại:Di truyền học	Genetics
Genève	Geneva
Genova	Genoa
Bộ gene	Genome
Chi (sinh học)	Genus
Địa hóa học	Geochemistry
Địa lý học	Geography
Thể loại:Địa lý học	Geography
Wikipedia:Trang chính Địa lý	Geography
Thể loại:Địa chất học	Geology
Địa chất học	Geology
Cấp số nhân	Geometric progression
Hình học	Geometry
Thể loại:Hình học	Geometry
Thể loại:Địa mạo học	Geomorphology
Địa vật lý	Geophysics
Thể loại:Địa vật lý	Geophysics
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	George Frideric Handel
George Gershwin	George Gershwin
George Marshall	George Marshall
George Orwell	George Orwell
George W. Bush	George W. Bush
George Washington	George Washington
Georges Braque	Georges Braque
Georgia	Georgia (U.S. state)
Gruzia	Georgia (country)
Gerald Ford	Gerald Ford
Tiếng Đức	German language
Gecmani	Germanium
Đức	Germany
Thể loại:Đức	Germany
Gestapo	Gestapo
Ghana	Ghana
Thể loại:Ghana	Ghana
Ma	Ghost
Giacomo Puccini	Giacomo Puccini
Gấu trúc lớn	Giant Panda
Gibraltar	Gibraltar
Bạch quả	Ginkgo
Giordano Bruno	Giordano Bruno
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Hươu cao cổ	Giraffe
Họ Hươu cao cổ	Giraffidae
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Sông băng	Glacier
Glasgow	Glasgow
Thủy tinh	Glass
Hệ thống định vị toàn cầu	Global Positioning System
Sự nóng lên của khí hậu toàn cầu	Global warming
Toàn cầu hóa	Globalization
Atisô	Globe artichoke
Glyxêrin	Glycerol
Động vật có quai hàm	Gnathostomata
Cờ vây	Go (board game)
Goa	Goa
Sa mạc Gobi	Gobi Desert
Thiên Chúa	God
Vàng	Gold
Cầu Cổng Vàng	Golden Gate Bridge
Kim Trướng hãn quốc	Golden Horde
Golf	Golf
Bộ máy Golgi	Golgi apparatus
Gomel	Gomel
Thứ sáu Tuần Thánh	Good Friday
Google	Google
Thể loại:Google	Google
Phúc âm Luca	Gospel of Luke
Gothic	Gothic
Kiến trúc Gothic	Gothic architecture
Chính phủ	Government
Grace Kelly	Grace Kelly
Gradient	Gradient
Graffiti	Graffiti
Graham Greene	Graham Greene
Gam	Gram
Ngữ pháp	Grammar
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam quần vợt	Grand Slam (tennis)
Granat	Granite
Nho	Grape
Bưởi chùm	Grapefruit
Thể loại:Đồ họa	Graphic design
Đồ họa	Graphic design
GUI	Graphical user interface
Than chì	Graphite
Lực hấp dẫn	Gravitation
Hằng số hấp dẫn	Gravitational constant
Chó sói xám	Gray Wolf
Graz	Graz
Rạn san hô Great Barrier	Great Barrier Reef
Đảo Anh	Great Britain
Đại khủng hoảng	Great Depression
Ngũ Đại Hồ	Great Lakes
Thung lũng lớn do vết nứt Trái Đất	Great Rift Valley
Vạn Lý Trường Thành	Great Wall of China
Cá mập trắng lớn	Great white shark
Ước số chung lớn nhất	Greatest common divisor
Hy Lạp	Greece
Thần thoại Hy Lạp	Greek mythology
Thể loại:Thần thoại Hy Lạp	Greek mythology
Xanh lá cây	Green
Hiệu ứng nhà kính	Greenhouse effect
Khí nhà kính	Greenhouse gas
Greenland	Greenland
Biển Greenland	Greenland Sea
Hòa bình xanh	Greenpeace
Gregor Mendel	Gregor Mendel
Lịch Gregory	Gregorian calendar
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Xám	Grey
Tổng sản phẩm nội địa	Gross domestic product
Nhóm tuần hoàn	Group (periodic table)
Lý thuyết nhóm	Group theory
Grover Cleveland	Grover Cleveland
Bộ Sếu	Gruiformes
Thiên Hạc	Grus (constellation)
Guadeloupe	Guadeloupe
Guam	Guam
Quảng Đông	Guangdong
Quảng Châu	Guangzhou
Guanine	Guanine
Thành phố Guatemala	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guillaume Apollinaire	Guillaume Apollinaire
Guiné-Bissau	Guinea-Bissau
Ghi-ta	Guitar
Gujarat	Gujarat
Hải lưu Gulf Stream	Gulf Stream
Chiến tranh vùng Vịnh	Gulf War
Vịnh Bothnia	Gulf of Bothnia
Vịnh Phần Lan	Gulf of Finland
Vịnh Mexico	Gulf of Mexico
Vịnh Thái Lan	Gulf of Thailand
Âm mưu thuốc súng	Gunpowder Plot
Cá bảy màu	Guppy
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Thực vật hạt trần	Gymnosperm
Thạch cao	Gypsum
H	H
H. G. Wells	H. G. Wells
HTML	HTML
Hệ sinh thái tự nhiên	Habitat
Hacker	Hacker
Liên đại Hỏa Thành	Hadean
Hades (thần thoại)	Hades
Hadron	Hadron
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Mưa đá	Hail
Lông	Hair
Haiti	Haiti
Thể loại:Haiti	Haiti
Halal	Halal
Chu kỳ bán rã	Half-life
Halle (Saale)	Halle
Halloween	Halloween
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Thể loại:Hamburg	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Hammurabi	Hammurabi
Nhà Hán	Han Dynasty
Lựu đạn	Hand grenade
Súng ngắn	Handgun
Vườn treo Babylon	Hanging Gardens of Babylon
Hannibal	Hannibal
Hà Nội	Hanoi
Hannover	Hanover
Hans Christian Andersen	Hans Christian Andersen
Hanse	Hanseatic League
Hanukkah	Hanukkah
Hạnh phúc	Happiness
Harare	Harare
Harold Pinter	Harold Pinter
Harriet Beecher Stowe	Harriet Beecher Stowe
Haute-Normandie	Haute-Normandie
La Habana	Havana
Hawaii	Hawaii
Thể loại:Hawaii	Hawaii
Nguyên thủ quốc gia	Head of state
Thể loại:Sức khỏe	Health
Tim	Heart
Hà Bắc (Trung Quốc)	Hebei
Hecta	Hectare
Hector (thần thoại)	Hector
Hector Berlioz	Hector Berlioz
Heimdall	Heimdall
Heinrich Himmler	Heinrich Himmler
Hel (thần thoại)	Hel (being)
Helen Keller	Helen Keller
Máy bay trực thăng	Helicopter
Helios (thần thoại)	Helios
Heli	Helium
địa ngục	Hell
Helsinki	Helsinki
Thể loại:Huyết học	Hematology
Hemoglobin	Hemoglobin
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
