English	Tamil
Georg Wilhelm Friedrich Hegel	ஹெகல்
George Boole	ஜார்ஜ் பூல்
George Bush	ஜார்ஜ் புஷ்
George Lucas	ஜோர்ச் லூகாஸ்
George W. Bush	ஜார்ஜ் வாக்கர் புஷ்
George Washington	ஜார்ஜ் வாஷிங்டன்
Georges Braque	ஜோர்ஜெஸ் பிராக்
Georgetown	ஜோர்ஜ்டவுண், கயானா
Georgia (U.S. state)	ஜோர்ஜியா (மாநிலம்)
Georgia (country)	ஜோர்ஜியா (நாடு)
Georgia (country)	பகுப்பு:ஜோர்ஜியா
German language	ஜெர்மன் மொழி
Germanium	ஜேர்மானியம்
Germany	ஜெர்மனி
Germany	பகுப்பு:ஜெர்மனி
Ghana	கானா
Giant Panda	பாண்டா
Gibbon	கிப்பன்
Gibraltar	கிப்ரல்டார்
Ginger	இஞ்சி
Giraffe	ஒட்டகச் சிவிங்கி
Giuseppe Garibaldi	கரிபால்டி
Gland	சுரப்பி
Glass	கண்ணாடி
Global Positioning System	பூமியில் இடத்தைக் காட்டும் கருவி
Global warming	புவி வெப்பநிலை அதிகரிப்பு
Globalization	உலகமயமாதல்
Glucagon	குளூக்கொகான்
Goa	கோவா (மாநிலம்)
Goat	ஆடு
Gobi Desert	கோபி பாலைவனம்
Gold	தங்கம்
Golden Eagle	பொன்னாங் கழுகு
Golden Gate Bridge	கோல்டன் கேற் பாலம்
Golf	குழிப்பந்தாட்டம்
Good Friday	புனித வெள்ளி
Google	கூகிள்
Gorilla	கொரில்லா
Gospel of Luke	லூக்கா நற்செய்தி
Gothic architecture	கோதிக் கட்டிடக்கலை
Government	அரசு
Granite	கருங்கல் (பாறை)
Gray Wolf	ஓநாய்
Great Lakes	அமெரிக்கப் பேரேரிகள்
Great Wall of China	சீனப் பெருஞ் சுவர்
Greece	கிரேக்க நாடு
Green	பச்சை
Greenhouse effect	பைங்குடில் விளைவு
Greenhouse gas	பைங்குடில் வாயு
Greenland	கிறீன்லாந்து
Gregor Mendel	கிரிகோர் ஜோஹன் மெண்டல்
Gregorian calendar	கிரெகொரியின் நாட்காட்டி
Griffin	கிறிப்பன்
Gross domestic product	மொத்த உள்நாட்டு உற்பத்தி
Group (mathematics)	குலம் (கணிதம்)
Grover Cleveland	குரோவர் கிளீவ்லாண்ட்
Guadeloupe	கௌதலூபே
Guam	குவாம்
Guernsey	குயெர்ன்சி
Guglielmo Marconi	மார்க்கோனி
Guillaume Apollinaire	கியோம் அப்போலினேர்
Guinea	கினி
Guinea-Bissau	கினி-பிசாவு
Guitar	கிற்றார்
Gujarat	குஜராத்
Gulf of Mexico	மெக்சிகோ வளைகுடா
Gulf of Oman	ஓமான் குடா
Gymnastics	சீருடற்பயிற்சிகள்
Gymnosperm	வித்துமூடியிலி
Habitat	வாழிடம் (வாழ்சூழலியல்)
Hadith	ஹதீஸ்
Haemophilia	இரத்தம் உறையாமை
Hagia Sophia	ஹேகியா சோபியா
Haiku	ஹைக்கூ
Haiti	ஹையிட்டி
Half-life	அரைவாழ்வுக் காலம்
Halloween	ஹாலோவீன்
Hammer	சுத்தியல்
Han Dynasty	ஹான் அரசமரபு
Hanging Gardens of Babylon	பபிலோனின் தொங்கு தோட்டம்
Hanoi	ஹனோய்
Hanuman	அனுமன்
Harare	ஹராரே
Harold Pinter	ஹெரால்ட் பிண்டர்
Harp	யாழ்
Harriet Tubman	ஹாரியெட் டப்மன்
Harrisburg	ஹாரிஸ்பர்க்
Hartford	ஹார்ட்பர்ட்
Hawaii	ஹவாய்
Heart	இதயம்
Heat engine	வெப்ப எந்திரம்
Hectare	ஹெக்டேர்
Helen Keller	ஹெலன் கெல்லர்
Helena	ஹெலேனா
Helium	ஹீலியம்
Helsinki	ஹெல்சின்கி
Henri Becquerel	ஹென்றி பெக்கெரல்
Henrik Ibsen	ஹென்ரிக் இப்சன்
Hephaestus	ஹெப்பஸ்தஸ்
Hera	ஹீரா
Hermann Hesse	ஹேர்மன் ஹெசே
Hermes	ஹெர்மீஸ்
Hesse	கெஸ்சன்
Hestia	ஹெஸ்டியா
Hexagon	அறுகோணம்
Hezbollah	ஹெஸ்புல்லா
Himalayas	இமயமலை
Hinduism	இந்து சமயம்
Hippie	கிப்பி
Hippocrates	ஹிப்போகிரட்டீஸ்
Hippopotamus	நீர்யானை
Hiroshima	ஹிரோஷிமா
History	வரலாறு
Ho Chi Minh	ஹோ சி மின்
Ho Chi Minh City	ஹோ சி மின் நகரம்
Hobart	ஹோபார்ட்
Hobbit	ஹொபிட்
Hollywood	ஹாலிவுட்
Holy Roman Empire	புனித ரோமப் பேரரசு
Homosexuality	ஓரினச்சேர்க்கை
Honduras	ஹொண்டுராஸ்
Honey	தேன்
Hong Kong	ஹொங்கொங்
Honolulu	ஹொனலுலு
Hormone	வளரூக்கி
Horoscope	சாதகக் குறிப்பு
Horse	குதிரை
Hosni Mubarak	ஹொஸ்னி முபாரக்
Hotel	விடுதி
Hour	மணித்தியாலம்
House	வீடு
Houston	ஹியூஸ்டன்
Hovercraft	காற்றுமெத்தை உந்து
Hummingbird	ஓசனிச்சிட்டு
Hungary	அங்கேரி
Hyderabad	ஐதராபாத்
Hydrocarbon	ஹைடிரோகார்பன்
Hydrogen	ஹைட்ரஜன்
Hyperbola	அதிபரவளைவு
Hypothesis	கருதுகோள்
IPod	ஐப்பாடு
Ian Fleming	இயான் பிளெமிங்
Iberian Peninsula	ஐபீரிய மூவலந்தீவு
Ice cream	குளிர்களி
Iceland	ஐஸ்லாந்து
Idaho	ஐடஹோ
Igloo	இக்லூ
Iguazu Falls	இகுவாசு அருவி
Illinois	இலினொய்
Immanuel Kant	இம்மானுவேல் கண்ட்
Immune system	நோய் எதிர்ப்பாற்றல் முறைமை
Imperialism	பேரரசுவாதம்
Incest	தகாப் பாலுறவு
India	இந்தியா
India	பகுப்பு:இந்தியா
Indian Ocean	இந்தியப் பெருங்கடல்
Indiana	இந்தியானா
Indianapolis	இண்டியானபொலிஸ்
Indira Gandhi	இந்திரா காந்தி
Indium	இண்டியம்
Indonesia	இந்தோனேசியா
Indra	இந்திரன்
Inductance	தூண்டம்
Inductor	மின்தூண்டி
Indus River	சிந்து நதி
Industrial Revolution	தொழிற்புரட்சி
Industry	தொழிற்துறை
Infinity	முடிவிலி
Inflation	பண வீக்கம்
Information technology	தகவல் தொழில்நுட்பம்
Infrared	அகச்சிவப்புக் கதிர்
Insect	பூச்சி
Insecticide	பூச்சிக்கொல்லி
Integer	முழு எண்
Intelligence	நுண்ணறிவு
International Atomic Energy Agency	பன்னாட்டு அணுசக்தி முகமையகம்
International Monetary Fund	அனைத்துலக நாணய நிதியம்
International System of Units	அனைத்துலக முறை அலகுகள்
Internet	இணையம்
Iodine	அயோடின்
Iowa	அயோவா
Iran	ஈரான்
Iran	பகுப்பு:ஈரான்
Iran-Iraq War	ஈரான் – ஈராக் போர்
Iraq	ஈராக்
Iraq	பகுப்பு:ஈராக்
Ireland	அயர்லாந்து
Iridium	இரிடியம்
Iron	இரும்பு
Isaac	ஈசாக்கு
Isaac Newton	ஐசாக் நியூட்டன்
Islam	இஸ்லாம்
Islamabad	இஸ்லாமாபாத்
Island	தீவு
Isle of Man	மாண் தீவு
Isotope	ஓரிடத்தான்
Israel	இசுரேல்
Istanbul	இஸ்தான்புல்
Italy	இத்தாலி
Italy	பகுப்பு:இத்தாலி
Jack the Ripper	கிழிப்பர் ஜேக்
Jackson	ஜாக்சன் (மிசிசிப்பி)
Jackson Pollock	ஜக்சன் பொல்லொக்
Jainism	சமணம்
Jakarta	ஜகார்த்தா
Jamaica	யமேக்கா
James A. Garfield	ஜேம்ஸ் கார்ஃபீல்ட்
James Bond	ஜேம்ஸ் பாண்ட்
James K. Polk	ஜேம்ஸ் போக்
James Madison	ஜேம்ஸ் மாடிசன்
James Monroe	ஜேம்ஸ் மன்ரோ
James Naismith	ஜேம்ஸ் நெய்ஸ்மித்
James Prescott Joule	ஜேம்ஸ் பிரிஸ்காட் ஜூல்
Jammu and Kashmir	ஜம்மு காஷ்மீர்
January	ஜனவரி
January 1	ஜனவரி 1
January 19	ஜனவரி 19
January 20	ஜனவரி 20
January 6	ஜனவரி 6
Japan	ஜப்பான்
Japan	பகுப்பு:ஜப்பான்
Java	ஜாவா (தீவு)
Java (disambiguation)	ஜாவா
Java (programming language)	ஜாவா நிரலாக்க மொழி
Jawaharlal Nehru	ஜவஹர்லால் நேரு
Jefferson City	ஜெபர்சன் நகரம்
Jefferson Davis	ஜெபர்சன் டேவிஸ்
Jehovah	யாவே
Jersey	யேர்சி
Jerusalem	ஜெரூசலம்
Jesus	இயேசு கிறிஸ்து
Jew	யூதர்
Jew's harp	மோர்சிங்
Jihad	ஜிகாத்
Jimmy Carter	ஜிம்மி கார்டர்
Joan of Arc	ஜோன் ஆஃப் ஆர்க்
Johannes Gutenberg	குட்டன்பேர்க்
Johannes Kepler	ஜொஹான்னெஸ் கெப்லர்
Johannesburg	ஜோகார்னஸ்பேக்
John Adams	ஜான் ஆடம்ஸ்
John Galsworthy	ஜோன் கல்ஸ்வோதி
John Keats	ஜோன் கீற்ஸ்
John Lennon	ஜான் லெனன்
John Quincy Adams	ஜான் குவின்சி ஆடம்ஸ்
John Tyler	ஜான் டைலர்
Jordan	ஜோர்தான்
Jordan River	ஜோர்தான் ஆறு
Joseph Haydn	ஜோசப் ஹேடன்
Joseph Priestley	ஜோசப் பிரீஸ்ட்லி
Joseph Pulitzer	ஜோசேப் புலிட்சர்
Joseph Stalin	ஜோசப் ஸ்டாலின்
Judaism	யூதம்
Jujutsu	யயுற்சு
Julian calendar	யூலியின் நாட்காட்டி
Julius Caesar	ஜூலியஸ் சீசர்
July	ஜூலை
July 1	ஜூலை 1
July 4	ஜூலை 4
June	ஜூன்
June 14	ஜூன் 14
June 21	ஜூன் 21
June 23	ஜூன் 23
June 24	ஜூன் 24
June 29	ஜூன் 29
June 3	ஜூன் 3
Juneau	ஜூனோ
Jupiter	வியாழன் (கோள்)
K2	கே-2 கொடுமுடி
Kabul	காபூல்
Kampala	கம்பாலா
Kandahar	கந்தஹார்
Kangaroo	கங்காரு
Kansas	கேன்சஸ்
Kansas City	கேன்சஸ் நகரம் (மிசூரி)
Karachi	கராச்சி
Karl Marx	கார்ல் மார்க்ஸ்
Karma	கர்மா
Karnataka	கர்நாடகம்
Kathmandu	கத்மந்து
Kazakhstan	கசக்ஸ்தான்
Kelvin	கெல்வின்
Kentucky	கென்ரக்கி
Kenya	கென்யா
Kerosene	மண்ணெய்
Khartoum	கார்த்தௌம்
Kidney	சிறுநீரகம்
Kigali	கிகாலி
Kilogram	கிலோகிராம்
Kilometre	கிலோமீட்டர்
Kinematics	அசைவு விபரியல்
Kinetic energy	இயக்க ஆற்றல்
Kinshasa	கின்ஷாசா
Kiribati	கிரிபட்டி
Kite	பட்டம்
Knife	கத்தி
Knowledge	அறிவு
Koala	கோவாலா
Kolkata	கொல்கத்தா
Korea	கொரியா
Kosovo	கொசோவோ
Krishna	கிருஷ்ணர்
Krypton	கிருப்டான்
Kuala Lumpur	கோலாலம்பூர்
Kurdistan Workers Party	குர்துமக்கள் தொழிலாளர் கட்சி
Kuwait	குவைத்
Kyoto	கியோட்டோ
Kyrgyzstan	கிர்கிஸ்தான்
Laboratory	ஆய்வுகூடம்
Lagos	லேகோஸ்
Lake	ஏரி
Lake Baikal	பைக்கால் ஏரி
Lake Malawi	மலாவி ஏரி
Lake Tanganyika	டாங்கனிக்கா ஏரி
Lake Victoria	விக்டோரியா ஏரி
Lakshmi	இலட்சுமி
Lammergeier	எலும்புண்ணிக் கழுகு
Language	மொழி
Lansing	லான்சிங்
Lanthanide	லாந்த்தனைடு
Lanthanum	லாந்த்தனம்
Laos	லாவோஸ்
Laptop	மடிக்கணினி
Larynx	குரல்வளை
Las Vegas	லாஸ் வேகஸ்
Latin	இலத்தீன்
Latin America	இலத்தீன் அமெரிக்கா
Latvia	லாத்வியா
Lava	லாவா
Law	சட்டம்
Le Corbusier	லெ கொபூசியே
Leaf	இலை
Leaning Tower of Pisa	பீசாவின் சாய்ந்த கோபுரம்
Leap year	நெட்டாண்டு
Lebanon	லெபனான்
Lego	லெகோ
Leiden	லைடன்
Length	நீளம்
Leon Trotsky	லியோன் ட்ரொட்ஸ்கி
Leonardo da Vinci	லியொனார்டோ டா வின்சி
Leonhard Euler	லியோனார்டு ஆய்லர்
Lesotho	லெசோத்தோ
Lesser Antilles	சிறிய அண்டிலிசு
Lewis Carroll	லூயிஸ் கரோல்
Lhotse	லகோத்சே மலை
Liberation Tigers of Tamil Eelam	தமிழீழ விடுதலைப் புலிகள்
Liberia	லைபீரியா
Library	நூலகம்
Library science	நூலகவியல்
Libya	லிபியா
Liechtenstein	லீக்டன்ஸ்டைன்
Light	ஒளி
Light-year	ஒளியாண்டு
Lightning	மின்னல்
Lilongwe	லிலொங்வே
Lincoln	லிங்கன் (நெப்ரஸ்கா)
Line (mathematics)	கோடு
Linear algebra	நேரியல் இயற்கணிதம்
Linguistics	மொழியியல்
Linux	க்னூ/லினக்ஸ்
Lion	சிங்கம்
Liquid	நீர்மம்
Lisbon	லிஸ்பன்
Literature	இலக்கியம்
Lithium	லித்தியம்
Lithuania	லித்துவேனியா
Litre	லீட்டர்
Local area network	குறும்பரப்பு வலையமைப்புகள்
Logic gate	தருக்க படலை
London	இலண்டன்
Long jump	நீளம் தாண்டுதல்
Lord's Prayer	கிறிஸ்து கற்பித்த செபம்
Los Angeles	லாஸ் ஏஞ்சலஸ்
Louis Braille	லூயிஸ் பிரெய்லி
Louis Pasteur	லூயி பாஸ்ச்சர்
Louisiana	லூசியானா
Louisville	லூயிவில் (கென்டக்கி)
Luciano Pavarotti	லூசியானோ பாவ்ராட்டி
Ludwig Mies van der Rohe	லுட்விக் மீஸ் வான் டெர் ரோ
Ludwig van Beethoven	லுடுவிக் ஃவான் பேத்தோவன்
Luminescence	ஒளிப் பாயம்
Lung	நுரையீரல்
Lusaka	லுசாக்கா
Luxembourg	லக்சம்பர்க்
Luxor	லக்சோர்
Macau	மக்காவு
Machine	இயந்திரம்
Machu Picchu	மச்சு பிக்ச்சு
Madagascar	மடகாசுகர்
Madagascar	பகுப்பு:மடகாஸ்கர்
Madison	மேடிசன்
Madrid	மத்ரித்
Mafia	மாஃப்பியா
Magic square	மாயச் சதுரம்
Magma	மக்மா
Magnesium	மக்னீசியம்
Magnetic field	காந்தப் புலம்
Maharashtra	மகாராஷ்டிரம்
Mahatma Gandhi	மோகன்தாஸ் கரம்சந்த் காந்தி
Mahayana	மகாயான பௌத்தம்
Main	வார்ப்புரு:Main
Maine	மேய்ன்
Maitreya	மைத்திரேயர்
Maize	சோளம்
Makalu	மக்காலு
Malaria	மலேரியா
Malawi	பகுப்பு:மலாவி
Malaysia	மலேசியா
Malaysia	பகுப்பு:மலேசியா
Malcolm X	மல்கம் எக்ஸ்
Maldives	மாலைதீவுகள்
Mali	மாலி
Malta	மால்ட்டா
Mammal	பாலூட்டி
Management	முகாமைத்துவம்
Managua	மனாகுவா
Manchester	மான்செஸ்டர்
Mandarin (linguistics)	மாண்டரின் மொழி
Manganese	மாங்கனீசு
Mango	மாம்பழம்
Manila	மனிலா
Manipur	மணிப்பூர்
Manitoba	மானிட்டோபா
Mantle (geology)	மூடகம் (நிலவியல்)
Mao Zedong	மா சே துங்
Map	நிலப்படம்
Marathon	மாரத்தான்
March	மார்ச்
March 17	மார்ச் 17
March 19	மார்ச் 19
March 2	மார்ச் 2
March 25	மார்ச் 25
Marco Polo	மார்கோ போலோ
Margaret Thatcher	மார்கரெட் தாட்சர்
Marie Curie	மேரி கியூரி
Marketing	சந்தைப்படுத்தல்
Marshall Islands	மார்சல் தீவுகள்
Martin Luther King	மார்ட்டின் லூதர் கிங்
Martin Van Buren	மார்ட்டின் வான் பியூரன்
Martina Navratilova	மார்டினா நவரதிலோவா
Martinique	மார்டீனிக்
Marxism	மார்க்சியம்
Mary (mother of Jesus)	மரியாள் (இயேசுவின் தாய்)
Mary Magdalene	மர்தலேன் மரியாள்
Maryland	மேரிலாந்து
Mass number	திணிவெண்
Massachusetts	மாசசூசெட்ஸ்
Massachusetts Institute of Technology	மாசசூசெட்ஸ் தொழில்நுட்பப் பல்கலைக்கழகம்
Masturbation	சுய இன்பம்
Match	தீக்குச்சி
Materialism	பொருள்முதல்வாதம்
Mathematics	கணிதம்
Mathematics	பகுப்பு:கணிதம்
Mathematics	Portal:கணிதம்
Matrix (mathematics)	அணி
Matter	பொருள்
Mauritania	மௌரித்தானியா
Mauritius	மொரிசியசு
Max Ernst	மக்ஸ் ஏர்ண்ஸ்ட்
May	மே
May 1	மே 1
May 24	மே 24
Measurement	அளவியல்
Meat	இறைச்சி
Mecca	மக்கா
Mechanical engineering	இயந்திரவியல்
Mechanics	பகுப்பு:இயந்திரவியல்
Mechanics	விசையியல்
Median	இடைநிலையளவு
Medina	மதினா
Mediterranean Sea	நடுநிலக் கடல்
Mel Gibson	மெல் கிப்சன்
Melanesia	மெலனீசியா
Melting	உருகுதல்
Memphis	மெம்ஃபிஸ்
Menstrual cycle	மாதவிடாய்
Mercantilism	வணிகவாதம்
Mercury (element)	பாதரசம்
Mercury (planet)	புதன் (கோள்)
Mesolithic	இடைக் கற்காலம்
Mesopotamia	மெசொப்பொத்தேமியா
Metabolism	வளர்சிதைமாற்றம்
Metal	உலோகம்
Metallurgy	உலோகவியல்
Metamorphic rock	உருமாறிய பாறை
Meteorite	விண்கல்
Methodism	மெதடிஸ்தம்
Metre	மீட்டர்
Mexico	மெக்சிகோ
Mexico	பகுப்பு:மெக்சிகோ
Mexico City	மெக்சிகோ நகரம்
Miami	மயாமி
Michael Faraday	மைக்கேல் பரடே
Michelangelo	மைக்கலாஞ்சலோ புவோனரோட்டி
Michigan	மிச்சிகன்
Microorganism	நுண்ணுயிர்
Microscope	நுண்நோக்கி
Middle East	மத்திய கிழக்கு நாடுகள்
Mikhail Gorbachev	மிக்கைல் கொர்பசோவ்
Milan	மிலன்
Mile	மைல்
Milk	பால்
Millimetre	மில்லிமீட்டர்
Milton Friedman	மில்ட்டன் ஃப்ரீட்மன்
Milwaukee	மில்வாக்கி
Minaret	மினார்
Mineral	கனிமம்
Minneapolis	மினியாபொலிஸ்
Minnesota	மினசோட்டா
Minute	மணித்துளி
Mirror	தளவாடி
Mississippi River	மிசிசிப்பி ஆறு
Missouri	மிசூரி
Mobile phone	நகர்பேசி
Mogadishu	மொகடிசு
Moldova	மல்டோவா
Molecule	மூலக்கூறு
Mollusca	மெல்லுடலி
Molybdenum	மாலிப்டினம்
Momentum	உந்தம்
Monaco	மொனாக்கோ
Monday	திங்கள் (கிழமை)
Money	பணம்
Mongolia	மங்கோலியா
Monsoon	பருவப் பெயர்ச்சிக் காற்று
Mont Blanc	மோண்ட் பிளாங்க்
Montana	மொன்டானா
Montenegro	மொண்டெனேகுரோ
Montgomery	மான்ட்கமரி
Month	மாதம்
Montpelier	மான்ட்பீலியர்
Montreal	மொண்ட்ரியால்
Montserrat	மொன்செராட்
Morocco	மொரோக்கோ
Morphology (linguistics)	உருபனியல்
Moscow	மாஸ்கோ
Moses	மோசே
Mosque	மசூதி
Mosquito	கொசு
Mother	தாய்
Mother Teresa	அன்னை தெரேசா
Mount Ararat	அரராத் மலை
Mount Everest	எவரெஸ்ட் சிகரம்
Mount Fuji	ஃவூஜி மலை
Mount Kilimanjaro	கிளிமஞ்சாரோ மலை
Mount McKinley	மெக்கின்லி மலை
Mount St. Helens	புனித எலன்சு மலை
Mozambique	மொசாம்பிக்
Muhammad	முகம்மது நபி
Mumbai	மும்பை
Munich	மியூனிக்
Musa (genus)	வாழை
Museum	அருங்காட்சியகம்
Music	இசை
Music	பகுப்பு:இசை
Musical instrument	இசைக்கருவி
Nagasaki	நாகசாகி
Nairobi	நைரோபி
Namibia	நமீபியா
Nanotechnology	நனோ தொழில்நுட்பம்
Nashville	நாஷ்வில்
National anthem	தேசிய கீதம்
Natural gas	இயற்கை எரிவளி
Natural number	இயல் எண்
Nauru	நவூரு
Nazareth	நாசரேத்து
Nazi Party	நாசிக் கட்சி
Neanderthal	நியண்டர்தால் மனிதன்
Nebraska	நெப்ராஸ்கா
Neil Armstrong	நீல் ஆம்ஸ்ட்றோங்
Nelson Mandela	நெல்சன் மண்டேலா
Neodymium	நியோடைமியம்
Neon	நியான்
Nepal	நேபாளம்
Nepal	பகுப்பு:நேபாளம்
Neptune	நெப்டியூன்
Nero	நீரோ
Netherlands	நெதர்லாந்து
Netherlands Antilles	நெதர்லாந்து அண்டிலிசு
Neutron	நொதுமி
Nevada	நெவாடா
New Brunswick	நியூ பிரன்சுவிக்
New Caledonia	நியு கலிடோனியா
New Delhi	புது தில்லி
New Guinea	நியூ கினி
New Hampshire	நியூ ஹாம்சயர்
New Jersey	நியூ ஜெர்சி
New Mexico	நியூ மெக்சிகோ
New Orleans	நியூ ஓர்லென்ஸ்
New South Wales	நியூ சவுத் வேல்ஸ்
New Testament	புதிய ஏற்பாடு
New York	நியூ யோர்க் மாநிலம்
New York City	நியூயார்க் நகரம்
New York Stock Exchange	நியூ யோர்க் பங்குச் சந்தை
New Zealand	நியூசிலாந்து
Newark	நியூவர்க்
Newfoundland and Labrador	நியூஃபின்லான்ட் மற்றும் லாப்ரடோர்
Newton	நியூட்டன்
Niagara Falls	நயாகரா நீர்வீழ்ச்சி
Niamey	நியாமி
Nicaragua	நிக்கராகுவா
Nicene Creed	நைசின் விசுவாச அறிக்கை
Nickel	நிக்கல்
Nicolaus Copernicus	நிக்கோலாஸ் கோப்பர்னிக்கஸ்
Niger	நைஜர்
Nigeria	நைஜீரியா
Night	இரவு
Nikita Khrushchev	நிக்கிட்டா குருசேவ்
Nile	நைல்
Nile crocodile	நைல் முதலை
Ninja	நிஞ்சா
Niobium	நையோபியம்
Nitrogen	நைட்ரஜன்
Noam Chomsky	நோம் சோம்சுக்கி
Nobel Prize	நோபல் பரிசு
Norse mythology	நோர்ஸ் தொன்மவியல்
North	வடக்கு
North America	வட அமெரிக்கா
North America	பகுப்பு:வட அமெரிக்கா
North Carolina	வட கரொலைனா
North Dakota	வட டகோட்டா
North Korea	வடகொரியா
North Korea	பகுப்பு:வடகொரியா
North Sea	வடகடல்
Northern Hemisphere	வட அரைக்கோளம்
Northern Ireland	வட அயர்லாந்து
Northern Territory	வட மண்டலம் (ஆஸ்திரேலியா)
Northwest Territories	வடமேற்கு நிலப்பகுதிகள்
Norway	நோர்வே
Norway	பகுப்பு:நோர்வே
Nostradamus	நோஸ்ராடாமஸ்
Nova Scotia	நோவா ஸ்கோசியா
November	நவம்பர்
November 1	நவம்பர் 1
November 11	நவம்பர் 11
November 2	நவம்பர் 2
November 5	நவம்பர் 5
Nuclear fission	அணுக்கரு பிளவு
Nuclear physics	அணுக்கருவியல்
Nuclear weapon	அணு குண்டு
Nucleon	அணுக்கருனி
Number	எண்
Numismatics	நாணயவியல்
Nunavut	நுனாவுட்
Nut (fruit)	கொட்டை
OPEC	ஓப்பெக்
Oakland	ஓக்லன்ட்
Oat	ஓட்ஸ்
Obesity	உடற் பருமன்
Oceania	ஓசியானியா
Octal	எண்ணெண்
October	அக்டோபர்
October 12	அக்டோபர் 12
October 24	அக்டோபர் 24
Octopus	கணவாய் (உயிரினம்)
Ohio	ஒகையோ
Ohm's law	ஓமின் விதி
Oklahoma	ஒக்லகோமா
Oklahoma City	ஓக்லஹோமா நகரம்
Old Testament	பழைய ஏற்பாடு
Olive	சைதூண்
Olympic Games	ஒலிம்பிக் விளையாட்டுக்கள்
Oman	ஓமான்
Ontario	ஒன்டாரியோ
Ontario	பகுப்பு:ஒன்டாரியோ
Ontology	உள்ளியம் (மெய்யியல்)
Operating system	இயக்கு தளம்
Opium	அபினி
Optics	ஒளியியல்
Oral sex	வாய்வழிப் பாலுறவு
Orangutan	ஒராங்குட்டான்
Oregon	ஒரிகன்
Organic chemistry	கரிம வேதியியல்
Organism	உயிரினம்
Organization	அமைப்பு
Orgasm	புணர்ச்சிப் பரவசநிலை
Orissa	ஒரிசா
Orlando	ஒர்லான்டோ
Osaka	ஒசாக்கா
Osama bin Laden	ஒசாமா பின் லாடன்
Osiris	ஒசைரிஸ்
Oslo	ஒஸ்லோ
Ostrich	தீக்கோழி
Ottawa	ஒட்டாவா
Ottoman Empire	ஒட்டோமான் பேரரசு
Ovary	சூலகம்
Ovum	கருமுட்டை
Owl	ஆந்தை
Oxygen	ஆக்ஸிஜன்
Pablo Neruda	பாப்லோ நெருடா
Pablo Picasso	பாப்லோ பிக்காசோ
Pacific Ocean	பசிபிக் பெருங்கடல்
Pakistan	பாகிஸ்தான்
Pakistan	பகுப்பு:பாகிஸ்தான்
Palau	பலாவு
Paleontology	தொல்லுயிரியல்
Palestine Liberation Organization	பலஸ்தீன விடுதலை இயக்கம்
Pali	பாளி
Palladium	பலேடியம்
Panama	பனாமா
Panama Canal	பனாமாக் கால்வாய்
Pancreas	கணையம்
Pangaea	ஒருநிலக் கொள்கை
Papua New Guinea	பப்புவா நியூ கினி
Paraguay	பராகுவே
Parallelogram	இணைகரம்
Parasitism	ஒட்டுண்ணி வாழ்வு
Paris	பாரிஸ்
Parody	நையாண்டிப் போலி
Parrot	கிளி
Parthenon	பார்த்தினன்
Parvati	பார்வதி
Pascal (programming language)	பஸ்கால் நிரலாக்கல் மொழி
Pascal (unit)	பாஸ்கல் (அலகு)
Paul the Apostle	புனித பவுல்
Peafowl	மயில்
Pearl	முத்து
Pearl Harbor	பேர்ள் துறைமுகம்
Penguin	பென்குயின்
Peninsula	மூவலந்தீவு
Pennsylvania	பென்சில்வேனியா
People's Republic of China	சீன மக்கள் குடியரசு
Pepsi	பெப்சி
Percentage	விழுக்காடு
Peregrine Falcon	வல்லூறு
Periodic table	ஆவர்த்தன அட்டவணை
Permutation	வரிசைமாற்றம்
Persian Gulf	பாரசீக வளைகுடா
Perth	பேர்த்
Peru	பெரு
Peru	பகுப்பு:பெரு
Petroleum	பெட்ரோலியம்
Petrology	பாறையியல்
Philadelphia	பிலடெல்பியா
Philately	பகுப்பு:அஞ்சல் தலை சேகரிப்பு
Philippines	பிலிப்பைன்ஸ்
Philosophy	மெய்யியல்
Phoenix	பீனிக்ஸ்
Phoenix (mythology)	பீனக்ஸ்
Phoenix (spacecraft)	பீனிக்ஸ் (விண்ணூர்தி)
Phonetics	ஒலிப்பியல்
Phosphorus	பாஸ்பரஸ்
Photography	ஒளிப்படவியல்
Photosynthesis	ஒளிச்சேர்க்கை
Physician	மருத்துவர்
Physics	இயற்பியல்
Physics	பகுப்பு:இயற்பியல்
Pi	பை
Piano	கின்னரப்பெட்டி
Pidgin (software)	பிட்கின்
Pierre	பியேர்
Planet	கோள்
Plant	தாவரம்
Plasma (physics)	பிளாஸ்மா (இயற்பியல்)
Plastic	நெகிழி
Plate tectonics	தட்டுப் புவிப்பொறைக் கட்டமைப்பு
Platelet	இரத்தத் தட்டு
Platinum	பிளாட்டினம்
Plato	பிளேட்டோ
Playboy	பிளேபோய்
Pleiades (star cluster)	கார்த்திகை (நட்சத்திரம்)
Pluto	புளூட்டோ
Podcast	வலையொலி
Poetry	கவிதை
Point (geometry)	புள்ளி
Poland	போலந்து
Polar bear	பனிக்கரடி
Politics	அரசியல்
Politics	பகுப்பு:அரசியல்
Pollution	சூழல் மாசடைதல்
Polygon	பல்கோணம்
Polyvinyl chloride	பாலிவைனைல் குளோரைடு
Pope	பாப்பரசர்
Pornography	ஆபாசம்
Portland	போர்ட்லன்ட் (ஒரிகன்)
Portugal	போர்த்துகல்
Portugal	பகுப்பு:போர்த்துகல்
Poseidon	போசீடான்
Postage stamp	தபால்தலை
Postmodernism	பின்நவீனத்துவம்
