Tamil	English
ஹெகல்	Georg Wilhelm Friedrich Hegel
ஜார்ஜ் பூல்	George Boole
ஜார்ஜ் புஷ்	George Bush
ஜோர்ச் லூகாஸ்	George Lucas
ஜார்ஜ் வாக்கர் புஷ்	George W. Bush
ஜார்ஜ் வாஷிங்டன்	George Washington
ஜோர்ஜெஸ் பிராக்	Georges Braque
ஜோர்ஜ்டவுண், கயானா	Georgetown
ஜோர்ஜியா (மாநிலம்)	Georgia (U.S. state)
ஜோர்ஜியா (நாடு)	Georgia (country)
பகுப்பு:ஜோர்ஜியா	Georgia (country)
ஜெர்மன் மொழி	German language
ஜேர்மானியம்	Germanium
ஜெர்மனி	Germany
பகுப்பு:ஜெர்மனி	Germany
கானா	Ghana
பாண்டா	Giant Panda
கிப்பன்	Gibbon
கிப்ரல்டார்	Gibraltar
இஞ்சி	Ginger
ஒட்டகச் சிவிங்கி	Giraffe
கரிபால்டி	Giuseppe Garibaldi
சுரப்பி	Gland
கண்ணாடி	Glass
பூமியில் இடத்தைக் காட்டும் கருவி	Global Positioning System
புவி வெப்பநிலை அதிகரிப்பு	Global warming
உலகமயமாதல்	Globalization
குளூக்கொகான்	Glucagon
கோவா (மாநிலம்)	Goa
ஆடு	Goat
கோபி பாலைவனம்	Gobi Desert
தங்கம்	Gold
பொன்னாங் கழுகு	Golden Eagle
கோல்டன் கேற் பாலம்	Golden Gate Bridge
குழிப்பந்தாட்டம்	Golf
புனித வெள்ளி	Good Friday
கூகிள்	Google
கொரில்லா	Gorilla
லூக்கா நற்செய்தி	Gospel of Luke
கோதிக் கட்டிடக்கலை	Gothic architecture
அரசு	Government
கருங்கல் (பாறை)	Granite
ஓநாய்	Gray Wolf
அமெரிக்கப் பேரேரிகள்	Great Lakes
சீனப் பெருஞ் சுவர்	Great Wall of China
கிரேக்க நாடு	Greece
பச்சை	Green
பைங்குடில் விளைவு	Greenhouse effect
பைங்குடில் வாயு	Greenhouse gas
கிறீன்லாந்து	Greenland
கிரிகோர் ஜோஹன் மெண்டல்	Gregor Mendel
கிரெகொரியின் நாட்காட்டி	Gregorian calendar
கிறிப்பன்	Griffin
மொத்த உள்நாட்டு உற்பத்தி	Gross domestic product
குலம் (கணிதம்)	Group (mathematics)
குரோவர் கிளீவ்லாண்ட்	Grover Cleveland
கௌதலூபே	Guadeloupe
குவாம்	Guam
குயெர்ன்சி	Guernsey
மார்க்கோனி	Guglielmo Marconi
கியோம் அப்போலினேர்	Guillaume Apollinaire
கினி	Guinea
கினி-பிசாவு	Guinea-Bissau
கிற்றார்	Guitar
குஜராத்	Gujarat
மெக்சிகோ வளைகுடா	Gulf of Mexico
ஓமான் குடா	Gulf of Oman
சீருடற்பயிற்சிகள்	Gymnastics
வித்துமூடியிலி	Gymnosperm
வாழிடம் (வாழ்சூழலியல்)	Habitat
ஹதீஸ்	Hadith
இரத்தம் உறையாமை	Haemophilia
ஹேகியா சோபியா	Hagia Sophia
ஹைக்கூ	Haiku
ஹையிட்டி	Haiti
அரைவாழ்வுக் காலம்	Half-life
ஹாலோவீன்	Halloween
சுத்தியல்	Hammer
ஹான் அரசமரபு	Han Dynasty
பபிலோனின் தொங்கு தோட்டம்	Hanging Gardens of Babylon
ஹனோய்	Hanoi
அனுமன்	Hanuman
ஹராரே	Harare
ஹெரால்ட் பிண்டர்	Harold Pinter
யாழ்	Harp
ஹாரியெட் டப்மன்	Harriet Tubman
ஹாரிஸ்பர்க்	Harrisburg
ஹார்ட்பர்ட்	Hartford
ஹவாய்	Hawaii
இதயம்	Heart
வெப்ப எந்திரம்	Heat engine
ஹெக்டேர்	Hectare
ஹெலன் கெல்லர்	Helen Keller
ஹெலேனா	Helena
ஹீலியம்	Helium
ஹெல்சின்கி	Helsinki
ஹென்றி பெக்கெரல்	Henri Becquerel
ஹென்ரிக் இப்சன்	Henrik Ibsen
ஹெப்பஸ்தஸ்	Hephaestus
ஹீரா	Hera
ஹேர்மன் ஹெசே	Hermann Hesse
ஹெர்மீஸ்	Hermes
கெஸ்சன்	Hesse
ஹெஸ்டியா	Hestia
அறுகோணம்	Hexagon
ஹெஸ்புல்லா	Hezbollah
இமயமலை	Himalayas
இந்து சமயம்	Hinduism
கிப்பி	Hippie
ஹிப்போகிரட்டீஸ்	Hippocrates
நீர்யானை	Hippopotamus
ஹிரோஷிமா	Hiroshima
வரலாறு	History
ஹோ சி மின்	Ho Chi Minh
ஹோ சி மின் நகரம்	Ho Chi Minh City
ஹோபார்ட்	Hobart
ஹொபிட்	Hobbit
ஹாலிவுட்	Hollywood
புனித ரோமப் பேரரசு	Holy Roman Empire
ஓரினச்சேர்க்கை	Homosexuality
ஹொண்டுராஸ்	Honduras
தேன்	Honey
ஹொங்கொங்	Hong Kong
ஹொனலுலு	Honolulu
வளரூக்கி	Hormone
சாதகக் குறிப்பு	Horoscope
குதிரை	Horse
ஹொஸ்னி முபாரக்	Hosni Mubarak
விடுதி	Hotel
மணித்தியாலம்	Hour
வீடு	House
ஹியூஸ்டன்	Houston
காற்றுமெத்தை உந்து	Hovercraft
ஓசனிச்சிட்டு	Hummingbird
அங்கேரி	Hungary
ஐதராபாத்	Hyderabad
ஹைடிரோகார்பன்	Hydrocarbon
ஹைட்ரஜன்	Hydrogen
அதிபரவளைவு	Hyperbola
கருதுகோள்	Hypothesis
ஐப்பாடு	IPod
இயான் பிளெமிங்	Ian Fleming
ஐபீரிய மூவலந்தீவு	Iberian Peninsula
குளிர்களி	Ice cream
ஐஸ்லாந்து	Iceland
ஐடஹோ	Idaho
இக்லூ	Igloo
இகுவாசு அருவி	Iguazu Falls
இலினொய்	Illinois
இம்மானுவேல் கண்ட்	Immanuel Kant
நோய் எதிர்ப்பாற்றல் முறைமை	Immune system
பேரரசுவாதம்	Imperialism
தகாப் பாலுறவு	Incest
இந்தியா	India
பகுப்பு:இந்தியா	India
இந்தியப் பெருங்கடல்	Indian Ocean
இந்தியானா	Indiana
இண்டியானபொலிஸ்	Indianapolis
இந்திரா காந்தி	Indira Gandhi
இண்டியம்	Indium
இந்தோனேசியா	Indonesia
இந்திரன்	Indra
தூண்டம்	Inductance
மின்தூண்டி	Inductor
சிந்து நதி	Indus River
தொழிற்புரட்சி	Industrial Revolution
தொழிற்துறை	Industry
முடிவிலி	Infinity
பண வீக்கம்	Inflation
தகவல் தொழில்நுட்பம்	Information technology
அகச்சிவப்புக் கதிர்	Infrared
பூச்சி	Insect
பூச்சிக்கொல்லி	Insecticide
முழு எண்	Integer
நுண்ணறிவு	Intelligence
பன்னாட்டு அணுசக்தி முகமையகம்	International Atomic Energy Agency
அனைத்துலக நாணய நிதியம்	International Monetary Fund
அனைத்துலக முறை அலகுகள்	International System of Units
இணையம்	Internet
அயோடின்	Iodine
அயோவா	Iowa
ஈரான்	Iran
பகுப்பு:ஈரான்	Iran
ஈரான் – ஈராக் போர்	Iran-Iraq War
ஈராக்	Iraq
பகுப்பு:ஈராக்	Iraq
அயர்லாந்து	Ireland
இரிடியம்	Iridium
இரும்பு	Iron
ஈசாக்கு	Isaac
ஐசாக் நியூட்டன்	Isaac Newton
இஸ்லாம்	Islam
இஸ்லாமாபாத்	Islamabad
தீவு	Island
மாண் தீவு	Isle of Man
ஓரிடத்தான்	Isotope
இசுரேல்	Israel
இஸ்தான்புல்	Istanbul
இத்தாலி	Italy
பகுப்பு:இத்தாலி	Italy
கிழிப்பர் ஜேக்	Jack the Ripper
ஜாக்சன் (மிசிசிப்பி)	Jackson
ஜக்சன் பொல்லொக்	Jackson Pollock
சமணம்	Jainism
ஜகார்த்தா	Jakarta
யமேக்கா	Jamaica
ஜேம்ஸ் கார்ஃபீல்ட்	James A. Garfield
ஜேம்ஸ் பாண்ட்	James Bond
ஜேம்ஸ் போக்	James K. Polk
ஜேம்ஸ் மாடிசன்	James Madison
ஜேம்ஸ் மன்ரோ	James Monroe
ஜேம்ஸ் நெய்ஸ்மித்	James Naismith
ஜேம்ஸ் பிரிஸ்காட் ஜூல்	James Prescott Joule
ஜம்மு காஷ்மீர்	Jammu and Kashmir
ஜனவரி	January
ஜனவரி 1	January 1
ஜனவரி 19	January 19
ஜனவரி 20	January 20
ஜனவரி 6	January 6
ஜப்பான்	Japan
பகுப்பு:ஜப்பான்	Japan
ஜாவா (தீவு)	Java
ஜாவா	Java (disambiguation)
ஜாவா நிரலாக்க மொழி	Java (programming language)
ஜவஹர்லால் நேரு	Jawaharlal Nehru
ஜெபர்சன் நகரம்	Jefferson City
ஜெபர்சன் டேவிஸ்	Jefferson Davis
யாவே	Jehovah
யேர்சி	Jersey
ஜெரூசலம்	Jerusalem
இயேசு கிறிஸ்து	Jesus
யூதர்	Jew
மோர்சிங்	Jew's harp
ஜிகாத்	Jihad
ஜிம்மி கார்டர்	Jimmy Carter
ஜோன் ஆஃப் ஆர்க்	Joan of Arc
குட்டன்பேர்க்	Johannes Gutenberg
ஜொஹான்னெஸ் கெப்லர்	Johannes Kepler
ஜோகார்னஸ்பேக்	Johannesburg
ஜான் ஆடம்ஸ்	John Adams
ஜோன் கல்ஸ்வோதி	John Galsworthy
ஜோன் கீற்ஸ்	John Keats
ஜான் லெனன்	John Lennon
ஜான் குவின்சி ஆடம்ஸ்	John Quincy Adams
ஜான் டைலர்	John Tyler
ஜோர்தான்	Jordan
ஜோர்தான் ஆறு	Jordan River
ஜோசப் ஹேடன்	Joseph Haydn
ஜோசப் பிரீஸ்ட்லி	Joseph Priestley
ஜோசேப் புலிட்சர்	Joseph Pulitzer
ஜோசப் ஸ்டாலின்	Joseph Stalin
யூதம்	Judaism
யயுற்சு	Jujutsu
யூலியின் நாட்காட்டி	Julian calendar
ஜூலியஸ் சீசர்	Julius Caesar
ஜூலை	July
ஜூலை 1	July 1
ஜூலை 4	July 4
ஜூன்	June
ஜூன் 14	June 14
ஜூன் 21	June 21
ஜூன் 23	June 23
ஜூன் 24	June 24
ஜூன் 29	June 29
ஜூன் 3	June 3
ஜூனோ	Juneau
வியாழன் (கோள்)	Jupiter
கே-2 கொடுமுடி	K2
காபூல்	Kabul
கம்பாலா	Kampala
கந்தஹார்	Kandahar
கங்காரு	Kangaroo
கேன்சஸ்	Kansas
கேன்சஸ் நகரம் (மிசூரி)	Kansas City
கராச்சி	Karachi
கார்ல் மார்க்ஸ்	Karl Marx
கர்மா	Karma
கர்நாடகம்	Karnataka
கத்மந்து	Kathmandu
கசக்ஸ்தான்	Kazakhstan
கெல்வின்	Kelvin
கென்ரக்கி	Kentucky
கென்யா	Kenya
மண்ணெய்	Kerosene
கார்த்தௌம்	Khartoum
சிறுநீரகம்	Kidney
கிகாலி	Kigali
கிலோகிராம்	Kilogram
கிலோமீட்டர்	Kilometre
அசைவு விபரியல்	Kinematics
இயக்க ஆற்றல்	Kinetic energy
கின்ஷாசா	Kinshasa
கிரிபட்டி	Kiribati
பட்டம்	Kite
கத்தி	Knife
அறிவு	Knowledge
கோவாலா	Koala
கொல்கத்தா	Kolkata
கொரியா	Korea
கொசோவோ	Kosovo
கிருஷ்ணர்	Krishna
கிருப்டான்	Krypton
கோலாலம்பூர்	Kuala Lumpur
குர்துமக்கள் தொழிலாளர் கட்சி	Kurdistan Workers Party
குவைத்	Kuwait
கியோட்டோ	Kyoto
கிர்கிஸ்தான்	Kyrgyzstan
ஆய்வுகூடம்	Laboratory
லேகோஸ்	Lagos
ஏரி	Lake
பைக்கால் ஏரி	Lake Baikal
மலாவி ஏரி	Lake Malawi
டாங்கனிக்கா ஏரி	Lake Tanganyika
விக்டோரியா ஏரி	Lake Victoria
இலட்சுமி	Lakshmi
எலும்புண்ணிக் கழுகு	Lammergeier
மொழி	Language
லான்சிங்	Lansing
லாந்த்தனைடு	Lanthanide
லாந்த்தனம்	Lanthanum
லாவோஸ்	Laos
மடிக்கணினி	Laptop
குரல்வளை	Larynx
லாஸ் வேகஸ்	Las Vegas
இலத்தீன்	Latin
இலத்தீன் அமெரிக்கா	Latin America
லாத்வியா	Latvia
லாவா	Lava
சட்டம்	Law
லெ கொபூசியே	Le Corbusier
இலை	Leaf
பீசாவின் சாய்ந்த கோபுரம்	Leaning Tower of Pisa
நெட்டாண்டு	Leap year
லெபனான்	Lebanon
லெகோ	Lego
லைடன்	Leiden
நீளம்	Length
லியோன் ட்ரொட்ஸ்கி	Leon Trotsky
லியொனார்டோ டா வின்சி	Leonardo da Vinci
லியோனார்டு ஆய்லர்	Leonhard Euler
லெசோத்தோ	Lesotho
சிறிய அண்டிலிசு	Lesser Antilles
லூயிஸ் கரோல்	Lewis Carroll
லகோத்சே மலை	Lhotse
தமிழீழ விடுதலைப் புலிகள்	Liberation Tigers of Tamil Eelam
லைபீரியா	Liberia
நூலகம்	Library
நூலகவியல்	Library science
லிபியா	Libya
லீக்டன்ஸ்டைன்	Liechtenstein
ஒளி	Light
ஒளியாண்டு	Light-year
மின்னல்	Lightning
லிலொங்வே	Lilongwe
லிங்கன் (நெப்ரஸ்கா)	Lincoln
கோடு	Line (mathematics)
நேரியல் இயற்கணிதம்	Linear algebra
மொழியியல்	Linguistics
க்னூ/லினக்ஸ்	Linux
சிங்கம்	Lion
நீர்மம்	Liquid
லிஸ்பன்	Lisbon
இலக்கியம்	Literature
லித்தியம்	Lithium
லித்துவேனியா	Lithuania
லீட்டர்	Litre
குறும்பரப்பு வலையமைப்புகள்	Local area network
தருக்க படலை	Logic gate
இலண்டன்	London
நீளம் தாண்டுதல்	Long jump
கிறிஸ்து கற்பித்த செபம்	Lord's Prayer
லாஸ் ஏஞ்சலஸ்	Los Angeles
லூயிஸ் பிரெய்லி	Louis Braille
லூயி பாஸ்ச்சர்	Louis Pasteur
லூசியானா	Louisiana
லூயிவில் (கென்டக்கி)	Louisville
லூசியானோ பாவ்ராட்டி	Luciano Pavarotti
லுட்விக் மீஸ் வான் டெர் ரோ	Ludwig Mies van der Rohe
லுடுவிக் ஃவான் பேத்தோவன்	Ludwig van Beethoven
ஒளிப் பாயம்	Luminescence
நுரையீரல்	Lung
லுசாக்கா	Lusaka
லக்சம்பர்க்	Luxembourg
லக்சோர்	Luxor
மக்காவு	Macau
இயந்திரம்	Machine
மச்சு பிக்ச்சு	Machu Picchu
மடகாசுகர்	Madagascar
பகுப்பு:மடகாஸ்கர்	Madagascar
மேடிசன்	Madison
மத்ரித்	Madrid
மாஃப்பியா	Mafia
மாயச் சதுரம்	Magic square
மக்மா	Magma
மக்னீசியம்	Magnesium
காந்தப் புலம்	Magnetic field
மகாராஷ்டிரம்	Maharashtra
மோகன்தாஸ் கரம்சந்த் காந்தி	Mahatma Gandhi
மகாயான பௌத்தம்	Mahayana
வார்ப்புரு:Main	Main
மேய்ன்	Maine
மைத்திரேயர்	Maitreya
சோளம்	Maize
மக்காலு	Makalu
மலேரியா	Malaria
பகுப்பு:மலாவி	Malawi
மலேசியா	Malaysia
பகுப்பு:மலேசியா	Malaysia
மல்கம் எக்ஸ்	Malcolm X
மாலைதீவுகள்	Maldives
மாலி	Mali
மால்ட்டா	Malta
பாலூட்டி	Mammal
முகாமைத்துவம்	Management
மனாகுவா	Managua
மான்செஸ்டர்	Manchester
மாண்டரின் மொழி	Mandarin (linguistics)
மாங்கனீசு	Manganese
மாம்பழம்	Mango
மனிலா	Manila
மணிப்பூர்	Manipur
மானிட்டோபா	Manitoba
மூடகம் (நிலவியல்)	Mantle (geology)
மா சே துங்	Mao Zedong
நிலப்படம்	Map
மாரத்தான்	Marathon
மார்ச்	March
மார்ச் 17	March 17
மார்ச் 19	March 19
மார்ச் 2	March 2
மார்ச் 25	March 25
மார்கோ போலோ	Marco Polo
மார்கரெட் தாட்சர்	Margaret Thatcher
மேரி கியூரி	Marie Curie
சந்தைப்படுத்தல்	Marketing
மார்சல் தீவுகள்	Marshall Islands
மார்ட்டின் லூதர் கிங்	Martin Luther King
மார்ட்டின் வான் பியூரன்	Martin Van Buren
மார்டினா நவரதிலோவா	Martina Navratilova
மார்டீனிக்	Martinique
மார்க்சியம்	Marxism
மரியாள் (இயேசுவின் தாய்)	Mary (mother of Jesus)
மர்தலேன் மரியாள்	Mary Magdalene
மேரிலாந்து	Maryland
திணிவெண்	Mass number
மாசசூசெட்ஸ்	Massachusetts
மாசசூசெட்ஸ் தொழில்நுட்பப் பல்கலைக்கழகம்	Massachusetts Institute of Technology
சுய இன்பம்	Masturbation
தீக்குச்சி	Match
பொருள்முதல்வாதம்	Materialism
கணிதம்	Mathematics
பகுப்பு:கணிதம்	Mathematics
Portal:கணிதம்	Mathematics
அணி	Matrix (mathematics)
பொருள்	Matter
மௌரித்தானியா	Mauritania
மொரிசியசு	Mauritius
மக்ஸ் ஏர்ண்ஸ்ட்	Max Ernst
மே	May
மே 1	May 1
மே 24	May 24
அளவியல்	Measurement
இறைச்சி	Meat
மக்கா	Mecca
இயந்திரவியல்	Mechanical engineering
பகுப்பு:இயந்திரவியல்	Mechanics
விசையியல்	Mechanics
இடைநிலையளவு	Median
மதினா	Medina
நடுநிலக் கடல்	Mediterranean Sea
மெல் கிப்சன்	Mel Gibson
மெலனீசியா	Melanesia
உருகுதல்	Melting
மெம்ஃபிஸ்	Memphis
மாதவிடாய்	Menstrual cycle
வணிகவாதம்	Mercantilism
பாதரசம்	Mercury (element)
புதன் (கோள்)	Mercury (planet)
இடைக் கற்காலம்	Mesolithic
மெசொப்பொத்தேமியா	Mesopotamia
வளர்சிதைமாற்றம்	Metabolism
உலோகம்	Metal
உலோகவியல்	Metallurgy
உருமாறிய பாறை	Metamorphic rock
விண்கல்	Meteorite
மெதடிஸ்தம்	Methodism
மீட்டர்	Metre
மெக்சிகோ	Mexico
பகுப்பு:மெக்சிகோ	Mexico
மெக்சிகோ நகரம்	Mexico City
மயாமி	Miami
மைக்கேல் பரடே	Michael Faraday
மைக்கலாஞ்சலோ புவோனரோட்டி	Michelangelo
மிச்சிகன்	Michigan
நுண்ணுயிர்	Microorganism
நுண்நோக்கி	Microscope
மத்திய கிழக்கு நாடுகள்	Middle East
மிக்கைல் கொர்பசோவ்	Mikhail Gorbachev
மிலன்	Milan
மைல்	Mile
பால்	Milk
மில்லிமீட்டர்	Millimetre
மில்ட்டன் ஃப்ரீட்மன்	Milton Friedman
மில்வாக்கி	Milwaukee
மினார்	Minaret
கனிமம்	Mineral
மினியாபொலிஸ்	Minneapolis
மினசோட்டா	Minnesota
மணித்துளி	Minute
தளவாடி	Mirror
மிசிசிப்பி ஆறு	Mississippi River
மிசூரி	Missouri
நகர்பேசி	Mobile phone
மொகடிசு	Mogadishu
மல்டோவா	Moldova
மூலக்கூறு	Molecule
மெல்லுடலி	Mollusca
மாலிப்டினம்	Molybdenum
உந்தம்	Momentum
மொனாக்கோ	Monaco
திங்கள் (கிழமை)	Monday
பணம்	Money
மங்கோலியா	Mongolia
பருவப் பெயர்ச்சிக் காற்று	Monsoon
மோண்ட் பிளாங்க்	Mont Blanc
மொன்டானா	Montana
மொண்டெனேகுரோ	Montenegro
மான்ட்கமரி	Montgomery
மாதம்	Month
மான்ட்பீலியர்	Montpelier
மொண்ட்ரியால்	Montreal
மொன்செராட்	Montserrat
மொரோக்கோ	Morocco
உருபனியல்	Morphology (linguistics)
மாஸ்கோ	Moscow
மோசே	Moses
மசூதி	Mosque
கொசு	Mosquito
தாய்	Mother
அன்னை தெரேசா	Mother Teresa
அரராத் மலை	Mount Ararat
எவரெஸ்ட் சிகரம்	Mount Everest
ஃவூஜி மலை	Mount Fuji
கிளிமஞ்சாரோ மலை	Mount Kilimanjaro
மெக்கின்லி மலை	Mount McKinley
புனித எலன்சு மலை	Mount St. Helens
மொசாம்பிக்	Mozambique
முகம்மது நபி	Muhammad
மும்பை	Mumbai
மியூனிக்	Munich
வாழை	Musa (genus)
அருங்காட்சியகம்	Museum
இசை	Music
பகுப்பு:இசை	Music
இசைக்கருவி	Musical instrument
நாகசாகி	Nagasaki
நைரோபி	Nairobi
நமீபியா	Namibia
நனோ தொழில்நுட்பம்	Nanotechnology
நாஷ்வில்	Nashville
தேசிய கீதம்	National anthem
இயற்கை எரிவளி	Natural gas
இயல் எண்	Natural number
நவூரு	Nauru
நாசரேத்து	Nazareth
நாசிக் கட்சி	Nazi Party
நியண்டர்தால் மனிதன்	Neanderthal
நெப்ராஸ்கா	Nebraska
நீல் ஆம்ஸ்ட்றோங்	Neil Armstrong
நெல்சன் மண்டேலா	Nelson Mandela
நியோடைமியம்	Neodymium
நியான்	Neon
நேபாளம்	Nepal
பகுப்பு:நேபாளம்	Nepal
நெப்டியூன்	Neptune
நீரோ	Nero
நெதர்லாந்து	Netherlands
நெதர்லாந்து அண்டிலிசு	Netherlands Antilles
நொதுமி	Neutron
நெவாடா	Nevada
நியூ பிரன்சுவிக்	New Brunswick
நியு கலிடோனியா	New Caledonia
புது தில்லி	New Delhi
நியூ கினி	New Guinea
நியூ ஹாம்சயர்	New Hampshire
நியூ ஜெர்சி	New Jersey
நியூ மெக்சிகோ	New Mexico
நியூ ஓர்லென்ஸ்	New Orleans
நியூ சவுத் வேல்ஸ்	New South Wales
புதிய ஏற்பாடு	New Testament
நியூ யோர்க் மாநிலம்	New York
நியூயார்க் நகரம்	New York City
நியூ யோர்க் பங்குச் சந்தை	New York Stock Exchange
நியூசிலாந்து	New Zealand
நியூவர்க்	Newark
நியூஃபின்லான்ட் மற்றும் லாப்ரடோர்	Newfoundland and Labrador
நியூட்டன்	Newton
நயாகரா நீர்வீழ்ச்சி	Niagara Falls
நியாமி	Niamey
நிக்கராகுவா	Nicaragua
நைசின் விசுவாச அறிக்கை	Nicene Creed
நிக்கல்	Nickel
நிக்கோலாஸ் கோப்பர்னிக்கஸ்	Nicolaus Copernicus
நைஜர்	Niger
நைஜீரியா	Nigeria
இரவு	Night
நிக்கிட்டா குருசேவ்	Nikita Khrushchev
நைல்	Nile
நைல் முதலை	Nile crocodile
நிஞ்சா	Ninja
நையோபியம்	Niobium
நைட்ரஜன்	Nitrogen
நோம் சோம்சுக்கி	Noam Chomsky
நோபல் பரிசு	Nobel Prize
நோர்ஸ் தொன்மவியல்	Norse mythology
வடக்கு	North
வட அமெரிக்கா	North America
பகுப்பு:வட அமெரிக்கா	North America
வட கரொலைனா	North Carolina
வட டகோட்டா	North Dakota
வடகொரியா	North Korea
பகுப்பு:வடகொரியா	North Korea
வடகடல்	North Sea
வட அரைக்கோளம்	Northern Hemisphere
வட அயர்லாந்து	Northern Ireland
வட மண்டலம் (ஆஸ்திரேலியா)	Northern Territory
வடமேற்கு நிலப்பகுதிகள்	Northwest Territories
நோர்வே	Norway
பகுப்பு:நோர்வே	Norway
நோஸ்ராடாமஸ்	Nostradamus
நோவா ஸ்கோசியா	Nova Scotia
நவம்பர்	November
நவம்பர் 1	November 1
நவம்பர் 11	November 11
நவம்பர் 2	November 2
நவம்பர் 5	November 5
அணுக்கரு பிளவு	Nuclear fission
அணுக்கருவியல்	Nuclear physics
அணு குண்டு	Nuclear weapon
அணுக்கருனி	Nucleon
எண்	Number
நாணயவியல்	Numismatics
நுனாவுட்	Nunavut
கொட்டை	Nut (fruit)
ஓப்பெக்	OPEC
ஓக்லன்ட்	Oakland
ஓட்ஸ்	Oat
உடற் பருமன்	Obesity
ஓசியானியா	Oceania
எண்ணெண்	Octal
அக்டோபர்	October
அக்டோபர் 12	October 12
அக்டோபர் 24	October 24
கணவாய் (உயிரினம்)	Octopus
ஒகையோ	Ohio
ஓமின் விதி	Ohm's law
ஒக்லகோமா	Oklahoma
ஓக்லஹோமா நகரம்	Oklahoma City
பழைய ஏற்பாடு	Old Testament
சைதூண்	Olive
ஒலிம்பிக் விளையாட்டுக்கள்	Olympic Games
ஓமான்	Oman
ஒன்டாரியோ	Ontario
பகுப்பு:ஒன்டாரியோ	Ontario
உள்ளியம் (மெய்யியல்)	Ontology
இயக்கு தளம்	Operating system
அபினி	Opium
ஒளியியல்	Optics
வாய்வழிப் பாலுறவு	Oral sex
ஒராங்குட்டான்	Orangutan
ஒரிகன்	Oregon
கரிம வேதியியல்	Organic chemistry
உயிரினம்	Organism
அமைப்பு	Organization
புணர்ச்சிப் பரவசநிலை	Orgasm
ஒரிசா	Orissa
ஒர்லான்டோ	Orlando
ஒசாக்கா	Osaka
ஒசாமா பின் லாடன்	Osama bin Laden
ஒசைரிஸ்	Osiris
ஒஸ்லோ	Oslo
தீக்கோழி	Ostrich
ஒட்டாவா	Ottawa
ஒட்டோமான் பேரரசு	Ottoman Empire
சூலகம்	Ovary
கருமுட்டை	Ovum
ஆந்தை	Owl
ஆக்ஸிஜன்	Oxygen
பாப்லோ நெருடா	Pablo Neruda
பாப்லோ பிக்காசோ	Pablo Picasso
பசிபிக் பெருங்கடல்	Pacific Ocean
பாகிஸ்தான்	Pakistan
பகுப்பு:பாகிஸ்தான்	Pakistan
பலாவு	Palau
தொல்லுயிரியல்	Paleontology
பலஸ்தீன விடுதலை இயக்கம்	Palestine Liberation Organization
பாளி	Pali
பலேடியம்	Palladium
பனாமா	Panama
பனாமாக் கால்வாய்	Panama Canal
கணையம்	Pancreas
ஒருநிலக் கொள்கை	Pangaea
பப்புவா நியூ கினி	Papua New Guinea
பராகுவே	Paraguay
இணைகரம்	Parallelogram
ஒட்டுண்ணி வாழ்வு	Parasitism
பாரிஸ்	Paris
நையாண்டிப் போலி	Parody
கிளி	Parrot
பார்த்தினன்	Parthenon
பார்வதி	Parvati
பஸ்கால் நிரலாக்கல் மொழி	Pascal (programming language)
பாஸ்கல் (அலகு)	Pascal (unit)
புனித பவுல்	Paul the Apostle
மயில்	Peafowl
முத்து	Pearl
பேர்ள் துறைமுகம்	Pearl Harbor
பென்குயின்	Penguin
மூவலந்தீவு	Peninsula
பென்சில்வேனியா	Pennsylvania
சீன மக்கள் குடியரசு	People's Republic of China
பெப்சி	Pepsi
விழுக்காடு	Percentage
வல்லூறு	Peregrine Falcon
ஆவர்த்தன அட்டவணை	Periodic table
வரிசைமாற்றம்	Permutation
பாரசீக வளைகுடா	Persian Gulf
பேர்த்	Perth
பெரு	Peru
பகுப்பு:பெரு	Peru
பெட்ரோலியம்	Petroleum
பாறையியல்	Petrology
பிலடெல்பியா	Philadelphia
பகுப்பு:அஞ்சல் தலை சேகரிப்பு	Philately
பிலிப்பைன்ஸ்	Philippines
மெய்யியல்	Philosophy
பீனிக்ஸ்	Phoenix
பீனக்ஸ்	Phoenix (mythology)
பீனிக்ஸ் (விண்ணூர்தி)	Phoenix (spacecraft)
ஒலிப்பியல்	Phonetics
பாஸ்பரஸ்	Phosphorus
ஒளிப்படவியல்	Photography
ஒளிச்சேர்க்கை	Photosynthesis
மருத்துவர்	Physician
இயற்பியல்	Physics
பகுப்பு:இயற்பியல்	Physics
பை	Pi
கின்னரப்பெட்டி	Piano
பிட்கின்	Pidgin (software)
பியேர்	Pierre
கோள்	Planet
தாவரம்	Plant
பிளாஸ்மா (இயற்பியல்)	Plasma (physics)
நெகிழி	Plastic
தட்டுப் புவிப்பொறைக் கட்டமைப்பு	Plate tectonics
இரத்தத் தட்டு	Platelet
பிளாட்டினம்	Platinum
பிளேட்டோ	Plato
பிளேபோய்	Playboy
கார்த்திகை (நட்சத்திரம்)	Pleiades (star cluster)
புளூட்டோ	Pluto
வலையொலி	Podcast
கவிதை	Poetry
புள்ளி	Point (geometry)
போலந்து	Poland
பனிக்கரடி	Polar bear
அரசியல்	Politics
பகுப்பு:அரசியல்	Politics
சூழல் மாசடைதல்	Pollution
பல்கோணம்	Polygon
பாலிவைனைல் குளோரைடு	Polyvinyl chloride
பாப்பரசர்	Pope
ஆபாசம்	Pornography
போர்ட்லன்ட் (ஒரிகன்)	Portland
போர்த்துகல்	Portugal
பகுப்பு:போர்த்துகல்	Portugal
போசீடான்	Poseidon
தபால்தலை	Postage stamp
பின்நவீனத்துவம்	Postmodernism
