Yiddish	English
מערי מעגדעלין	Mary Magdalene
מאסע	Mass
מעסעטשוסעטס	Massachusetts
מעסטובארטאציע	Masturbation
מאטעמאטיק	Mathematics
קאַטעגאָריע:מאטעמאטיק	Mathematics
מאטריאל	Matter
מאי	May
בירגערמייסטער	Mayor
מאס	Measurement
פלייש	Meat
מעכאניק	Mechanics
מעדיצין	Medication
קאַטעגאָריע:מעדעצין	Medicine
מיטלענדישער ים	Mediterranean Sea
מעלאן	Melon
זכרון	Memory
מנחם בעגין	Menachem Begin
מענעלאוס	Menelaus
מענטא	Mentha
שכיר חרב	Mercenary
מערקור	Mercury (planet)
משיח	Messiah
מעטאל	Metal
מעטאפאר	Metaphor
קאַטעגאָריע:מעטעאראלאגיע	Meteorology
מעטער	Metre
מעקסיקא	Mexico
מיאמי	Miami
מישיגן	Michigan
מיקראפאן	Microphone
מיקראסקאפ	Microscope
מיקראכוואליע	Microwave
מיטל אלטער	Middle Ages
מיטל מזרח	Middle East
קאַטעגאָריע:מיטל מזרח	Middle East
מילאן	Milan
מייל	Mile
קאַטעגאָריע:מיליטער	Military
מילך	Milk
מילארד פילמאר	Millard Fillmore
מיליאן	Million
מינעראל	Mineral
מינעסאטע	Minnesota
מינסק	Minsk
מינוט	Minute
נס	Miracle
שפיגל	Mirror
משניות	Mishnah
מיזורי	Missouri
מאביל טעלעפאן	Mobile phone
מאדעם	Modem
מאלדאוויע	Moldova
קאַטעגאָריע:מאלדאוויע	Moldova
מאלעקול	Molecule
קעניגרייך	Monarchy
מאנטיק	Monday
געלט	Money
מאנגאליי	Mongolia
מאנאטעיזם	Monotheism
מאנטענע	Montana
מאנאט	Month
מאנטרעאל	Montreal
לבנה	Moon
מוסר	Morality
מעהרען	Moravia
מאראקא	Morocco
קאַטעגאָריע:מאראקא	Morocco
מאסקווע	Moscow
משה רבינו	Moses
מוטער	Mother
מויז	Mouse
מויז (קאמפיוטער)	Mouse (computing)
מוחמד	Muhammad
טאפלונג	Multiplication
מינכן	Munich
מוסקל	Muscle
מוזעאום	Museum
שוועמל	Mushroom
מוזיק	Music
קאַטעגאָריע:מוזיק	Music
מוזיקער	Musician
מוזיקאלאגיע	Musicology
מוטאציע	Mutation
הארץ אטאקע	Myocardial infarction
מיסטיק	Mysticism
מיטאלאגיע	Mythology
קאַטעגאָריע:מיטאלאגיע	Mythology
נאגל (אנאטאמיע)	Nail (anatomy)
נאגל (בויען)	Nail (fastener)
נאפאלי	Naples
פאלק (נאציאן)	Nation
NSA	National Security Agency
נאציאנאליזם	Nationalism
קאַטעגאָריע:נאציאנאליזם	Nationalism
נאטורלעכע צאל	Natural number
נאטירלעכע סעלעקציע	Natural selection
נאטור	Nature
קאַטעגאָריע:נאטור	Nature
קאַטעגאָריע:נאוויגאציע	Navigation
נעבראסקא	Nebraska
נבוכדנאצר דער צווייטער	Nebuchadrezzar II
ניל ארמסטראנג	Neil Armstrong
האלאנד	Netherlands
ניוראן	Neuron
נעוואדא	Nevada
ניי דעלי	New Delhi
ניו העמפשער	New Hampshire
ניו זשערסי	New Jersey
קאַטעגאָריע:ניו זשערסי	New Jersey
ניו מעקסיקא	New Mexico
ברית החדשה	New Testament
ניו יארק	New York
קאַטעגאָריע:ניו יארק	New York
ניו יארק סיטי	New York City
ניו זילאנד	New Zealand
קאַטעגאָריע:ניו זילאנד	New Zealand
ניאגארא פאלס	Niagara Falls
ניקל	Nickel
ניקאטין	Nicotine
ניעלס באהר	Niels Bohr
ניזשעריא	Nigeria
נאכט	Night
נילוס	Nile
נח	Noah
נועם כאמסקי	Noam Chomsky
נאבעל־פריז	Nobel Prize
קאַטעגאָריע:נאבעל פריז	Nobel Prize
נאמינאטיוו	Nominative case
נישט-מעטאל	Nonmetal
צפון	North
נארט דעקאטע	North Dakota
נארט קארעא	North Korea
צפון ים	North Sea
נארוועגיע	Norway
נאז	Nose
סובסטאנטיוו	Noun
ראמאן	Novel
נאוועמבער	November
קערנפיזיק	Nuclear physics
צאל	Number
קאַטעגאָריע:נומערן	Numbers
נירנבערג	Nuremberg
גראב	Obesity
אקעאן	Ocean
אקעאנוס	Oceanus
אקטאבער	October
עדיפוס	Oedipus
אהאיא	Ohio
קאַטעגאָריע:אהאיא	Ohio
אויל	Oil
אקלעהאומע	Oklahoma
אליגאראכיע	Oligarchy
איילבירט	Olive
אמאן	Oman
צוויבל	Onion
אנטעריא	Ontario
אפערירן סיסטעם	Operating system
קאַטעגאָריע:אפטיק	Optics
ארעל סעקס	Oral sex
מאראנץ	Orange (fruit)
ארעגאן	Oregon
גליד	Organ (anatomy)
ארגאניזם	Organism
ארגענעזאציע	Organization
ארגאזם	Orgasm
אסאמא בין לאדען	Osama bin Laden
בת היענה	Ostrich
אטאווא	Ottawa
איי	Ovum
זויערשטאף	Oxygen
פאציפישער אקעאן	Pacific Ocean
אפגאט	Paganism
פאקיסטאן	Pakistan
קאַטעגאָריע:פאקיסטאן	Pakistan
פאליאנטאלאגיע	Paleontology
פאלעסטינע	Palestine
קאַטעגאָריע:פאלעסטינע	Palestine
פי.על.או.	Palestine Liberation Organization
קישקע	Pancreas
פאראבעל	Parabola
פאראגוויי	Paraguay
פאריז	Paris
קאַטעגאָריע:פאריז	Paris
פארלאמענט	Parliament
פאפוגיי	Parrot
פסח	Passover
פאספארט	Passport
פרידן	Peace
טארף	Peat
פעדעפיליע	Pedophilia
פינגװין	Penguin
פענסילוועניע	Pennsylvania
פינפעק	Pentagon
קאַטעגאָריע:פערזענלעכקייטן	People
כינע	People's Republic of China
פראצענט	Percentage
פעריאדישע טאבעלע	Periodic table
פערו	Peru
נאפט	Petroleum
פרעה	Pharaoh
פארינקס	Pharynx
פיליפינען	Philippines
פילאזאפיע	Philosophy
קאַטעגאָריע:פילאזאפיע	Philosophy
פאביע	Phobia
פאנעטיק	Phonetics
קאַטעגאָריע:פאנעטיק	Phonetics
פאטאגראפיע	Photography
דאקטער (מעדיצין)	Physician
פיזיק	Physics
קאַטעגאָריע:פיזיק	Physics
קאַטעגאָריע:פיזיאלאגיע	Physiology
סאסנע	Pine
פיצא	Pizza
פלאנעט	Planet
פלאנץ	Plant
פלאטו	Plato
פלוטאן	Pluto
לונגען אנטצינדונג	Pneumonia
פאדקעסט	Podcast
דיכטונג	Poetry
קאַטעגאָריע:דיכטונג	Poetry
פאגראם	Pogrom
פאקער	Poker
פוילן	Poland
קאַטעגאָריע:פוילן	Poland
פאליציי	Police
פאליטישע פארטיי	Political party
קאַטעגאָריע:פאליטישער וויסנשאפט	Political science
פאליטיק	Politics
קאַטעגאָריע:פאליטיק	Politics
פילעק	Polygon
פאלינאם	Polynomial
פויבסט	Pope
באפעלקערונג	Population
פארנאגראפיע	Pornography
פארטוגאל	Portugal
קארטאפל	Potato
פונט	Pound (mass)
מאכט	Power (physics)
פראג	Prague
תפילה	Prayer
שוואנגערן	Pregnancy
פרעזידענט	President
USA פרעזידענט	President of the United States
דרוק	Pressure
פרעמיער מיניסטער	Prime minister
פרימצאל	Prime number
טורמע	Prison
פראפעסאר	Professor
נביא	Prophet
פראזע (ליטעראטור)	Prose
פראטין	Protein
ספר תהילים	Psalms
פסיכיאטריע	Psychiatry
פסיכאלאגיע	Psychology
קאַטעגאָריע:פסיכאלאגיע	Psychology
פובליק רילעישאנס	Public relations
אויג אפעל	Pupil
פיראמיד	Pyramid
פיטאגאראס	Pythagoras
קוואדראטישע גלייכונג	Quadratic equation
קוויבעק	Quebec
קווינס	Queens
פראגע צייכן	Question mark
רב	Rabbi
ראסיזם	Racism
קאַטעגאָריע:ראדיאו	Radio
רעגן	Rain
רעגנבויגן	Rainbow
ראמאדאן	Ramadan
RAM	Random access memory
פארגעוואלדיגונג	Rape
ראפאעל	Raphael
רעאלע צאל	Real number
רעסעסיע	Recession
רויט	Red
ים סוף	Red Sea
רעפערענדום	Referendum
ברעכונג	Refraction
גלגול	Reincarnation
רעליגיע	Religion
קאַטעגאָריע:רעליגיע	Religion
רעמבראנדט	Rembrandt
ריפראדאקציע	Reproduction
רעפובליק	Republic
אירלאנד	Republic of Ireland
קאַטעגאָריע:אירלאנד	Republic of Ireland
רעפובליקאנער פארטיי	Republican Party (United States)
רעסטוראנט	Restaurant
רעוואלוציע	Revolution
ריין (טייך)	Rhine
ראוד איילענד	Rhode Island
גראמען	Rhyme
רייז	Rice
ריטשארד ניקסאן	Richard Nixon
ריכארד וואגנער	Richard Wagner
ריגע	Riga
ריא דע זשאנערא	Rio de Janeiro
טייך	River
ראבאט	Robot
שטיין	Rock (geology)
קאַטעגאָריע:ראק	Rock music
קאַטעגאָריע:רוימישע מיטאלאגיע	Roman mythology
ראמעניע	Romania
קאַטעגאָריע:רומעניע	Romania
רוים	Rome
קאַטעגאָריע:רוים	Rome
ראנאלד רעיגען	Ronald Reagan
ראש השנה	Rosh Hashanah
רוטירער	Router
ראבער	Rubber
רופארט מורדאק	Rupert Murdoch
רוסלאנד	Russia
קאַטעגאָריע:רוסלאנד	Russia
רוטערפארד בי. העיס	Rutherford B. Hayes
סאדאם כוסעין	Saddam Hussein
סאפארי	Safari (web browser)
שפייאכץ	Saliva
סאלמאן ראשדי	Salman Rushdie
זאלץ	Salt (chemistry)
זאלצבורג	Salzburg
שרה בערנאר	Sarah Bernhardt
סאסקאטשעווען	Saskatchewan
סאטעליט	Satellite
סאול בעלאו	Saul Bellow
ווורשט	Sausage
שולע	School
עס.עס.	Schutzstaffel
וויסנשאפט	Science
קאַטעגאָריע:וויסנשאפט	Science
סקולפטור	Sculpture
ים	Sea
ים פון מארמארא	Sea of Marmara
סיאטל	Seattle
סעקונדע	Second
קאַטעגאָריע:זיכערהייט	Security
זרע	Semen
9/11	September 11
סערביע	Serbia
קאַטעגאָריע:סערביע	Serbia
סכום (מאטעמאטיק)	Set
סכומען טעאריע	Set theory
זיבן יעריגער קריג	Seven Years' War
אקציע (פינאנץ)	Share (finance)
שארק	Shark
שיף	Ship
זיגמונד פרויד	Sigmund Freud
זילבער	Silver
זינד	Sin
סינגאפור	Singapore
קאַטעגאָריע:סינגאפור	Singapore
זעקסטאגיקע מלחמה	Six-Day War
הויט	Skin
סקינהעד	Skinhead
וואלקן קראצער	Skyscraper
שלאף	Sleep
סלאוואקיי	Slovakia
קאַטעגאָריע:סלאוואקיי	Slovakia
סלאוועניע	Slovenia
קאַטעגאָריע:סלאוועניע	Slovenia
שלאנג	Snake
שניי	Snow
זייף	Soap
סאציאליזם	Socialism
קאַטעגאָריע:סאציאליזם	Socialism
קאַטעגאָריע:געזעלשאפט	Society
געזעלשאפט	Society
סאציאלאגיע	Sociology
קאַטעגאָריע:סאציאלאגיע	Sociology
סאפיע, בולגאריע	Sofia
קאַטעגאָריע:סאפטוועיר	Software
באדן	Soil
זון סיסטעם	Solar System
קאַטעגאָריע:סאלאר סיסטעם	Solar System
שלמה המלך	Solomon
סאמאליע	Somalia
ליד	Song
שיר השירים	Song of Solomon
נשמה	Soul
זופ	Soup
דרום	South
קאַטעגאָריע:דרום אפריקע	South Africa
דרום אמעריקע	South America
קאַטעגאָריע:דרום אמעריקע	South America
סאוט קארעליינע	South Carolina
סאוט-דעקאטע	South Dakota
דרום קארעע	South Korea
דרום פאלוס	South Pole
אויבערשאפט	Sovereignty
סאוועטן פארבאנד	Soviet Union
ספעיס שאטעל	Space Shuttle
שפאניע	Spain
ספעם	Spam (electronic)
ספעציעלע טעאריע פון רעלאטיוויטעט	Special relativity
זגאל	Species
זרע	Spermatozoon
ספינקס	Sphinx
ספיידער	Spider
ספארט	Sport
ספרעדשיט	Spreadsheet
פרילינג	Spring (season)
קוואדראט	Square (geometry)
קוואדראט ווארצל	Square root
שטערן	Star
מגן דוד	Star of David
סטארטש	Starch
שטאט	State
סטאטיסטיק	Statistics
קאַטעגאָריע:סטאטיסטיק	Statistics
סטעטשו אוו ליבערטי	Statue of Liberty
פארע	Steam
סטעם צעל	Stem cell
סטיווען האקינג	Stephen Hawking
סטיווען ספילבערג	Steven Spielberg
סטאק עקסטשעינזש	Stock exchange
שטאקהאלם	Stockholm
מאגן	Stomach
שטיין עפאכע	Stone Age
קאַטעגאָריע:דורכגאסן	Straits
שטראסבורג	Strasbourg
טרוסקאווקע	Strawberry
סטודענט	Student
שטוטגארט	Stuttgart
אראפנעם	Subtraction
סודאן	Sudan
סודאקו	Sudoku
סועץ קאנאל	Suez Canal
צוקער	Sugar
שװעבל	Sulfur
זומער	Summer
זון	Sun
זונטיק	Sunday
סוניס	Sunni Islam
סורינאם	Suriname
האקנקרייץ	Swastika
שוועדן	Sweden
קאַטעגאָריע:שוועדן	Sweden
שווייץ	Switzerland
ארויסזאג	Syllable
סימפטאם	Symptom
שול	Synagogue
סיריע	Syria
סיסטעם	System
טיש	Table (furniture)
טאבו	Taboo
טייוואן	Taiwan
טאדזשיקיסטאן	Tajikistan
טאליבאן	Taliban
טאלין	Tallinn
תלמוד	Talmud
תנ"ך	Tanakh
טאנגא	Tango (dance)
טאנק	Tank
טאפיר	Tapir
טאשקענט	Tashkent
טעם	Taste
טאטו	Tattoo
טאקסאנאמיע	Taxonomy
טביליסי	Tbilisi
לערער	Teacher
טעכנאלאגיע	Technology
קאַטעגאָריע:טעכנעלאגיע	Technology
טעהראן	Tehran
תל אביב	Tel Aviv
טעלעפאן	Telephone
טעלעסקאפ	Telescope
טעלעוויזיע	Television
קאַטעגאָריע:טעלעוויזיע	Television
טעמפעראטור	Temperature
עשרת הדיברות	Ten Commandments
טענעסי	Tennessee
טעראריזם	Terrorism
קאַטעגאָריע:טעראר	Terrorism
טעקסעס	Texas
טיילאנד	Thailand
דען האג	The Hague
די סטאר ספענגלד בענער	The Star-Spangled Banner
טעאטער	Theatre
קאַטעגאָריע:טעאטער	Theatre
טעאודער רוזעוועלט	Theodore Roosevelt
טעאלאגיע	Theology
קאַטעגאָריע:טעאלאגיע	Theology
טעאריע	Theory
טאמעס עדיסאן	Thomas Edison
טאמעס זשעפערסאן	Thomas Jefferson
טראכטן	Thought
דאנערשטיק	Thursday
טיירויד	Thyroid
טיגער	Tiger
צייט	Time
קאַטעגאָריע:צייט	Time
צין	Tin
ביאלאגישע טישו	Tissue (biology)
טיטאניום	Titanium
טאבאקא	Tobacco
טאמאטע	Tomato
טאן	Ton
צונג	Tongue
טאן	Tonne
טאני בלער	Tony Blair
ווערקצייג	Tool
ציין	Tooth
תורה	Torah
טארנאדא	Tornado
טאראנטא	Toronto
טוירק	Torque
טולוז	Toulouse
טור דע פראנס	Tour de France
טוריזם	Tourism
קאַטעגאָריע:טוריזם	Tourism
האנדל	Trade
טראדיציע	Tradition
טראגעדיע	Tragedy
באן	Train
וואקזאל	Train station
טראמוויי	Tram
טראנזיסטאר	Transistor
קאַטעגאָריע:טראנספארטאציע	Transportation
טרענסעקסואליזם	Transsexualism
זיבנבורגן	Transylvania
טראפעז	Trapezoid
אפמאך פון ווערסיי	Treaty of Versailles
בוים	Tree
דרייעק	Triangle
טריפאלי	Tripoli
טרויאנישער קריג	Trojan War
טראל (אינטערנעט)	Troll (Internet)
לאסט אויטא	Truck
אמת	Truth
צונאמי	Tsunami
טובערקולאז	Tuberculosis
דינסטיק	Tuesday
טערקיי	Turkey
קאַטעגאָריע:טערקיי	Turkey
טורקמעניסטאן	Turkmenistan
קאַטעגאָריע:טורקמעניסטאן	Turkmenistan
שרייבמאשין	Typewriter
אוקריינא	Ukraine
קאַטעגאָריע:אוקריינע	Ukraine
יוליסעס סימפסאן גרענט	Ulysses S. Grant
דער אימזיכערקייט פרינציפ	Uncertainty principle
ארבעטסלאזיקײט	Unemployment
אומאידענטיפיצירטער פליענדער אביעקט	Unidentified flying object
פאראייניגטע קעניגרייך	United Kingdom
קאַטעגאָריע:בריטאניע	United Kingdom
יו ען	United Nations
פאראייניקטע שטאטן פון אמעריקע	United States
קאַטעגאָריע:USA	United States
אמעריקאנער לופטפלאט	United States Air Force
קאנגרעס	United States Congress
אמעריקאנער פלאט	United States Navy
סענאט	United States Senate
אמעריקאנער וואלוטע	United States dollar
אוניווערס	Universe
אוניווערסיטעט	University
יוניקס	Unix
אוראנוס	Uranus
אוראנוס (אפגאט)	Uranus (mythology)
יורינע	Urine
אורוגוויי	Uruguay
יוטא	Utah
רחם	Uterus
אוזבעקיסטאן	Uzbekistan
קאַטעגאָריע:אוזבעקיסטאן	Uzbekistan
וואקיום	Vacuum
וועזשיינע	Vagina
וועלענטיינס דעי	Valentine's Day
וואטיקאן	Vatican City
קאַטעגאָריע:וואטיקאן	Vatican City
וועקטאר	Vector (spatial)
גרינצייג	Vegetable
ווענעזועלע	Venezuela
קאַטעגאָריע:װענעזועלע	Venezuela
ווענעציע	Venice
ווענוס	Venus
צייטווארט	Verb
ווערמאנט	Vermont
רוקן ביין	Vertebral column
ווערטייברעיטס	Vertebrate
ווידיאו	Video
וויען	Vienna
ווילנע	Vilnius
ווינצענט וואן גאך	Vincent van Gogh
עסיג	Vinegar
פידל	Violin
ווירזשיניע	Virginia
מעלות	Virtue
ווירוס	Virus
וויטאמין	Vitamin
וויטאמין C	Vitamin C
וויטאמין D	Vitamin D
וולאדימיר פוטין	Vladimir Putin
וואולקאן	Volcano
וואקאלן	Vowel
וואלראס	Walrus
קריג	War
קאַטעגאָריע:מלחמות	War
ווארשע	Warsaw
חזיר ווארצל	Wart
וואשינגטאן די סי	Washington
וואשינגטאן	Washington
קאַטעגאָריע:וואשינגטאן	Washington
מיסט	Waste
וואסער	Water
קאַטעגאָריע:וואסער	Water
מעלאנע	Watermelon
וועטער	Weather
בראוזער	Web browser
וועב סייט	Web page
וועב סייט	Website
מיטוואך	Wednesday
וואָך	Week
וואג	Weight
װעלינגטאן	Wellington
מערב	West
מערב ברעג	West Bank
וועסט ווירדזשיניע	West Virginia
וואל-פיש	Whale
ווייץ	Wheat
ראד	Wheel
ווייסע הויז	White House
ווייסע בלוט צעל	White blood cell
וויליאם הענרי העריסאן	William Henry Harrison
וויליאם האווארד טעפט	William Howard Taft
וויליאם מעקינלי	William McKinley
וויליאם שייקספיר	William Shakespeare
ערבה	Willow
בלאז אינסטרומענטן	Wind instrument
פענסטער	Window
וויין	Wine
ווינסטאן טשערטשיל	Winston Churchill
ווינטער	Winter
וויסקאנסין	Wisconsin
וואלפגאנג אמאדעיוס מאצארט	Wolfgang Amadeus Mozart
פרוי	Woman
האלץ	Wood
טאמעס וואדראו ווילסאן	Woodrow Wilson
וואדי עלען	Woody Allen
װאָרט	Word
ווארט פראצעסאר	Word processor
וועלט	World
װעלט געזונט ארגאניזאציע	World Health Organization
World Trade Center	World Trade Center
ערשטע וועלט מלחמה	World War I
קאַטעגאָריע:ערשטע וועלט מלחמה	World War I
צווייטער וועלט קריג	World War II
קאַטעגאָריע:צווייטער וועלט קריג	World War II
וואָרעם	Worm
שרייבער	Writer
ווייאמינג	Wyoming
עקס-רעי	X-ray
יאסיר אראפאט	Yasser Arafat
יאר	Year
קאַטעגאָריע:יארן	Years
הייוון	Yeast
געל	Yellow
תימן	Yemen
יערעוואן	Yerevan
יאגא	Yoga
יאגארט	Yoghurt
יום כיפור	Yom Kippur
יום כיפור מלחמה	Yom Kippur War
זאכארי טעילאר	Zachary Taylor
זעאוס	Zeus
זימבאבװע	Zimbabwe
ציוניזם	Zionism
זאאלאגיע	Zoology
קאַטעגאָריע:זאאלאגיע	Zoology
