Bulgarian	English
8 декември	December 8
Децибел	Decibel
Деций Траян	Decius (emperor)
Деклинация	Declination
Деко	Deco
Деконструкция	Deconstruction
Дедукция	Deductive reasoning
Еленови	Deer
Градус	Degree
Градус (ъгъл)	Degree (angle)
Деймос (спътник)	Deimos (moon)
Делауеър	Delaware
Категория:Делауеър	Delaware
Делфт	Delft
Делхи	Delhi
Dell	Dell
Делфи	Delphi
Делфин (съзвездие)	Delphinus
Делта (пояснение)	Delta
Делта	Delta (letter)
Потоп	Deluge (mythology)
Деменция	Dementia
Деметра	Demeter
Демокрация	Democracy
Демократическа партия (САЩ)	Democratic Party (United States)
Демократична република Конго	Democratic Republic of the Congo
Категория:Демократична република Конго	Democratic Republic of the Congo
Демокрит	Democritus
Демография	Demography
Категория:Демография	Demography
Демон	Demon
Демостен	Demosthenes
Дън Сяопин	Deng Xiaoping
Денга	Dengue fever
Дени Дидро	Denis Diderot
Дания	Denmark
Категория:Дания	Denmark
Денис Габор	Dennis Gabor
Плътност	Density
Кариес	Dental caries
Категория:Стоматология	Dentistry
Денвър	Denver
Производна	Derivative
Дерматология	Dermatology
Де Мойн	Des Moines
Пустиня	Desert
Категория:Пустини	Deserts
Еразъм Ротердамски	Desiderius Erasmus
Дизайн	Design
Категория:Дизайн	Design
Дезмънд Туту	Desmond Tutu
Детерминанта	Determinant
Детерминизъм	Determinism
Детройт	Detroit
Деутерий	Deuterium
Второзаконие	Deuteronomy
Десетична класификация на Дюи	Dewey Decimal Classification
Дака	Dhaka
Дхаулагири	Dhaulagiri
Азиатско диво куче	Dhole
Диабет	Diabetes mellitus
Диалект	Dialect
Диалектика	Dialectic
Диалектически материализъм	Dialectical materialism
Диаметър	Diameter
Диамант	Diamond
Даяна Спенсър	Diana
Диана (богиня)	Diana (mythology)
Зар	Dice
Двусемеделни	Dicotyledon
Диктатура	Dictatorship
Речник	Dictionary
Диего Ривера	Diego Rivera
Дизел	Diesel
Диференциално уравнение	Differential equation
Дифракция	Diffraction
Категория:Храносмилателна система	Digestive system
Цифров фотоапарат	Digital camera
Цифрова фотография	Digital photography
Цифрова абонатна линия	Digital subscriber line
Дижон	Dijon
Копър	Dill
Динозаври	Dinosaur
Диоцез	Diocese
Диоклециан	Diocletian
Диод	Diode
Дионис	Dionysus
Дифтерия	Diphtheria
Диплодок	Diplodocus
Дипломация	Diplomacy
Категория:Дипломация	Diplomacy
Dire Straits	Dire Straits
Постоянен ток	Direct current
Дизахарид	Disaccharide
Категория:Пояснителни страници	Disambiguation
Диджей	Disc jockey
Дискурс	Discourse
Дискриминация	Discrimination
Болест	Disease
Разстояние	Distance
Дестилация	Distillation
Дивергенция (математика)	Divergence
Деление	Division (mathematics)
Дивизия	Division (military)
Развод	Divorce
Дизи Гилеспи	Dizzy Gillespie
Категория:Джибути	Djibouti
Джибути (град)	Djibouti (city)
Димитрий Менделеев	Dmitri Mendeleev
Дмитрий Шостакович	Dmitri Shostakovich
Днепър	Dnieper River
Днепропетровск	Dnipropetrovsk
Документ	Document
Додеканези	Dodecanese
Додо	Dodo
Додома	Dodoma
Домашно куче	Dog
Доха	Doha
Доли (овца)	Dolly (sheep)
Долмен	Dolmen
Доломит	Dolomite
Делфинови	Dolphin
Доминика	Dominica
Категория:Доминика	Dominica
Доминиканска република	Dominican Republic
Домициан	Domitian
Дон Кихот	Don Quixote
Дон	Don River (Russia)
Доналд Дък	Donald Duck
Донатело	Donatello
Донато Браманте	Donato Bramante
Донецк	Donetsk
Магаре	Donkey
Врата	Door
Допамин	Dopamine
Доплеров ефект	Doppler effect
Златна рибка (съзвездие)	Dorado
Дорийски стил	Doric order
Дорис Лесинг	Doris Lessing
Дортмунд	Dortmund
Дуала	Douala
Контрабас	Double bass
Дъглас Макартър	Douglas MacArthur
Доувър (Делауеър)	Dover
Дракон (съзвездие)	Draco (constellation)
Дракула	Dracula
Дракон	Dragon
Драма (литература)	Drama
Дрезден	Dresden
Пристрастяване	Drug addiction
Друид	Druid
Барабан	Drum
Дуализъм (религия)	Dualism
Дуализъм (философия)	Dualism (philosophy of mind)
Дубай	Dubai
Дъблин	Dublin
Дубний	Dubnium
Дубровник	Dubrovnik
Патица	Duck
Херцог	Duke
Дюк Елингтън	Duke Ellington
Университет Дюк	Duke University
Дюна	Dune
Дюнкерк	Dunkirk
Дърбан	Durban
Душанбе	Dushanbe
Дъстин Хофман	Dustin Hoffman
Категория:Холандци	Dutch people
Дуайт Айзенхауер	Dwight D. Eisenhower
Динамика	Dynamics (physics)
Динамит	Dynamite
Династия	Dynasty
Антиутопия	Dystopia
E	E
Неперово число	E (mathematical constant)
Електронна поща	E-mail
Ернст Теодор Амадеус Хофман	E. T. A. Hoffmann
ЕТА	ETA
Орел	Eagle
Ухо	Ear
Ушати тюлени	Eared seal
Същински тюлени	Earless seal
Земя	Earth
Категория:Земя	Earth
Науки за Земята	Earth science
Земетресение	Earthquake
Изток	East
Източна Африка	East Africa
Източнокитайско море	East China Sea
Германска демократична република	East Germany
Източен Тимор	East Timor
Категория:Източен Тимор	East Timor
Великден	Easter
Източноправославна църква	Eastern Orthodox Church
Ебро	Ebro
Ексцентрицитет (орбита)	Eccentricity (mathematics)
Еклисиаст	Ecclesiastes
Ехидни	Echidna
Ехидна (митология)	Echidna (mythology)
Иглокожи	Echinoderm
Затъмнение	Eclipse
Еклиптика	Ecliptic
Екологична ниша	Ecological niche
Екология	Ecology
Категория:Екология	Ecology
Икономика (наука)	Economics
Категория:Икономика	Economics
Икономика (наука)	Economy
Екосистема	Ecosystem
Еквадор	Ecuador
Категория:Еквадор	Ecuador
Вселенски събор	Ecumenical council
Едгар Алън По	Edgar Allan Poe
Едгар Дега	Edgar Degas
Единбург	Edinburgh
Одрин	Edirne
Едмънд Халей	Edmond Halley
Едмънтън	Edmonton
Едмънд Бърк	Edmund Burke
Едмънд Хилари	Edmund Hillary
Едмунд Хусерл	Edmund Husserl
Едуард Бухнер	Eduard Buchner
Образование	Education
Категория:Образование	Education
Едвард Григ	Edvard Grieg
Едвард Мунк	Edvard Munch
Едуин Хъбъл	Edwin Hubble
Змиоркообразни	Eel
Яйце	Egg (biology)
Патладжан	Eggplant
Египет	Egypt
Категория:Египет	Egypt
Египтология	Egyptology
Айфелова кула	Eiffel Tower
Айндховен	Eindhoven
Еякулация	Ejaculation
Ел Греко	El Greco
Ел Пасо	El Paso
Салвадор	El Salvador
Категория:Салвадор	El Salvador
Елба (река)	Elbe
Елинор Рузвелт	Eleanor Roosevelt
Избори	Election
Електра	Electra
Електрически заряд	Electric charge
Електрически ток	Electric current
Електрично поле	Electric field
Електрическа китара	Electric guitar
Категория:Електротехника	Electrical engineering
Електротехника	Electrical engineering
Електрическо съпротивление	Electrical resistance
Електричество	Electricity
Категория:Електричество	Electricity
Електрохимия	Electrochemistry
Категория:Електрохимия	Electrochemistry
Електролит	Electrolyte
Електромагнитно излъчване	Electromagnetic radiation
Електромагнитен спектър	Electromagnetic spectrum
Категория:Електромагнетизъм	Electromagnetism
Електрон	Electron
Електроотрицателност	Electronegativity
Електроника	Electronics
Категория:Електроника	Electronics
Елегия	Elegy
Елементарна частица	Elementary particle
Слонове	Elephant
Асансьор	Elevator
Елфи	Elf
Елия Казан	Elia Kazan
Елиас Канети	Elias Canetti
Свети Илия	Elijah
Елизабет Тейлър	Elizabeth Taylor
Ела Фицджералд	Ella Fitzgerald
Елипса	Ellipse
Многоточие	Ellipsis
Бряст	Elm
Елвис Пресли	Elvis Presley
Изумруд	Emerald
Емилия-Романя	Emilia-Romagna
Емилиано Сапата	Emiliano Zapata
Емили Дикинсън	Emily Dickinson
Емотикон	Emoticon
Емоция	Emotion
Категория:Емоционалност	Emotion
Емпатия	Empathy
Емпедокъл	Empedocles
Кайзер	Emperor
Императорски пингвин	Emperor Penguin
Империя	Empire
Емпайър Стейт Билдинг	Empire State Building
Емпиризъм	Empiricism
Емута	Emu
Емулсия	Emulsion
Енциклопедия	Encyclopedia
Ендемит	Endemism
Ендокринна система	Endocrine system
Ендокринология	Endocrinology
Категория:Ендокринология	Endocrinology
Енергия	Energy
Категория:Енергия	Energy
Енергия	Energy (society)
Двигател	Engine
Инженер	Engineer
Инженерство	Engineering
Категория:Инженерство	Engineering
Англия	England
Категория:Англия	England
Ла Манш	English Channel
Английска революция	English Civil War
Английски език	English language
Категория:Англичани	English people
Енки	Enki
Енрико Карузо	Enrico Caruso
Енрико Ферми	Enrico Fermi
Категория:Забавление	Entertainment
Енталпия	Enthalpy
Ентомология	Entomology
Категория:Ентомология	Entomology
Ентропия	Entropy
Категория:Околна среда	Environment
Ензим	Enzyme
Еон (геология)	Eon (geology)
Еос	Eos
Ефес	Ephesus
Епос	Epic poetry
Епицентър	Epicenter
Епикур	Epicurus
Епиграфика	Epigraphy
Епилепсия	Epilepsy
Епиметей	Epimetheus (mythology)
Адреналин	Epinephrine
Богоявление	Epiphany (Christian)
Епир	Epirus (periphery)
Епистемология	Epistemology
Послание към римляните	Epistle to the Romans
Епителна тъкан	Epithelium
Епсилон	Epsilon
Екватор	Equator
Екваториална Гвинея	Equatorial Guinea
Категория:Екваториална Гвинея	Equatorial Guinea
Коне	Equidae
Равноденствие	Equinox
Хвощ	Equisetum
Ирейжър	Erasure
Ерато	Erato
Ератостен	Eratosthenes
Ереб	Erebus
Ерекция	Erection
Пиренови	Ericaceae
Ericales	Ericales
Еридан (съзвездие)	Eridanus (constellation)
Ерик Аксел Карлфелт	Erik Axel Karlfeldt
Ерида (планета-джудже)	Eris (dwarf planet)
Ерида	Eris (mythology)
Категория:Еритрея	Eritrea
Ърнест Хемингуей	Ernest Hemingway
Ърнест Ръдърфорд	Ernest Rutherford
Вернер фон Сименс	Ernst Werner von Siemens
Ерос	Eros (mythology)
Ерозия на почвата	Erosion
Еротика	Erotica
Ервин Ромел	Erwin Rommel
Втора космическа скорост	Escape velocity
Escherichia coli	Escherichia coli
Исфахан	Esfahan
Хранопровод	Esophagus
Есперанто	Esperanto
Шпионаж	Espionage
Еспоо	Espoo
Есе	Essay
Есен (град)	Essen
Есекс	Essex
Естер	Ester
Категория:Естония	Estonia
Естроген	Estrogen
Ета (буква)	Eta (letter)
Офорт	Etching
Етанол	Ethanol
Етернет	Ethernet
Етика	Ethics
Категория:Етика	Ethics
Етиопия	Ethiopia
Категория:Етиопия	Ethiopia
Етническа група	Ethnic group
Етнография	Ethnography
Етология	Ethology
Етилен	Ethylene
Етимология	Etymology
Евкалипт	Eucalyptus
Евклид	Euclid
Евклидова геометрия	Euclidean geometry
Юджийн О'Нийл	Eugene O'Neill
Еукариоти	Eukaryote
Евнух	Eunuch
Евфемизъм	Euphemism
Ефрат	Euphrates
Евразия	Eurasia
Язовец	Eurasian Badger
Еврипид	Euripides
Евро	Euro
Европа (спътник)	Europa (moon)
Европа (митология)	Europa (mythology)
Европа	Europe
Категория:Европа	Europe
Европейска централна банка	European Central Bank
Европейска общност	European Community
Сврака	European Magpie
Европейски съюз	European Union
Категория:Европейски съюз	European Union
Евсевий Кесарийски	Eusebius of Caesarea
Евтерпа	Euterpe
Евтаназия	Euthanasia
Evanescence	Evanescence
Еванджелиста Торичели	Evangelista Torricelli
Изпарение	Evaporation
Чифтокопитни	Even-toed ungulate
Еволюция	Evolution
Екскалибур	Excalibur
Изпълнителна власт	Executive (government)
Ексхибиционизъм	Exhibitionism
Екзистенциализъм	Existentialism
Изход (Библия)	Exodus
Експеримент	Experiment
Взрив	Explosion
Световно изложение	Expo (exhibition)
Експресионизъм	Expressionism
Измиране	Extinction
Око	Eye
Франсис Скот Фицджералд	F. Scott Fitzgerald
Басня	Fable
Шаблон:Посочи източник	Fact
Факториел	Factorial
Слънчево петно	Facula
Фадо	Fado
Категория:Букови	Fagaceae
Fagales	Fagales
Фаренхайт	Fahrenheit
Честна употреба	Fair use
Фея	Fairy
Приказка	Fairy tale
Соколи	Falcon
Фолкландски острови	Falkland Islands
Маточна тръба	Fallopian tube
Елен лопатар	Fallow Deer
Фентъзи	Fantasy
Далечен Изток	Far East
Фарад	Farad
Категория:Фарьорски острови	Faroe Islands
Фашизъм	Fascism
Категория:Фашизъм	Fascism
Категория:Мода	Fashion
Мода	Fashion
Бързо хранене	Fast food
Фатах	Fatah
Разлом	Fault (geology)
Фовизъм	Fauvism
Факс	Fax
Страх	Fear
Перо	Feather
Февруари	February
12 февруари	February 12
14 февруари	February 14
2 февруари	February 2
22 февруари	February 22
29 февруари	February 29
Февруарска революция (1917)	February Revolution
Изпражнения	Feces
Федерално бюро за разследване	Federal Bureau of Investigation
Федерален резерв	Federal Reserve System
Микронезия (държава)	Federated States of Micronesia
Федерация	Federation
Федерико Фелини	Federico Fellini
Коткови	Felidae
Феликс Менделсон Бартолди	Felix Mendelssohn
Феминизъм	Feminism
Категория:Феминизъм	Feminism
Фехтовка	Fencing
Фън шуй	Feng shui
Резене	Fennel
Сминдух	Fenugreek
Фердинанд II (Свещена Римска империя)	Ferdinand II
Фернандо Магелан	Ferdinand Magellan
Фердинанд дьо Сосюр	Ferdinand de Saussure
Ферментация	Fermentation (biochemistry)
Ферментация	Fermentation (food)
Фермион	Fermion
Папратовидни	Fern
Ферара	Ferrara
Ферибот	Ferry
Плодороден полумесец	Fertile Crescent
Зачеване	Fertilisation
Феодализъм	Feudalism
Треска (болест)	Fever
FIAT	Fiat
Числа на Фибоначи	Fibonacci number
Категория:Художествена литература	Fiction
Фидел Кастро	Fidel Castro
Хокей на трева	Field hockey
Изтребител	Fighter aircraft
Фигурно пързаляне	Figure skating
Фиджи	Fiji
Категория:Фиджи	Fiji
Протокол за трансфер на файлове	File Transfer Protocol
Филипо Брунелески	Filippo Brunelleschi
Категория:Филми	Film
Портал:Филми	Film
Режисьор	Film director
Категория:Финанси	Finance
Финландия	Finland
Категория:Финландия	Finland
Ела	Fir
Огън	Fire
Огнестрелно оръжие	Firearm
Пожарникар	Firefighter
Защитна стена	Firewall (networking)
Първи кръстоносен поход	First Crusade
Първо послание към коринтяните	First Epistle to the Corinthians
Първа помощ	First aid
Риби	Fish
Категория:Риби	Fish
Риболов	Fishing
Категория:Риболов	Fishing
Фиорд	Fjord
Знаме	Flag
Фламенко	Flamenco
Флаш-памет	Flash memory
Флатуленция	Flatulence
Плоски червеи	Flatworm
Фламандски език	Flemish (linguistics)
Тригер (електроника)	Flip-flop (electronics)
Наводнение	Flood
Гъвкав магнитен диск	Floppy disk
Флоренция	Florence
Флорида	Florida
Категория:Флорида	Florida
Цвете	Flower
Покритосеменни	Flowering plant
Флуид	Fluid
Механика на флуидите	Fluid mechanics
Флуорит	Fluorite
Флейта	Flute
Мъгла	Fog
Фолиева киселина	Folic acid
Народно творчество	Folklore
Категория:Фолклор	Folklore
Храна	Food
Хранителна добавка	Food additive
Хранителна верига	Food chain
Фут	Foot (unit of length)
Футбол	Football (soccer)
Категория:Футбол	Football (soccer)
Категория:Футбол по страна	Football (soccer) by country
Категория:Футболни отбори	Football (soccer) clubs
Категория:Треньори по футбол	Football (soccer) managers
Категория:Футболисти	Football (soccer) players
Категория:Футболни стадиони	Football (soccer) venues
Сила	Force
Гора	Forest
горско стопанство (икономика)	Forestry
Форма на държавно управление	Form of government
Формалдехид	Formaldehyde
Мравчена киселина	Formic acid
Форт Уърт	Fort Worth
Крепост	Fortification
FORTRAN	Fortran
Фосил	Fossil
Махало на Фуко	Foucault pendulum
Четвърти кръстоносен поход	Fourth Crusade
Лисица	Fox
Фрактал	Fractal
Дроб (математика)	Fraction (mathematics)
Франция	France
Категория:Франция	France
Френсис Бейкън	Francis Bacon
Франсис Крик	Francis Crick
Френсис Дрейк	Francis Drake
Франсис Форд Копола	Francis Ford Coppola
Франц II (Свещена Римска империя)	Francis II
Франциск от Асизи	Francis of Assisi
Франсиско Франко	Francisco Franco
Франсиско Гоя	Francisco Goya
Френско-пруска война	Franco-Prussian War
Франк Синатра	Frank Sinatra
Франкфурт на Майн	Frankfurt
Франкфурт на Одер	Frankfurt (Oder)
Франкфурт	Frankfurt (disambiguation)
Франклин Пиърс	Franklin Pierce
Франс Халс	Frans Hals
Франц Кафка	Franz Kafka
Ференц Лист	Franz Liszt
Франц Шуберт	Franz Schubert
Фред Астер	Fred Astaire
Фридрих I Барбароса	Frederick I
Фредериктън	Fredericton
Фрайстат	Free State
Свобода на словото	Freedom of speech
Масонство	Freemasonry
Фрийтаун	Freetown
Френска Полинезия	French Polynesia
Френска революция	French Revolution
Френски франк	French franc
Категория:Французи	French people
Честота	Frequency
Стенопис	Fresco
Фресно (град)	Fresno
Триене	Friction
Петък	Friday
Фритьоф Нансен	Fridtjof Nansen
Фридрих Енгелс	Friedrich Engels
Фриц Хабер	Fritz Haber
Фриули-Венеция Джулия	Friuli-Venezia Giulia
Безопашати земноводни	Frog
Фруктоза	Fructose
Плод	Fruit
Категория:Плодове	Fruit
Гориво	Fuel
Горивна клетка	Fuel cell
Фуга (музика)	Fugue
Фукуока	Fukuoka
Функция	Function (mathematics)
Категория:Начална категория	Fundamental
Фундаментализъм	Fundamentalism
Категория:Гъби	Fungi
Гъби	Fungus
Фънк музика	Funk
Категория:Обзавеждане	Furniture
Мебел	Furniture
Футуризъм	Futurism (art)
Фьодор Достоевски	Fyodor Dostoevsky
G	G
The GIMP	GIMP
GNOME	GNOME
ГНУ	GNU
Габон	Gabon
Категория:Габон	Gabon
Габороне	Gaborone
Гаврил (архангел)	Gabriel
Габриел Липман	Gabriel Lippmann
Гадолиний	Gadolinium
Гаетано Доницети	Gaetano Donizetti
Гея (митология)	Gaia (mythology)
Галактика	Galaxy
Галиция	Galicia (Central Europe)
Галисия	Galicia (Spain)
Галилео (космически апарат)	Galileo (spacecraft)
Галилео Галилей	Galileo Galilei
Кокошоподобни	Galliformes
Категория:Кокошоподобни	Galliformes
Галий	Gallium
Галон	Gallon
Голуей	Galway
Гамал Абдел Насър	Gamal Abdel Nasser
Хазарт	Gambling
Игра	Game
Теория на игрите	Game theory
Гама (буква)	Gamma
Гама-лъчи	Gamma ray
Ганеша	Ganesha
Ганг	Ganges
Гансу	Gansu
Ганимед (митология)	Ganymede
Ганимед (спътник)	Ganymede (moon)
Гап	Gap
Градина	Garden
Градинарство	Gardening
Гаргойл	Gargoyle
Чесън	Garlic
Гранат	Garnet
Гарона	Garonne
Газ	Gas
Универсална газова константа	Gas constant
Газов гигант	Gas giant
Бензин	Gasoline
Храносмилателна система	Gastrointestinal tract
Коремоноги	Gastropoda
Галия	Gaul
Гей	Gay
Газа	Gaza
Ивица Газа	Gaza Strip
Геб	Geb
Гейша	Geisha
Близнаци (съзвездие)	Gemini (constellation)
Скъпоценен камък	Gemstone
Ген	Gene
Категория:Генеалогия	Genealogy
Общо споразумение за митата и търговията	General Agreement on Tariffs and Trade
Генерал	General Officer
Обща теория на относителността	General relativity
Битие (Библия)	Genesis
Генетичен код	Genetic code
Генетика	Genetics
Категория:Генетика	Genetics
Женева	Geneva
Джин (дух)	Genie
Родителен падеж	Genitive case
Генуа	Genoa
Геноцид	Genocide
Категория:Геноцид	Genocide
Геном	Genome
Генотип	Genotype
Геохимия	Geochemistry
Геодезия	Geodesy
Категория:Геодезия	Geodesy
Джефри Чосър	Geoffrey Chaucer
География	Geography
Категория:География	Geography
Портал:География	Geography
Категория:Геология	Geology
Геология	Geology
Геометрична прогресия	Geometric progression
Геометрия	Geometry
Категория:Геометрия	Geometry
Геоморфология	Geomorphology
Категория:Геоморфология	Geomorphology
Категория:Геофизика	Geophysics
Геополитика	Geopolitics
Георг Филип Телеман	Georg Philipp Telemann
Георг Вилхелм Фридрих Хегел	Georg Wilhelm Friedrich Hegel
Джордж Бъркли	George Berkeley
Джордж Бърнард Шоу	George Bernard Shaw
Джордж Бул	George Boole
Джордж Буш	George Bush
Георг Фридрих Хендел	George Frideric Handel
Джордж Гершуин	George Gershwin
Джордж Харисън	George Harrison
Джордж Лукас	George Lucas
Джордж Маршал	George Marshall
Джордж Оруел	George Orwell
Джордж Паджет Томсън	George Paget Thomson
Жорж Санд	George Sand
Джордж Стивънсън	George Stephenson
Джордж Уокър Буш	George W. Bush
Джордж Вашингтон	George Washington
Жорж Бизе	Georges Bizet
Жорж Брак	Georges Braque
Жорж Клемансо	Georges Clemenceau
Жорж Сименон	Georges Simenon
Джорджтаун (Гвиана)	Georgetown
Джорджия	Georgia (U.S. state)
Категория:Джорджия	Georgia (U.S. state)
Грузия	Georgia (country)
Категория:Грузия	Georgia (country)
Джералд Форд	Gerald Ford
Немска овчарка	German Shepherd Dog
Немски език	German language
Германска марка	German mark
Германий	Germanium
Германия	Germany
Категория:Германия	Germany
Джеронимо	Geronimo
Гестапо	Gestapo
Гана	Ghana
Категория:Гана	Ghana
Гент	Ghent
Гето	Ghetto
Дух (призрак)	Ghost
Джакомо Пучини	Giacomo Puccini
Голяма панда	Giant Panda
Гибралтар	Gibraltar
Категория:Гибралтар	Gibraltar
Гилгамеш	Gilgamesh
Джинджифил	Ginger
Гинко	Ginkgo
Джордано Бруно	Giordano Bruno
Джорджо Вазари	Giorgio Vasari
Джото	Giotto di Bondone
Джовани Бокачо	Giovanni Boccaccio
Жираф	Giraffe
Джироламо Савонарола	Girolamo Savonarola
Жиронд (департамент)	Gironde
Джузепе Гарибалди	Giuseppe Garibaldi
Джузепе Верди	Giuseppe Verdi
Ледник	Glacier
Гладиатор	Gladiator
Жлеза	Gland
Глазгоу	Glasgow
Гласност	Glasnost
Стъкло	Glass
Очила	Glasses
Глобална система за позициониране	Global Positioning System
Глобално затопляне	Global warming
Глобализация	Globalization
Глюкагон	Glucagon
Глюкоза	Glucose
Глуон	Gluon
Глицерин	Glycerol
Гликоген	Glycogen
Гликолиза	Glycolysis
Гностицизъм	Gnosticism
Го	Go (board game)
Гоа	Goa
Вратар	Goalkeeper
Домашна коза	Goat
Гоби	Gobi Desert
Бог	God
Голански възвишения	Golan Heights
Злато	Gold
Голда Меир	Golda Meir
Скален орел	Golden Eagle
Мост Голдън Гейт	Golden Gate Bridge
Златна орда	Golden Horde
Голдън ретрийвър	Golden Retriever
Голф	Golf
Категория:Голф	Golf
Апарат на Голджи	Golgi apparatus
Гомел	Gomel
Разпети петък	Good Friday
Google	Google
Гугол	Googol
Горгони	Gorgon
Голям ястреб	Goshawk
Евангелие	Gospel
Евангелие от Лука	Gospel of Luke
Гьотеборг	Gothenburg
Подагра	Gout
Правителство	Government
Грейс Кели	Grace Kelly
Градиент	Gradient
Графити	Graffiti
Греъм Грийн	Graham Greene
Грам	Gram
Граматика	Grammar
Категория:Граматика	Grammar
Гранада	Granada
Голям шлем (тенис)	Grand Slam (tennis)
Гросмайстор	Grandmaster (chess)
Гранит	Granite
Грозде	Grape
Грейпфрут	Grapefruit
Категория:Графичен дизайн	Graphic design
Графичен дизайн	Graphic design
Графит	Graphite
Гравитация	Gravitation
Гравитационна константа	Gravitational constant
Гравитон	Graviton
Грей (единица)	Gray (unit)
Вълк	Gray Wolf
Грац	Graz
Голям бариерен риф	Great Barrier Reef
Великобритания (остров)	Great Britain
Голям гмурец	Great Crested Grebe
Големите езера	Great Lakes
Велика китайска стена	Great Wall of China
Бяла акула	Great white shark
Големи Антили	Greater Antilles
Най-голям общ делител	Greatest common divisor
Гърция	Greece
Категория:Гърция	Greece
Гръцка азбука	Greek alphabet
Гръцки огън	Greek fire
Древногръцка митология	Greek mythology
Категория:Древногръцка митология	Greek mythology
Зелен цвят	Green
Парников ефект	Greenhouse effect
Гренландия	Greenland
Категория:Гренландия	Greenland
Гренландско море	Greenland Sea
Грийнпийс	Greenpeace
Грегор Мендел	Gregor Mendel
Григориански календар	Gregorian calendar
Категория:Гренада	Grenada
Гренобъл	Grenoble
Грета Гарбо	Greta Garbo
Сива гъска	Greylag Goose
Грифон	Griffin
Белоглав лешояд	Griffon Vulture
Брутен вътрешен продукт	Gross domestic product
Група	Group
Група (алгебра)	Group (mathematics)
Група на периодичната система	Group (periodic table)
Гроувър Кливланд	Grover Cleveland
Грозни	Grozny
Жеравоподобни	Gruiformes
Жерав (съзвездие)	Grus (constellation)
Гуадалахара	Guadalajara
Гваделупа	Guadeloupe
Гуам	Guam
Гуандун	Guangdong
Гуанджоу	Guangzhou
Гуано	Guano
Категория:Гватемала	Guatemala
Гватемала (град)	Guatemala City
Гърнси	Guernsey
Гулиелмо Маркони	Guglielmo Marconi
Еснаф	Guild
Гийом Аполинер	Guillaume Apollinaire
Гилотина	Guillotine
Гвинея	Guinea
Категория:Гвинея	Guinea
Гвинея-Бисау	Guinea-Bissau
Категория:Гвинея-Бисау	Guinea-Bissau
Китара	Guitar
Гуджарат	Gujarat
ГУЛАГ	Gulag
Гълфстрийм	Gulf Stream
Война в Персийския залив (1990-1991)	Gulf War
Фински залив	Gulf of Finland
Гвинейски залив	Gulf of Guinea
Мексикански залив	Gulf of Mexico
Омански залив	Gulf of Oman
Рижки залив	Gulf of Riga
Барут	Gunpowder
Густав Климт	Gustav Klimt
Густав Лудвиг Херц	Gustav Ludwig Hertz
Густав Малер	Gustav Mahler
Гюстав Курбе	Gustave Courbet
Гюстав Флобер	Gustave Flaubert
Гай Фокс	Guy Fawkes
Ги дьо Мопасан	Guy de Maupassant
Категория:Гвиана	Guyana
Гимнастика	Gymnastics
Гинекология	Gynaecology
Гипс	Gypsum
Хърбърт Уелс	H. G. Wells
ХИВ	HIV
HTML	HTML
Местообитание	Habitat
Хадес	Hades
Хадис	Hadith
Адриан (император)	Hadrian
Адрианов вал	Hadrian's Wall
Адрон	Hadron
Хемофилия	Haemophilia
Света София (Константинопол)	Hagia Sophia
Хайфа	Haifa
Хайку	Haiku
Градушка	Hail
Косъм	Hair
Хаити	Haiti
Категория:Хаити	Haiti
Период на полуразпад	Half-life
Хале (Германия)	Halle
Хелоуин	Halloween
Халоген	Halogen
Хамас	Hamas
Хамбург	Hamburg
Категория:Хамбург	Hamburg
Хамлет	Hamlet
Чук	Hammer
Сърп и чук	Hammer and sickle
Хамурапи	Hammurabi
Хампшър	Hampshire
Граната	Hand grenade
Пистолет	Handgun
Висящи градини на Вавилон	Hanging Gardens of Babylon
Хана Аренд	Hannah Arendt
Ханибал	Hannibal
Ханой	Hanoi
Хановер	Hanover
Ханс Бете	Hans Bethe
Ханс Кристиан Андерсен	Hans Christian Andersen
Ханза	Hanseatic League
Ханука	Hanukkah
Щастие	Happiness
Хараре	Harare
Харлем (Ню Йорк)	Harlem
Устна хармоника	Harmonica
Харолд Пинтър	Harold Pinter
Арфа	Harp
Клавесин	Harpsichord
Харпия (митология)	Harpy
Хариет Бичър Стоу	Harriet Beecher Stowe
Харисбърг	Harrisburg
Хари Худини	Harry Houdini
Хартфорд (Кънектикът)	Hartford
Хавана	Havana
Хаваи	Hawaii
Категория:Хаваи	Hawaii
Леска	Hazel
Глава	Head
Държавен глава	Head of state
Здраве	Health
Категория:Здраве	Health
Сърце	Heart
Топлина	Heat
Топлинен двигател	Heat engine
Рай	Heaven
Категория:Метъл	Heavy metal
Метъл	Heavy metal music
Тежка вода	Heavy water
Хеба	Hebe (mythology)
Хъбей	Hebei
Хеката	Hecate
Хектар	Hectare
Хектор	Hector
Ектор Берлиоз	Hector Berlioz
Хайнрих Херц	Heinrich Hertz
Хайнрих Химлер	Heinrich Himmler
Хайнрих Шлиман	Heinrich Schliemann
Хубавата Елена	Helen
Хелън Келер	Helen Keller
Хеликоптер	Helicopter
Хелиос	Helios
Хелий	Helium
Ад	Hell
Хелмут Шмит	Helmut Schmidt
Хелзинки	Helsinki
Хематология	Hematology
Категория:Хематология	Hematology
Хемоглобин	Hemoglobin
Хемороиди	Hemorrhoid
Анри Бекерел	Henri Becquerel
Анри Бергсон	Henri Bergson
Анри Матис	Henri Matisse
Хенрик Ибсен	Henrik Ibsen
