English	Macedonian
Ivan Pavlov	Иван Петрович Павлов
Ivan Turgenev	Иван Сергеевич Тургенев
J. D. Salinger	Џ. Д. Селинџер
Jack London	Џек Лондон
Jacques Cartier	Жак Картие
Jakarta	Џакарта
Jamaica	Јамајка
James Clerk Maxwell	Џемс Кларк Максвел
James Cook	Џемс Кук
James Joyce	Џемс Џојс
James Watt	Џејмс Ват
Jan van Eyck	Јан ван Ејк
Janissary	Јаничар
January	Јануари
January 1	1 јануари
January 19	19 јануари
January 20	20 јануари
January 6	6 јануари
Janus (mythology)	Јанус
Japan	Јапонија
Japan	Категорија:Јапонија
Java	Јава
Java (disambiguation)	Јава (појаснување)
Java (programming language)	Јава (програмски јазик)
Jazz	Категорија:Џез
Jean-Jacques Rousseau	Жан Жак Русо
Jean-Paul Sartre	Жан-Пол Сартр
Jefferson City	Џеферсон Сити, Мисури
Jehovah's Witnesses	Јеховини сведоци
Jerusalem	Ерусалим
Jerusalem	Категорија:Ерусалим
Jesus	Исус Христос
Jew	Евреи
Joan of Arc	Јованка Орлеанка
Johann Sebastian Bach	Јохан Себастијан Бах
Johann Wolfgang von Goethe	Јохан Волфганг фон Гете
Johannes Brahms	Јоханес Брамс
Johannes Gutenberg	Јохан Гутенберг
Johannes Kepler	Јоханес Кеплер
Johannesburg	Јоханесбург
John Calvin	Жан Калвин
John Chrysostom	Свети Јован Златоуст
John Lennon	Џон Ленон
John Milton	Џон Милтон
John Napier	Џон Непер
John Quincy Adams	Џон Квинси Адамс
John Wayne	Џон Вејн
John the Baptist	Свети Јован Крстител
Jordan	Јордан
Jordan River	Јордан (река)
Joseph Goebbels	Јозеф Гебелс
Joseph Haydn	Јозеф Хајдн
Joseph Pulitzer	Џозеф Пулицер
Joseph Stalin	Јосиф Сталин
Journalism	Категорија:Новинарство
Journalism	Новинарство
Judy Garland	Џуди Гарланд
Julius Caesar	Јулиј Цезар
July 1	1 јули
July 4	4 јули
June	Јуни
June 14	14 јуни
June 21	21 јуни
June 23	23 јуни
June 24	24 јуни
June 29	29 јуни
June 3	3 јуни
Juneau	Џуно, Аљаска
Jupiter	Јупитер
Justinian I	Јустинијан I
K2	К2
KGB	КГБ
Kabul	Кабул
Kansas	Канзас
Karaoke	Караоке
Karate	Карате
Karl Marx	Карл Маркс
Katharine Hepburn	Кетрин Хепберн
Katowice	Катовице
Kaunas	Каунас
Kazakhstan	Казакстан
Kelvin	Келвин
Kentucky	Кентаки
Kenya	Кенија
Kernel (computer science)	Јадро на оперативен систем
Ketone	Кетон
Keyboard (computing)	Тастатура
Keyboard instrument	Клавијатурен инструмент
Kiev	Киев
Kilogram	Килограм
Kilometre	Километар
Kinetic energy	Кинетичка енергија
Kingston	Кингстон, Јамајка
Kinshasa	Киншаса
Kiss	Бакнеж
Knossos	Кносос
Knowledge	Знаење
Knut Hamsun	Кнут Хамсун
Koala	Коала
Kolkata	Калкута
Korea	Кореја
Korea	Категорија:Кореја
Kosovo	Косово
Kosovo	Категорија:Косово
Kremlin	Кремљ
Ku Klux Klan	Кју Клукс Клан
Kublai Khan	Кублај Кан
Kurdistan	Курдистан
Kurt Vonnegut	Курт Вонегат
Kuwait	Кувајт
KwaZulu-Natal	Натал
Kyrgyzstan	Киргистан
Kyrgyzstan	Категорија:Киргизија
Lactose	Лактоза
Lagos	Лагос
Lake	Езеро
Lake Baikal	Бајкалско Езеро
Lake Erie	Ири
Lake Huron	Хјурон
Lake Michigan	Мичиген (езеро)
Lake Superior	Горно Езеро
Lake Tanganyika	Тангањика
Lake Victoria	Езеро Викторија
Lancelet	Амфиоксус
Language	Јазик
Laos	Лаос
Larynx	Грклан
Laser	Ласер
Latin	Латински јазик
Latin America	Латинска Америка
Latin alphabet	Латиница
Latitude	Латитуда
Latvia	Латвија
Latvia	Категорија:Летонија
Law	Право
Law	Категорија:Право
Lazio	Лацио
Le Corbusier	Ле Корбизје
Leaf	Лист (ботаника)
Leap year	Престапна година
Lebanon	Либан
Leeds	Лидс
Legend	Легенда
Legislature	Законодавна власт
Lemon	Лимон
Leon Trotsky	Лав Троцки
Leonardo da Vinci	Леонардо да Винчи
Leonhard Euler	Леонард Ојлер
Leonid Brezhnev	Леонид Брежнев
Lesbian	Лезбејка
Lesotho	Лесото
Lesser Antilles	Мали Антили
Letter (alphabet)	Буква
Leukemia	Леукемија
Liberalism	Либерализам
Liberia	Либерија
Libya	Либија
Lichen	Лишаи
Liechtenstein	Лихтенштајн
Life	Живот
Life	Категорија:Живот
Light	Светлина
Light-year	Светлосна година
Limnology	Лимнологија
Line (mathematics)	Права
Linguistics	Лингвистика
Linguistics	Категорија:Лингвистика
Linux	Линукс
Lipid	Липид
Liquid	Течност
Lisbon	Лисабон
Literature	Литература
Literature	Категорија:Книжевност
Lithium	Литиум
Lithuania	Литванија
Lithuania	Категорија:Литванија
Litre	Литар
Liverpool	Ливерпул
Livy	Тит Ливиј
Lizard	Гуштер
Ljubljana	Љубљана
Local area network	Локална мрежа
Locomotive	Локомотива
Logic	Логика
Logic	Категорија:Логика
Logo	Лого
London	Лондон
London	Категорија:Лондон
Lope de Vega	Лопе де Вега
Lord's Prayer	Оче наш
Los Angeles	Лос Анџелес, Калифорнија
Louis Pasteur	Луј Пастер
Louisiana	Луизијана
Louvre	Лувр
Love	Љубов
Low German	Долносаксонски јазик
Lower Saxony	Долна Саксонија
Ludwig van Beethoven	Лудвиг ван Бетовен
Luminescence	Луминисценција
Lung	Бел дроб
Luxembourg	Луксембург
Luzon	Лузон
Lymphatic system	Лимфен систем
Lysosome	Лизозом
Macedon	Античка Македонија
Macedonia	Македонија (појаснување)
Macedonia (Greece)	Егејска Македонија
Machu Picchu	Мачу Пикчу
Macroeconomics	Макроекономија
Madagascar	Мадагаскар
Madonna (entertainer)	Мадона (пејачка)
Madrid	Мадрид
Mafia	Мафија
Magic (paranormal)	Магија (паранормално)
Magna Carta	Магна Карта
Magnesium	Магнезиум
Maine	Мејн
Malaysia	Малезија
Maldives	Малдиви
Maldives	Категорија:Малдиви
Mali	Мали
Malta	Малта
Malta	Категорија:Малта
Mammal	Цицачи
Managua	Манагва
Manganese	Манган
Manhattan	Менхетн
Manila	Манила
Manitoba	Манитоба
Mannheim	Манхајм
Manuel de Falla	Мануел де Фаља
Mao Zedong	Мао Це Тунг
Marcel Proust	Марсел Пруст
March 17	17 март
March 19	19 март
March 2	2 март
March 25	25 март
Marco Polo	Марко Поло
Maria Callas	Марија Калас
Marie Curie	Марија Склодовска - Кири
Marketing	Маркетинг
Marlene Dietrich	Марлен Дитрих
Marrakech	Маракеш
Marriage	Брак
Mars (disambiguation)	Марс (појаснување)
Mars (mythology)	Марс (бог)
Martin Luther	Мартин Лутер
Martin Luther King	Мартин Лутер Кинг
Marxism	Марксизам
Mary (mother of Jesus)	Богородица Марија
Mary Magdalene	Марија Магдалена
Mary Wollstonecraft	Мери Волстонкрафт
Maryland	Мериленд
Mass	Маса
Massachusetts	Масачусетс
Masturbation	Мастурбација
Materialism	Материјализам
Mathematical logic	Математичка логика
Mathematical logic	Категорија:Математичка логика
Mathematical proof	Математички доказ
Mathematics	Математика
Mathematics	Категорија:Математика
Mathematics	Портал:Математика
Matter	Материја
Mauritania	Мавританија
Mauritius	Маврициус
Max Planck	Макс Планк
May 1	1 мај
May 24	24 мај
Mayor	Градоначалник
Mbabane	Мбабане
Mecca	Мека
Mechanical engineering	Категорија:Машинско инженерство
Mechanics	Механика
Medicine	Медицина
Medicine	Категорија:Медицина
Medina	Медина
Meditation	Медитација
Mediterranean	Категорија:Средоземно Море
Mediterranean Sea	Средоземно Море
Meiosis	Мејоза
Melting point	Точка на топење
Memphis	Мемфис, Тенеси
Mercury (element)	Жива
Mercury (mythology)	Меркур (бог)
Mercury (planet)	Меркур
Mesosphere	Мезосфера
Messiah	Месија
Metabolism	Метаболизам
Metal	Метал
Metallic bond	Метална врска
Metamorphic rock	Метаморфна карпа
Metaphor	Метафора
Metaphysics	Метафизика
Metaphysics	Категорија:Метафизика
Meteorology	Категорија:Метеорологија
Metre	Метар
Mexico	Мексико
Mexico	Категорија:Мексико
Mica	Микашист
Michael (archangel)	Архангел Михаил
Michelangelo	Микеланџело Буонароти
Michigan	Мичиген
Michigan	Категорија:Мичиген
Microbiology	Микробиологија
Microbiology	Категорија:Микробиологија
Microeconomics	Микроекономија
Microorganism	Едноклеточен организам
Microprocessor	Микропроцесор
Microscope	Светлински микроскоп
Middle Ages	Среден век
Middle Ages	Категорија:Среден век
Middle East	Близок Исток
Middle East	Категорија:Близок Исток
Miguel de Cervantes	Мигел де Сервантес
Mikhail Gorbachev	Михаил Горбачов
Milan	Милано
Mile	Милја
Military	Категорија:Војска
Milk	Млеко
Milky Way	Млечен пат
Millimetre	Милиметар
Mindanao	Минданао
Mineral	Минерал
Mineral water	Минерална вода
Minerva	Минерва
Minister (government)	Министер
Minneapolis	Минеаполис, Минесота
Minnesota	Минесота
Minsk	Минск
Mississippi River	Мисисипи (река)
Missouri	Мисури
Mitochondrion	Митохондрија
Modem	Модем
Moldova	Молдавија
Mole (unit)	Мол (единица)
Molecule	Молекула
Mollusca	Мекотели
Monaco	Монако
Monarchy	Монархија
Monarchy	Категорија:Монархија
Monday	Понеделник
Money	Пари
Mongolia	Монголија
Monomer	Мономер
Monopoly	Монопол
Monosaccharide	Моносахарид
Monotheism	Монотеизам
Monrovia	Монровија
Montana	Монтана
Montenegro	Црна Гора
Montenegro	Категорија:Црна Гора
Month	Месец
Montreal	Монтреал
Moon	Месечина
Morality	Морал
Moravia	Моравија
Morocco	Мароко
Morphology	Морфологија
Moscow	Москва
Mosque	Џамија
Moss	Мов
Mother Teresa	Мајка Тереза
Mount Athos	Света Гора
Mount Everest	Монт Еверест
Mount Kilimanjaro	Килиманџаро
Mountain	Планина
Mozambique	Мозамбик
Munich	Минхен
Municipality	Општина
Muscle	Мускул
Mushroom	Габа
Music	Категорија:Музика
Mycenae	Микена
Mycology	Микологија
Mycology	Категорија:Микологија
Myocardial infarction	Срцев напад
Myth	Митови
Mythology	Митологија
NATO	НАТО
Nahuatl	Наватл
Nairobi	Најроби
Namibia	Намибија
National anthem	Национална химна
Nationalism	Национализам
Natural number	Природен број
Natural science	Природни науки
Nature	Природа
Nature	Категорија:Природа
Nazareth	Назарет
Nazi Germany	Нацистичка Германија
Nazi Germany	Категорија:Трет Рајх
Nazi Party	Национал-социјалистичка германска работничка партија
Neanderthal	Неандерталец
Nebraska	Небраска
Nebuchadrezzar II	Навуходонозор
Nefertiti	Нефертити
Nelson Mandela	Нелсон Мандела
Nematode	Цевчести црви
Neolithic	Неолит
Neon	Неон
Nepal	Непал
Nephthys	Нефтида
Neptune	Нептун
Nervous system	Нервен систем
Netherlands	Холандија
Netherlands	Категорија:Холандија
Neuron	Неврон
Neutron	Неутрон
New Brunswick	Њу Бранзвик
New Delhi	Њу Делхи
New Hampshire	Њу Хемпшир
New Jersey	Њу Џерси
New Mexico	Њу Мексико
New York	Њујорк (сојузна држава)
New York	Категорија:Њујорк (држава)
New York City	Њујорк
New York City	Категорија:Њујорк
New Zealand	Нов Зеланд
New Zealand	Категорија:Нов Зеланд
Newfoundland and Labrador	Њуфаундленд и Лабрадор
Newton	Њутн
Niagara Falls	Нијагарини водопади
Nicaragua	Никарагва
Nickel	Никел
Nicolaus Copernicus	Никола Коперник
Nicosia	Никозија
Niels Bohr	Нилс Бор
Niger	Нигер
Nigeria	Нигерија
Night	Ноќ
Nihilism	Нихилизам
Nikita Khrushchev	Никита Сергеевич Хрушчов
Nikola Tesla	Никола Тесла
Nile	Нил
Nitric acid	Азотна киселина
Nitrogen	Азот
Noam Chomsky	Ноам Чомски
Nobel Prize	Нобелова награда
Nonmetal	Неметал
North Africa	Северна Африка
North America	Северна Америка
North America	Категорија:Северна Америка
North Carolina	Северна Каролина
North Dakota	Северна Дакота
North Island	Северен новозеландски остров
Northern Europe	Северна Европа
Northern Ireland	Северна Ирска
Northern Mariana Islands	Северни Маријански Острови
Northwest Territories	Северозападни Територии
Norway	Норвешка
Norwegian Sea	Норвешко Море
Nose	Нос
Nouakchott	Нуакшот
Nova Scotia	Нова Шкотска
November 1	1 ноември
November 11	11 ноември
November 2	2 ноември
November 5	5 ноември
Novosibirsk	Новосибирск
Nuclear physics	Категорија:Нуклеарна физика
Nuclear weapon	Атомска бомба
Nucleic acid	Нуклеинска киселина
Nucleotide	Нуклеотид
Number	Број
Numismatics	Нумизматика
Nunavut	Нунавут
Nuremberg	Нирнберг
Nutrition	Категорија:Исхрана
Nymph	Нимфа
OPEC	Организација на земји извознички на нафта
Ocean	Океан
Oceania	Океанија
Oceania	Категорија:Океанија
Oceanography	Категорија:Океанографија
October 12	12 октомври
October 24	24 октомври
October Revolution	Октомвриска револуција
Ohio	Охајо
Ohio	Категорија:Охајо
Old Church Slavonic	Старословенски јазик
Oligopoly	Олигопол
Olympic Games	Олимписки игри
Olympics	Категорија:Олимписки игри
Oman	Оман
Omsk	Омск
Ontario	Онтарио
Opera	Опера
Opera (Internet suite)	Opera
Operating system	Оперативен систем
Operetta	Оперета
Optical fiber	Оптички влакна
Oral sex	Орален секс
Oregon	Орегон
Organ (anatomy)	Орган
Organelle	Органела
Organic chemistry	Органска хемија
Organic chemistry	Категорија:Органска хемија
Organic compound	Органско соединение
Organism	Организам
Organization of American States	Организација на американските држави
Orgasm	Оргазам
Origami	Оригами
Orthography	Правопис
Osama bin Laden	Осама бин Ладен
Osiris	Озирис
Osteichthyes	Коскени риби
Ottawa	Отава
Otto Hahn	Ото Хан
Otto von Bismarck	Ото фон Бизмарк
Ottoman Empire	Отоманска Империја
Ottoman Empire	Категорија:Отоманска Империја
Ounce	Унца
Ovary	Јајчник
Ovum	Јајце клетка
Oxidation state	Оксидационен број
Oxide	Оксид
Oxygen	Кислород
Oxymoron	Оксиморон
Oxytocin	Окситоцин
Ozone	Озон
PH	Водороден показател
Pablo Picasso	Пабло Пикасо
Pacific Ocean	Тихи Океан
Pacific Ocean	Категорија:Тихи Океан
Pakistan	Пакистан
Palace of Versailles	Версајски дворец
Palau	Палау
Paleolithic	Палеолит
Paleontology	Палеонтологија
Palestine	Палестина
Palestine Liberation Organization	Палестинска ослободителна организација
Palestinian National Authority	Палестинска самоуправа
Panama	Панама
Panama	Категорија:Панама
Panama Canal	Панамски канал
Pancreas	Панкреас
Pantheism	Пантеизам
Papua New Guinea	Папуа Нова Гвинеја
Paradigm	Парадигма
Paraguay	Парагвај
Paris	Париз
Pascal (programming language)	Паскал (програмски јазик)
Pascal (unit)	Паскал (единица)
Pathology	Фитопатологија
Patriotism	Патриотизам
Paul Gauguin	Пол Гоген
Paul McCartney	Пол Мекартни
Paul the Apostle	Апостол Павле
Paul von Hindenburg	Паул фон Хинденбург
Peninsula	Полуостров
Pennsylvania	Пенсилванија
Pentecost	Педесетница
People	Категорија:Луѓе
People's Republic of China	Народна Република Кина
Peptide	Пептид
Percy Bysshe Shelley	Перси Биш Шели
Peregrine Falcon	Сив сокол
Periodic table	Периоден систем на елементите
Perm	Перм
Persepolis	Персеполис
Persian Empire	Персија
Persian Gulf	Персиски залив
Peru	Перу
Petrarch	Франческо Петрарка
Pharmacology	Категорија:Фармакологија
Pharynx	Голтник
Phenotype	Фенотип
Philadelphia	Филаделфија
Philately	Филателија
Philately	Категорија:Филателија
Philip II of Macedon	Филип II Македонски
Philippine Sea	Филипинско Море
Philippines	Филипини
Philology	Филологија
Philology	Категорија:Филологија
Philosopher's stone	Философски камен
Philosophy	Философија
Philosophy	Категорија:Философија
Philosophy	Портал:Философија
Phoenix	Феникс, Аризона
Phosphorus	Фосфор
Photosynthesis	Фотосинтеза
Physics	Физика
Physics	Категорија:Физика
Physiology	Физиологија
Physiology	Категорија:Физиологија
Pi	Пи
Piano	Клавир
Pisa	Пиза
Pituitary gland	Хипофиза
Planet	Планета
Plant	Растенија
Plasmid	Плазмид
Plastic	Пластика
Plastid	Пластид
Platelet	Тромбоцит
Platinum	Платина
Plato	Платон
Pleven	Плевен
Pliny the Elder	Плиниј Постариот
Pliny the Younger	Плиниј Помладиот
Plovdiv	Пловдив
Pluto	Плутон (планета-џуџе)
Poetry	Поезија
Poland	Полска
Poland	Категорија:Полска
Political party	Политичка партија
Political science	Политичка наука
Politics	Политика
Politics	Категорија:Политика
Polygamy	Многуженство
Polymer	Полимер
Pompeii	Помпеја
Pontius Pilate	Понтиј Пилат
Pope	Папа
Populism	Популизам
Port of Spain	Порт оф Спејн
Port-au-Prince	Порт-о-Пренс
Portugal	Категорија:Португалија
Postmodernism	Постмодернизам
Potassium	Калиум
Potato	Компир
Potsdam	Потсдам
Pound sterling	Британска фунта
Prague	Прага
Praia	Праја
Pressure	Притисок
Pretoria	Преторија
Prince Edward Island	Островот на Принц Едвард
Principle of relativity	Теорија на релативност
Probability theory	Теорија на веројатност
Profit	Профит
Programming language	Програмски јазик
Project	Проект
Prokaryote	Прокариота
Propaganda	Пропаганда
Prose	Проза
Prostate	Простата
Protectorate	Протекторат
Protein	Протеин
Protestant Reformation	Протестантска реформација
Protestantism	Протестантство
Protist	Протиста
Proton	Протон
Protozoa	Праживотни
Prussia	Прусија
Psychology	Психологија
Psychology	Категорија:Психологија
Ptolemy	Клавдиј Птоломеј
Puberty	Пубертет
Public domain	Јавен домен
Puerto Rico	Порторико
Punk	Категорија:Панк
Punk rock	Панк рок
Pyongyang	Пјонгјанг
Pyramid (geometry)	Пирамида
Pyrrhic victory	Пирова победа
Pythagoras	Питагора
Qatar	Катар
Quadrilateral	Четириаголник
Quaestor	Квестор
Quantum mechanics	Квантна механика
Quark	Кварк
Quartz	Кварц
Quentin Tarantino	Квентин Тарантино
RNA	РНК
Rabat	Рабат
Rabindranath Tagore	Рабиндранат Тагоре
Rachel Carson	Рејчел Карсон
Racism	Расизам
Radio	Категорија:Радио
Radioactive decay	Радиоактивност
Radium	Радиум
Radius	Радиус
Rain	Дожд
Rainbow	Виножито
Raphael	Рафаел Санти
Raphael (archangel)	Архангел Рафаил
Rat	Стаорец
Rational number	Рационален број
Ravenna	Равена
Ray Bradbury	Реј Бредбери
Read-only memory	ROM меморија
Real number	Реален број
Red algae	Црвени алги
Red blood cell	Еритроцит
Referendum	Референдум
Reggae	Реге
Religion	Религија
Religion	Категорија:Религија
Rembrandt	Рембрант ван Рејн
Renaissance	Ренесанса
Reptile	Влекачи
Republic	Република
Republic of China	Република Кина
Republic of the Congo	Република Конго
Respiratory system	Систем за дишење
Rhetoric	Реторика
Rhode Island	Род Ајленд
Rhodes	Родос
Riboflavin	Рибофлавин
Ribosome	Рибозом
Rice	Ориз
Richard Wagner	Рихард Вагнер
Riga	Рига
Ringo Starr	Ринго Стар
Rio de Janeiro	Рио де Жанеиро
River	Река
River Thames	Темза
Riyadh	Ер Ријад
Road	Пат
Robert Koch	Роберт Кох
Robert Louis Stevenson	Роберт Луис Стивенсон
Robert Schumann	Роберт Шуман
Robin Hood	Робин Худ
Rock (geology)	Карпа
Rock and roll	Рокенрол
Rock music	Рок музика
Rock music	Категорија:Рок музика
Rocky Mountains	Карпести планини
Rodent	Глодари
Roman Catholic Church	Римокатоличка црква
Roman Empire	Римска империја
Roman law	Римско право
Romania	Романија
Romania	Категорија:Романија
Romanticism	Романтизам
Rome	Рим
Root	Корен
Rosa Parks	Роза Паркс
Rosetta Stone	Камен од Розета
Rosh Hashanah	Рош Хашана
Rudolf Diesel	Рудолф Дизел
Rudolf Hess	Рудолф Хес
Russia	Русија
Russia	Категорија:Русија
Rwanda	Руанда
Sacramento	Сакраменто, Калифорнија
Saint George	Свети Георгиј
Saint Kitts and Nevis	Свети Китс и Невис
Saint Lucia	Света Луција
Saint Nicholas	Свети Никола
Saint Peter	Апостол Петар
Saint Petersburg	Санкт Петербург
Saint Vincent and the Grenadines	Свети Винсент и Гренадини
Saladin	Саладин
Salman Rushdie	Салман Ружди
Salt (chemistry)	Соли
Samara	Самара
Samoa	Самоа
Samuel Beckett	Самјуел Бекет
Samuel F. B. Morse	Семјуел Морзе
Samurai	Самурај
San Antonio	Сан Антонио, Тексас
San Diego	Сан Диего, Калифорнија
San Francisco	Сан Франциско, Калифорнија
San Juan	Сан Хуан
San Marino	Сан Марино
Sanskrit	Санскрит
Santo Domingo	Санто Доминго
Sarajevo	Сараево
Sarcophagus	Саркофаг
Saskatchewan	Саскачеван
Saturday	Сабота
Saturn	Сатурн
Saxony	Саксонија
Saxony	Категорија:Саксонија
Scandium	Скандиум
Schutzstaffel	Шуцштафел
Science	Наука
Science	Категорија:Наука
Science fiction	Научна фантастика
Scientific method	Научен метод
Scottish Gaelic	Шкотски гаелски јазик
Sculpture	Вајарство
Sea	Море
Second Crusade	Втора крстоносна војна
Selenium	Селен
Semiotics	Семиотика
Senegal	Сенегал
Seoul	Сеул
September 11	11 септември
September 17	17 септември
September 29	29 септември
Serbia	Србија
Serbia	Категорија:Србија
Serbia and Montenegro	Србија и Црна Гора
Serbia and Montenegro	Категорија:Србија и Црна Гора
Set	Множество
Set (mythology)	Сет (митологија)
Set theory	Теорија на множествата
Sexual intercourse	Секс
Seychelles	Сејшели
Shahadah	Шехадет
Shanghai	Шангај
Share (finance)	Акција
Shark	Ајкула
Sheffield	Шефилд
Sherlock Holmes	Шерлок Холмс
Shikoku	Шикоку
Shinto	Шинтоизам
Siberia	Сибир
Sicily	Сицилија
Siemens (unit)	Сименс (единица)
Sierra Leone	Сиера Леоне
Sigmund Freud	Зигмунд Фројд
Silicon	Силициум
Silicon Valley	Силициумска долина
Sinclair Lewis	Синклер Луис
Situation comedy	Ситуациска комедија
Six-Day War	Шестдневна војна од 1967
Skin	Кожа
Skopje	Скопје
Slavery	Ропство
Slovakia	Словачка
Slovenia	Словенија
Slovenia	Категорија:Словенија
Small intestine	Тенко црево
Social psychology	Социјална психологија
Socialism	Социјализам
Socialism	Категорија:Социјализам
Society	Категорија:Општество
Sociology	Социологија
Sociology	Категорија:Социологија
Socrates	Сократ
Sodium	Натриум
Sodium hydroxide	Натриум хидроксид
Sofia	Софија
Soil	Почва
Solar System	Сончев систем
Solid	Цврста агрегатна состојба
Solid state	Цврста агрегатна состојба
Solomon	Соломон
Solomon Islands	Соломонови Острови
Solution	Раствор
Somalia	Сомалија
Sophism	Софизам
Sound	Звук
South Africa	Категорија:Јужноафриканска Република
South America	Јужна Америка
South America	Категорија:Јужна Америка
South Carolina	Јужна Каролина
South Dakota	Јужна Дакота
South Island	Јужен новозеландски остров
South Korea	Јужна Кореја
South Pole	Јужен пол
Sovereignty	Суверенитет
Soviet Union	Сојуз на Советските Социјалистички Републики
Soviet Union	Категорија:СССР
Soybean	Соја
Space	Простор
Spain	Шпанија
Spain	Категорија:Шпанија
Spanish Civil War	Шпанска граѓанска војна
Spanish people	Категорија:Шпанци
Speed	Брзина
Spencer Tracy	Спенсер Трејси
Spermatozoon	Сперматозоид
Spinal cord	‘Рбетен мозок
Spleen	Слезенка
Sponge	Сунѓери
Sport	Спорт
Square (geometry)	Квадрат
Star	Ѕвезда
Starch	Скроб
Steam engine	Парна машина
Steven Spielberg	Стивен Спилберг
Stock exchange	Берза
Stockholm	Стокхолм
Stoicism	Стоицизам
Stomach	Желудник
Stone Age	Камено доба
Strait of Gibraltar	Гибралтарски проток
Stratosphere	Стратосфера
Stroke	Мозочен удар
Stub	Шаблон:Никулец
Sturmabteilung	Штурмабтајлунг
Stuttgart	Штутгарт
Sudan	Судан
Suez Canal	Суецки канал
Suffix	Наставка
Sugar	Шеќер
Sulfur	Сулфур
Sulfur dioxide	Сулфур диоксид
Sultan	Султан
Sumer	Сумер
Summer	Лето
Sun	Сонце
Sunday	Недела
Sura	Сура
Surgeon	Хирургија
Surgery	Хирургија
Surgery	Категорија:Хирургија
Suriname	Суринам
Surrealism	Надреализам
Svalbard	Шпицбершки Острови
Swastika	Кукаст крст
Swaziland	Свазиленд
Sweden	Шведска
Swimming	пливање
Switzerland	Швајцарија
Sydney	Сиднеј
Sylvia Plath	Силвија Плат
Symbiosis	Симбиоза
Symbol	Симбол
Synagogue	Синагога
Synonym	Синоним
Syntax	Синтакса (граматика)
Syphilis	Сифилис
System	Систем
Systematics	Систематика
Table tennis	Пинг-понг
Taiwan	Категорија:Тајван
Tajikistan	Таџикистан
Tallinn	Талин
Tangier	Тангер
Tank	Тенк
Tantalus	Тантал (митологија)
Tanzania	Танзанија
Taoism	Таоизам
Tasman Sea	Тасманово Море
Tea	Чај
Tea	Категорија:Чај
Techno	Техно музика
Technology	Категорија:Технологија
Tegucigalpa	Тегусигалпа
Tehran	Техеран
Tel Aviv	Тел Авив
Television	Телевизија
Television	Категорија:Телевизија
Temperature	Температура
Temple of Artemis	Храм на Артемида во Ефес
Ten Commandments	Десет Божји заповеди
Tennis	Тенис
Tennis	Категорија:Тенис
Tenor	Тенор
Terrorism	Категорија:Тероризам
Testicle	Тестис
Texas	Тексас
Texas	Категорија:Тексас
Thailand	Тајланд
The Gambia	Гамбија
The Hague	Хаг
Theatre	Театар
Theocracy	Теократија
Theology	Теологија
Theorem	Теорема
Theory	Теорија
Theory of relativity	Теорија на релативитет
Thermodynamics	Термодинамика
Thessaloniki	Солун
Thessaly	Тесалија
Thiamine	Витамин Б1
Third Crusade	Трета крстоносна војна
Thomas Edison	Томас Алва Едисон
Thomas Hobbes	Томас Хобс
Thomas Mann	Томас Ман
Thoth	Тот
Thought	Мисла
Thrace	Тракија
Thuringia	Тирингија
Thuringia	Категорија:Тирингија
Thursday	Четврток
Thyroid	Штитна жлезда
Tiber	Тибар
Tiberius	Тибериј
Tibet	Тибет
Tierra del Fuego	Огнена Земја
Tiger	Тигар
Tigris	Тигар (река)
Time zone	Временска зона
Tirana	Тирана
Tissue (biology)	Ткиво
Tobacco	Тутун
Togo	Того
Tokyo	Токио
Toluene	Толуен
Tongue	Јазик (анатомски орган)
Tony Blair	Тони Блер
Tooth	Заб
Toronto	Торонто
Torus	Тор
Totalitarianism	Тоталитаризам
Tourism	Туризам
Tower of Babel	Вавилонска кула
Town	Град
Trade	Трговија
Trademark	Регистриран заштитен знак
Train	Воз
Transistor	Транзистор
Transportation	Категорија:Транспорт
Transsexualism	Транссексуалност
Triangle	Триаголник
Trigonometry	Тригонометрија
Trinidad and Tobago	Тринидад и Тобаго
Trinity	Свето Тројство
Tripoli	Триполи
Troposphere	Тропосфера
Troy	Троја
Truth	Вистина
Tsunami	Цунами
Tuesday	Вторник
Tundra	Тундра
Tunicate	Туникати
Tunis	Тунис (град)
Tunisia	Тунис
Tunnel	Тунел
Turing machine	Тјурингова машина
Turkey	Турција
Turkey	Категорија:Турција
Turtle	Желка
Tuscany	Тоскана
Tuvalu	Тувалу
Tux	Такс
UNESCO	УНЕСКО
Uganda	Уганда
Ukraine	Категорија:Украина
Ulan Bator	Улан Батор
Ultraviolet	Ултравиолетова светлина
Unidentified flying object	НЛО
United Arab Emirates	Обединети Арапски Емирати
United Kingdom	Обединетото Кралство
United Nations	Обединети Нации
United Nations Children's Fund	УНИЦЕФ
United States	Соединети Американски Држави
United States	Категорија:САД
United States Virgin Islands	Американски Девствени Острови
United States dollar	Американски долар
Universe	Вселена
Unix	Unix (оперативен систем)
Ur	Ур(град)
Uranus	Уран
Uruguay	Уругвај
Utah	Јута
Utilitarianism	Утилитаризам
Uzbekistan	Узбекистан
Vacuole	Вакуола
Vaduz	Вадуц
Vagina	Вагина
Valletta	Валета
Vanuatu	Вануату
Varna	Варна
Vatican City	Ватикан
Vatican City	Категорија:Ватикан
Vegetable	Зеленчук
Vein	Вена
Venezuela	Венецуела
Venice	Венеција
Venus	Венера
Venus (mythology)	Венера (божица)
Vermont	Вермонт
Vertebrate	‘Рбетници
Vesta (mythology)	Веста (божица)
Victor Hugo	Виктор Иго
