English	Bulgarian
Copper	Мед (елемент)
Copyright	Авторско право
Coraciiformes	Синявицоподобни
Coral	Корали
Coral Sea	Коралово море
Coral reef	Коралов риф
Coriander	Кориандър
Coriolis effect	Кориолисова сила
Cork (city)	Корк (град)
Cornell University	Университет Корнел
Cornwall	Корнуол
Corrosion	Корозия
Corsica	Корсика
Corundum	Корунд
Corvidae	Вранови
Corvus (constellation)	Гарван (съзвездие)
Cosmic microwave background radiation	Реликтово излъчване
Cosmology	Космология
Cosmology	Категория:Космология
Costa Rica	Коста Рика
Costa Rica	Категория:Коста Рика
Cotonou	Котону
Cotopaxi	Котопакси (вулкан)
Cotton	Памук
Cougar	Пума
Coulomb	Кулон
Council of Trent	Трентски събор
Country music	Кънтри
Court	Съд
Covalent bond	Ковалентна химична връзка
Coventry	Ковънтри
Coyote	Койот
Crab Nebula	Ракообразна мъглявина
Crane (bird)	Жеравови
Crater (constellation)	Чаша (съзвездие)
Creationism	Креационизъм
Cremona	Кремона (град)
Cretaceous	Креда
Crete	Крит
Cricket	Крикет
Cricket (insect)	Щурци
Crime	Престъпление
Crimea	Крим
Crimean War	Кримска война
Criminal law	Категория:Наказателно право
Criminal law	Наказателно право
Criminology	Криминология
Croatia	Хърватия
Croatia	Категория:Хърватия
Crocodile	Крокодилови
Crocodilia	Крокодили
Cronus	Хронос
Cross	Кръст
Crossbow	Арбалет
Crust (geology)	Земна кора
Crustacean	Ракообразни
Crux	Южен кръст (съзвездие)
Cryptography	Категория:Криптография
Crystal	Кристал
Crystallography	Кристалография
Crystallography	Категория:Кристалография
Cuba	Куба
Cuba	Категория:Куба
Cube	Куб
Cubic metre	Кубичен метър
Cubism	Кубизъм
Cuculiformes	Кукувицоподобни
Cucumber	Краставица
Cucurbitaceae	Тиквови
Cultural Revolution	Културна революция
Culture	Култура
Culture	Категория:Култура
Cupressaceae	Кипарисови
Curitiba	Куритиба
Curling	Кърлинг
Currency	Категория:Парични единици
Currency	Валута
Curry	Къри
Curve	Крива
Cusco	Куско
Cyanide	Цианид
Cyanobacteria	Синьо-зелена плесен
Cybele	Кибела
Cybernetics	Кибернетика
Cyberpunk	Киберпънк
Cyclades	Цикладски острови
Cycling	Колоездене
Cycling	Категория:Колоездене
Cyclops	Циклоп
Cygnus (constellation)	Лебед (съзвездие)
Cyprus	Република Кипър
Cyprus	Категория:Кипър
Cyrillic alphabet	Кирилица
Cyrus the Great	Кир II (Персия)
Cytoplasm	Цитоплазма
Cytoskeleton	Цитоскелет
Czech Republic	Чехия
Czech Republic	Категория:Чехия
Czechoslovakia	Чехословакия
Czechoslovakia	Категория:Чехословакия
D. H. Lawrence	Дейвид Хърбърт Лорънс
D. W. Griffith	Дейвид Уорк Грифит
DDT	ДДТ
DNA	ДНК
DOS	DOS
DVD	DVD
Dachshund	Дакел
Dada	Дадаизъм
Dahlia	Далия
Dakar	Дакар
Dalai Lama	Далай Лама
Dallas	Далас
Dalmatia	Далмация
Dam	Язовирна стена
Damascus	Дамаск
Dance	Танц
Dance	Категория:Танц
Dandelion	Глухарче
Daniel Bernoulli	Даниел Бернули
Daniel Defoe	Даниел Дефо
Danish krone	Датска крона
Dante Alighieri	Данте Алигиери
Danube	Дунав
Daphne	Дафне
Dar es Salaam	Дар ес Салаам
Dardanelles	Дарданели
Darfur	Дарфур
Darjeeling	Дарджилинг
Dark matter	Тъмна материя
Database	База данни
Date Palm	Финикова палма
Dative case	Дателен падеж
Daugavpils	Даугавпилс
David Hilbert	Давид Хилберт
David Hume	Дейвид Хюм
David Livingstone	Дейвид Ливингстън
Davis Cup	Купа Дейвис
Day	Ден
Days	Категория:Годишни дни
De facto	Де факто
Dead Sea	Мъртво море
Deadly nightshade	Беладона
Death	Смърт
Death	Категория:Смърт
December	Декември
December 31	31 декември
December 8	8 декември
Decibel	Децибел
Decius (emperor)	Деций Траян
Declination	Деклинация
Deco	Деко
Deconstruction	Деконструкция
Deductive reasoning	Дедукция
Deer	Еленови
Degree	Градус
Degree (angle)	Градус (ъгъл)
Deimos (moon)	Деймос (спътник)
Delaware	Делауеър
Delaware	Категория:Делауеър
Delft	Делфт
Delhi	Делхи
Dell	Dell
Delphi	Делфи
Delphinus	Делфин (съзвездие)
Delta	Делта (пояснение)
Delta (letter)	Делта
Deluge (mythology)	Потоп
Dementia	Деменция
Demeter	Деметра
Democracy	Демокрация
Democratic Party (United States)	Демократическа партия (САЩ)
Democratic Republic of the Congo	Демократична република Конго
Democratic Republic of the Congo	Категория:Демократична република Конго
Democritus	Демокрит
Demography	Демография
Demography	Категория:Демография
Demon	Демон
Demosthenes	Демостен
Deng Xiaoping	Дън Сяопин
Dengue fever	Денга
Denis Diderot	Дени Дидро
Denmark	Дания
Denmark	Категория:Дания
Dennis Gabor	Денис Габор
Density	Плътност
Dental caries	Кариес
Dentistry	Категория:Стоматология
Denver	Денвър
Derivative	Производна
Dermatology	Дерматология
Des Moines	Де Мойн
Desert	Пустиня
Deserts	Категория:Пустини
Desiderius Erasmus	Еразъм Ротердамски
Design	Дизайн
Design	Категория:Дизайн
Desmond Tutu	Дезмънд Туту
Determinant	Детерминанта
Determinism	Детерминизъм
Detroit	Детройт
Deuterium	Деутерий
Deuteronomy	Второзаконие
Dewey Decimal Classification	Десетична класификация на Дюи
Dhaka	Дака
Dhaulagiri	Дхаулагири
Dhole	Азиатско диво куче
Diabetes mellitus	Диабет
Dialect	Диалект
Dialectic	Диалектика
Dialectical materialism	Диалектически материализъм
Diameter	Диаметър
Diamond	Диамант
Diana	Даяна Спенсър
Diana (mythology)	Диана (богиня)
Dice	Зар
Dicotyledon	Двусемеделни
Dictatorship	Диктатура
Dictionary	Речник
Diego Rivera	Диего Ривера
Diesel	Дизел
Differential equation	Диференциално уравнение
Diffraction	Дифракция
Digestive system	Категория:Храносмилателна система
Digital camera	Цифров фотоапарат
Digital photography	Цифрова фотография
Digital subscriber line	Цифрова абонатна линия
Dijon	Дижон
Dill	Копър
Dinosaur	Динозаври
Diocese	Диоцез
Diocletian	Диоклециан
Diode	Диод
Dionysus	Дионис
Diphtheria	Дифтерия
Diplodocus	Диплодок
Diplomacy	Дипломация
Diplomacy	Категория:Дипломация
Dire Straits	Dire Straits
Direct current	Постоянен ток
Disaccharide	Дизахарид
Disambiguation	Категория:Пояснителни страници
Disc jockey	Диджей
Discourse	Дискурс
Discrimination	Дискриминация
Disease	Болест
Distance	Разстояние
Distillation	Дестилация
Divergence	Дивергенция (математика)
Division (mathematics)	Деление
Division (military)	Дивизия
Divorce	Развод
Dizzy Gillespie	Дизи Гилеспи
Djibouti	Категория:Джибути
Djibouti (city)	Джибути (град)
Dmitri Mendeleev	Димитрий Менделеев
Dmitri Shostakovich	Дмитрий Шостакович
Dnieper River	Днепър
Dnipropetrovsk	Днепропетровск
Document	Документ
Dodecanese	Додеканези
Dodo	Додо
Dodoma	Додома
Dog	Домашно куче
Doha	Доха
Dolly (sheep)	Доли (овца)
Dolmen	Долмен
Dolomite	Доломит
Dolphin	Делфинови
Dominica	Доминика
Dominica	Категория:Доминика
Dominican Republic	Доминиканска република
Domitian	Домициан
Don Quixote	Дон Кихот
Don River (Russia)	Дон
Donald Duck	Доналд Дък
Donatello	Донатело
Donato Bramante	Донато Браманте
Donetsk	Донецк
Donkey	Магаре
Door	Врата
Dopamine	Допамин
Doppler effect	Доплеров ефект
Dorado	Златна рибка (съзвездие)
Doric order	Дорийски стил
Doris Lessing	Дорис Лесинг
Dortmund	Дортмунд
Douala	Дуала
Double bass	Контрабас
Douglas MacArthur	Дъглас Макартър
Dover	Доувър (Делауеър)
Draco (constellation)	Дракон (съзвездие)
Dracula	Дракула
Dragon	Дракон
Drama	Драма (литература)
Dresden	Дрезден
Drug addiction	Пристрастяване
Druid	Друид
Drum	Барабан
Dualism	Дуализъм (религия)
Dualism (philosophy of mind)	Дуализъм (философия)
Dubai	Дубай
Dublin	Дъблин
Dubnium	Дубний
Dubrovnik	Дубровник
Duck	Патица
Duke	Херцог
Duke Ellington	Дюк Елингтън
Duke University	Университет Дюк
Dune	Дюна
Dunkirk	Дюнкерк
Durban	Дърбан
Dushanbe	Душанбе
Dustin Hoffman	Дъстин Хофман
Dutch people	Категория:Холандци
Dwight D. Eisenhower	Дуайт Айзенхауер
Dynamics (physics)	Динамика
Dynamite	Динамит
Dynasty	Династия
Dystopia	Антиутопия
E	E
E (mathematical constant)	Неперово число
E-mail	Електронна поща
E. T. A. Hoffmann	Ернст Теодор Амадеус Хофман
ETA	ЕТА
Eagle	Орел
Ear	Ухо
Eared seal	Ушати тюлени
Earless seal	Същински тюлени
Earth	Земя
Earth	Категория:Земя
Earth science	Науки за Земята
Earthquake	Земетресение
East	Изток
East Africa	Източна Африка
East China Sea	Източнокитайско море
East Germany	Германска демократична република
East Timor	Източен Тимор
East Timor	Категория:Източен Тимор
Easter	Великден
Eastern Orthodox Church	Източноправославна църква
Ebro	Ебро
Eccentricity (mathematics)	Ексцентрицитет (орбита)
Ecclesiastes	Еклисиаст
Echidna	Ехидни
Echidna (mythology)	Ехидна (митология)
Echinoderm	Иглокожи
Eclipse	Затъмнение
Ecliptic	Еклиптика
Ecological niche	Екологична ниша
Ecology	Екология
Ecology	Категория:Екология
Economics	Икономика (наука)
Economics	Категория:Икономика
Economy	Икономика (наука)
Ecosystem	Екосистема
Ecuador	Еквадор
Ecuador	Категория:Еквадор
Ecumenical council	Вселенски събор
Edgar Allan Poe	Едгар Алън По
Edgar Degas	Едгар Дега
Edinburgh	Единбург
Edirne	Одрин
Edmond Halley	Едмънд Халей
Edmonton	Едмънтън
Edmund Burke	Едмънд Бърк
Edmund Hillary	Едмънд Хилари
Edmund Husserl	Едмунд Хусерл
Eduard Buchner	Едуард Бухнер
Education	Образование
Education	Категория:Образование
Edvard Grieg	Едвард Григ
Edvard Munch	Едвард Мунк
Edwin Hubble	Едуин Хъбъл
Eel	Змиоркообразни
Egg (biology)	Яйце
Eggplant	Патладжан
Egypt	Египет
Egypt	Категория:Египет
Egyptology	Египтология
Eiffel Tower	Айфелова кула
Eindhoven	Айндховен
Ejaculation	Еякулация
El Greco	Ел Греко
El Paso	Ел Пасо
El Salvador	Салвадор
El Salvador	Категория:Салвадор
Elbe	Елба (река)
Eleanor Roosevelt	Елинор Рузвелт
Election	Избори
Electra	Електра
Electric charge	Електрически заряд
Electric current	Електрически ток
Electric field	Електрично поле
Electric guitar	Електрическа китара
Electrical engineering	Категория:Електротехника
Electrical engineering	Електротехника
Electrical resistance	Електрическо съпротивление
Electricity	Електричество
Electricity	Категория:Електричество
Electrochemistry	Електрохимия
Electrochemistry	Категория:Електрохимия
Electrolyte	Електролит
Electromagnetic radiation	Електромагнитно излъчване
Electromagnetic spectrum	Електромагнитен спектър
Electromagnetism	Категория:Електромагнетизъм
Electron	Електрон
Electronegativity	Електроотрицателност
Electronics	Електроника
Electronics	Категория:Електроника
Elegy	Елегия
Elementary particle	Елементарна частица
Elephant	Слонове
Elevator	Асансьор
Elf	Елфи
Elia Kazan	Елия Казан
Elias Canetti	Елиас Канети
Elijah	Свети Илия
Elizabeth Taylor	Елизабет Тейлър
Ella Fitzgerald	Ела Фицджералд
Ellipse	Елипса
Ellipsis	Многоточие
Elm	Бряст
Elvis Presley	Елвис Пресли
Emerald	Изумруд
Emilia-Romagna	Емилия-Романя
Emiliano Zapata	Емилиано Сапата
Emily Dickinson	Емили Дикинсън
Emoticon	Емотикон
Emotion	Емоция
Emotion	Категория:Емоционалност
Empathy	Емпатия
Empedocles	Емпедокъл
Emperor	Кайзер
Emperor Penguin	Императорски пингвин
Empire	Империя
Empire State Building	Емпайър Стейт Билдинг
Empiricism	Емпиризъм
Emu	Емута
Emulsion	Емулсия
Encyclopedia	Енциклопедия
Endemism	Ендемит
Endocrine system	Ендокринна система
Endocrinology	Ендокринология
Endocrinology	Категория:Ендокринология
Energy	Енергия
Energy	Категория:Енергия
Energy (society)	Енергия
Engine	Двигател
Engineer	Инженер
Engineering	Инженерство
Engineering	Категория:Инженерство
England	Англия
England	Категория:Англия
English Channel	Ла Манш
English Civil War	Английска революция
English language	Английски език
English people	Категория:Англичани
Enki	Енки
Enrico Caruso	Енрико Карузо
Enrico Fermi	Енрико Ферми
Entertainment	Категория:Забавление
Enthalpy	Енталпия
Entomology	Ентомология
Entomology	Категория:Ентомология
Entropy	Ентропия
Environment	Категория:Околна среда
Enzyme	Ензим
Eon (geology)	Еон (геология)
Eos	Еос
Ephesus	Ефес
Epic poetry	Епос
Epicenter	Епицентър
Epicurus	Епикур
Epigraphy	Епиграфика
Epilepsy	Епилепсия
Epimetheus (mythology)	Епиметей
Epinephrine	Адреналин
Epiphany (Christian)	Богоявление
Epirus (periphery)	Епир
Epistemology	Епистемология
Epistle to the Romans	Послание към римляните
Epithelium	Епителна тъкан
Epsilon	Епсилон
Equator	Екватор
Equatorial Guinea	Екваториална Гвинея
Equatorial Guinea	Категория:Екваториална Гвинея
Equidae	Коне
Equinox	Равноденствие
Equisetum	Хвощ
Erasure	Ирейжър
Erato	Ерато
Eratosthenes	Ератостен
Erebus	Ереб
Erection	Ерекция
Ericaceae	Пиренови
Ericales	Ericales
Eridanus (constellation)	Еридан (съзвездие)
Erik Axel Karlfeldt	Ерик Аксел Карлфелт
Eris (dwarf planet)	Ерида (планета-джудже)
Eris (mythology)	Ерида
Eritrea	Категория:Еритрея
Ernest Hemingway	Ърнест Хемингуей
Ernest Rutherford	Ърнест Ръдърфорд
Ernst Werner von Siemens	Вернер фон Сименс
Eros (mythology)	Ерос
Erosion	Ерозия на почвата
Erotica	Еротика
Erwin Rommel	Ервин Ромел
Escape velocity	Втора космическа скорост
Escherichia coli	Escherichia coli
Esfahan	Исфахан
Esophagus	Хранопровод
Esperanto	Есперанто
Espionage	Шпионаж
Espoo	Еспоо
Essay	Есе
Essen	Есен (град)
Essex	Есекс
Ester	Естер
Estonia	Категория:Естония
Estrogen	Естроген
Eta (letter)	Ета (буква)
Etching	Офорт
Ethanol	Етанол
Ethernet	Етернет
Ethics	Етика
Ethics	Категория:Етика
Ethiopia	Етиопия
Ethiopia	Категория:Етиопия
Ethnic group	Етническа група
Ethnography	Етнография
Ethology	Етология
Ethylene	Етилен
Etymology	Етимология
Eucalyptus	Евкалипт
Euclid	Евклид
Euclidean geometry	Евклидова геометрия
Eugene O'Neill	Юджийн О'Нийл
Eukaryote	Еукариоти
Eunuch	Евнух
Euphemism	Евфемизъм
Euphrates	Ефрат
Eurasia	Евразия
Eurasian Badger	Язовец
Euripides	Еврипид
Euro	Евро
Europa (moon)	Европа (спътник)
Europa (mythology)	Европа (митология)
Europe	Европа
Europe	Категория:Европа
European Central Bank	Европейска централна банка
European Community	Европейска общност
European Magpie	Сврака
European Union	Европейски съюз
European Union	Категория:Европейски съюз
Eusebius of Caesarea	Евсевий Кесарийски
Euterpe	Евтерпа
Euthanasia	Евтаназия
Evanescence	Evanescence
Evangelista Torricelli	Еванджелиста Торичели
Evaporation	Изпарение
Even-toed ungulate	Чифтокопитни
Evolution	Еволюция
Excalibur	Екскалибур
Executive (government)	Изпълнителна власт
Exhibitionism	Ексхибиционизъм
Existentialism	Екзистенциализъм
Exodus	Изход (Библия)
Experiment	Експеримент
Explosion	Взрив
Expo (exhibition)	Световно изложение
Expressionism	Експресионизъм
Extinction	Измиране
Eye	Око
F. Scott Fitzgerald	Франсис Скот Фицджералд
Fable	Басня
Fact	Шаблон:Посочи източник
Factorial	Факториел
Facula	Слънчево петно
Fado	Фадо
Fagaceae	Категория:Букови
Fagales	Fagales
Fahrenheit	Фаренхайт
Fair use	Честна употреба
Fairy	Фея
Fairy tale	Приказка
Falcon	Соколи
Falkland Islands	Фолкландски острови
Fallopian tube	Маточна тръба
Fallow Deer	Елен лопатар
Fantasy	Фентъзи
Far East	Далечен Изток
Farad	Фарад
Faroe Islands	Категория:Фарьорски острови
Fascism	Фашизъм
Fascism	Категория:Фашизъм
Fashion	Категория:Мода
Fashion	Мода
Fast food	Бързо хранене
Fatah	Фатах
Fault (geology)	Разлом
Fauvism	Фовизъм
Fax	Факс
Fear	Страх
Feather	Перо
February	Февруари
February 12	12 февруари
February 14	14 февруари
February 2	2 февруари
February 22	22 февруари
February 29	29 февруари
February Revolution	Февруарска революция (1917)
Feces	Изпражнения
Federal Bureau of Investigation	Федерално бюро за разследване
Federal Reserve System	Федерален резерв
Federated States of Micronesia	Микронезия (държава)
Federation	Федерация
Federico Fellini	Федерико Фелини
Felidae	Коткови
Felix Mendelssohn	Феликс Менделсон Бартолди
Feminism	Феминизъм
Feminism	Категория:Феминизъм
Fencing	Фехтовка
Feng shui	Фън шуй
Fennel	Резене
Fenugreek	Сминдух
Ferdinand II	Фердинанд II (Свещена Римска империя)
Ferdinand Magellan	Фернандо Магелан
Ferdinand de Saussure	Фердинанд дьо Сосюр
Fermentation (biochemistry)	Ферментация
Fermentation (food)	Ферментация
Fermion	Фермион
Fern	Папратовидни
Ferrara	Ферара
Ferry	Ферибот
Fertile Crescent	Плодороден полумесец
Fertilisation	Зачеване
Feudalism	Феодализъм
Fever	Треска (болест)
Fiat	FIAT
Fibonacci number	Числа на Фибоначи
Fiction	Категория:Художествена литература
Fidel Castro	Фидел Кастро
Field hockey	Хокей на трева
Fighter aircraft	Изтребител
Figure skating	Фигурно пързаляне
Fiji	Фиджи
Fiji	Категория:Фиджи
File Transfer Protocol	Протокол за трансфер на файлове
Filippo Brunelleschi	Филипо Брунелески
Film	Категория:Филми
Film	Портал:Филми
Film director	Режисьор
Finance	Категория:Финанси
Finland	Финландия
Finland	Категория:Финландия
Fir	Ела
Fire	Огън
Firearm	Огнестрелно оръжие
Firefighter	Пожарникар
Firewall (networking)	Защитна стена
First Crusade	Първи кръстоносен поход
First Epistle to the Corinthians	Първо послание към коринтяните
First aid	Първа помощ
Fish	Риби
Fish	Категория:Риби
Fishing	Риболов
Fishing	Категория:Риболов
Fjord	Фиорд
Flag	Знаме
Flamenco	Фламенко
Flash memory	Флаш-памет
Flatulence	Флатуленция
Flatworm	Плоски червеи
Flemish (linguistics)	Фламандски език
Flip-flop (electronics)	Тригер (електроника)
Flood	Наводнение
Floppy disk	Гъвкав магнитен диск
Florence	Флоренция
Florida	Флорида
Florida	Категория:Флорида
Flower	Цвете
Flowering plant	Покритосеменни
Fluid	Флуид
Fluid mechanics	Механика на флуидите
Fluorite	Флуорит
Flute	Флейта
Fog	Мъгла
Folic acid	Фолиева киселина
Folklore	Народно творчество
Folklore	Категория:Фолклор
Food	Храна
Food additive	Хранителна добавка
Food chain	Хранителна верига
Foot (unit of length)	Фут
Football (soccer)	Футбол
Football (soccer)	Категория:Футбол
Football (soccer) by country	Категория:Футбол по страна
Football (soccer) clubs	Категория:Футболни отбори
Football (soccer) managers	Категория:Треньори по футбол
Football (soccer) players	Категория:Футболисти
Football (soccer) venues	Категория:Футболни стадиони
Force	Сила
Forest	Гора
Forestry	горско стопанство (икономика)
Form of government	Форма на държавно управление
Formaldehyde	Формалдехид
Formic acid	Мравчена киселина
Fort Worth	Форт Уърт
Fortification	Крепост
Fortran	FORTRAN
Fossil	Фосил
Foucault pendulum	Махало на Фуко
Fourth Crusade	Четвърти кръстоносен поход
Fox	Лисица
Fractal	Фрактал
Fraction (mathematics)	Дроб (математика)
France	Франция
France	Категория:Франция
Francis Bacon	Френсис Бейкън
Francis Crick	Франсис Крик
Francis Drake	Френсис Дрейк
Francis Ford Coppola	Франсис Форд Копола
Francis II	Франц II (Свещена Римска империя)
Francis of Assisi	Франциск от Асизи
Francisco Franco	Франсиско Франко
Francisco Goya	Франсиско Гоя
Franco-Prussian War	Френско-пруска война
Frank Sinatra	Франк Синатра
Frankfurt	Франкфурт на Майн
Frankfurt (Oder)	Франкфурт на Одер
Frankfurt (disambiguation)	Франкфурт
Franklin Pierce	Франклин Пиърс
Frans Hals	Франс Халс
Franz Kafka	Франц Кафка
Franz Liszt	Ференц Лист
Franz Schubert	Франц Шуберт
Fred Astaire	Фред Астер
Frederick I	Фридрих I Барбароса
Fredericton	Фредериктън
Free State	Фрайстат
Freedom of speech	Свобода на словото
Freemasonry	Масонство
Freetown	Фрийтаун
French Polynesia	Френска Полинезия
French Revolution	Френска революция
French franc	Френски франк
French people	Категория:Французи
Frequency	Честота
Fresco	Стенопис
Fresno	Фресно (град)
Friction	Триене
Friday	Петък
Fridtjof Nansen	Фритьоф Нансен
Friedrich Engels	Фридрих Енгелс
Fritz Haber	Фриц Хабер
Friuli-Venezia Giulia	Фриули-Венеция Джулия
Frog	Безопашати земноводни
Fructose	Фруктоза
Fruit	Плод
Fruit	Категория:Плодове
Fuel	Гориво
Fuel cell	Горивна клетка
Fugue	Фуга (музика)
Fukuoka	Фукуока
Function (mathematics)	Функция
Fundamental	Категория:Начална категория
Fundamentalism	Фундаментализъм
Fungi	Категория:Гъби
Fungus	Гъби
Funk	Фънк музика
Furniture	Категория:Обзавеждане
Furniture	Мебел
Futurism (art)	Футуризъм
Fyodor Dostoevsky	Фьодор Достоевски
G	G
GIMP	The GIMP
GNOME	GNOME
GNU	ГНУ
Gabon	Габон
Gabon	Категория:Габон
Gaborone	Габороне
Gabriel	Гаврил (архангел)
Gabriel Lippmann	Габриел Липман
Gadolinium	Гадолиний
Gaetano Donizetti	Гаетано Доницети
Gaia (mythology)	Гея (митология)
Galaxy	Галактика
Galicia (Central Europe)	Галиция
Galicia (Spain)	Галисия
Galileo (spacecraft)	Галилео (космически апарат)
Galileo Galilei	Галилео Галилей
Galliformes	Кокошоподобни
Galliformes	Категория:Кокошоподобни
Gallium	Галий
Gallon	Галон
Galway	Голуей
Gamal Abdel Nasser	Гамал Абдел Насър
Gambling	Хазарт
Game	Игра
Game theory	Теория на игрите
Gamma	Гама (буква)
Gamma ray	Гама-лъчи
Ganesha	Ганеша
Ganges	Ганг
Gansu	Гансу
Ganymede	Ганимед (митология)
Ganymede (moon)	Ганимед (спътник)
Gap	Гап
Garden	Градина
Gardening	Градинарство
Gargoyle	Гаргойл
Garlic	Чесън
Garnet	Гранат
Garonne	Гарона
Gas	Газ
Gas constant	Универсална газова константа
Gas giant	Газов гигант
Gasoline	Бензин
Gastrointestinal tract	Храносмилателна система
Gastropoda	Коремоноги
Gaul	Галия
Gay	Гей
Gaza	Газа
Gaza Strip	Ивица Газа
Geb	Геб
Geisha	Гейша
Gemini (constellation)	Близнаци (съзвездие)
Gemstone	Скъпоценен камък
Gene	Ген
Genealogy	Категория:Генеалогия
General Agreement on Tariffs and Trade	Общо споразумение за митата и търговията
General Officer	Генерал
General relativity	Обща теория на относителността
Genesis	Битие (Библия)
Genetic code	Генетичен код
Genetics	Генетика
Genetics	Категория:Генетика
Geneva	Женева
Genie	Джин (дух)
Genitive case	Родителен падеж
Genoa	Генуа
Genocide	Геноцид
Genocide	Категория:Геноцид
Genome	Геном
Genotype	Генотип
Geochemistry	Геохимия
Geodesy	Геодезия
Geodesy	Категория:Геодезия
Geoffrey Chaucer	Джефри Чосър
Geography	География
Geography	Категория:География
Geography	Портал:География
Geology	Категория:Геология
Geology	Геология
Geometric progression	Геометрична прогресия
Geometry	Геометрия
Geometry	Категория:Геометрия
Geomorphology	Геоморфология
Geomorphology	Категория:Геоморфология
Geophysics	Категория:Геофизика
Geopolitics	Геополитика
Georg Philipp Telemann	Георг Филип Телеман
Georg Wilhelm Friedrich Hegel	Георг Вилхелм Фридрих Хегел
George Berkeley	Джордж Бъркли
George Bernard Shaw	Джордж Бърнард Шоу
George Boole	Джордж Бул
George Bush	Джордж Буш
George Frideric Handel	Георг Фридрих Хендел
George Gershwin	Джордж Гершуин
George Harrison	Джордж Харисън
George Lucas	Джордж Лукас
George Marshall	Джордж Маршал
George Orwell	Джордж Оруел
George Paget Thomson	Джордж Паджет Томсън
George Sand	Жорж Санд
George Stephenson	Джордж Стивънсън
George W. Bush	Джордж Уокър Буш
George Washington	Джордж Вашингтон
Georges Bizet	Жорж Бизе
Georges Braque	Жорж Брак
Georges Clemenceau	Жорж Клемансо
Georges Simenon	Жорж Сименон
Georgetown	Джорджтаун (Гвиана)
Georgia (U.S. state)	Джорджия
Georgia (U.S. state)	Категория:Джорджия
Georgia (country)	Грузия
Georgia (country)	Категория:Грузия
Gerald Ford	Джералд Форд
German Shepherd Dog	Немска овчарка
German language	Немски език
German mark	Германска марка
Germanium	Германий
Germany	Германия
Germany	Категория:Германия
Geronimo	Джеронимо
Gestapo	Гестапо
Ghana	Гана
Ghana	Категория:Гана
Ghent	Гент
Ghetto	Гето
Ghost	Дух (призрак)
Giacomo Puccini	Джакомо Пучини
Giant Panda	Голяма панда
Gibraltar	Гибралтар
Gibraltar	Категория:Гибралтар
Gilgamesh	Гилгамеш
Ginger	Джинджифил
Ginkgo	Гинко
Giordano Bruno	Джордано Бруно
Giorgio Vasari	Джорджо Вазари
Giotto di Bondone	Джото
Giovanni Boccaccio	Джовани Бокачо
Giraffe	Жираф
Girolamo Savonarola	Джироламо Савонарола
Gironde	Жиронд (департамент)
Giuseppe Garibaldi	Джузепе Гарибалди
Giuseppe Verdi	Джузепе Верди
Glacier	Ледник
Gladiator	Гладиатор
Gland	Жлеза
Glasgow	Глазгоу
Glasnost	Гласност
Glass	Стъкло
Glasses	Очила
Global Positioning System	Глобална система за позициониране
Global warming	Глобално затопляне
Globalization	Глобализация
Glucagon	Глюкагон
Glucose	Глюкоза
Gluon	Глуон
Glycerol	Глицерин
Glycogen	Гликоген
Glycolysis	Гликолиза
Gnosticism	Гностицизъм
Go (board game)	Го
Goa	Гоа
Goalkeeper	Вратар
Goat	Домашна коза
Gobi Desert	Гоби
God	Бог
Golan Heights	Голански възвишения
Gold	Злато
Golda Meir	Голда Меир
Golden Eagle	Скален орел
Golden Gate Bridge	Мост Голдън Гейт
Golden Horde	Златна орда
Golden Retriever	Голдън ретрийвър
Golf	Голф
Golf	Категория:Голф
Golgi apparatus	Апарат на Голджи
Gomel	Гомел
Good Friday	Разпети петък
Google	Google
Googol	Гугол
Gorgon	Горгони
Goshawk	Голям ястреб
Gospel	Евангелие
Gospel of Luke	Евангелие от Лука
Gothenburg	Гьотеборг
Gout	Подагра
Government	Правителство
Grace Kelly	Грейс Кели
Gradient	Градиент
Graffiti	Графити
Graham Greene	Греъм Грийн
Gram	Грам
Grammar	Граматика
Grammar	Категория:Граматика
Granada	Гранада
Grand Slam (tennis)	Голям шлем (тенис)
Grandmaster (chess)	Гросмайстор
Granite	Гранит
Grape	Грозде
Grapefruit	Грейпфрут
Graphic design	Категория:Графичен дизайн
Graphic design	Графичен дизайн
Graphite	Графит
Gravitation	Гравитация
Gravitational constant	Гравитационна константа
Graviton	Гравитон
Gray (unit)	Грей (единица)
Gray Wolf	Вълк
Graz	Грац
Great Barrier Reef	Голям бариерен риф
Great Britain	Великобритания (остров)
Great Crested Grebe	Голям гмурец
Great Lakes	Големите езера
Great Wall of China	Велика китайска стена
Great white shark	Бяла акула
Greater Antilles	Големи Антили
Greatest common divisor	Най-голям общ делител
Greece	Гърция
Greece	Категория:Гърция
Greek alphabet	Гръцка азбука
Greek fire	Гръцки огън
Greek mythology	Древногръцка митология
Greek mythology	Категория:Древногръцка митология
Green	Зелен цвят
Greenhouse effect	Парников ефект
Greenland	Гренландия
Greenland	Категория:Гренландия
Greenland Sea	Гренландско море
Greenpeace	Грийнпийс
Gregor Mendel	Грегор Мендел
Gregorian calendar	Григориански календар
Grenada	Категория:Гренада
Grenoble	Гренобъл
Greta Garbo	Грета Гарбо
Greylag Goose	Сива гъска
Griffin	Грифон
Griffon Vulture	Белоглав лешояд
Gross domestic product	Брутен вътрешен продукт
Group	Група
Group (mathematics)	Група (алгебра)
Group (periodic table)	Група на периодичната система
Grover Cleveland	Гроувър Кливланд
Grozny	Грозни
