English	Frisian
World War II	Kategory:Twadde Wrâldkriich
Wyoming	Wyoming
Xylophone	Ksylofoan
Year	Jier
Yemen	Jemen
Yerevan	Jerevan
Yom Kippur	Jom Kipoer
Zambia	Sambia
Zanzibar	Sansibar
Zaragoza	Saragossa (stêd)
Zen	Zenboedisme
Zeno (emperor)	Zeno
Zimbabwe	Simbabwe
Zoology	Soölogy
Zoroastrianism	Zoroastrisme
