Persian	English
اتحادیه کشورهای همسود	Commonwealth of Nations
رده:ارتباطات	Communication
ارتباطات	Communication
کمونیسم	Communism
رده:کمونیسم	Communism
کومور	Comoros
رده:کومور	Comoros
لوح فشرده	Compact Disc
گروهان	Company (military unit)
قطب‌نما	Compass
پرگار	Compass (drafting)
همگردان	Compiler
عدد مختلط	Complex number
آهنگساز	Composer
کامپوزیت	Composite material
اعداد مرکب	Composite number
زبان‌شناسی محاسباتی	Computational linguistics
مقطع‌نگاری رایانه‌ای	Computed tomography
رایانه	Computer
پرونده (رایانه)	Computer file
رده:گرافیک رایانه‌ای	Computer graphics
سخت‌افزار	Computer hardware
شبكه	Computer network
برنامه (رایانه)	Computer program
برنامه‌نویسی	Computer programming
رده:برنامه‌نویسی	Computer programming
علوم رایانه	Computer science
نرم‌افزار	Computer software
ویروس‌های رایانه‌ای	Computer virus
رده:رایانه	Computing
کوناکری	Conakry
غلظت	Concentration
کنسرتو	Concerto
کنکورد (نیوهمپشر)	Concord
بتن	Concrete
کاندوم	Condom
رهبری ارکستر	Conducting
مخروط	Cone (geometry)
ایالات مؤتلفه آمریکا	Confederate States of America
کنفدراسیون	Confederation
اعتراف	Confession
آئین کنفوسیانیسم	Confucianism
کنفوسیوس	Confucius
کنگو (ابهام‌زدایی)	Congo
رود کنگو	Congo River
کنتیکت	Connecticut
اجماع	Consensus
محافظه‌کاری	Conservatism
صامت	Consonant
کنستانتین یکم	Constantine I
قسطنطنیه	Constantinople
صورت فلکی	Constellation
قانون اساسی	Constitution (political)
قاره	Continent
همرفت	Convection
آشپزی	Cooking
شرکت تعاونی	Cooperative
زمان هماهنگ جهانی	Coordinated Universal Time
کپنهاگ	Copenhagen
مس	Copper
حق تکثیر	Copyright
کر آنگله	Cor anglais
سبزقباسانان	Coraciiformes
مرجان دریایی	Coral
دریای کورال	Coral Sea
آبسنگ مرجانی	Coral reef
گشنیز	Coriander
نیروی کوریولیس	Coriolis effect
باکلان	Cormorant
دانشگاه کرنل	Cornell University
خوردگی	Corrosion
جزیره کرس	Corsica
ناوچه سبک	Corvette
تابش زمینه کیهانی	Cosmic microwave background radiation
پرتوهای کیهانی	Cosmic ray
کیهان‌شناسی	Cosmology
کاستاریکا	Costa Rica
پنبه	Cotton
شیر کوهی	Cougar
قانون کولن	Coulomb's law
کشور	Country
پیوند کووالانسی	Covalent bond
کایوتی	Coyote
سحابی خرچنگ	Crab Nebula
درنا	Crane (bird)
کرت	Crete
کریکت	Cricket
جیرجیرک	Cricket (insect)
رده:حقوق کیفری	Criminal law
حقوق کیفری	Criminal law
کرواسی	Croatia
رده:کرواسی	Croatia
ضرب خارجی	Cross product
کلاغ	Crow
ناو‌	Cruiser
سخت‌پوستان	Crustacean
چلیپا (صورت فلکی)	Crux
رمزنگاری	Cryptography
بلور	Crystal
بلورشناسی	Crystallography
کوبا	Cuba
رده:کوبا	Cuba
مکعب	Cube
متر مکعب	Cubic metre
حجم‌گری	Cubism
انقلاب فرهنگی چین	Cultural Revolution
فرهنگ	Culture
سرویان	Cupressaceae
كوريتيبا	Curitiba
کوریوم	Curium
رده:واحد پول کشورها	Currency
واحد پول	Currency
خم	Curve
کوزکو	Cusco
آبی دریایی	Cyan
سیانور	Cyanide
سیبرنتیک	Cybernetics
سایبرپانک	Cyberpunk
چرخند	Cyclone
ماکیان (صورت فلکی)	Cygnus (constellation)
جگنیان	Cyperaceae
کپورماهیان	Cyprinid
قبرس	Cyprus
رده:قبرس	Cyprus
سیریلیک	Cyrillic alphabet
کوروش دوم	Cyrus the Great
فیبروز کیستیک	Cystic fibrosis
جمهوری چک	Czech Republic
رده:جمهوری چک	Czech Republic
چکسلواکی	Czechoslovakia
D	D
دیوید وارک گریفیث	D. W. Griffith
دی‌ان‌ای	DNA
داس (سیستم عامل)	DOS
دی‌وی‌دی	DVD
دادائیسم	Dada
دایدالوس	Daedalus
خنجر	Dagger
دالایی لاما	Dalai Lama
دالاس	Dallas
دالماتیا	Dalmatia
سد	Dam
دمشق	Damascus
رقص	Dance
قاصدک	Dandelion
دانیل برنولی	Daniel Bernoulli
دانته آلیگیری	Dante Alighieri
دانوب	Danube
دار السلام (تانزانیا)	Dar es Salaam
داردانل	Dardanelles
ماده تاریک	Dark matter
دارمشتادیوم	Darmstadtium
داروین (استرالیا)	Darwin
سرمایه (کتاب)	Das Kapital
داده‌ها	Data
داده‌کاوی	Data mining
ساختار داده‌ها	Data structure
دادگان	Database
سیستم مدیریت پایگاه داده	Database management system
خرما	Date Palm
داوود	David
داوید هیلبرت	David Hilbert
دیوید هیوم	David Hume
دیوید لیوینگستن	David Livingstone
روز	Day
دی فاکتو	De facto
دریای مرده	Dead Sea
شابیزک	Deadly nightshade
مرگ	Death
رده:مرگ	Death
دهه	Decade
دسامبر	December
۳۱ دسامبر	December 31
۸ دسامبر	December 8
دقیانوس	Decius (emperor)
میل	Declination
ساختارشکنی	Deconstruction
آهو	Deer
تعریف	Definition
درجه (زاویه)	Degree (angle)
خداانگاری	Deism
دلاویر	Delaware
دلفت	Delft
دل (شرکت)	Dell
دلتا	Delta (letter)
طوفان بزرگ	Deluge (mythology)
دیمیتیر	Demeter
مردم‌سالاری	Democracy
حزب دموکرات ایالات متحده آمریکا	Democratic Party (United States)
جمهوری دموکراتیک کنگو	Democratic Republic of the Congo
رده:جمهوری دموکراتیک کنگو	Democratic Republic of the Congo
دموکریتوس	Democritus
دیو	Demon
دموستن	Demosthenes
دنگ ژیائوپینگ	Deng Xiaoping
دنیس دیدرو	Denis Diderot
دانمارک	Denmark
رده:دانمارک	Denmark
دنیس گابور	Dennis Gabor
چگالی	Density
پوسیدگی دندان	Dental caries
دنور	Denver
مشتق	Derivative
دی‌موین	Des Moines
بیابان	Desert
دزیدریوس اراسموس	Desiderius Erasmus
طراحی	Design
رده:طراحی	Design
ناوشکن	Destroyer
دترمینان	Determinant
دیترویت	Detroit
دوتریوم	Deuterium
سفر تثنیه	Deuteronomy
روانشناسی رشد	Developmental psychology
داکا	Dhaka
مرض قند	Diabetes mellitus
گویش	Dialect
دیالکتیک	Dialectic
قطر (ریاضی)	Diameter
الماس	Diamond
پرنسس دیانا	Diana
دیانا	Diana (mythology)
اسهال‌	Diarrhea
طاس	Dice
دیکتاتوری	Dictatorship
دیه‌گو ریورا	Diego Rivera
معادله دیفرانسیل	Differential equation
پراش	Diffraction
نفوذ (فیزیک)	Diffusion
دوربین دیجیتال	Digital camera
خط دیجیتال مشترکین	Digital subscriber line
دیژون	Dijon
شوید	Dill
بعد	Dimension
دینگو	Dingo
دایناسور	Dinosaur
دیوکلسین	Diocletian
دیود	Diode
دیونسیوس	Dionysus
دیفتری	Diphtheria
دیپلماسی	Diplomacy
جریان مستقیم	Direct current
رده:صفحات ابهام‌زدایی	Disambiguation
دی‌جی	Disc jockey
تبعیض	Discrimination
بیماری	Disease
دیورژانس	Divergence
تقسیم	Division (mathematics)
لشکر	Division (military)
طلاق	Divorce
دیزی گیلیسپی	Dizzy Gillespie
رده:جیبوتی	Djibouti
جیبوتی (شهر)	Djibouti (city)
دمیتری مندلیف	Dmitri Mendeleev
دمیتری شوستاکوویچ	Dmitri Shostakovich
دنیپر	Dnieper River
دودوما	Dodoma
سگ	Dog
دوحه	Doha
دلار	Dollar
دامنه اینترنتی	Domain name
گنبد	Dome
کتاب روز رستاخیز	Domesday Book
دومینیکا	Dominica
جمهوری دومینیکن	Dominican Republic
دن کیشوت	Don Quixote
دونتسک	Donetsk
خر	Donkey
در	Door
اثر دوپلر	Doppler effect
ماهی زرین (صورت فلکی)	Dorado
دوریس لسینگ	Doris Lessing
کنترباس	Double bass
دوور	Dover
سندرم داون	Down syndrome
دراکولا	Dracula
اژدها	Dragon
رویا	Dream
درسدن	Dresden
شتر	Dromedary
خشکسالی	Drought
اعتیاد	Drug addiction
طبل	Drum
دوگانه‌انگاری	Dualism
دبی	Dubai
دوبلین	Dublin
دوبنیوم	Dubnium
اردک	Duck
دوک	Duke
دوک الینگتون	Duke Ellington
دانشگاه دوک	Duke University
ریگ روان	Dune
دوازدهه	Duodenum
دربن	Durban
دوشنبه (تاجیکستان)	Dushanbe
داستین هافمن	Dustin Hoffman
رده:اهالی هلند	Dutch people
دوایت آیزنهاور	Dwight D. Eisenhower
دینامیک	Dynamics (physics)
دیسپروزیوم	Dysprosium
پادآرمان‌شهر	Dystopia
E	E
عدد e	E (mathematical constant)
پست الکترونیکی	E-mail
ارنست هوفمان	E. T. A. Hoffmann
اتا	ETA
عقاب	Eagle
گوش	Ear
زمین	Earth
علوم زمین	Earth science
زمین‌لرزه	Earthquake
خاور	East
جمهوری دمکراتیک آلمان	East Germany
تیمور شرقی	East Timor
عید پاک	Easter
کتاب جامعه	Ecclesiastes
خارپشت بی‌دندان	Echidna
خارپوستان	Echinoderm
خورشید گرفتگی	Eclipse
دایرةالبروج	Ecliptic
بوم‌شناسی	Ecology
اقتصاد	Economics
اقتصاد	Economy
اکوسیستم	Ecosystem
اکوادور	Ecuador
رده:اکوادور	Ecuador
ادگار آلن پو	Edgar Allan Poe
ادینبورگ	Edinburgh
ادیرنه	Edirne
ادموند هالی	Edmond Halley
ادمونتون	Edmonton
ادموند هیلاری	Edmund Hillary
ادموند هوسرل	Edmund Husserl
آموزش و پرورش	Education
ادوارد گریگ	Edvard Grieg
ادوارد مونک	Edvard Munch
ادوارد تلر	Edward Teller
ادوین هابل	Edwin Hubble
مارماهی	Eel
تخم مرغ	Egg (biology)
بادنجان	Eggplant
مصر	Egypt
رده:مصر	Egypt
برج ایفل	Eiffel Tower
اینشتینیوم	Einsteinium
انزال	Ejaculation
ال پاسو (آمریکا)	El Paso
السالوادور	El Salvador
رده:السالوادور	El Salvador
تمدن عیلام	Elam
الب	Elbe
النور روزولت	Eleanor Roosevelt
انتخابات	Election
الکترا	Electra
بار الکتریکی	Electric charge
جریان الکتریکی	Electric current
میدان الکتریکی	Electric field
گیتار الکتریک	Electric guitar
موتور الکتریکی	Electric motor
رده:مهندسی برق	Electrical engineering
مهندسی برق	Electrical engineering
مقاومت الکتریکی	Electrical resistance
الکتریسیته	Electricity
الکتروکاردیوگرام	Electrocardiogram
الکتروشیمی	Electrochemistry
تابش الکترومغناطیسی	Electromagnetic radiation
الکترومغناطیس	Electromagnetism
الکترون	Electron
میکروسکوپ الکترونی	Electron microscope
الکترونیک	Electronics
ذرات بنیادی	Elementary particle
فیل	Elephant
آسانسور	Elevator
الیزابت تیلور	Elizabeth Taylor
الا فیتزجرالد	Ella Fitzgerald
بیضی	Ellipse
سه نقطه	Ellipsis
الویس پریسلی	Elvis Presley
جنین	Embryo
زمرد	Emerald
امیلیانو زاپاتا	Emiliano Zapata
امیلی دیکنسون	Emily Dickinson
امیر	Emir
اما گلدمن	Emma Goldman
امپدوکل	Empedocles
پنگوئن فرمانفرما	Emperor Penguin
ساختمان امپایر استیت	Empire State Building
دانشنامه	Encyclopedia
انرژی	Energy
مهندس	Engineer
رده:مهندسی	Engineering
انگلستان	England
رده:انگلستان	England
زبان انگلیسی	English language
رده:زبان انگلیسی	English language
رده:اهالی انگلستان	English people
ائا	Enki
انریکو کاروسو	Enrico Caruso
انریکو فرمی	Enrico Fermi
حشره‌شناسی	Entomology
انتروپی	Entropy
رده:محیط زیست	Environment
زیمایه	Enzyme
ائون	Eon (geology)
افسس	Ephesus
حماسه	Epic poetry
اپیکتت	Epictetus
اپیکور	Epicurus
همه‌گیرشناسی	Epidemiology
سنگ‌نوشته	Epigraphy
اپیمتئوس	Epimetheus (mythology)
شناخت‌شناسی	Epistemology
نامه به غلاطیان	Epistle to the Galatians
نامه به رومیان	Epistle to the Romans
معادله	Equation
استوا	Equator
گینه استوایی	Equatorial Guinea
رده:گینه استوایی	Equatorial Guinea
اعتدال بهاری	Equinox
دم‌اسبی (گیاه)	Equisetum
اراتو	Erato
اربیوم	Erbium
اربوس	Erebus
جوی (صورت فلکی)	Eridanus (constellation)
اریک ساتی	Erik Satie
اریس	Eris (dwarf planet)
اریس (شخصیت افسانه‌ای)	Eris (mythology)
رده:اریتره	Eritrea
ارنست همینگوی	Ernest Hemingway
ارنست رادرفورد	Ernest Rutherford
اروین رومل	Erwin Rommel
سرعت گریز	Escape velocity
اصفهان	Esfahan
اسپرانتو	Esperanto
استر (شیمی)	Ester
رده:استونی	Estonia
استروژن	Estrogen
اتانول	Ethanol
اترنت	Ethernet
اتیوپی	Ethiopia
رده:اتیوپی	Ethiopia
گروه قومی	Ethnic group
اتیلن	Ethylene
ریشه‌شناسی	Etymology
عشای ربانی	Eucharist
اقلیدس	Euclid
یوکاریوت	Eukaryote
فرات	Euphrates
ائوریپیدس	Euripides
یورو	Euro
اروپا (قمر)	Europa (moon)
ائوروپه	Europa (mythology)
اروپا	Europe
رده:اروپا	Europe
بانک مرکزی اروپا	European Central Bank
اتحادیهٔ اروپا	European Union
رده:اتحادیه اروپا	European Union
یوروپیوم	Europium
ائوترپه	Euterpe
اوتانازی	Euthanasia
اوا براون	Eva Braun
اونسنس	Evanescence
تبخیر	Evaporation
جفت‌سمان	Even-toed ungulate
نظریه تکامل	Evolution
علامت تعجب	Exclamation mark
عریان‌گرایی	Exhibitionism
اگزیستانسیالیسم	Existentialism
سفر خروج	Exodus
میانگین	Expected value
نمایشگاه جهانی	Expo (exhibition)
تابع نمایی	Exponential function
توان (ریاضی)	Exponentiation
هیجان‌نمایی	Expressionism
چشم	Eye
F	F
پروانه‌داران	Fabaceae
حکایت	Fable
صورت	Face
الگو:مدرک	Fact
فاکتوریل	Factorial
کارخانه	Factory
فادو	Fado
توس‌ها	Fagales
مقیاس فارنهایت	Fahrenheit
شاهین	Falcon
جزایر فالکلند	Falkland Islands
سفسطه	Fallacy
فانتزی	Fantasy
خاور دور	Far East
فاشیسم	Fascism
فست فود	Fast food
روزه	Fasting
گسل	Fault (geology)
فوویسم	Fauvism
ترس	Fear
فوریه	February
۱۲ فوریه	February 12
۱۴ فوریه	February 14
۲ فوریه	February 2
۲۲ فوریه	February 22
۲۹ فوریه	February 29
مدفوع	Feces
اف‌بی‌آی	Federal Bureau of Investigation
فدرال ریزرو	Federal Reserve System
ایالات فدرال میکرونزی	Federated States of Micronesia
فدراسیون	Federation
فدریکو فلینی	Federico Fellini
فدورا کر	Fedora (Linux distribution)
فلدسپات	Feldspar
گربه‌سانان	Felidae
فلیکس مندلسون	Felix Mendelssohn
فمینیسم	Feminism
رده:فمینیسم	Feminism
رازیانه	Fennel
شنبلیله	Fenugreek
فردیناند ماژلان	Ferdinand Magellan
فردیناند دو سوسور	Ferdinand de Saussure
تخمیر	Fermentation (biochemistry)
تخمیر	Fermentation (food)
فرمیون	Fermion
هلال بارور	Fertile Crescent
فئودالیسم	Feudalism
اعداد فیبوناچی	Fibonacci number
فیدل کاسترو	Fidel Castro
میدان (ریاضی)	Field (mathematics)
جنگنده (هواپیما)	Fighter aircraft
فیجی	Fiji
جدول تخصیص فایل	File Allocation Table
اف‌تی‌پی	File Transfer Protocol
رده:سینما	Film
فیلم	Film
درگاه:سینما	Film
کارگردان	Film director
مالیه	Finance
انگشت دست	Finger
فنلاند	Finland
رده:فنلاند	Finland
آتش	Fire
جنگ‌افزار گرم	Firearm
فایروال	Firewall (networking)
میان‌افزار	Firmware
نامه اول به قرنتیان	First Epistle to the Corinthians
زبان مادری	First language
ماهی	Fish
ماهی‌گیری	Fishing
آبدره	Fjord
پرچم	Flag
فلامنکو	Flamenco
فلامینگو	Flamingo
سیل	Flood
فلاپی‌دیسک	Floppy disk
فلورانس	Florence
فلورانس نایتینگل	Florence Nightingale
فلوریدا	Florida
آرد	Flour
گل (گیاه)	Flower
شاره	Fluid
مکانیک شاره‌ها	Fluid mechanics
فلوت	Flute
دوبالان	Fly
ویتامین ب۹	Folic acid
غذا	Food
فائو	Food and Agriculture Organization
فوتبال	Football (soccer)
رده:فوتبال	Football (soccer)
رده:تیم‌های فوتبال	Football (soccer) clubs
شهر ممنوعه	Forbidden City
نیرو	Force
جنگل	Forest
فرمالدهید	Formaldehyde
فورت وورث	Fort Worth
سنگواره	Fossil
سوخت فسیلی	Fossil fuel
آونگ فوکو	Foucault pendulum
سری فوریه	Fourier series
روباه	Fox
برخال	Fractal
کسر (ریاضی)	Fraction (mathematics)
فرانسه	France
رده:فرانسه	France
فرانسیس بیکن	Francis Bacon
فرانسیس کریک	Francis Crick
فرانسیس فورد کاپولا	Francis Ford Coppola
فرانسیسکو فرانکو	Francisco Franco
فرانسیسکو گویا	Francisco Goya
فرانسیوم	Francium
فرانک لوید رایت	Frank Lloyd Wright
فرانک سیناترا	Frank Sinatra
فرانکفورت، کنتاکی	Frankfort
فرانکفورت	Frankfurt
فرانتس کافکا	Franz Kafka
فرانتس لیست	Franz Liszt
فرانتز شوبرت	Franz Schubert
فراماسونری	Freemasonry
فری‌تاون	Freetown
پلی‌نزی فرانسه	French Polynesia
انقلاب فرانسه	French Revolution
رده:انقلاب فرانسه	French Revolution
رده:اهالی فرانسه	French people
بسامد	Frequency
آب شیرین	Freshwater
فرزنو	Fresno
اصطکاک	Friction
آدینه	Friday
فریتیوف نانسن	Fridtjof Nansen
فریدریش انگلس	Friedrich Engels
فریسلاند	Friesland
ناوچه	Frigate
فریتس هابر	Fritz Haber
قورباغه	Frog
میوه	Fruit
رده:میوه‌ها	Fruit
سوخت	Fuel
بدر	Full moon
فونافوتی	Funafuti
تابع	Function (mathematics)
رده:رده‌ها	Fundamental
نیروهای بنیادی در فیزیک	Fundamental interaction
بنیادگرایی	Fundamentalism
قارچ	Fungus
فوتوریسم	Futurism (art)
منطق فازی	Fuzzy logic
فئودور داستایوسکی	Fyodor Dostoevsky
G	G
گیمپ	GIMP
گنوم	GNOME
گنو	GNU
گابن	Gabon
گابورون	Gaborone
جبرئیل	Gabriel
گابریل لیپمن	Gabriel Lippmann
گادولینیوم	Gadolinium
گایا (افسانه)	Gaia (mythology)
گالاتیا	Galatia
کهکشان	Galaxy
جالینوس	Galen
گالیسیا	Galicia (Spain)
فضاپیمای گالیله	Galileo (spacecraft)
گالیلئو گالیله	Galileo Galilei
ماکیان‌سانان	Galliformes
گالیوم	Gallium
جمال عبدالناصر	Gamal Abdel Nasser
بازی	Game
نظریه بازی‌ها	Game theory
پرتو گاما	Gamma ray
گانش	Ganesha
گنجه	Ganja
باغ	Garden
باغبانی	Gardening
دهانه‌اژدر	Gargoyle
سیر (گیاه)	Garlic
لعل	Garnet
گاز	Gas
ثابت عمومی گازها	Gas constant
بنزین	Gasoline
دستگاه گوارش	Gastrointestinal tract
شکم‌پایان	Gastropoda
گل روم (فرانسه)	Gaul
گوتاما بودا	Gautama Buddha
غزه (شهر)	Gaza
نوار غزه	Gaza Strip
چرخ‌دنده	Gear
گیشا	Geisha
دوپیکر	Gemini (constellation)
سنگ‌های قیمتی	Gemstone
تیمسار	General Officer
نسبیت عام	General relativity
سفر پیدایش	Genesis
رده:ژنتیک	Genetics
ژنو	Geneva
جن	Genie
اضافه (دستور زبان)	Genitive case
جنوا	Genoa
نسل‌کشی	Genocide
رده:نسل‌کشی‌ها	Genocide
ژنوم	Genome
سرده	Genus
ژئودزی	Geodesy
رده:ژئودزی	Geodesy
جفری چاوسر	Geoffrey Chaucer
جغرافیا	Geography
رده:زمین‌شناسی	Geology
زمین‌شناسی	Geology
تصاعد هندسی	Geometric progression
هندسه	Geometry
رده:هندسه	Geometry
زمین‌ریخت‌شناسی	Geomorphology
ژئوفیزیک	Geophysics
رده:فیزیک زمین	Geophysics
ژئوپلیتیک	Geopolitics
گئورگ ویلهلم فریدریش هگل	Georg Wilhelm Friedrich Hegel
جورج برکلی	George Berkeley
جورج برنارد شاو	George Bernard Shaw
جرج بول	George Boole
جرج بوش	George Bush
گئورگ فریدریش هندل	George Frideric Handel
جورج هریسون	George Harrison
جورج لوکاس	George Lucas
جورج اورول	George Orwell
جرج پاجت تامسون	George Paget Thomson
جورج دبلیو بوش	George W. Bush
جورج واشنگتن	George Washington
ژرژ بیزه	Georges Bizet
ژرژ سیمنون	Georges Simenon
جرج‌تاون	Georgetown
جورجیا	Georgia (U.S. state)
گرجستان	Georgia (country)
رده:گرجستان	Georgia (country)
جرالد فورد	Gerald Ford
زبان آلمانی	German language
مارک آلمان	German mark
ژرمانیوم	Germanium
آلمان	Germany
رده:آلمان	Germany
گشتاپو	Gestapo
غنا	Ghana
رده:غنا	Ghana
گتو	Ghetto
جاکومو پوچینی	Giacomo Puccini
جبل‌الطارق	Gibraltar
گیگابایت (یکا)	Gigabyte
گیلگامش	Gilgamesh
زنجبیل	Ginger
ژینکو	Ginkgo
جوردانو برونو	Giordano Bruno
جووانی بوکاچیو	Giovanni Boccaccio
زرافه	Giraffe
جوزپه گاریبالدی	Giuseppe Garibaldi
جوزپه وردی	Giuseppe Verdi
جیزه	Giza
یخچال طبیعی	Glacier
گلادیاتور	Gladiator
غده	Gland
گلاسگو	Glasgow
گلاسنوست	Glasnost
شیشه	Glass
عینک	Glasses
بادپر	Glider
سامانه موقعیت‌یاب جهانی	Global Positioning System
گرمایش زمین	Global warming
جهانی‌سازی	Globalization
کنگر فرنگی	Globe artichoke
گلئون	Gluon
گنیس	Gneiss
دروازه‌بان	Goalkeeper
بز	Goat
بیابان گبی	Gobi Desert
خدا	God
طلا	Gold
گلدا مایر	Golda Meir
پل گلدن گیت	Golden Gate Bridge
گلف	Golf
گوگل	Google
گورگون	Gorgon
انجیل لوقا	Gospel of Luke
گوتنبورگ	Gothenburg
معماری گوتیک	Gothic architecture
نقرس	Gout
گرادیان	Gradient
دیوارنویسی	Graffiti
گراهام گرین	Graham Greene
گرم	Gram
دستور زبان	Grammar
رده:دستور زبان	Grammar
گرانادا	Granada
سنگ خارا	Granite
انگور	Grape
دارابی	Grapefruit
گرافیت	Graphite
گرانش	Gravitation
ثابت گرانش	Gravitational constant
گراویتون	Graviton
گری (فیزیک)	Gray (unit)
گرگ	Gray Wolf
گراتس	Graz
صخره‌های مرجانی بزرگ استرالیا	Great Barrier Reef
دریاچه‌های بزرگ	Great Lakes
دیوار چین	Great Wall of China
بزرگترین مقسوم علیه مشترک	Greatest common divisor
کشیم	Grebe
یونان	Greece
رده:یونان	Greece
الفبای یونانی	Greek alphabet
رده:اساطیر یونانی	Greek mythology
سبز	Green
گلخانه	Greenhouse
گازهای گلخانه‌ای	Greenhouse effect
انتشار کربن	Greenhouse gas
گرینلند	Greenland
زمان گرینویچ	Greenwich Mean Time
گرگور مندل	Gregor Mendel
گاهشماری گرگوری	Gregorian calendar
گرونوبل	Grenoble
خاکستری	Grey
شیردال	Griffin
تولید ناخالص داخلی	Gross domestic product
گروه (ریاضی)	Group (mathematics)
گروه جدول تناوبی	Group (periodic table)
نظریه گروه‌ها	Group theory
استیفن گراور کلیولند	Grover Cleveland
درناسانان	Gruiformes
درنا (صورت فلکی)	Grus (constellation)
جزیره گوادلوپ	Guadeloupe
گوآم	Guam
گوانگ‌ژو	Guangzhou
گوانو	Guano
رده:گواتمالا	Guatemala
گواتمالاسیتی	Guatemala City
گولیلمو مارکونی	Guglielmo Marconi
صنف	Guild
گیوم آپولینر	Guillaume Apollinaire
گینه	Guinea
رده:گینه	Guinea
گینه بیسائو	Guinea-Bissau
رده:گینه بیسائو	Guinea-Bissau
گیتار	Guitar
گجرات	Gujarat
جنگ خلیج فارس	Gulf War
خلیج عدن	Gulf of Aden
خلیج ایلات	Gulf of Aqaba
خلیج گینه	Gulf of Guinea
خلیج مکزیک	Gulf of Mexico
دریای عمان	Gulf of Oman
مرغ نوروزی	Gull
گوستاو مالر	Gustav Mahler
گوستاو فلوبر	Gustave Flaubert
رده:گویان	Guyana
بازدانگان	Gymnosperm
ژیروسکوپ	Gyroscope
H	H
هربرت جرج ولز	H. G. Wells
اچ‌آی‌وی	HIV
اچ‌تی‌ام‌ال	HTML
هکر	Hacker
هادس	Hades
هادرون	Hadron
هموفیلی	Haemophilia
هافنیوم	Hafnium
ایاصوفیه	Hagia Sophia
حیفا	Haifa
هایکو	Haiku
تگرگ	Hail
مو	Hair
هائیتی	Haiti
رده:هائیتی	Haiti
حج	Hajj
نیمه عمر	Half-life
هالووین	Halloween
هالوژن	Halogen
حماس	Hamas
هامبورگ	Hamburg
همبرگر	Hamburger
هملت (نمایشنامه)	Hamlet
چکش	Hammer
حمورابی	Hammurabi
سلسله هان	Han Dynasty
دست	Hand
سلاح کمری	Handgun
دار زدن	Hanging
باغ‌های معلق بابل	Hanging Gardens of Babylon
هانا آرنت	Hannah Arendt
هانیبال	Hannibal
هانوی	Hanoi
هانوفر	Hanover
هانس بته	Hans Bethe
هانس کریستین آندرسن	Hans Christian Andersen
حنوکا	Hanukkah
هراره	Harare
حرم‌سرا	Harem
هارلم (نیویورک)	Harlem
ساز دهنی	Harmonica
هارولد پینتر	Harold Pinter
هریت بیچر استو	Harriet Beecher Stowe
هریسبورگ	Harrisburg
هری هودینی	Harry Houdini
هارتفورد	Hartford
هاسیوم	Hassium
هاوانا	Havana
هاوائی	Hawaii
رده:هاوایی	Hawaii
سر	Head
قلب	Heart
گرما	Heat
بهشت	Heaven
موسیقی هوی متال	Heavy metal music
آب سنگین	Heavy water
الفبای عبری	Hebrew alphabet
تقویم عبری	Hebrew calendar
هکاته	Hecate
هکتار	Hectare
هکتور برلیوز	Hector Berlioz
جوجه‌تیغی	Hedgehog
هاینریش هرتز	Heinrich Hertz
هاینریش هیملر	Heinrich Himmler
هلن	Helen
هلن کلر	Helen Keller
هلنا	Helena
بالگرد	Helicopter
هلیم	Helium
جهنم	Hell
هلموت اشمیت	Helmut Schmidt
هلسینکی	Helsinki
خون‌شناسی	Hematology
هانری بکرل	Henri Becquerel
هانری ماتیس	Henri Matisse
هنریک ایبسن	Henrik Ibsen
هنری کاوندیش	Henry Cavendish
هنری دیوید تورو	Henry David Thoreau
هنری فوندا	Henry Fonda
هنری فورد	Henry Ford
هنری کیسینجر	Henry Kissinger
هنری میلر	Henry Miller
هنری مور	Henry Moore
هپاتیت	Hepatitis
هرا	Hera
هراکلیتوس	Heraclitus
هرات	Herat
هربرت هوور	Herbert Hoover
هربرت مارکوزه	Herbert Marcuse
هربرت اسپنسر	Herbert Spencer
هرمان ملویل	Herman Melville
هرمان هسه	Hermann Hesse
هرمان مینکوفسکی	Hermann Minkowski
هرمنوتیک	Hermeneutics
هرمس	Hermes
هرودوت	Herodotus
هروئین	Heroin
حواصیل	Heron
هرتز	Hertz
هسپریدس	Hesperides
هسن	Hesse
هستیا	Hestia
دگرجنس‌گرایی	Heterosexuality
هگزادسیمال	Hexadecimal
حزب‌الله لبنان	Hezbollah
هیدکی یوکاوا	Hideki Yukawa
هیرونیموس بوش	Hieronymus Bosch
فضای هیلبرت	Hilbert space
هیمالیا	Himalayas
هندوکش	Hindu Kush
آئین هندو	Hinduism
هیپی	Hippie
بقراط	Hippocrates
هیروشیما	Hiroshima
هیسپانیولا	Hispaniola
بافت‌شناسی	Histology
هیستون	Histone
تاریخ	History
رده:تاریخ	History
درگاه:تاریخ	History
هو شی مین	Ho Chi Minh
شهر هوشی‌مین	Ho Chi Minh City
سرگرمی‌ها	Hobby
هوکوسائی	Hokusai
هالیوود، کالیفرنیا	Hollywood
هولمیوم	Holmium
هولوسین	Holocene
تمام‌نگاری	Holography
امپراتوری مقدس روم	Holy Roman Empire
روح‌القدس	Holy Spirit
هومئوپاتی	Homeopathy
هومر	Homer
انسان ابزارساز	Homo habilis
هم‌آوا	Homonym
همجنس‌گرایی	Homosexuality
هندوراس	Honduras
عسل	Honey
هنگ‌کنگ	Hong Kong
هونیارا	Honiara
هونولولو	Honolulu
قلیان	Hookah
قانون هوک	Hooke's law
هدهد	Hoopoe
هوراس	Horace
هورمون	Hormone
