Hungarian	English
Kalcium-karbonát	Calcium carbonate
Kalcium-oxid	Calcium oxide
Számológép	Calculator
Kaldera	Caldera
Naptár	Calendar
Kalifornia	California
Kategória:Kalifornia	California
Kalifornium	Californium
Caligula	Caligula
Kalligráfia	Calligraphy
Kalliopé (múzsa)	Calliope
Kallisztó (hold)	Callisto (moon)
Kallisztó	Callisto (mythology)
Kálvária	Calvary
Calvin Coolidge	Calvin Coolidge
Kálvinizmus	Calvinism
Kalüpszó	Calypso (mythology)
Kambodzsa	Cambodia
Kategória:Kambodzsa	Cambodia
Kambrium	Cambrian
Cambridge	Cambridge
Cambridge, Massachusetts	Cambridge
Teve	Camel
Camembert	Camembert (cheese)
Kamera	Camera
Kamerun	Cameroon
Kategória:Kamerun	Cameroon
Campania	Campania
Kanada	Canada
Kategória:Kanada	Canada
Kanadai dollár	Canadian dollar
Kanári-szigetek	Canary Islands
Canberra	Canberra
Rák (betegség)	Cancer
Kandela	Candela
Nagy Kutya csillagkép	Canis Major
Kis Kutya csillagkép	Canis Minor
Kender	Cannabis
Cannes	Cannes
Ágyú	Cannon
Kenu	Canoe
Kantáta	Cantata
I. Kanut dán király	Canute the Great
Kondenzátor (elektronika)	Capacitor
Cape Canaveral	Cape Canaveral
Fokváros	Cape Town
Zöld-foki Köztársaság	Cape Verde
Kategória:Zöld-foki-szigetek	Cape Verde
Főváros	Capital
Tőke	Capital (economics)
Halálbüntetés	Capital punishment
Kapitalizmus	Capitalism
Kappadókia	Cappadocia
Bak csillagkép	Capricornus
Paprika	Capsicum
Karakál	Caracal
Caracas	Caracas
Karát	Carat (mass)
Karát	Carat (purity)
Caravaggio	Caravaggio
Szénhidrát	Carbohydrate
Szén	Carbon
Szén-dioxid	Carbon dioxide
Szén-monoxid	Carbon monoxide
Szénsav	Carbonic acid
Karbon	Carboniferous
Karbonsavak	Carboxylic acid
Porlasztó	Carburetor
Kardamom	Cardamom
Cardiff	Cardiff
Bíboros	Cardinal (Catholicism)
Richelieu bíboros	Cardinal Richelieu
Karib-térség	Caribbean
Karib-tenger	Caribbean Sea
Karikatúra	Caricature
Hajógerinc csillagkép	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Ragadozók	Carnivora
Húsevő növények	Carnivorous plant
Karolingok	Carolingian dynasty
Carl von Linné	Carolus Linnaeus
Kárpátok	Carpathian Mountains
Sárgarépa	Carrot
Cartagena	Cartagena
Descartes-szorzat	Cartesian product
Karthágó	Carthage
Térképészet	Cartography
Kategória:Térképészet	Cartography
Cary Grant	Cary Grant
Szegfűvirágúak	Caryophyllales
Kaszpi-tenger	Caspian Sea
Kasszandra	Cassandra
Kassziopeia csillagkép	Cassiopeia (constellation)
Öntöttvas	Cast iron
Kasztília	Castile (historical region)
Vár	Castle
Castries	Castries
Casus belli	Casus belli
Macska	Cat
Katalónia	Catalonia
Kataphrakta	Cataphract
Szürkehályog	Cataract
Harcsaalakúak	Catfish
Katarok	Catharism
Székesegyház	Cathedral
Aragóniai Katalin	Catherine of Aragon
Katolicizmus	Catholicism
Szarvasmarha	Cattle
Pásztorgém	Cattle Egret
Catullus	Catullus
Karfiol	Cauliflower
Lovasság	Cavalry
Barlang	Cave
Cayenne	Cayenne
Kajmán-szigetek	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Zeller	Celery
Kategória:Égi mechanika	Celestial mechanics
Égi mechanika	Celestial mechanics
Sejt	Cell (biology)
Sejtmag	Cell nucleus
Sejtfal	Cell wall
Cselló	Cello
Cellulóz	Cellulose
Celsius-skála	Celsius
Temető	Cemetery
Kainozoikum	Cenozoic
Népszámlálás	Census
Kentaur	Centaur
Kentaur csillagkép	Centaurus
Centiméter	Centimetre
Közép-Afrika	Central Africa
Közép-afrikai Köztársaság	Central African Republic
Kategória:Közép-afrikai Köztársaság	Central African Republic
Kategória:Közép-Amerika	Central America
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Központi hatalmak	Central Powers
Központi bank	Central bank
CPU	Central processing unit
Centre	Centre
Évszázad	Century
Fejlábúak	Cephalopod
Cepheus csillagkép	Cepheus (constellation)
Kerámia	Ceramic
Kerberosz	Cerberus
Kisagy	Cerebellum
Ceres (törpebolygó)	Ceres (dwarf planet)
Ceres	Ceres (mythology)
Cérium	Cerium
Cesare Borgia	Cesare Borgia
Galandférgek	Cestoda
Cetek	Cetacea
Cet csillagkép	Cetus
Csád	Chad
Kategória:Csád	Chad
Erdei pinty	Chaffinch
Szék	Chair
Kaméleon csillagkép	Chamaeleon
Zerge	Chamois
Pezsgő	Champagne (wine)
Champagne-Ardenne	Champagne-Ardenne
Csatorna-alagút	Channel Tunnel
Khaosz	Chaos (mythology)
Lilealakúak	Charadriiformes
Nagy Károly frank uralkodó	Charlemagne
Charleroi	Charleroi
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
II. Kopasz Károly	Charles the Bald
Charles Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Bűbájos boszorkák	Charmed
Charon (hold)	Charon (moon)
Kharón	Charon (mythology)
Sovinizmus	Chauvinism
Che Guevara	Che Guevara
Sajt	Cheese
Gepárd	Cheetah
Cseljabinszk	Chelyabinsk
Kémiai kötés	Chemical bond
Vegyület	Chemical compound
Kémiai elem	Chemical element
Vegyképlet	Chemical formula
Kémiai reakció	Chemical reaction
Vegyi fegyver	Chemical warfare
Kémia	Chemistry
Kategória:Kémia	Chemistry
Portál:Kémia	Chemistry
Chemnitz	Chemnitz
Csennaj	Chennai
Csekk	Cheque
Csernobil	Chernobyl
Cseresznye	Cherry
Sakk	Chess
Kategória:Sakk	Chess
Sakkmegnyitás	Chess opening
Chester A. Arthur	Chester A. Arthur
Cheyenne (Wyoming)	Cheyenne
Khi	Chi (letter)
Csang Kaj-sek	Chiang Kai-shek
Chicago	Chicago
Házityúk	Chicken
Bárányhimlő	Chickenpox
Gyerek	Child
Chile	Chile
Kategória:Chile	Chile
Chimborazo	Chimborazo (volcano)
Khimaira	Chimera (mythology)
Csimpánz	Chimpanzee
Kategória:Kína	China
Kiosz	Chios
Kheirón	Chiron
Kitin	Chitin
Klór	Chlorine
Kloroform	Chloroform
Klorofill	Chlorophyll
Kloroplasztisz	Chloroplast
Csokoládé	Chocolate
Kolera	Cholera
Porcos halak	Chondrichthyes
Chongqing	Chongqing
Akkord	Chord (music)
Gerinchúrosok	Chordate
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Kereszténység	Christianity
Kategória:Kereszténység	Christianity
Karácsony	Christmas
Karácsonyfa	Christmas tree
Kolumbusz Kristóf	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Kromatin	Chromatin
Kromatográfia	Chromatography
Króm	Chromium
Kromoszóma	Chromosome
Kategória:Időtartományok	Chronology
Chuck Berry	Chuck Berry
Egyház	Church (building)
Marcus Tullius Cicero	Cicero
Gólyaalakúak	Ciconiiformes
Hamupipőke	Cinderella
Cinnabarit	Cinnabar
Fahéjfa	Cinnamon
Kirké	Circe
Körző csillagkép	Circinus
Kör	Circle
Keringési rendszer	Circulatory system
Körülmetélés	Circumcision
Cirkusz	Circus
Állampolgárság	Citizenship
Citromsav	Citric acid
Citromsavciklus	Citric acid cycle
Polgárháború	Civil war
Civilizáció	Civilization
Klarinét	Clarinet
Clark Gable	Clark Gable
Osztály (rendszertan)	Class (biology)
Klasszikus mechanika	Classical mechanics
Klasszikus zene	Classical music
Klasszicizmus	Classicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Kulcscsont	Clavicle
Agyag	Clay
C-kulcsok	Clef
Klérus	Clergy
Cleveland	Cleveland
Kliens-szerver architektúra	Client-server
Éghajlat	Climate
Klímaváltozás	Climate change
Klimatológia	Climatology
Kategória:Klimatológia	Climatology
Depresszió	Clinical depression
Kleio	Clio
Csikló	Clitoris
Óra (eszköz)	Clock
Big Ben	Clock Tower
Kategória:Ruházat	Clothing
Felhő	Cloud
Szegfűszeg	Clove
I. Klodvig	Clovis I
Csalánozók	Cnidaria
Címer	Coat of arms
Kobalt	Cobalt
Kokain	Cocaine
Katicabogarak	Coccinellidae
Kakadufélék	Cockatoo
Csótányok	Cockroach
Kókusz (Keeling)-szigetek	Cocos (Keeling) Islands
Kodein	Codeine
Kávé	Coffee
Kategória:Kávék	Coffee
Kognitív tudomány	Cognitive science
Pénzérme	Coin
Kolkhisz	Colchis
Hidegháború	Cold War
Kategória:Hidegháború	Cold War
Köln	Cologne
Kolumbia	Colombia
Kategória:Kolumbia	Colombia
Colombo	Colombo
Szín	Color
Colorado	Colorado
Kategória:Colorado	Colorado
Colosseum	Colosseum
Rodoszi Kolosszus	Colossus of Rhodes
Siklófélék	Colubrid
Galamb csillagkép	Columba (constellation)
Columbia	Columbia
Columbia Egyetem	Columbia University
Galambfélék	Columbidae
Kategória:Galambalakúak	Columbiformes
Galambalakúak	Columbiformes
Bereniké haja csillagkép	Coma Berenices
Komédia	Comedy
Comenius	Comenius
Üstökös	Comet
Vessző	Comma (punctuation)
Kategória:Kereskedelem	Commerce
Megfázás	Common cold
Független Államok Közössége	Commonwealth of Independent States
Nemzetközösség	Commonwealth of Nations
Kategória:Kommunikáció	Communication
Kommunikáció	Communication
Kommunizmus	Communism
Kategória:Kommunizmus	Communism
Comore-szigetek	Comoros
Kategória:Comore-szigetek	Comoros
CD	Compact Disc
Század	Company (military unit)
Iránytű	Compass
Fordítóprogram	Compiler
CISC	Complex instruction set computer
Komplex számok	Complex number
Zeneszerző	Composer
Kompozit anyagok	Composite material
Összetett számok	Composite number
Komputertomográfia	Computed tomography
Számítógép	Computer
Számítógép-architektúra	Computer architecture
Monitor	Computer display
Adatállomány	Computer file
Hardver	Computer hardware
Kategória:Hardver	Computer hardware
Számítógép-hálózat	Computer network
Számítógép-programozás	Computer programming
Kategória:Számítógép-programozás	Computer programming
Számítástechnika	Computer science
Kategória:Számítógép-tudomány	Computer science
Szoftver	Computer software
Számítógépes vírus	Computer virus
CAD	Computer-aided design
Conakry	Conakry
Koncentráció	Concentration
Versenymű	Concerto
Beton	Concrete
Karmester	Conducting
Kúp	Cone (geometry)
Amerikai Konföderációs Államok	Confederate States of America
Bérmálás	Confirmation
Konfliktus	Conflict
Konfucianizmus	Confucianism
Konfucius	Confucius
Kongó	Congo
Kongó (folyó)	Congo River
Kúpszelet	Conic section
Connecticut	Connecticut
Kategória:Connecticut	Connecticut
Konkvisztádor	Conquistador
Konszenzus	Consensus
energiamegmaradás	Conservation of energy
Konzervativizmus	Conservatism
Mássalhangzó	Consonant
I. Constantinus	Constantine I
Konstantinápoly	Constantinople
Csillagkép	Constellation
Alkotmány	Constitution (political)
Consul	Consul
Fogyasztás	Consumption (economics)
Kontaktlencse	Contact lens
Kontinens	Continent
Szerződés	Contract
Bridzs	Contract bridge
Szövetkezet	Cooperative
Egyezményes koordinált világidő	Coordinated Universal Time
Koppenhága	Copenhagen
Réz	Copper
Szerzői jog	Copyright
Angolkürt	Cor anglais
Szalakótaalakúak	Coraciiformes
Virágállatok	Coral
Koriander	Coriander
Korinthosz	Corinth
Coriolis-erő	Coriolis effect
Kárókatonafélék	Cormorant
Szaruhártya	Cornea
Cornell Egyetem	Cornell University
Cornwall	Cornwall
Északi Korona csillagkép	Corona Borealis
Vállalat	Corporation
Korzika	Corsica
Korund	Corundum
Korvett	Corvette
Varjúfélék	Corvidae
Holló csillagkép	Corvus (constellation)
Mikrohullámú kozmikus háttérsugárzás	Cosmic microwave background radiation
Kozmikus sugárzás	Cosmic ray
Kozmológia	Cosmology
Kategória:Kozmológia	Cosmology
Costa Rica	Costa Rica
Kategória:Costa Rica	Costa Rica
Cotopaxi	Cotopaxi
Pamut	Cotton
Puma	Cougar
Coulomb	Coulomb
Coulomb-törvény	Coulomb's law
Tridenti zsinat	Council of Trent
Ellenpont	Counterpoint
Ország	Country
Country	Country music
Bíróság	Court
Kovalens kötés	Covalent bond
Prérifarkas	Coyote
Rák-köd	Crab Nebula
Darufélék	Crane (bird)
Serleg csillagkép	Crater (constellation)
Kreacionizmus	Creationism
Kréta (időszak)	Cretaceous
Kréta	Crete
Krikett	Cricket
Krím	Crimea
Krími háború	Crimean War
Büntetőjog	Criminal law
Kriminológia	Criminology
Kategória:Kriminológia	Criminology
Horvátország	Croatia
Kategória:Horvátország	Croatia
Krokodilfélék	Crocodile
Krokodilok	Crocodilia
Vektoriális szorzat	Cross product
Számszeríj	Crossbow
Keresztrejtvény	Crossword
Keresztre feszítés	Crucifixion
Cirkáló	Cruiser
Földkéreg	Crust (geology)
Rákok	Crustacean
Dél Keresztje csillagkép	Crux
Kriptográfia	Cryptography
Kategória:Kriptográfia	Cryptography
Bordásmedúzák	Ctenophore
Kuba	Cuba
Kategória:Kuba	Cuba
Kocka	Cube
Köbméter	Cubic metre
Kubizmus	Cubism
Kakukkalakúak	Cuculiformes
Uborka	Cucumber
Kabakosok	Cucurbitaceae
Kulturális forradalom	Cultural Revolution
Kultúra	Culture
Kategória:Kultúra	Culture
Gomolyfelhő	Cumulus cloud
Ciprusfélék	Cupressaceae
Curitiba	Curitiba
Kűrium	Curium
Curling	Curling
Valuta	Currency
Curry	Curry
Görbe (matematika)	Curve
Cuzco	Cusco
Cianobaktériumok	Cyanobacteria
Kibernetika	Cybernetics
Cyberpunk	Cyberpunk
Kükládok	Cyclades
Ciklon	Cyclone
Küklopszok	Cyclops
Hattyú csillagkép	Cygnus (constellation)
Henger	Cylinder (geometry)
Palkafélék	Cyperaceae
Pontyfélék	Cyprinid
Pontyalakúak	Cypriniformes
Ciprus	Cyprus
Kategória:Ciprus	Cyprus
Cirill ábécé	Cyrillic alphabet
Nagy Kürosz	Cyrus the Great
Cisztás fibrózis	Cystic fibrosis
Citoplazma	Cytoplasm
Csehország	Czech Republic
Kategória:Csehország	Czech Republic
Csehszlovákia	Czechoslovakia
Kategória:Csehszlovákia	Czechoslovakia
D	D
D. H. Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
Dezoxiribonukleinsav	DNA
DOS	DOS
DVD	DVD
Tacskó	Dachshund
Dadaizmus	Dada
Daidalosz	Daedalus
Dagerrotípia	Daguerreotype
Dália (virág)	Dahlia
Dakar	Dakar
Dalai láma	Dalai Lama
Dallas	Dallas
Dalmácia	Dalmatia
Damaszkusz	Damascus
Tánc	Dance
Kategória:Tánc	Dance
Gyermekláncfű	Dandelion
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Dán korona	Danish krone
Dante Alighieri	Dante Alighieri
Duna	Danube
Daphné	Daphne
Dar es-Salaam	Dar es Salaam
Dardanellák	Dardanelles
Dárfúr	Darfur
Dardzsiling	Darjeeling
Sötét anyag	Dark matter
Darmstadtium	Darmstadtium
Darwin (Ausztrália)	Darwin
Darwin	Darwin
Adat	Data
Adatbányászat	Data mining
Adatszerkezet	Data structure
Adatbázis	Database
Adatbázis-kezelő rendszer	Database management system
Részes eset	Dative case
Daugavpils	Daugavpils
Dávid király	David
David Hilbert	David Hilbert
David Hume	David Hume
David Ricardo	David Ricardo
Davis-kupa	Davis Cup
Nap (időegység)	Day
De facto	De facto
Diakónus	Deacon
Holt-tenger	Dead Sea
Holt-tengeri tekercsek	Dead Sea scrolls
Nadragulya	Deadly nightshade
Halál	Death
Kategória:Halál	Death
December	December
December 31	December 31
December 8	December 8
Decibel	Decibel
Tízes számrendszer	Decimal
Deco	Deco
Dekonstrukció	Deconstruction
Dedukció	Deductive reasoning
Szarvas	Deer
Definíció	Definition
Defláció	Deflation
Fok#Szög	Degree
Fok#Sz.C3.B6g	Degree (angle)
Deimosz (hold)	Deimos (moon)
Deizmus	Deism
Delaware	Delaware
Kategória:Delaware	Delaware
Delhi	Delhi
Dell	Dell
Delphoi	Delphi
Delfin csillagkép	Delphinus
Delta	Delta (letter)
Özönvíz (mitológia)	Deluge (mythology)
Demagógia	Demagogy
Démétér	Demeter
Demokrácia	Democracy
Demokrata Párt	Democratic Party (United States)
Kongói Demokratikus Köztársaság	Democratic Republic of the Congo
Kategória:Kongói Demokratikus Köztársaság	Democratic Republic of the Congo
Démokritosz	Democritus
Demográfia	Demography
Démoszthenész	Demosthenes
Deng Xiaoping	Deng Xiaoping
Dengue-láz	Dengue fever
Denis Diderot	Denis Diderot
Dánia	Denmark
Kategória:Dánia	Denmark
Gábor Dénes	Dennis Gabor
Fogszuvasodás	Dental caries
Kategória:Fogászat	Dentistry
Fogászat	Dentistry
Denver (Colorado)	Denver
Differenciálhányados	Derivative
Sivatag	Desert
Kategória:Sivatagok	Deserts
Rotterdami Erasmus	Desiderius Erasmus
Formatervezés	Design
Romboló	Destroyer
Determináns	Determinant
Determinizmus	Determinism
Detroit	Detroit
Deutérium	Deuterium
Fejlődéslélektan	Developmental psychology
Hardver-illesztőprogram	Device driver
Devon (időszak)	Devonian
Harmatpont	Dew point
Dewey-féle tizedes osztályozás	Dewey Decimal Classification
Dakka	Dhaka
Ázsiai vadkutya	Dhole
Cukorbetegség	Diabetes mellitus
Diakritikus jel	Diacritic
Dialektus	Dialect
Dialektika	Dialectic
Gyémánt	Diamond
Diána walesi hercegné	Diana
Hasmenés	Diarrhea
Kovamoszatok	Diatom
Dobókocka	Dice
Kétszikűek	Dicotyledon
Diktatúra	Dictatorship
Szótár	Dictionary
Dízelmotor	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differenciálegyenlet	Differential equation
Diffrakció	Diffraction
Kategória:Emésztőrendszer	Digestive system
Digitális	Digital
Digitális fényképezőgép	Digital camera
Kapor (növény)	Dill
Dimenzió	Dimension
Dingó	Dingo
Dinoszaurusz	Dinosaur
Egyházmegye	Diocese
Diocletianus	Diocletian
Dióda	Diode
Dionüszosz	Dionysus
Diftéria	Diphtheria
Kettőshangzó	Diphthong
Diplodocus	Diplodocus
Diplomácia	Diplomacy
Kategória:Diplomácia	Diplomacy
Dire Straits	Dire Straits
Egyenáram	Direct current
Kategória:Egyértelműsítő lapok	Disambiguation
Lemezlovas	Disc jockey
Diskurzus	Discourse
Diszkrimináció	Discrimination
Betegség	Disease
Desztilláció	Distillation
Divergencia (vektoranalízis)	Divergence
Dizzy Gillespie	Dizzy Gillespie
Kategória:Dzsibuti	Djibouti
Dmitrij Ivanovics Mengyelejev	Dmitri Mendeleev
Dmitrij Dmitrijevics Sosztakovics	Dmitri Shostakovich
Dnyeper	Dnieper River
Dobermann	Doberman Pinscher
Dodekaéder	Dodecahedron
Dodekanéz	Dodecanese
Mauritius-szigeti dodó	Dodo
Dodoma	Dodoma
Kutya	Dog
Dogma	Dogma
Doha	Doha
Dolomit	Dolomite
Domén (rendszertan)	Domain (biology)
Tartománynév	Domain name
Kupola	Dome
Doomsday Book	Domesday Book
Háziasítás	Domestication
Dominikai Közösség	Dominica
Kategória:Dominikai Közösség	Dominica
Domonkos-rend	Dominican Order
Dominikai Köztársaság	Dominican Republic
Kategória:Dominikai Köztársaság	Dominican Republic
Domitianus	Domitian
Don Quijote	Don Quixote
Don	Don River (Russia)
Donald kacsa	Donald Duck
Donyeck	Donetsk
Háziszamár	Donkey
Dopamin	Dopamine
Doppler-effektus	Doppler effect
Aranyhal csillagkép	Dorado
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Nagybőgő	Double bass
Douglas MacArthur	Douglas MacArthur
Dover (Delaware)	Dover
Down-szindróma	Down syndrome
Sárkány csillagkép	Draco (constellation)
Drakula	Dracula
Sárkány	Dragon
Dráma	Drama
Dámajáték	Draughts
Drezda	Dresden
Egypúpú teve	Dromedary
Aszály	Drought
Függőség	Drug addiction
Druida	Druid
Dob	Drum
Dualizmus (filozófia)	Dualism
Dualizmus (filozófia)	Dualism (philosophy of mind)
Dubaj	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Dugong	Dugong
Herceg	Duke
Duke Ellington	Duke Ellington
Duke Egyetem	Duke University
Patkóbél	Duodenum
Dusanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Kategória:Hollandok	Dutch people
Dwight David Eisenhower	Dwight D. Eisenhower
Dinamit	Dynamite
Dinasztia	Dynasty
Diszlexia	Dyslexia
Diszprózium	Dysprosium
Disztópia	Dystopia
E	E
Euler-féle szám	E (mathematical constant)
E-mail	E-mail
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	ETA
Sas	Eagle
Fül	Ear
Fülesfókafélék	Eared seal
Valódi fókafélék	Earless seal
Föld	Earth
Földtudomány	Earth science
Földrengés	Earthquake
Kelet-Afrika	East Africa
Német Demokratikus Köztársaság	East Germany
Kelet-Timor	East Timor
Húsvét	Easter
Ortodox kereszténység	Eastern Orthodox Church
Ebola	Ebola
Ebro	Ebro
Prédikátor könyve	Ecclesiastes
Ekhidna	Echidna (mythology)
Tüskésbőrűek	Echinoderm
Napfogyatkozás	Eclipse
Eclipse	Eclipse (software)
Ekliptika	Ecliptic
Ökológia	Ecology
Ökonometria	Econometrics
Közgazdaságtan	Economics
Kategória:Közgazdaságtan	Economics
közgazdaságtan	Economy
Ecuador	Ecuador
Kategória:Ecuador	Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Oktatás	Education
Kategória:Oktatás	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Teller Ede	Edward Teller
Hitvalló Eduárd angol király	Edward the Confessor
Edwin Hubble	Edwin Hubble
Angolnaalakúak	Eel
Tojás (biológia)	Egg (biology)
Padlizsán	Eggplant
Egyiptom	Egypt
Kategória:Egyiptom	Egypt
Egyiptomi font	Egyptian pound
Eiffel-torony	Eiffel Tower
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Rodrigo Díaz de Vivar	El Cid
El Greco	El Greco
Salvador	El Salvador
Kategória:Salvador	El Salvador
Elám	Elam
Elba	Elbe
Parlamenti választás	Election
Élektra	Electra
Elektromos töltés	Electric charge
Elektromos áram	Electric current
Elektromos mező	Electric field
Elektromos gitár	Electric guitar
Elektromos ellenállás	Electrical resistance
Elektromosság	Electricity
Elektrokardiográfia	Electrocardiogram
Elektrolízis	Electrolysis
Elektrolit	Electrolyte
Elektromágneses hullám	Electromagnetic radiation
Elektromágnesség	Electromagnetism
Elektron	Electron
Elektronmikroszkóp	Electron microscope
Elektronegativitás	Electronegativity
Elektronika	Electronics
Kategória:Elektronika	Electronics
Elégia	Elegy
Elemi részecske	Elementary particle
Elefántfélék	Elephant
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Illés próféta	Elijah
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipszis (görbe)	Ellipse
Három pont	Ellipsis
Elvis Presley	Elvis Presley
Emilia–Romagna	Emilia-Romagna
Emily Dickinson	Emily Dickinson
Emír	Emir
Hangulatjel	Emoticon
Empátia	Empathy
Empedoklész	Empedocles
Császár	Emperor
Császárpingvin	Emperor Penguin
Birodalom	Empire
Empire State Building	Empire State Building
Empirizmus	Empiricism
Emufélék	Emu
Emulátor	Emulator
Enciklopédia	Encyclopedia
Endemikus faj	Endemism
Belső elválasztású mirigyek	Endocrine system
Endokrinológia	Endocrinology
Kategória:Endokrinológia	Endocrinology
Energia	Energy
Energia	Energy (society)
Mérnöki tudomány	Engineering
Anglia	England
Kategória:Anglia	England
La Manche	English Channel
Angol polgári forradalom	English Civil War
Angol nyelv	English language
Kategória:Angol nyelv	English language
Kategória:Angolok	English people
Angolok	English people
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entalpia	Enthalpy
Entomológia	Entomology
Entrópia	Entropy
Enzim	Enzyme
Eocén	Eocene
Eon	Eon (geology)
Éósz	Eos
Epheszosz	Ephesus
Epika	Epic poetry
Epicentrum	Epicenter
Epiktétosz	Epictetus
Epikurosz	Epicurus
Járványtan	Epidemiology
Epilepszia	Epilepsy
Epimétheusz	Epimetheus (mythology)
Adrenalin	Epinephrine
Vízkereszt	Epiphany (Christian)
Ismeretelmélet	Epistemology
Pál levele a rómaiakhoz	Epistle to the Romans
Epszilon	Epsilon
Egyenlet	Equation
Egyenlítő	Equator
Egyenlítői-Guinea	Equatorial Guinea
Kategória:Egyenlítői-Guinea	Equatorial Guinea
Lófélék	Equidae
Napéjegyenlőség	Equinox
Erasure	Erasure
Erató	Erato
Eratoszthenész Pentatlosz	Eratosthenes
Erbium	Erbium
Erebosz	Erebus
Erekció	Erection
Hangafélék	Ericaceae
Erikavirágúak	Ericales
Eridánusz csillagkép	Eridanus (constellation)
Erik Satie	Erik Satie
136199 Erisz	Eris (dwarf planet)
Erisz	Eris (mythology)
Kategória:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Erósz	Eros (mythology)
Talajerózió	Erosion
Erwin Rommel	Erwin Rommel
Szökési sebesség	Escape velocity
Eszperantó nyelv	Esperanto
Kategória:Eszperantó	Esperanto
Espoo	Espoo
Esszé	Essay
Essen	Essen
Illóolaj	Essential oil
Kategória:Észtország	Estonia
Éta	Eta (letter)
Rézkarc	Etching
Etán	Ethane
Etanol	Ethanol
Éter (kémia)	Ether
Ethernet	Ethernet
Etika (filozófia)	Ethics
Etiópia	Ethiopia
Kategória:Etiópia	Ethiopia
Etnikum	Ethnic group
Néprajz	Ethnography
Etológia	Ethology
Etilén	Ethylene
Etimológia	Etymology
Eucharisztia	Eucharist
Euklidész	Euclid
Eugene O’Neill	Eugene O'Neill
Eukarióták	Eukaryote
Eufemizmus	Euphemism
Eufrátesz	Euphrates
Eurázsia	Eurasia
Borz	Eurasian Badger
Euripidész	Euripides
Euró	Euro
Europé (hold)	Europa (moon)
Európa (mitológia)	Europa (mythology)
Európa	Europe
Kategória:Európa	Europe
Európai Központi Bank	European Central Bank
Európai Közösség	European Community
Szarka	European Magpie
Európai Unió	European Union
Kategória:Európai Unió	European Union
Európium	Europium
Caesareai Euszebiosz	Eusebius of Caesarea
Euterpé	Euterpe
Eutanázia	Euthanasia
Eva Braun	Eva Braun
Evangelista Torricelli	Evangelista Torricelli
Párosujjú patások	Even-toed ungulate
Evolúció	Evolution
Excalibur	Excalibur
Deviza	Exchange rate
Felkiáltójel	Exclamation mark
Egzisztencializmus	Existentialism
Mózes második könyve	Exodus
Várható érték	Expected value
Exponenciális függvény	Exponential function
Hatvány	Exponentiation
Expresszionizmus	Expressionism
Kihalás	Extinction
Szem	Eye
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabula	Fable
Faktoriális	Factorial
Napfolt	Facula
Fado	Fado
Bükkfavirágúak	Fagales
Fahrenheit	Fahrenheit
Tündér	Fairy
Mese	Fairy tale
Falco (madárnem)	Falcon
Sólyomalakúak	Falconiformes
Falkland-szigetek	Falkland Islands
Érvelési hiba	Fallacy
Európai dámvad	Fallow Deer
Család (rendszertan)	Family (biology)
Vezetéknév	Family name
Fantasy	Fantasy
Távol-Kelet	Far East
Kategória:Feröer	Faroe Islands
Fasizmus	Fascism
Kategória:Fasizmus	Fascism
Divat	Fashion
Gyorsétterem	Fast food
Zsírsav	Fatty acid
Törés (geológia)	Fault (geology)
