Polish	English
Muzyka country	Country music
Sąd	Court
Wiązanie kowalencyjne	Covalent bond
Coventry	Coventry
Kojot	Coyote
Kraby	Crab
Mgławica Kraba	Crab Nebula
Żurawie (ptaki)	Crane (bird)
Puchar (gwiazdozbiór)	Crater (constellation)
Cremona	Cremona
Kreda (okres)	Cretaceous
Kreta	Crete
Krykiet	Cricket
Świerszczowate	Cricket (insect)
Przestępstwo	Crime
Autonomiczna Republika Krymu	Crimea
Wojna krymska	Crimean War
Kategoria:Prawo karne	Criminal law
Prawo karne	Criminal law
Kryminologia	Criminology
Kategoria:Kryminologia	Criminology
Chorwacja	Croatia
Kategoria:Chorwacja	Croatia
Krokodylowate	Crocodile
Krokodyle	Crocodilia
Kronos	Cronus
Krzyż	Cross
Iloczyn wektorowy	Cross product
Kusza	Crossbow
Krzyżówka (zagadka)	Crossword
Ukrzyżowanie	Crucifixion
Krążownik	Cruiser
Skorupa ziemska	Crust (geology)
Skorupiaki	Crustacean
Krzyż Południa (gwiazdozbiór)	Crux
Kategoria:Kryptografia	Cryptography
Ciało krystaliczne	Crystal
Krystalografia	Crystallography
Kategoria:Krystalografia	Crystallography
Żebropławy	Ctenophore
Kuba	Cuba
Kategoria:Kuba	Cuba
Sześcian (geometria)	Cube
Metr sześcienny	Cubic metre
Kubizm	Cubism
Kukułkowe	Cuculiformes
Ogórek	Cucumber
Dyniowate	Cucurbitaceae
Rewolucja kulturalna	Cultural Revolution
Kultura	Culture
Kategoria:Kultura	Culture
Cumbria	Cumbria
Cumulus	Cumulus cloud
Cyprysowate	Cupressaceae
Kurytyba	Curitiba
Kiur (pierwiastek)	Curium
Curling	Curling
Kategoria:Waluty	Currency
Waluta	Currency
Curry	Curry
Cuzco	Cusco
Cyjan (kolor)	Cyan
Cyjanki	Cyanide
Sinice	Cyanobacteria
Kybele	Cybele
Cybernetyka	Cybernetics
Cyberpunk	Cyberpunk
Cyklady	Cyclades
Kolarstwo	Cycling
Kategoria:Rower	Cycling
Cyklon	Cyclone
Cyklop	Cyclops
Łabędź (gwiazdozbiór)	Cygnus (constellation)
Walec (bryła)	Cylinder (geometry)
Ciborowate	Cyperaceae
Karpiowate	Cyprinid
Karpiokształtne	Cypriniformes
Cypr (państwo)	Cyprus
Kategoria:Cypr	Cyprus
Cyrylica	Cyrillic alphabet
Cyrus II Wielki	Cyrus the Great
Mukowiscydoza	Cystic fibrosis
Cytoplazma	Cytoplasm
Cytozyna	Cytosine
Cytoszkielet	Cytoskeleton
Czechy	Czech Republic
Kategoria:Czechy	Czech Republic
Czechosłowacja	Czechoslovakia
Kategoria:Czechosłowacja	Czechoslovakia
D	D
David Herbert Lawrence	D. H. Lawrence
D.W.Griffith	D. W. Griffith
Dichlorodifenylotrichloroetan	DDT
Kwas deoksyrybonukleinowy	DNA
DOS	DOS
DVD	DVD
Jamnik	Dachshund
Dadaizm	Dada
Dedal	Daedalus
Sztylet	Dagger
Dagerotyp	Daguerreotype
Dalia (roślina)	Dahlia
Dakar	Dakar
Dalajlama	Dalai Lama
Dallas	Dallas
Dalmacja	Dalmatia
Zapora wodna	Dam
Damaszek	Damascus
Taniec	Dance
Kategoria:Taniec	Dance
Mniszek (roślina)	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega Saavedra	Daniel Ortega
Korona duńska	Danish krone
Dante Alighieri	Dante Alighieri
Dunaj	Danube
Dafne (mitologia)	Daphne
Dar es Salaam	Dar es Salaam
Dardanele	Dardanelles
Darfur	Darfur
Dardżyling	Darjeeling
Ciemna materia	Dark matter
Darmsztadt	Darmstadtium
Darwin	Darwin
Darwin (ujednoznacznienie)	Darwin
Kapitał (Marks)	Das Kapital
Dane	Data
Eksploracja danych	Data mining
Struktura danych	Data structure
Baza danych	Database
System zarządzania bazą danych	Database management system
Palma daktylowa	Date Palm
Celownik (przypadek)	Dative case
Dyneburg	Daugavpils
Dawid (król Izraela)	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Puchar Davisa	Davis Cup
Dzień	Day
Standard de facto	De facto
Diakonat	Deacon
Morze Martwe	Dead Sea
Rękopisy z Qumran	Dead Sea scrolls
Pokrzyk wilcza jagoda	Deadly nightshade
Śmierć	Death
Kategoria:Śmierć	Death
Dziesięciolecie	Decade
Grudzień	December
31 grudnia	December 31
8 grudnia	December 8
Decybel	Decibel
Dziesiętny system liczbowy	Decimal
Trajan Decjusz	Decius (emperor)
Deklinacja (astronomia)	Declination
Deco	Deco
Dekonstrukcja	Deconstruction
Rozumowanie dedukcyjne	Deductive reasoning
Jeleniowate	Deer
Definicja	Definition
Deflacja (ekonomia)	Deflation
Stopień	Degree
Stopień (kąt)	Degree (angle)
Deimos (księżyc)	Deimos (moon)
Deizm	Deism
Delaware	Delaware
Kategoria:Delaware	Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delfy	Delphi
Delfin (gwiazdozbiór)	Delphinus
Delta (ujednoznacznienie)	Delta
Delta	Delta (letter)
Potop	Deluge (mythology)
Demagogia	Demagogy
Demencja	Dementia
Demeter	Demeter
Demokracja	Democracy
Partia Demokratyczna (USA)	Democratic Party (United States)
Demokratyczna Republika Konga	Democratic Republic of the Congo
Kategoria:Demokratyczna Republika Konga	Democratic Republic of the Congo
Demokryt	Democritus
Demografia	Demography
Kategoria:Demografia	Demography
Demon	Demon
Demostenes (mówca grecki)	Demosthenes
Deng Xiaoping	Deng Xiaoping
Denga	Dengue fever
Denis Diderot	Denis Diderot
Dania	Denmark
Kategoria:Dania	Denmark
Dennis Gabor	Dennis Gabor
Gęstość	Density
Próchnica zębów	Dental caries
Kategoria:Stomatologia	Dentistry
Dentystyka	Dentistry
Denver	Denver
Pochodna funkcji	Derivative
Dermatologia	Dermatology
Des Moines (Iowa)	Des Moines
Pustynia	Desert
Kategoria:Pustynie	Deserts
Erazm z Rotterdamu	Desiderius Erasmus
Design	Design
Desmond Tutu	Desmond Tutu
Niszczyciel	Destroyer
Wyznacznik	Determinant
Determinizm	Determinism
Detroit	Detroit
Deuter	Deuterium
Księga Powtórzonego Prawa	Deuteronomy
Psychologia rozwoju człowieka	Developmental psychology
Sterownik urządzenia	Device driver
Devon	Devon
Dewon	Devonian
Rosa	Dew
Temperatura punktu rosy	Dew point
Klasyfikacja Dziesiętna Deweya	Dewey Decimal Classification
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Cyjon	Dhole
Cukrzyca	Diabetes mellitus
Znaki diakrytyczne	Diacritic
Dialekt	Dialect
Dialektyka	Dialectic
Materializm dialektyczny	Dialectical materialism
Średnica	Diameter
Diament	Diamond
Diana Spencer	Diana
Diana (bogini)	Diana (mythology)
Biegunka	Diarrhea
Diaspora	Diaspora
Okrzemki	Diatom
Kość do gry	Dice
Dwuliścienne	Dicotyledon
Dyktatura	Dictatorship
Słownik	Dictionary
Diego Rivera	Diego Rivera
Olej napędowy	Diesel
Silnik o zapłonie samoczynnym	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Równanie różniczkowe	Differential equation
Dyfrakcja	Diffraction
Dyfuzja	Diffusion
Trawienie	Digestion
Kategoria:Układ pokarmowy człowieka	Digestive system
Cyfrowy aparat fotograficzny	Digital camera
Fotografia cyfrowa	Digital photography
DSL	Digital subscriber line
Dijon	Dijon
Koper (roślina)	Dill
Wymiar (matematyka)	Dimension
Dingo	Dingo
Dinozaury	Dinosaur
Diecezja	Diocese
Dioklecjan	Diocletian
Dioda	Diode
Dionizos	Dionysus
Błonica	Diphtheria
Dwugłoska	Diphthong
Diplodok	Diplodocus
Dyplomacja	Diplomacy
Kategoria:Dyplomacja	Diplomacy
Dire Straits	Dire Straits
Prąd stały	Direct current
Disacharydy	Disaccharide
Kategoria:Strony ujednoznaczniające	Disambiguation
DJ	Disc jockey
Dyskurs	Discourse
Dyskryminacja (psychologia społeczna)	Discrimination
Choroba	Disease
Odległość	Distance
Destylacja	Distillation
Dywergencja	Divergence
Dzielenie	Division (mathematics)
Dywizja	Division (military)
Rozwód	Divorce
Dizzy Gillespie	Dizzy Gillespie
Kategoria:Dżibuti	Djibouti
Dżibuti (miasto)	Djibouti (city)
Dmitrij Mendelejew	Dmitri Mendeleev
Dymitr Szostakowicz	Dmitri Shostakovich
Dniepr	Dnieper River
Dniepropietrowsk	Dnipropetrovsk
Doberman	Doberman Pinscher
Doktor Kościoła	Doctor of the Church
Dokument	Document
Dwunastościan foremny	Dodecahedron
Dodekanez	Dodecanese
Dront dodo	Dodo
Dodoma	Dodoma
Pies domowy	Dog
Dogmat	Dogma
Ad-Dauha	Doha
Dolar	Dollar
Owca Dolly	Dolly (sheep)
Dolmen	Dolmen
Delfin	Dolphin
Domena (biologia)	Domain (biology)
Domena internetowa	Domain name
Kopuła (architektura)	Dome
Domesday Book	Domesday Book
Domestykacja zwierząt	Domestication
Dominika	Dominica
Kategoria:Dominika	Dominica
Dominikanie	Dominican Order
Dominikana	Dominican Republic
Kategoria:Dominikana	Dominican Republic
Domicjan	Domitian
Don Kichot (powieść)	Don Quixote
Don	Don River (Russia)
Kaczor Donald	Donald Duck
Donatello	Donatello
Donato Bramante	Donato Bramante
Donieck	Donetsk
Osioł	Donkey
Drzwi	Door
Dopamina	Dopamine
Efekt Dopplera	Doppler effect
Złota Ryba (gwiazdozbiór)	Dorado
Porządek dorycki	Doric order
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Duala (miasto)	Douala
Kontrabas	Double bass
Douglas MacArthur	Douglas MacArthur
Dover (Delaware)	Dover
Dover	Dover
Zespół Downa	Down syndrome
Smok (gwiazdozbiór)	Draco (constellation)
Drakula (powieść)	Dracula
Smok	Dragon
Dorzecze	Drainage basin
Dramat	Drama
Warcaby	Draughts
Marzenia senne	Dream
Drezno	Dresden
Napój	Drink
Dromader	Dromedary
Susza	Drought
Narkomania	Drug addiction
Druid	Druid
Bęben (muzyka)	Drum
Dualizm (religia)	Dualism
Dualizm (religia)	Dualism (philosophy of mind)
Dubaj	Dubai
Dublin	Dublin
Dubn	Dubnium
Dubrownik	Dubrovnik
Diugoń	Dugong
Diuk	Duke
Duke Ellington	Duke Ellington
Uniwersytet Duke'a	Duke University
Wydma	Dune
Dunkierka	Dunkirk
Dwunastnica	Duodenum
Durban	Durban
Duszanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Kategoria:Holendrzy	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamika (fizyka)	Dynamics (physics)
Dynamit	Dynamite
Dynastia	Dynasty
Dysleksja	Dyslexia
Dysproz	Dysprosium
Antyutopia	Dystopia
E	E
Podstawa logarytmu naturalnego	E (mathematical constant)
Poczta elektroniczna	E-mail
Ernst Theodor Amadeus Hoffmann	E. T. A. Hoffmann
ETA	ETA
Orły	Eagle
Ucho	Ear
Uchatkowate	Eared seal
Fokowate	Earless seal
Ziemia	Earth
Kategoria:Ziemia	Earth
Nauki o Ziemi	Earth science
Trzęsienie ziemi	Earthquake
Wschód	East
Afryka Wschodnia	East Africa
Morze Wschodniochińskie	East China Sea
Niemiecka Republika Demokratyczna	East Germany
East Sussex	East Sussex
Timor Wschodni	East Timor
Kategoria:Timor Wschodni	East Timor
Wielkanoc	Easter
Cerkiew prawosławna	Eastern Orthodox Church
Gorączka krwotoczna Ebola	Ebola
Ebro	Ebro
Ekscentryczność (fizyka)	Eccentricity (mathematics)
Księga Koheleta	Ecclesiastes
Echidna	Echidna (mythology)
Szkarłupnie	Echinoderm
Zaćmienie	Eclipse
Eclipse	Eclipse (software)
Ekliptyka	Ecliptic
Nisza ekologiczna	Ecological niche
Ekologia	Ecology
Kategoria:Ekologia	Ecology
Ekonometria	Econometrics
Ekonomia	Economics
Kategoria:Ekonomia	Economics
Ekonomia	Economy
Ekosystem	Ecosystem
Ekwador	Ecuador
Kategoria:Ekwador	Ecuador
Sobór powszechny	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edynburg	Edinburgh
Adrianopol	Edirne
Edmund Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo (miasto)	Edo
Eduard Buchner	Eduard Buchner
Edukacja	Education
Kategoria:Oświata	Education
Edvard Hagerup Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward Wyznawca	Edward the Confessor
Edwin Hubble	Edwin Hubble
Węgorzokształtne	Eel
Jajo (biologia)	Egg (biology)
Psianka podłużna	Eggplant
Egipt	Egypt
Kategoria:Egipt	Egypt
Funt egipski	Egyptian pound
Egiptologia	Egyptology
Wieża Eiffla	Eiffel Tower
Eindhoven	Eindhoven
Einstein (pierwiastek)	Einsteinium
Ejakulacja	Ejaculation
Cyd	El Cid
El Greco	El Greco
El Paso (Teksas)	El Paso
Salwador	El Salvador
Kategoria:Salwador	El Salvador
Elam	Elam
Łaba	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Wybory	Election
Ładunek elektryczny	Electric charge
Natężenie prądu elektrycznego	Electric current
Pole elektryczne	Electric field
Gitara elektryczna	Electric guitar
Silnik elektryczny	Electric motor
Kategoria:Elektrotechnika	Electrical engineering
Elektrotechnika	Electrical engineering
Rezystancja	Electrical resistance
Elektryczność	Electricity
Kategoria:Elektryczność	Electricity
Elektrokardiografia	Electrocardiogram
Elektrochemia	Electrochemistry
Kategoria:Elektrochemia	Electrochemistry
Elektroliza	Electrolysis
Elektrolit	Electrolyte
Promieniowanie elektromagnetyczne	Electromagnetic radiation
Elektrodynamika klasyczna	Electromagnetism
Kategoria:Elektromagnetyzm	Electromagnetism
Elektron	Electron
Mikroskop elektronowy	Electron microscope
Elektroujemność	Electronegativity
Elektronika	Electronics
Kategoria:Elektronika	Electronics
Elegia	Elegy
Pierwiastek	Element
Cząstka elementarna	Elementary particle
Słoniowate	Elephant
Winda	Elevator
Elf (fantastyka)	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Eliasz (postać biblijna)	Elijah
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Elipsa (matematyka)	Ellipse
Wielokropek	Ellipsis
Wiąz	Elm
Elvis Presley	Elvis Presley
Embrion	Embryo
Embriologia	Embryology
Szmaragd	Emerald
Emilia-Romania	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emotikon	Emoticon
Emocja	Emotion
Empatia	Empathy
Empedokles	Empedocles
Cesarz	Emperor
Pingwin cesarski	Emperor Penguin
Imperium	Empire
Empire State Building	Empire State Building
Empiryzm	Empiricism
Emu	Emu
Emulator	Emulator
Emulsja	Emulsion
Encyklopedia	Encyclopedia
Endemit	Endemism
Układ hormonalny	Endocrine system
Endokrynologia	Endocrinology
Kategoria:Endokrynologia	Endocrinology
Energia (fizyka)	Energy
Kategoria:Energetyka	Energy
Energia	Energy (society)
Silnik	Engine
Inżynier	Engineer
Inżynieria	Engineering
Anglia	England
Kategoria:Anglia	England
Kanał La Manche	English Channel
Angielska wojna domowa	English Civil War
Język angielski	English language
Kategoria:Język angielski	English language
Kategoria:Anglicy	English people
Anglicy	English people
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Kategoria:Rozrywki	Entertainment
Entalpia	Enthalpy
Entomologia	Entomology
Kategoria:Entomologia	Entomology
Entropia	Entropy
Kategoria:Ochrona przyrody	Environment
Środowisko	Environment
Enzymy	Enzyme
Eocen	Eocene
Eon	Eon (geology)
Eos	Eos
Efez	Ephesus
Epos	Epic poetry
Epicentrum	Epicenter
Epiktet	Epictetus
Epikur	Epicurus
Epidemia	Epidemic
Epidemiologia	Epidemiology
Epigrafika	Epigraphy
Padaczka	Epilepsy
Epimeteusz	Epimetheus (mythology)
Adrenalina	Epinephrine
Epifania	Epiphany (Christian)
Epir	Epirus (periphery)
Epistemologia	Epistemology
List do Galatów	Epistle to the Galatians
List do Rzymian	Epistle to the Romans
Tkanka nabłonkowa	Epithelium
Epsilon	Epsilon
Równanie (matematyka)	Equation
Równik	Equator
Gwinea Równikowa	Equatorial Guinea
Kategoria:Gwinea Równikowa	Equatorial Guinea
Koniowate	Equidae
Równonoc	Equinox
Skrzyp	Equisetum
Erasure	Erasure
Erato	Erato
Eratostenes	Eratosthenes
Erb	Erbium
Ereb	Erebus
Impotencja	Erectile dysfunction
Erekcja (fizjologia)	Erection
Wrzosowate	Ericaceae
Wrzosowce	Ericales
Erydan (gwiazdozbiór)	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
136199 Eris	Eris (dwarf planet)
Eris	Eris (mythology)
Kategoria:Erytrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Werner von Siemens	Ernst Werner von Siemens
Eros	Eros (mythology)
Erozja	Erosion
Erotyka	Erotica
Erwin Rommel	Erwin Rommel
Prędkość ucieczki	Escape velocity
Eschatologia	Eschatology
Pałeczka okrężnicy	Escherichia coli
Isfahan (miasto)	Esfahan
Przełyk	Esophagus
Esperanto	Esperanto
Kategoria:Esperanto	Esperanto
Szpiegostwo	Espionage
Espoo	Espoo
Espresso	Espresso
Esej	Essay
Essen	Essen
Olejek eteryczny	Essential oil
Essex	Essex
Estry	Ester
Kategoria:Estonia	Estonia
Estrogeny	Estrogen
Eta	Eta (letter)
Akwaforta	Etching
Etan	Ethane
Alkohol etylowy	Ethanol
Etery	Ether
Ethernet	Ethernet
Etyka	Ethics
Kategoria:Etyka	Ethics
Etiopia	Ethiopia
Kategoria:Etiopia	Ethiopia
Grupa etniczna	Ethnic group
Etnografia	Ethnography
Kategoria:Etnologia	Ethnology
Etologia	Ethology
Eten	Ethylene
Etymologia	Etymology
Eukaliptus	Eucalyptus
Eucharystia (sakrament)	Eucharist
Euklides	Euclid
Geometria euklidesowa	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Jądrowce	Eukaryote
Eunuch	Eunuch
Eufemizm	Euphemism
Eufrat	Euphrates
Eurazja	Eurasia
Borsuk	Eurasian Badger
Eurypides	Euripides
Euro	Euro
Europa (księżyc)	Europa (moon)
Europa (mitologia grecka)	Europa (mythology)
Europa	Europe
Kategoria:Europa	Europe
Europejski Bank Centralny	European Central Bank
Wspólnota Europejska	European Community
Sroka	European Magpie
Unia Europejska	European Union
Kategoria:Unia Europejska	European Union
Europ	Europium
Euzebiusz z Cezarei	Eusebius of Caesarea
Euterpe	Euterpe
Eutanazja	Euthanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Parowanie	Evaporation
Parzystokopytne	Even-toed ungulate
Ewolucja biologiczna	Evolution
Excalibur	Excalibur
Kurs walutowy	Exchange rate
Wykrzyknik	Exclamation mark
Ekskomunika	Excommunication
Władza wykonawcza	Executive (government)
Ekshibicjonizm	Exhibitionism
Egzystencjalizm (filozofia)	Existentialism
Księga Wyjścia	Exodus
Wartość oczekiwana	Expected value
Eksperyment	Experiment
Wybuch	Explosion
Wystawa światowa	Expo (exhibition)
Funkcja wykładnicza	Exponential function
Potęga	Exponentiation
Ekspresjonizm	Expressionism
Wyginięcie	Extinction
Oko	Eye
Kategoria:Oko	Eye
Ezra Pound	Ezra Pound
F	F
Francis Scott Fitzgerald	F. Scott Fitzgerald
Bobowate	Fabaceae
Bajka	Fable
Twarz	Face
Szablon:Fakt	Fact
Silnia	Factorial
Fabryka	Factory
Plama słoneczna	Facula
Fado	Fado
Kategoria:Bukowate	Fagaceae
Bukowce	Fagales
Skala Fahrenheita	Fahrenheit
Dozwolony użytek	Fair use
Baśń	Fairy tale
Sokoły	Falcon
Szponiaste	Falconiformes
Falklandy	Falkland Islands
Sofizmat	Fallacy
Jajowód	Fallopian tube
Daniel (zwierzę)	Fallow Deer
Falun Gong	Falun Gong
Kategoria:Rodzina	Family
Rodzina (biologia)	Family (biology)
Genealogia	Family history
Nazwisko	Family name
Fantasy	Fantasy
Farad	Farad
Kategoria:Wyspy Owcze	Faroe Islands
Faszyzm	Fascism
Kategoria:Faszyzm	Fascism
Kategoria:Moda	Fashion
Moda (styl)	Fashion
Fast food	Fast food
Post	Fasting
Al-Fatah	Fatah
Kwasy tłuszczowe	Fatty acid
Uskok	Fault (geology)
Fauna	Fauna
Fowizm	Fauvism
Telefaks	Fax
Strach	Fear
Pióro	Feather
Luty	February
12 lutego	February 12
14 lutego	February 14
2 lutego	February 2
22 lutego	February 22
29 lutego	February 29
Rewolucja lutowa 1917	February Revolution
Kał	Feces
Federal Bureau of Investigation	Federal Bureau of Investigation
System Rezerwy Federalnej USA	Federal Reserve System
Mikronezja	Federated States of Micronesia
Kategoria:Mikronezja	Federated States of Micronesia
Federacja	Federation
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Sprzężenie zwrotne	Feedback
Skaleń	Feldspar
Kotowate	Felidae
Felix Mendelssohn-Bartholdy	Felix Mendelssohn
Feminizm	Feminism
Kategoria:Feminizm	Feminism
Szermierka	Fencing
Feng shui	Feng shui
Fenkuł włoski	Fennel
Fenrir	Fenrir
Kozieradka pospolita	Fenugreek
Ferdynand II Habsburg	Ferdinand II
Ferdynand Magellan	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentacja	Fermentation (biochemistry)
Fermentacja	Fermentation (food)
Fermion	Fermion
Ferm (pierwiastek)	Fermium
Paprotniki	Fern
Ferrara	Ferrara
Prom	Ferry
Żyzny Półksiężyc	Fertile Crescent
Zapłodnienie	Fertilisation
Nawozy	Fertilizer
Płód	Fetus
Feudalizm	Feudalism
Gorączka	Fever
Fiat	Fiat
Ciąg Fibonacciego	Fibonacci number
Postać literacka	Fictional character
Fidel Castro	Fidel Castro
Ciało (matematyka)	Field (mathematics)
Hokej na trawie	Field hockey
Samolot myśliwski	Fighter aircraft
Łyżwiarstwo figurowe	Figure skating
Fidżi	Fiji
Kategoria:Fidżi	Fiji
File Allocation Table	File Allocation Table
FTP	File Transfer Protocol
System plików	File system
Filippo Brunelleschi	Filippo Brunelleschi
Kategoria:Kinematografia	Film
Film	Film
Portal:Film	Film
Reżyser	Film director
Finwal	Fin Whale
Kategoria:Finanse	Finance
Finanse	Finance
Palec ręki	Finger
Finlandia	Finland
Kategoria:Finlandia	Finland
Jodła	Fir
Ogień	Fire
Broń palna	Firearm
Straż pożarna	Firefighter
Zapora sieciowa	Firewall (networking)
Oprogramowanie wbudowane w urządzenie	Firmware
Sobór Konstantynopolitański I	First Council of Constantinople
Sobór Nicejski I	First Council of Nicaea
I wyprawa krzyżowa	First Crusade
1. List do Koryntian	First Epistle to the Corinthians
Pierwsza pomoc	First aid
Język ojczysty	First language
Ryby	Fish
Wędkarstwo	Fishing
Kategoria:Wędkarstwo	Fishing
Fiord	Fjord
Flaga	Flag
Wić	Flagellum
Flamenco	Flamenco
Flamingi	Flamingo
Flandria	Flanders
Pamięć Flash	Flash memory
Gazy jelitowe	Flatulence
Płazińce	Flatworm
Pchły	Flea
Język flamandzki	Flemish (linguistics)
Krzemień	Flint
Przerzutnik	Flip-flop (electronics)
Powódź	Flood
Dyskietka	Floppy disk
Florencja	Florence
Florence Nightingale	Florence Nightingale
Floryda	Florida
Kategoria:Floryda	Florida
Mąka	Flour
Kwiat	Flower
Okrytonasienne	Flowering plant
Płyn	Fluid
Mechanika płynów	Fluid mechanics
Fluoryt	Fluorite
Flet	Flute
Muchówki	Fly
Mgła	Fog
Kwas foliowy	Folic acid
Muzyka folkowa	Folk music
Folklor	Folklore
Pokarm	Food
Dodatek do żywności	Food additive
Organizacja Narodów Zjednoczonych do spraw Wyżywienia i Rolnictwa	Food and Agriculture Organization
Łańcuch pokarmowy	Food chain
Stopa (anatomia)	Foot
Stopa angielska	Foot (unit of length)
Piłka nożna	Football (soccer)
Kategoria:Piłka nożna	Football (soccer)
Kategoria:Piłka nożna w krajach świata	Football (soccer) by country
Kategoria:Kluby piłkarskie	Football (soccer) clubs
Kategoria:Trenerzy piłkarscy	Football (soccer) managers
Kategoria:Piłkarze	Football (soccer) players
Zakazane Miasto	Forbidden City
Siła	Force
Las	Forest
Leśnictwo (nauka)	Forestry
Widelec	Fork
Aldehyd mrówkowy	Formaldehyde
Kwas mrówkowy	Formic acid
Piec (gwiazdozbiór)	Fornax
Fort Worth	Fort Worth
Fortyfikacja	Fortification
Fortran	Fortran
Skamieniałości	Fossil
Paliwa kopalne	Fossil fuel
Wahadło Foucaulta	Foucault pendulum
Fontanna	Fountain
Szereg Fouriera	Fourier series
IV wyprawa krzyżowa	Fourth Crusade
Lis	Fox
Fraktal	Fractal
Ułamek	Fraction (mathematics)
Francja	France
Kategoria:Francja	France
Francis Bacon (filozof)	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Franciszek II Habsburg	Francis II
Francis Poulenc	Francis Poulenc
Franciszek z Asyżu	Francis of Assisi
Bracia mniejsi	Franciscan
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Frans (pierwiastek)	Francium
Wojna francusko-pruska	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort (Kentucky)	Frankfort
Frankfurt nad Menem	Frankfurt
Kategoria:Frankfurt nad Menem	Frankfurt
Frankfurt nad Odrą	Frankfurt (Oder)
Frankfurt	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Ferenc Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Fryderyk I Barbarossa	Frederick I
Fryderyk II Hohenstauf	Frederick II
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Wolne Państwo	Free State
Wolna wola	Free will
Wolność	Freedom (philosophy)
Wolność słowa	Freedom of speech
Wolnomularstwo	Freemasonry
Freetown	Freetown
Freeware	Freeware
Polinezja Francuska	French Polynesia
Kategoria:Polinezja Francuska	French Polynesia
Rewolucja francuska	French Revolution
Kategoria:Rewolucja francuska	French Revolution
Frank francuski	French franc
Kategoria:Francuzi	French people
Częstotliwość	Frequency
Fresk	Fresco
Woda słodka	Freshwater
Fresno (Kalifornia)	Fresno
Freja	Freyja
Frejr	Freyr
Tarcie (pojęcie fizyczne)	Friction
Piątek	Friday
Fridtjof Nansen	Fridtjof Nansen
Fryderyk Engels	Friedrich Engels
Fryzja (prowincja)	Friesland
Fregata (okręt)	Frigate
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Wenecja Julijska	Friuli-Venezia Giulia
Płazy bezogonowe	Frog
Fruktoza	Fructose
Owoc	Fruit
Kategoria:Owoce	Fruit
Fucking	Fucking
Paliwo	Fuel
Ogniwo paliwowe	Fuel cell
Fuga (muzyka)	Fugue
Fukuoka	Fukuoka
Funafuti	Funafuti
Funkcja	Function (mathematics)
Kategoria:Strona główna	Fundamental
Oddziaływania podstawowe	Fundamental interaction
Fundamentalizm	Fundamentalism
Kategoria:Grzyby	Fungi
Grzyby	Fungus
Kolej linowo-terenowa	Funicular
Funk	Funk
Kategoria:Meble	Furniture
Meble	Furniture
Przyszłość	Future
Futuryzm	Futurism (art)
Logika rozmyta	Fuzzy logic
Fiodor Dostojewski	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
