Marathi	English
भूमध्य समुद्र	Mediterranean Sea
मेल गिब्सन	Mel Gibson
मेनाकेम बेगिन	Menachem Begin
बुध ग्रह	Mercury (planet)
मेरिल स्ट्रीप	Meryl Streep
मेसोपोटेमिया	Mesopotamia
मीटर	Metre
मेक्सिको	Mexico
वर्ग:मेक्सिको	Mexico
मेक्सिको सिटी	Mexico City
मायामी	Miami
अभ्रक	Mica
मिशिगन	Michigan
सूक्ष्मदर्शक	Microscope
मिगेल सर्व्हान्तेस	Miguel de Cervantes
मिखाईल गोर्बाचेव्ह	Mikhail Gorbachev
मिलान	Milan
माइल्स डेव्हिस	Miles Davis
आकाशगंगा	Milky Way
मिलार्ड फिलमोर	Millard Fillmore
नियुत	Million
मिंग राजवंश	Ming Dynasty
मिनीयापोलिस	Minneapolis
मिनेसोटा	Minnesota
मिन्‍स्‍क	Minsk
वर्ग:मिसिसिपी	Mississippi
मिसूरी	Missouri
वर्ग:मिसूरी	Missouri
रेणू	Molecule
मॉलिब्डेनम	Molybdenum
मोनॅको	Monaco
मंगोलिया	Mongolia
वर्ग:मंगोलिया	Mongolia
मोनिका सेलेस	Monica Seles
मोनोसोडियम ग्लुटामेट	Monosodium glutamate
मॉँटाना	Montana
वर्ग:मॉँटाना	Montana
मॉन्टेनिग्रो	Montenegro
माँत्रियाल	Montreal
चंद्र	Moon
मोरोक्को	Morocco
वर्ग:मोरोक्को	Morocco
मॉस्को	Moscow
मशीद	Mosque
आई	Mother
मदर तेरेसा	Mother Teresa
एव्हरेस्ट	Mount Everest
व्हेसुव्हियस	Mount Vesuvius
मुंबई	Mumbai
संग्रहालय	Museum
संगीत	Music
वर्ग:म्यानमार	Myanmar
न्द्जामेना	N'Djamena
नागासाकी	Nagasaki
नागोया	Nagoya
नैरोबी	Nairobi
नामिबिया	Namibia
वर्ग:नामिबिया	Namibia
अतिसूक्ष्मतंत्रज्ञान	Nanotechnology
निसर्ग	Nature
नौरू	Nauru
वर्ग:नौरू	Nauru
नाझी पक्ष	Nazi Party
नेब्रास्का	Nebraska
वर्ग:नेब्रास्का	Nebraska
नेल्सन मंडेला	Nelson Mandela
नियॉन	Neon
नेपाळ	Nepal
वर्ग:नेपाळ	Nepal
नेपच्यून ग्रह	Neptune
नीरो	Nero
नर्व्हा	Nerva
नेदरलँड्स	Netherlands
वर्ग:नेदरलँड्स	Netherlands
चेतापेशी	Neuron
नेव्हाडा	Nevada
नेव्हिल चेम्बरलेन	Neville Chamberlain
न्यू हॅम्पशायर	New Hampshire
वर्ग:न्यू हॅम्पशायर	New Hampshire
न्यू जर्सी	New Jersey
वर्ग:न्यू जर्सी	New Jersey
न्यू मेक्सिको	New Mexico
वर्ग:न्यू मेक्सिको	New Mexico
नवे जग	New World
न्यू झीलँड	New Zealand
वर्ग:न्यू झीलँड	New Zealand
न्यू फाउंडलंड	Newfoundland and Labrador
नॅय्मे	Niamey
वर्ग:निकाराग्वा	Nicaragua
निकेल	Nickel
निकोलस कोपर्निकस	Nicolaus Copernicus
नील्स बोर	Niels Bohr
नील्स हेन्रिक एबेल	Niels Henrik Abel
वर्ग:नायजेरिया	Nigeria
नाईके	Nike
निकिता ख्रुश्चेव्ह	Nikita Khrushchev
निकोला टेसला	Nikola Tesla
नाईल नदी	Nile
नायट्रोजन	Nitrogen
नोबेल पुरस्कार	Nobel Prize
नोबेलियम	Nobelium
उत्तर दिशा	North
उत्तर अमेरिका	North America
वर्ग:उत्तर अमेरिका	North America
नॉर्थ कॅरोलिना	North Carolina
नॉर्थ डकोटा	North Dakota
वर्ग:नॉर्थ डकोटा	North Dakota
उत्तर कोरिया	North Korea
वर्ग:उत्तर कोरिया	North Korea
उत्तर समुद्र	North Sea
उत्तर गोलार्ध	Northern Hemisphere
नॉर्दर्न मेरियाना आयलँड्स	Northern Mariana Islands
नॉर्वे	Norway
नॉर्वेजियन क्रोन	Norwegian krone
नाम	Noun
नोव्हेंबर	November
नोव्हेंबर १	November 1
नोव्हेंबर ११	November 11
नोव्हेंबर २	November 2
नोव्हेंबर ५	November 5
न्युरेंबर्ग	Nuremberg
महासागर	Ocean
ऑक्टोबर	October
ऑक्टोबर १२	October 12
ऑक्टोबर २४	October 24
ओडर नदी	Oder River
ओडिसी	Odyssey
ओहायो	Ohio
वर्ग:ओहायो	Ohio
ओक्लाहोमा	Oklahoma
वर्ग:ओक्लाहोमा	Oklahoma
ओक्लाहोमा सिटी	Oklahoma City
ऑलिव्हर क्रॉमवेल	Oliver Cromwell
ऑलिव्हर स्टोन	Oliver Stone
ऑलिंपिक	Olympic Games
वर्ग:ओमान	Oman
ओम्स्क	Omsk
कांदा	Onion
ऑन्टारियो	Ontario
ओरेगॉन	Oregon
वर्ग:ओरेगॉन	Oregon
ओरिसा	Orissa
पक्षीशास्त्र	Ornithology
ओसाका	Osaka
ओसामा बिन लादेन	Osama bin Laden
ऑस्कर वाइल्ड	Oscar Wilde
ऑस्लो	Oslo
ओटावा	Ottawa
ऑट्टो हान	Otto Hahn
ओटो फॉन बिस्मार्क	Otto von Bismarck
ऑक्सिजन	Oxygen
पाब्लो पिकासो	Pablo Picasso
प्रशांत महासागर	Pacific Ocean
पाकिस्तान	Pakistan
वर्ग:पाकिस्तान	Pakistan
पालेर्मो	Palermo
पॅलॅडियम	Palladium
पनामा	Panama
वर्ग:पनामा	Panama
पनामा कालवा	Panama Canal
पनामा सिटी	Panama City
पँजिआ	Pangaea
पेराग्वे	Paraguay
वर्ग:पेराग्वे	Paraguay
पॅरिस	Paris
पार्वती	Parvati
पॉल मॅककार्टनी	Paul McCartney
पेनिसिलिन	Penicillin
पेनसिल्व्हेनिया	Pennsylvania
वर्ग:पेनसिल्व्हेनिया	Pennsylvania
चीन	People's Republic of China
पर्सी शेली	Percy Bysshe Shelley
पर्थ	Perth
पेरू देश	Peru
वर्ग:पेरू देश	Peru
फिलिप लेनार्ड	Philipp Lenard
फिलिपाईन्स	Philippines
वर्ग:फिलिपाईन्स	Philippines
तत्त्वज्ञान	Philosophy
फ्नॉम पेन्ह	Phnom Penh
फॉस्फरस	Phosphorus
प्रकाशसंश्लेषण	Photosynthesis
वर्ग:भौतिकशास्त्र	Physics
पाय, अव्यय राशी (π)	Pi
पियरे क्युरी	Pierre Curie
अननस	Pineapple
पिट्सबर्ग	Pittsburgh
ग्रह	Planet
प्लूटो ग्रह	Pluto
प्लुटोनियम	Plutonium
पो नदी	Po River
पोलंड	Poland
वर्ग:पोलंड	Poland
वर्ग:राजकारण	Politics
प्रदूषण	Pollution
पोलो	Polo
पोप अलेक्झांडर सहावा	Pope Alexander VI
पोर्ट-औ-प्रिन्स	Port-au-Prince
पोर्तुगाल	Portugal
वर्ग:पोर्तुगाल	Portugal
बटाटा	Potato
ब्रिटिश पाउंड	Pound sterling
वर्षाव (वायुचक्रशास्त्र)	Precipitation (meteorology)
प्रोमेथियम	Promethium
मानसशास्त्र	Psychology
पोर्तोरिको	Puerto Rico
विरामचिन्हे	Punctuation
पंजाब	Punjab (India)
प्याँगयांग	Pyongyang
छिन् राजवंश	Qin Dynasty
छिंग राजवंश	Qing Dynasty
पुंज यामिक	Quantum mechanics
वजीर (बुद्धिबळ)	Queen (chess)
क्विटो	Quito
रा	Ra
रवींद्रनाथ टागोर	Rabindranath Tagore
पाऊस	Rain
इंद्रधनुष्य	Rainbow
राम	Rama
रामायण	Ramayana
रावळपिंडी	Rawalpindi
निळा	Red
धर्म	Religion
रेम्ब्राँ फान रेन	Rembrandt
वर्ग:आयर्लंड	Republic of Ireland
र्‍हाइन नदी	Rhine
गेंडा	Rhinoceros
र्‍होड आयलंड	Rhode Island
वर्ग:र्‍होड आयलंड	Rhode Island
र्‍होड्स	Rhodes
र्‍होडियम	Rhodium
रिचर्ड फाइनमन	Richard Feynman
रिचर्ड निक्सन	Richard Nixon
रिचर्ड वॅग्नर	Richard Wagner
रिचमंड	Richmond
रिगा	Riga
रिंगो स्टार	Ringo Starr
रियो ग्रांदे	Rio Grande
रियो दि जानेरो	Rio de Janeiro
रियाध	Riyadh
रॉबर्ट बर्न्स	Robert Burns
रॉबर्ट लुई स्टीवन्सन	Robert Louis Stevenson
रॉबर्ट रेडफोर्ड	Robert Redford
रोमेनिया	Romania
वर्ग:रोमेनिया	Romania
रोम	Rome
रोनाल्ड रेगन	Ronald Reagan
हत्ती (बुद्धिबळ)	Rook (chess)
रॉटरडॅम	Rotterdam
रॉयल एर फोर्स	Royal Air Force
रुड्यार्ड किप्लिंग	Rudyard Kipling
रशिया	Russia
वर्ग:रशिया	Russia
रदरफोर्ड बी. हेस	Rutherford B. Hayes
र्‍वान्डा	Rwanda
वर्ग:र्‍वांडा	Rwanda
सेंट किट्स आणि नेविस	Saint Kitts and Nevis
सेंट पीटर्सबर्ग	Saint Petersburg
सलमान रश्दी	Salman Rushdie
सॉल्ट लेक सिटी	Salt Lake City
सॅम्युएल मॉर्स	Samuel F. B. Morse
सामुराई	Samurai
सान अँटोनियो	San Antonio
सान फ्रांसिस्को	San Francisco
सान मारिनो	San Marino
संस्‍कृत भाषा	Sanskrit
सप्पोरो, होक्कियाडो	Sapporo
सारा बर्नहार्ट	Sarah Bernhardt
सास्काचेवान	Saskatchewan
शनी ग्रह	Saturn
सौदी अरेबिया	Saudi Arabia
वर्ग:सौदी अरेबिया	Saudi Arabia
स्कॅन्डियम	Scandium
स्कॉटलंड	Scotland
वर्ग:स्कॉटलंड	Scotland
ऋतू	Season
सिअॅटल, वॉशिंग्टन	Seattle
सेकंद	Second
सेलेनियम	Selenium
सेल्युकस निकेटर	Seleucus I Nicator
सेनेगाल	Senegal
वर्ग:सेनेगाल	Senegal
सोल	Seoul
सप्टेंबर	September
सप्टेंबर ११	September 11
सप्टेंबर २९	September 29
वर्ग:सर्बिया	Serbia
संचप्रवाद	Set theory
कामजीवन	Sex
गुप्तांग	Sex organ
शेरलॉक होम्स	Sherlock Holmes
शिव	Shiva
सायबेरिया	Siberia
सियेरा लिओन	Sierra Leone
वर्ग:सियेरा लिओन	Sierra Leone
सिग्रिड उंडसेट	Sigrid Undset
शीख धर्म	Sikhism
सिक्किम	Sikkim
सिलिकॉन	Silicon
चांदी	Silver
सिंगापूर	Singapore
वर्ग:सिंगापूर	Singapore
झोप	Sleep
वर्ग:स्लोव्हेकिया	Slovakia
स्लोव्हेनिया	Slovenia
वर्ग:स्लोव्हेनिया	Slovenia
लहान आतडे	Small intestine
साप	Snake
समाजवाद	Socialism
सोडियम	Sodium
सॉफ्टबॉल	Softball
सूर्यमाला	Solar System
वर्ग:सोलोमन द्वीपे	Solomon Islands
सोमालिया	Somalia
वर्ग:सोमालिया	Somalia
सोफिया लॉरेन	Sophia Loren
आत्मा	Soul
आवाज (ध्वनी)	Sound
वर्ग:दक्षिण आफ्रिका	South Africa
दक्षिण अमेरिका	South America
वर्ग:दक्षिण अमेरिका	South America
साउथ कॅरोलिना	South Carolina
वर्ग:साउथ कॅरोलिना	South Carolina
साउथ डकोटा	South Dakota
वर्ग:साउथ डकोटा	South Dakota
दक्षिण कोरिया	South Korea
वर्ग:दक्षिण कोरिया	South Korea
सोवियेत संघ	Soviet Union
वर्ग:सोवियेत संघ	Soviet Union
स्पेन	Spain
वर्ग:स्पेन	Spain
खेळ	Sport
चौरस	Square (geometry)
श्रीलंका	Sri Lanka
वर्ग:श्रीलंका	Sri Lanka
तारा	Star
संख्याशास्त्र	Statistics
बाष्प	Steam
स्टेफी ग्राफ	Steffi Graf
स्टीफन हॉकिंग	Stephen Hawking
स्टीव्हन स्पीलबर्ग	Steven Spielberg
स्टॉकहोम	Stockholm
जठर	Stomach
तणाव	Stress (medicine)
श्टुटगार्ट	Stuttgart
सुडोकू	Sudoku
सुहार्तो	Suharto
सुकर्णो	Sukarno
सल्फर	Sulfur
सुमात्रा	Sumatra
उन्हाळा	Summer
सूर्य	Sun
अमेरिकेचे सर्वोच्च न्यायालय	Supreme Court of the United States
वर्ग:सुरिनाम	Suriname
स्वीडन	Sweden
वर्ग:स्वीडन	Sweden
स्वीडिश क्रोना	Swedish krona
स्विस फ्रँक	Swiss franc
स्वित्झर्लंड	Switzerland
वर्ग:स्वित्झर्लंड	Switzerland
साहाय्य:संपादन	Syllable
सिरीया	Syria
वर्ग:सिरीया	Syria
टी.एस. इलियट	T. S. Eliot
ताहो नदी	Tagus
ताजमहाल	Taj Mahal
ताजिकिस्तान	Tajikistan
वर्ग:ताजिकिस्तान	Tajikistan
तामीळनाडू	Tamil Nadu
टांझानिया	Tanzania
वर्ग:टांझानिया	Tanzania
तास्मानिया	Tasmania
चव	Taste
तेहरान	Tehran
दूरध्वनी	Telephone
टेलरियम	Tellurium
आर्टेमिसचे मंदिर	Temple of Artemis
टेनेसी	Tennessee
वर्ग:टेनेसी	Tennessee
वर्ग:टेनिस	Tennis
तेनझिंग नॉर्गे	Tenzing Norgay
टेक्सास	Texas
वर्ग:टेक्सास	Texas
थायलंड	Thailand
वर्ग:थायलंड	Thailand
गांबिया	The Gambia
हेग	The Hague
थियोडोसियस पहिला	Theodosius I
सापेक्षतावादाचा सिद्धांत	Theory of relativity
थॉमस अल्वा एडिसन	Thomas Edison
थॉमस जेफरसन	Thomas Jefferson
ऍनियेन नदी	Tiber
तिबेरियस	Tiberius
वर्ग:तिबेट	Tibet
वाघ	Tiger
तैग्रिस नदी	Tigris
काळ	Time
वर्ग:काळ	Time
आंतरराष्ट्रीय कालविभाग	Time zone
टिन	Tin
तिराना	Tirana
टायटेनिया	Titania (moon)
टायटॅनियम	Titanium
टायटस	Titus
टोक्यो	Tokyo
टॉम हँक्स	Tom Hanks
टोनी ब्लेर	Tony Blair
टोरोंटो	Toronto
तुलू	Toulouse
टोयोटा मोटर कंपनी	Toyota
ट्राजान	Trajan
त्रिकोण	Triangle
उपनदी	Tributary
त्रिनिदाद	Trinidad
त्रिनिदाद व टोबॅगो	Trinidad and Tobago
वर्ग:त्रिनिदाद	Trinidad and Tobago
ट्रिपोली	Tripoli
ट्रॉय	Troy
त्सुनामी	Tsunami
क्षय रोग	Tuberculosis
टंग्स्टन	Tungsten
ट्युनिस	Tunis
ट्युनिसिया	Tunisia
वर्ग:ट्युनिसीया	Tunisia
तोरिनो	Turin
तुर्कस्तान	Turkey
वर्ग:तुर्कस्तान	Turkey
वर्ग:तुर्कमेनिस्तान	Turkmenistan
हळद	Turmeric
युनेस्को	UNESCO
वर्ग:युगांडा	Uganda
वर्ग:युक्रेन	Ukraine
उलानबातर	Ulan Bator
अतीनील किरणे	Ultraviolet
युलिसिस एस. ग्रँट	Ulysses S. Grant
संयुक्त अरब अमिराती	United Arab Emirates
वर्ग:संयुक्त अरब अमीराती	United Arab Emirates
वर्ग:युनायटेड किंग्डम	United Kingdom
संयुक्त राष्ट्रे	United Nations
अमेरिकेची संयुक्त संस्थाने	United States
वर्ग:अमेरिकेची संयुक्त संस्थाने	United States
अमेरिकन कॉँग्रेस	United States Congress
अमेरिकन डॉलर	United States dollar
उपनिषदे	Upanishad
उरल पर्वत	Ural Mountains
उर्दू भाषा	Urdu
युटा	Utah
वर्ग:युटा	Utah
गर्भाशय	Uterus
उत्तर प्रदेश	Uttar Pradesh
उझबेकिस्तान	Uzbekistan
वर्ग:उझबेकिस्तान	Uzbekistan
व्हेनेडियम	Vanadium
व्हॅनकुवर	Vancouver
व्हॅटिकन सिटी	Vatican City
व्हेनेझुएला	Venezuela
वर्ग:व्हेनेझुएला	Venezuela
व्हेनिस	Venice
शुक्र ग्रह	Venus
व्हरमाँट	Vermont
वर्ग:व्हर्मॉँट	Vermont
पृष्ठवंशी प्राणी	Vertebrate
व्हिक्टर ह्युगो	Victor Hugo
व्हियेना	Vienna
व्हियेतनाम	Vietnam
वर्ग:व्हियेतनाम	Vietnam
व्हिल्नियस	Vilnius
फिन्सेंत फां गोघ	Vincent van Gogh
व्हायोलिन	Violin
व्हर्जिनिया	Virginia
वर्ग:व्हर्जिनिया	Virginia
व्हर्जिनिया वूल्फ	Virginia Woolf
विषाणू	Virus
विष्णु	Vishnu
व्हिस्चुला नदी	Vistula
जीवनसत्त्व	Vitamin
अ-जीवनसत्त्व	Vitamin A
ड-जीवनसत्त्व	Vitamin D
व्लादिमिर इलिच लेनिन	Vladimir Lenin
वॉलीबॉल	Volleyball
व्होल्तेर	Voltaire
सॉमरसेट मॉम	W. Somerset Maugham
वेल्स	Wales
वॉल्टर स्कॉट	Walter Scott
वॉर्सो	Warsaw
वॉशिंग्टन डी.सी.	Washington
वॉशिंग्टन राज्य	Washington
वर्ग:वॉशिंग्टन राज्य	Washington
पाणी	Water
वॉटर पोलो	Water polo
टरबूज	Watermelon
हवामान	Weather
इंटरनेट ब्राउझर	Web browser
पश्चिम दिशा	West
पश्चिम बंगाल	West Bengal
वेस्ट व्हर्जिनिया	West Virginia
वर्ग:वेस्ट व्हर्जिनिया	West Virginia
व्हाइट हाउस	White House
रानमांजर	Wildcat
विल्हेल्म ओस्टवाल्ड	Wilhelm Ostwald
विल्यम गोल्डिंग	William Golding
विल्यम हॉवार्ड टाफ्ट	William Howard Taft
विल्यम मॅककिन्ली	William McKinley
विल्यम रोवन हॅमिल्टन	William Rowan Hamilton
विल्यम शेक्सपियर	William Shakespeare
विंडहोक	Windhoek
ग्रेप वाईन	Wine
विनिपेग	Winnipeg
विन्स्टन चर्चिल	Winston Churchill
हिवाळा	Winter
विस्कॉन्सिन	Wisconsin
वर्ग:विस्कॉन्सिन	Wisconsin
वूड्रो विल्सन	Woodrow Wilson
वूडी ऍलन	Woody Allen
जागतिक बँक	World Bank
जागतिक व्यापार संघटना	World Trade Organization
पहिले महायुद्ध	World War I
दुसरे महायुद्ध	World War II
वायोमिंग	Wyoming
वर्ग:वायोमिंग	Wyoming
क्ष-किरण	X-ray
झेनॉन	Xenon
रंगून	Yangon
यमनचे प्रजासत्ताक	Yemen
येरेवान	Yerevan
योग	Yoga
योकोहामा	Yokohama
युआन राजवंश	Yuan Dynasty
युरी गागारिन	Yuri Gagarin
झ्यूस	Zeus
झिम्बाब्वे	Zimbabwe
वर्ग:झिम्बाब्वे	Zimbabwe
झिंक	Zinc
