Ukrainian	English
Консенсус	Consensus
Закон збереження енергії	Conservation of energy
Консерватизм	Conservatism
Приголосний звук	Consonant
Констянтин Великий	Constantine I
Константинополь	Constantinople
Сузір'я	Constellation
Конституція	Constitution (political)
Материк	Continent
Дрифтова теорія	Continental drift
Континентальний шельф	Continental shelf
Договір	Contract
Бридж	Contract bridge
Конвекційний потік	Convection
Кулінарія	Cooking
Кооператив	Cooperative
Системи координат	Coordinate system
Всесвітній координований час	Coordinated Universal Time
Копенгаген	Copenhagen
Мідь	Copper
Авторське право	Copyright
Англійський ріжок	Cor anglais
Корал	Coral
Коралове море	Coral Sea
Коралові споруди	Coral reef
Коріандр	Coriander
Корінф	Corinth
Сила Коріоліса	Coriolis effect
Корк	Cork (city)
Баклан	Cormorant
Корнуол	Cornwall
Північна Корона (сузір'я)	Corona Borealis
Корозія	Corrosion
Корсика	Corsica
Корунд	Corundum
Ворон (сузір'я)	Corvus (constellation)
Реліктове випромінювання	Cosmic microwave background radiation
Космологія	Cosmology
Категорія:Космологія	Cosmology
Коста-Рика	Costa Rica
Категорія:Коста-Рика	Costa Rica
Котопахі	Cotopaxi
Бавовна	Cotton
Пума	Cougar
Кулон (одиниця СІ)	Coulomb
Закон Кулона	Coulomb's law
Контрапункт	Counterpoint
Країна	Country
Суд	Court
Ковалентний зв'язок	Covalent bond
Койот	Coyote
Краби	Crab
Крабоподібна туманність	Crab Nebula
Чаша (сузір'я)	Crater (constellation)
Креаціонізм	Creationism
Крейдовий період	Cretaceous
Крит	Crete
Крикет	Cricket
Злочин	Crime
Автономна Республіка Крим	Crimea
Кримська війна	Crimean War
Категорія:Кримінальне право	Criminal law
Кримінальне право	Criminal law
Хорватія	Croatia
Категорія:Хорватія	Croatia
Крокодилові	Crocodile
Хронос	Cronus
Векторний добуток	Cross product
Кросворд	Crossword
Земна кора	Crust (geology)
Ракоподібні	Crustacean
Південний Хрест (сузір'я)	Crux
Криптографія	Cryptography
Категорія:Криптографія	Cryptography
Кристали	Crystal
Категорія:Кристалографія	Crystallography
Реброплави	Ctenophore
Куба	Cuba
Категорія:Куба	Cuba
Куб	Cube
Кубізм	Cubism
Зозулеподібні	Cuculiformes
Огірок звичайний	Cucumber
Культурна революція (Китай)	Cultural Revolution
Культура	Culture
Категорія:Культура	Culture
Камбрія	Cumbria
Купчаста хмара	Cumulus cloud
Куритиба	Curitiba
Кюрій	Curium
Категорія:Валюти	Currency
Валюта	Currency
Каррі	Curry
Крива	Curve
Куско	Cusco
Блакитний колір	Cyan
Ціанобактерії	Cyanobacteria
Кібела	Cybele
Кібернетика	Cybernetics
Кіберпанк	Cyberpunk
Циклон (атмосферний вихор)	Cyclone
Кіклопи	Cyclops
Лебідь (сузір'я)	Cygnus (constellation)
Циліндр	Cylinder (geometry)
Кіпр	Cyprus
Категорія:Кіпр	Cyprus
Кирилиця	Cyrillic alphabet
Кир Великий	Cyrus the Great
Кістозний фіброз	Cystic fibrosis
Цитоплазма	Cytoplasm
Цитозин	Cytosine
Чехія	Czech Republic
Категорія:Чехія	Czech Republic
Чехословаччина	Czechoslovakia
Категорія:Чехословаччина	Czechoslovakia
D (латиниця)	D
Дезоксирибонуклеїнова кислота	DNA
DOS	DOS
DVD	DVD
Дадаїзм	Dada
Дедал	Daedalus
Дагеротипія	Daguerreotype
Дакар	Dakar
Далай-лама	Dalai Lama
Даллас	Dallas
Далмація	Dalmatia
Дамба	Dam
Дамаск	Damascus
Танець	Dance
Категорія:Танці	Dance
Дефо Даніель	Daniel Defoe
Данте Аліґ'єрі	Dante Alighieri
Дунай	Danube
Дафна	Daphne
Дар-ес-Салам	Dar es Salaam
Дарданели	Dardanelles
Темна матерія	Dark matter
Дармштадтій	Darmstadtium
Дарвін (місто)	Darwin
Дані	Data
Добування даних	Data mining
Структури даних	Data structure
База даних	Database
Система керування базами даних	Database management system
Давальний відмінок	Dative case
Даугавпілс	Daugavpils
Давид	David
Гільберт Давид	David Hilbert
Г'юм Девід	David Hume
Лівінгстон Девід	David Livingstone
Рікардо Давид	David Ricardo
Кубок Девіса	Davis Cup
Доба	Day
Категорія:Дата	Days
Де-факто	De facto
Дяк	Deacon
Мертве море	Dead Sea
Белладонна	Deadly nightshade
Смерть	Death
Категорія:Смерть	Death
Грудень	December
31 грудня	December 31
8 грудня	December 8
Десяткова система числення	Decimal
Деку	Deco
Дедукція	Deductive reasoning
Оленеві	Deer
Означення	Definition
Дефляція (економіка)	Deflation
Градус (значення)	Degree
Градус (геометрія)	Degree (angle)
Деймос (супутник)	Deimos (moon)
Деїзм	Deism
Делавер	Delaware
Делфт	Delft
Дельфи	Delphi
Дельфін (сузір'я)	Delphinus
Дельта	Delta
Дельта (літера)	Delta (letter)
Всесвітній потоп	Deluge (mythology)
Демагогія	Demagogy
Деметра	Demeter
Демократія	Democracy
Демократична партія США	Democratic Party (United States)
Демократична Республіка Конго	Democratic Republic of the Congo
Категорія:Демократична Республіка Конго	Democratic Republic of the Congo
Демокріт	Democritus
Демографія	Demography
Категорія:Демографія	Demography
Демон	Demon
Демосфен	Demosthenes
Ден Сяопін	Deng Xiaoping
Дідро Дені	Denis Diderot
Данія	Denmark
Категорія:Данія	Denmark
Густина	Density
Категорія:Стоматологія	Dentistry
Стоматологія	Dentistry
Денвер	Denver
Похідна	Derivative
Дерматологія	Dermatology
Де-Мойн	Des Moines
Пустеля	Desert
Категорія:Пустелі	Deserts
Еразм Ротердамський	Desiderius Erasmus
Дизайн	Design
Категорія:Дизайн	Design
Десмонд Туту	Desmond Tutu
Ескадрений міноносець	Destroyer
Визначник	Determinant
Детермінізм	Determinism
Детройт	Detroit
Дейтерій	Deuterium
Повторення закону	Deuteronomy
Драйвер	Device driver
Девон (графство)	Devon
Девонський період	Devonian
Точка роси	Dew point
Десяткова класифікація Дьюї	Dewey Decimal Classification
Дака	Dhaka
Дхарма	Dharma
Цукровий діабет	Diabetes mellitus
Діалекти	Dialect
Діалектика	Dialectic
Діалектичний матеріалізм	Dialectical materialism
Діаметр	Diameter
Алмаз	Diamond
Діана	Diana (mythology)
Діарея	Diarrhea
Діаспора	Diaspora
Дводольні	Dicotyledon
Диктатура	Dictatorship
Словник	Dictionary
Дизельне паливо	Diesel
Дизельний двигун	Diesel engine
Диференціальні рівняння	Differential equation
Дифракція	Diffraction
Дифузія	Diffusion
Травлення	Digestion
Категорія:Травна система	Digestive system
DSL	Digital subscriber line
Кріп	Dill
Динозаври	Dinosaur
Єпархія	Diocese
Діод	Diode
Діоніс	Dionysus
Дифтерія	Diphtheria
Дифтонг	Diphthong
Дипломатія	Diplomacy
Категорія:Дипломатика	Diplomacy
Dire Straits	Dire Straits
Постійний струм	Direct current
Дисахариди	Disaccharide
Категорія:Багатозначні терміни	Disambiguation
Ді-джей	Disc jockey
Дискурс	Discourse
Дискримінація	Discrimination
Хвороба	Disease
Перегонка	Distillation
Дивергенція	Divergence
Дивізія	Division (military)
Діззі Гіллеспі	Dizzy Gillespie
Категорія:Джибуті	Djibouti
Джибуті (місто)	Djibouti (city)
Менделєєв Дмитро Іванович	Dmitri Mendeleev
Шостакович Дмитро Дмитрович	Dmitri Shostakovich
Дніпро	Dnieper River
Дніпропетровськ	Dnipropetrovsk
Документ	Document
Додекаедр	Dodecahedron
Додеканес	Dodecanese
Додома	Dodoma
Собака	Dog
Догмат	Dogma
Вівця Доллі	Dolly (sheep)
Дольмен	Dolmen
Доломіт	Dolomite
Дельфінові	Dolphin
Домен (біологія)	Domain (biology)
Доменне ім'я	Domain name
Купол	Dome
Книга Страшного суду	Domesday Book
Домініка	Dominica
Домініканці (орден)	Dominican Order
Домініканська Республіка	Dominican Republic
Дон Кіхот	Don Quixote
Дон	Don River (Russia)
Дональд Дак	Donald Duck
Донателло	Donatello
Донато Браманте	Donato Bramante
Донецьк	Donetsk
Віслюк	Donkey
Двері	Door
Дофамін	Dopamine
Ефект Доплера	Doppler effect
Золота Риба (сузір'я)	Dorado
Лессінґ Доріс	Doris Lessing
Дортмунд	Dortmund
Контрабас	Double bass
Дуглас Макартур	Douglas MacArthur
Синдром Дауна	Down syndrome
Дракон (сузір'я)	Draco (constellation)
Змій	Dragon
Водозбірний басейн	Drainage basin
Драма (рід)	Drama
Шашки	Draughts
Дрезден	Dresden
Напої	Drink
Наркоманія	Drug addiction
Барабан	Drum
Дуалізм'	Dualism
Дублін	Dublin
Дубній	Dubnium
Дубровник	Dubrovnik
Качка	Duck
Дюгонь	Dugong
Герцог	Duke
Дюк Еллінгтон	Duke Ellington
Дюнкерк	Dunkirk
Душанбе	Dushanbe
Гофман Дастін	Dustin Hoffman
Категорія:Персоналії:Нідерланди	Dutch people
Дуайт Девід Ейзенхауер	Dwight D. Eisenhower
Динаміка	Dynamics (physics)
Динаміт	Dynamite
Династія	Dynasty
Дислексія	Dyslexia
Диспрозій	Dysprosium
Антиутопія	Dystopia
E (латиниця)	E
Число e	E (mathematical constant)
Електронна пошта	E-mail
Гофманн Ернст Теодор Амадей	E. T. A. Hoffmann
ЕТА	ETA
Вухо	Ear
Земля	Earth
Категорія:Земля	Earth
Науки про Землю	Earth science
Землетрус	Earthquake
Схід	East
Східна Африка	East Africa
Східно-Китайське море	East China Sea
Німецька Демократична Республіка	East Germany
Східний Суссекс	East Sussex
Східний Тимор	East Timor
Великдень	Easter
Православ'я	Eastern Orthodox Church
Геморагічна лихоманка Ебола	Ebola
Ебро	Ebro
Ексцентриситет	Eccentricity (mathematics)
Єхиднові	Echidna
Єхидна (міфологія)	Echidna (mythology)
Голкошкірі	Echinoderm
Затемнення	Eclipse
Eclipse	Eclipse (software)
Екліптика	Ecliptic
Екологічна ніша	Ecological niche
Екологія	Ecology
Категорія:Екологія	Ecology
Економетрика	Econometrics
Економіка	Economics
Категорія:Економіка	Economics
Економіка	Economy
Екосистема	Ecosystem
Еквадор	Ecuador
Категорія:Еквадор	Ecuador
Вселенські собори	Ecumenical council
Едгар Аллан По	Edgar Allan Poe
Деґа Едґар	Edgar Degas
Берроуз Едгар Райс	Edgar Rice Burroughs
Единбург	Edinburgh
Едмонтон	Edmonton
Гілларі Едмунд	Edmund Hillary
Гуссерль Едмунд Густав Альбрехт	Edmund Husserl
Едо (місто)	Edo
Освіта	Education
Категорія:Освіта	Education
Гріг Едвард	Edvard Grieg
Гіббон Едуард	Edward Gibbon
Дженнер Едворд	Edward Jenner
Хаббл Едвін Пауелл	Edwin Hubble
Вугроподібні	Eel
Яйце	Egg (biology)
Баклажан	Eggplant
Єгипет	Egypt
Категорія:Єгипет	Egypt
Ейфелева вежа	Eiffel Tower
Ейнштейній	Einsteinium
Ель Греко	El Greco
Сальвадор	El Salvador
Категорія:Сальвадор	El Salvador
Елам	Elam
Ельба	Elbe
Рузвельт Елеонора	Eleanor Roosevelt
Вибори	Election
Електра	Electra
Електричний заряд	Electric charge
Електричний струм	Electric current
Електричне поле	Electric field
Електрогітара	Electric guitar
Електродвигун	Electric motor
Категорія:Електротехніка	Electrical engineering
Електротехніка	Electrical engineering
Електричний опір	Electrical resistance
Електрика	Electricity
Електрокардіографія	Electrocardiogram
Електрохімія	Electrochemistry
Категорія:Електрохімія	Electrochemistry
Електроліз	Electrolysis
Електроліти	Electrolyte
Електромагнітна хвиля	Electromagnetic radiation
Електродинаміка класична	Electromagnetism
Категорія:Електромагнетизм	Electromagnetism
Електрон	Electron
Електронегативність	Electronegativity
Електроніка	Electronics
Категорія:Електроніка	Electronics
Елегія	Elegy
Елемент	Element
Фундаментальна частинка	Elementary particle
Слонові	Elephant
Ліфт	Elevator
Альви	Elf
Казан Еліа	Elia Kazan
Ілля (пророк)	Elijah
Фіцджеральд Елла	Ella Fitzgerald
Еліпс	Ellipse
В'яз	Elm
Елвіс Преслі	Elvis Presley
Ембріон	Embryo
Емілія-Романья	Emilia-Romagna
Емір	Emir
Ґолдман Емма	Emma Goldman
Смайл	Emoticon
Емоція	Emotion
Емпатія	Empathy
Емпедокл	Empedocles
Імператор	Emperor
Імператорський пінгвін	Emperor Penguin
Емпайр-Стейт-Білдінг	Empire State Building
Емпіризм	Empiricism
Емульсія	Emulsion
Енциклопедія	Encyclopedia
Ендемік	Endemism
Ендокринологія	Endocrinology
Категорія:Ендокринологія	Endocrinology
Енергія	Energy
Категорія:Енергія	Energy
Енергія	Energy (society)
Двигун	Engine
Інженер	Engineer
Інженерія	Engineering
Англія	England
Категорія:Англія	England
Ла-Манш	English Channel
Англійська буржуазна революція 17 століття	English Civil War
Англійська мова	English language
Категорія:Персоналії:Англія	English people
Англійці	English people
Карузо Енріко	Enrico Caruso
Фермі Енріко	Enrico Fermi
Категорія:Розваги	Entertainment
Ентальпія	Enthalpy
Ентомологія	Entomology
Категорія:Ентомологія	Entomology
Термодинамічна ентропія	Entropy
Категорія:Охорона природи	Environment
Ферменти	Enzyme
Еоценова епоха	Eocene
Еон	Eon (geology)
Еос	Eos
Ефес (місто)	Ephesus
Епіцентр	Epicenter
Епікур	Epicurus
Епідемія	Epidemic
Епідеміологія	Epidemiology
Епіметей (міфологія)	Epimetheus (mythology)
Адреналін	Epinephrine
Водохреща	Epiphany (Christian)
Епістемологія	Epistemology
Послання до Римлян	Epistle to the Romans
Епітелій	Epithelium
Епсилон (літера)	Epsilon
Рівняння	Equation
Екватор	Equator
Екваторіальна Гвінея	Equatorial Guinea
Категорія:Екваторіальна Гвінея	Equatorial Guinea
Рівнодення	Equinox
Хвощ	Equisetum
Erasure	Erasure
Ерато	Erato
Ератосфен	Eratosthenes
Ербій	Erbium
Ереб	Erebus
Ерекція	Erection
Вересоцвіті	Ericales
Ерідан (сузір'я)	Eridanus (constellation)
Саті Ерік	Erik Satie
Ерида (карликова планета)	Eris (dwarf planet)
Ерида (міфологія)	Eris (mythology)
Хемінгуей Ернест Міллер	Ernest Hemingway
Резерфорд Ернест	Ernest Rutherford
Ерос	Eros (mythology)
Ерозія	Erosion
Роммель Ервін	Erwin Rommel
Друга космічна швидкість	Escape velocity
Есхатологія	Eschatology
Кишкова паличка	Escherichia coli
Стравохід	Esophagus
Есперанто	Esperanto
Категорія:Есперанто	Esperanto
Розвідка	Espionage
Еспресо	Espresso
Есе	Essay
Ефірні олії	Essential oil
Ессекс	Essex
Складні ефіри	Ester
Категорія:Естонія	Estonia
Ета (літера)	Eta (letter)
Травлення (металообробка)	Etching
Етан	Ethane
Етанол	Ethanol
Прості ефіри	Ether
Ethernet	Ethernet
Етика	Ethics
Категорія:Етика	Ethics
Ефіопія	Ethiopia
Категорія:Ефіопія	Ethiopia
Етнос	Ethnic group
Етнографія	Ethnography
Категорія:Етнологія	Ethnology
Етологія	Ethology
Етилен	Ethylene
Етимологія	Etymology
Євхаристія	Eucharist
Евклід	Euclid
Домен Ядерні	Eukaryote
Євнух	Eunuch
Евфемізм	Euphemism
Євфрат	Euphrates
Євразія	Eurasia
Борсук	Eurasian Badger
Евріпід	Euripides
Євро	Euro
Європа (міфологія)	Europa (mythology)
Європа	Europe
Категорія:Європа	Europe
Європейський центральний банк	European Central Bank
Європейські спільноти	European Community
Сорока	European Magpie
Європейський Союз	European Union
Категорія:Європейський Союз	European Union
Європій	Europium
Евтерпа	Euterpe
Евтаназія	Euthanasia
Браун Єва Анна Паула	Eva Braun
Evanescence	Evanescence
Торрічеллі Еванджеліста	Evangelista Torricelli
Парнокопитні	Even-toed ungulate
Еволюція (біологія)	Evolution
Валютний курс	Exchange rate
Знак оклику	Exclamation mark
Виконавча влада	Executive (government)
Ексгібіціонізм	Exhibitionism
Екзистенціалізм	Existentialism
Математичне сподівання	Expected value
Експеримент	Experiment
Вибух	Explosion
Експонента	Exponential function
Піднесення до степеня	Exponentiation
Експресіонізм	Expressionism
Око	Eye
Категорія:Око	Eye
Паунд Езра Луміс	Ezra Pound
F (латиниця)	F
Фіцджеральд Френсіс Скотт	F. Scott Fitzgerald
Бобові	Fabaceae
Байка	Fable
Шаблон:Fact	Fact
Факторіал	Factorial
Фабрика	Factory
Категорія:Букові	Fagaceae
Букоцвіті	Fagales
Добропорядне користування	Fair use
Казка	Fairy tale
Сокіл	Falcon
Соколоподібні	Falconiformes
Фолклендські острови	Falkland Islands
Логічна хиба	Fallacy
Фалунь Дафа	Falun Gong
Родина (біологія)	Family (biology)
Генеалогія	Family history
Прізвище	Family name
Фентезі	Fantasy
Далекий Схід	Far East
Фарад	Farad
Категорія:Фарерські острови	Faroe Islands
Фашизм	Fascism
Категорія:Фашизм	Fascism
Категорія:Мода	Fashion
Мода (культура)	Fashion
Фаст-фуд	Fast food
Піст	Fasting
Жирні кислоти	Fatty acid
Геологічний розлом	Fault (geology)
Фовізм	Fauvism
Страх	Fear
Пташине перо	Feather
Лютий	February
12 лютого	February 12
14 лютого	February 14
2 лютого	February 2
22 лютого	February 22
29 лютого	February 29
Лютнева революція 1917	February Revolution
Кал	Feces
Федеральне бюро розслідувань США	Federal Bureau of Investigation
Федеративні Штати Мікронезії	Federated States of Micronesia
Федеративна держава	Federation
Фелліні Федеріко	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Зворотний зв'язок	Feedback
Котячі	Felidae
Мендельсон Фелікс	Felix Mendelssohn
Фемінізм	Feminism
Категорія:Фемінізм	Feminism
Фехтування	Fencing
Фенхель	Fennel
Фенрір (міфологія)	Fenrir
Фердинанд II Габсбурґ	Ferdinand II
Фернан Магеллан	Ferdinand Magellan
Фердинанд де Сосюр	Ferdinand de Saussure
Анаеробне дихання	Fermentation (biochemistry)
Бродіння	Fermentation (food)
Ферміон	Fermion
Фермій	Fermium
Папороть	Fern
Родючий півмісяць	Fertile Crescent
Запліднення	Fertilisation
Добрива	Fertilizer
Плід (анатомія)	Fetus
Феодалізм	Feudalism
Лихоманка	Fever
Fiat	Fiat
Послідовність Фібоначчі	Fibonacci number
Персонаж	Fictional character
Фідель Кастро	Fidel Castro
Поле	Field (mathematics)
Фігурне катання	Figure skating
Фіджі	Fiji
Категорія:Фіджі	Fiji
FTP	File Transfer Protocol
Файлова система	File system
Категорія:Кіно	Film
Кінофільм	Film
Портал:Кінематограф	Film
Категорія:Фінанси	Finance
Фінанси	Finance
Дактилоскопія	Fingerprint
Фінляндія	Finland
Категорія:Фінляндія	Finland
Ялиця	Fir
Вогонь	Fire
Вогнепальна зброя	Firearm
Фаєрвол	Firewall (networking)
Перший хрестовий похід	First Crusade
Риби	Fish
Категорія:Риби	Fish
Рибальство	Fishing
Фіорд	Fjord
Прапор	Flag
Джгутик	Flagellum
Фламінго	Flamingo
Фландрія	Flanders
Флеш-пам'ять	Flash memory
Метеоризм	Flatulence
Плоскі черви	Flatworm
Блохи	Flea
Кремінь	Flint
Тригер	Flip-flop (electronics)
Повінь	Flood
Дискета	Floppy disk
Флоренція	Florence
Найтінгейл Флоренс	Florence Nightingale
Флорида	Florida
Категорія:Флорида	Florida
Борошно	Flour
Квітка	Flower
Покритонасінні	Flowering plant
Флюорит	Fluorite
Флейта	Flute
Двокрилі	Fly
Туман	Fog
Народна музика	Folk music
Фольклор	Folklore
Їжа	Food
Харчові добавки	Food additive
Продовольча та сільськогосподарська організація ООН	Food and Agriculture Organization
Харчовий ланцюжок	Food chain
Стопа (анатомія)	Foot
Фут	Foot (unit of length)
Футбол	Football (soccer)
Категорія:Футбол	Football (soccer)
Категорія:Футбол за країною	Football (soccer) by country
Категорія:Футбольні клуби за країною	Football (soccer) clubs
Категорія:Футбольні тренери	Football (soccer) managers
Категорія:Футбольні стадіони	Football (soccer) venues
Сила	Force
Ліс	Forest
Виделка	Fork
Форма правління	Form of government
Мурашина кислота	Formic acid
Піч (сузір'я)	Fornax
Fortran	Fortran
Скам'янілості	Fossil
Горючі корисні копалини	Fossil fuel
Маятник Фуко (фізика)	Foucault pendulum
Ряд Фур'є	Fourier series
Фрактал	Fractal
Дроби	Fraction (mathematics)
Франція	France
Категорія:Франція	France
Бекон Френсіс	Francis Bacon
Френсіс Крік	Francis Crick
Дрейк Френсіс	Francis Drake
Франц ІІ (імператор Священної Римської імперії)	Francis II
Пуленк Франсіс Жан Марсель	Francis Poulenc
Франциск Ассізький	Francis of Assisi
Францисканці	Franciscan
Франциско Франко	Francisco Franco
Гойя Франсіско-Хосе де	Francisco Goya
Франсиско Пісарро	Francisco Pizarro
Францій	Francium
Французько-прусська війна	Franco-Prussian War
Френк Ллойд Райт	Frank Lloyd Wright
Сінатра Френк	Frank Sinatra
Франкфурт-на-Майні	Frankfurt
Кафка Франц	Franz Kafka
Ліст Ференц	Franz Liszt
Шуберт Франц Петер	Franz Schubert
Фред Астер	Fred Astaire
Фрідріх I Барбаросса	Frederick I
Фрідріх II (імператор Священної Римської імперії)	Frederick II
Фредерик Сенгер	Frederick Sanger
Содді Фредерік	Frederick Soddy
Вільна держава (ПАР)	Free State
Свобода	Freedom (philosophy)
Свобода слова	Freedom of speech
Масонство	Freemasonry
Фрітаун	Freetown
Безкоштовне програмне забезпечення	Freeware
Французька Полінезія	French Polynesia
Велика французька революція	French Revolution
Категорія:Французька революція	French Revolution
Категорія:Персоналії:Франція	French people
Частота	Frequency
Фреска	Fresco
Прісна вода	Freshwater
Фресно	Fresno
Фрейя	Freyja
Тертя	Friction
П'ятниця	Friday
Фрітьйоф Нансен	Fridtjof Nansen
Енгельс Фрідріх	Friedrich Engels
Фрегат	Frigate
Фріулі-Венеція-Джулія	Friuli-Venezia Giulia
Безхвості	Frog
Фруктоза	Fructose
Плід	Fruit
Категорія:Фрукти	Fruit
Фукінг	Fucking
Паливо	Fuel
Фуга	Fugue
Функція (математика)	Function (mathematics)
Категорія:Головна	Fundamental
Фундаментальні взаємодії	Fundamental interaction
Релігійний фундаменталізм	Fundamentalism
Категорія:Гриби	Fungi
Гриби	Fungus
Фунікулер	Funicular
Фанк	Funk
Меблі	Furniture
Футуризм	Futurism (art)
Нечітка логіка	Fuzzy logic
Достоєвський Федір Михайлович	Fyodor Dostoevsky
G (латиниця)	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Габон	Gabon
Категорія:Габон	Gabon
Габороне	Gaborone
Гавриїл	Gabriel
Гадоліній	Gadolinium
Гея	Gaia (mythology)
Галатія	Galatia
Галактика	Galaxy
Гален Клавдій	Galen
Галеніт	Galena
Галичина	Galicia (Central Europe)
Галісія	Galicia (Spain)
Галілея	Galilee
Галілей Галілео	Galileo Galilei
Галера	Galley
Куроподібні	Galliformes
Категорія:Куроподібні	Galliformes
Галій	Gallium
Насер Гамаль Абдель	Gamal Abdel Nasser
Азартні ігри	Gambling
Гра	Game
Теорія ігор	Game theory
Гамма (літера)	Gamma
Гамма-промені	Gamma ray
Ґанеша	Ganesha
Ганг	Ganges
Ганьсу	Gansu
Ганімед	Ganymede
Сад	Garden
Гарфілд (персонаж)	Garfield
Часник	Garlic
Гранати	Garnet
Газ	Gas
Газова стала	Gas constant
Бензин	Gasoline
Травна система	Gastrointestinal tract
Черевоногі	Gastropoda
Галлія	Gaul
Сектор Газа	Gaza Strip
Ґеб	Geb
Ґейша	Geisha
Близнята (сузір'я)	Gemini (constellation)
Дорогоцінне каміння	Gemstone
Ген	Gene
Генеалогія	Genealogy
Категорія:Генеалогія	Genealogy
Генеральна угода з тарифів і торгівлі	General Agreement on Tariffs and Trade
Генерал	General Officer
Загальна теорія відносності	General relativity
Генна інженерія	Genetic engineering
Генетика	Genetics
Категорія:Генетика	Genetics
Женева	Geneva
Родовий відмінок	Genitive case
Генуя	Genoa
Геноцид	Genocide
Геном	Genome
Генотип	Genotype
Рід (біологія)	Genus
Геохімія	Geochemistry
Геодезія	Geodesy
Категорія:Геодезія	Geodesy
Чосер Джефрі	Geoffrey Chaucer
Географія	Geography
Категорія:Географія	Geography
Портал:Географія	Geography
Категорія:Геологія	Geology
Геологія	Geology
Геометрична прогресія	Geometric progression
Геометрія	Geometry
Категорія:Геометрія	Geometry
Геоморфологія	Geomorphology
Категорія:Геоморфологія	Geomorphology
Геофізика	Geophysics
Категорія:Геофізика	Geophysics
Геополітика	Geopolitics
Георг Філіп Телеманн	Georg Philipp Telemann
Геґель Ґеорґ Вільгельм Фрідріх	Georg Wilhelm Friedrich Hegel
Джордж Берклі	George Berkeley
Шоу Бернард	George Bernard Shaw
Буль Джордж	George Boole
Гендель Ґеорґ Фредерік	George Frideric Handel
Гершвін Джордж	George Gershwin
Гаррісон Джордж	George Harrison
Лукас Джордж	George Lucas
Джордж Орвелл	George Orwell
Стефенсон Джордж	George Stephenson
Буш Джордж Вокер	George W. Bush
Вашингтон Джордж	George Washington
Бізе Жорж	Georges Bizet
Клемансо Жорж	Georges Clemenceau
Джорджія	Georgia (U.S. state)
Грузія	Georgia (country)
Категорія:Грузія	Georgia (country)
Форд Джеральд	Gerald Ford
Німецька вівчарка	German Shepherd Dog
Німецька мова	German language
Німецька марка	German mark
Германій	Germanium
Німеччина	Germany
Категорія:Німеччина	Germany
Гестапо	Gestapo
Гейзер	Geyser
Гана	Ghana
Категорія:Гана	Ghana
Гетто	Ghetto
Пуччіні Джакомо	Giacomo Puccini
Велика панда	Giant Panda
Гібралтар	Gibraltar
Категорія:Гібралтар	Gibraltar
Гігабайт	Gigabyte
Гільгамеш	Gilgamesh
Імбир садовий	Ginger
Гінкго дволопатеве	Ginkgo
Джордано Бруно	Giordano Bruno
Вазарі Джорджо	Giorgio Vasari
Бокаччо Джованні	Giovanni Boccaccio
Жирафа	Giraffe
Жирафові	Giraffidae
Джироламо Савонарола	Girolamo Savonarola
Жиронда	Gironde
Гарібальді Джузеппе	Giuseppe Garibaldi
Верді Джузеппе	Giuseppe Verdi
Гіза	Giza
Льодовик	Glacier
Залоза	Gland
Глазго	Glasgow
Скло	Glass
Окуляри для корекції вад зору	Glasses
GPS	Global Positioning System
Глобальне потепління	Global warming
Глобалізація	Globalization
Ґлоучестершир	Gloucestershire
Глюкоза	Glucose
Глюон	Gluon
Глутамінова кислота	Glutamic acid
Гліцерин	Glycerol
Гліцин	Glycine
Глікоген	Glycogen
Щелепні	Gnathostomata
Гнейс	Gneiss
Го (гра)	Go (board game)
Гоа	Goa
Гобі	Gobi Desert
Бог	God
Золото	Gold
Меїр Голда	Golda Meir
Беркут	Golden Eagle
Золоті Ворота (міст)	Golden Gate Bridge
Золота Орда	Golden Horde
Гольф	Golf
Комплекс Ґольджі	Golgi apparatus
Гомель	Gomel
Страсна п'ятниця	Good Friday
Google	Google
Категорія:Google	Google
Гугол	Googol
Горгони	Gorgon
Горила	Gorilla
Яструб-тетерев'ятник	Goshawk
Євангеліє	Gospel
Євангеліє від Луки	Gospel of Luke
Гетеборг	Gothenburg
Даймлер Готтліб	Gottlieb Daimler
Подагра	Gout
Уряд	Government
Градієнт	Gradient
Графіті	Graffiti
Грам	Gram
Граматика	Grammar
Категорія:Граматика	Grammar
Рід (мовознавство)	Grammatical gender
Великий Каньйон	Grand Canyon
Великий шолом	Grand Slam (tennis)
Гросмейстер (шахи)	Grandmaster (chess)
Граніт	Granite
Виноград	Grape
Графічний інтерфейс користувача	Graphical user interface
Графіт	Graphite
Гравітація	Gravitation
Гравітаційна стала	Gravitational constant
Гравітон	Graviton
Грей	Gray (unit)
Вовк звичайний	Gray Wolf
Грац	Graz
Великий бар'єрний риф	Great Barrier Reef
Великобританія (острів)	Great Britain
Велика пірникоза	Great Crested Grebe
Велика депресія	Great Depression
Великі Озера	Great Lakes
Великий китайський мур	Great Wall of China
Великі Антильські острови	Greater Antilles
Найбільший спільний дільник	Greatest common divisor
Греція	Greece
Категорія:Греція	Greece
Грецька абетка	Greek alphabet
Категорія:Грецька абетка	Greek alphabet
Грецький вогонь	Greek fire
Категорія:Давньогрецька міфологія	Greek mythology
Зелений колір	Green
Парниковий ефект	Greenhouse effect
Парниковий газ	Greenhouse gas
Ґренландія	Greenland
Категорія:Ґренландія	Greenland
