English	Hebrew
Cusco	קוסקו
Cyan	ציאן
Cyanide	ציאניד
Cyanobacteria	כחוליות
Cybernetics	קיברנטיקה
Cyberpunk	סייברפאנק
Cyclades	האיים הקיקלאדיים
Cycling	קטגוריה:אופניים
Cyclone	ציקלון
Cyclops	קיקלופ
Cygnus (constellation)	ברבור (קבוצת כוכבים)
Cylinder (geometry)	גליל (גאומטריה)
Cyprus	קפריסין
Cyprus	קטגוריה:קפריסין
Cyrillic alphabet	אלפבית קירילי
Cyrus the Great	כורש
Cystic fibrosis	סיסטיק פיברוזיס
Cytoplasm	ציטופלזמה
Cytosine	ציטוזין
Cytoskeleton	שלד התא
Czech Republic	צ'כיה
Czech Republic	קטגוריה:צ'כיה
Czechoslovakia	צ'כוסלובקיה
Czechoslovakia	קטגוריה:צ'כוסלובקיה
D	D
D. H. Lawrence	דייוויד הרברט לורנס
D. W. Griffith	דייוויד לוולין וורק גריפית'
DDT	די די טי
DNA	DNA
DOS	DOS
DVD	DVD
Dada	דאדא
Daedalus	דיידלוס
Dagger	פגיון
Daguerreotype	דאגרוטיפ
Dahlia	דליה
Dakar	דקר (עיר)
Dalai Lama	דלאי לאמה
Dallas	דאלאס
Dalmatia	דאלמטיה
Dam	סכר
Damascus	דמשק
Dance	ריקוד
Dance	קטגוריה:מחול
Daniel Bernoulli	דניאל ברנולי
Daniel Defoe	דניאל דפו
Daniel Ortega	דניאל אורטגה
Dante Alighieri	דנטה אליגיירי
Danube	דנובה
Daphne	דפנה (מיתולוגיה)
Dar es Salaam	דאר א-סלאם
Dardanelles	דרדנלים
Darfur	דארפור
Darjeeling	דרג'ילינג
Dark matter	חומר אפל
Darmstadtium	דרמשטטיום
Darwin	דרווין (הטריטוריה הצפונית)
Data	נתונים
Data mining	כריית מידע
Data structure	מבנה נתונים
Database	בסיס נתונים
Database management system	מחולל יישומים
Date Palm	תמר מצוי
Daugavpils	דאוגבפילס
David	דוד
David Hilbert	דויד הילברט
David Hume	דייוויד יום
David Livingstone	דייוויד ליווינגסטון
David Ricardo	דייוויד ריקארדו
Davis Cup	גביע דייוויס
Day	יממה
Days	קטגוריה:ימות השנה
De facto	דה פקטו
Deacon	דיאקון
Dead Sea	ים המלח
Dead Sea scrolls	מגילות ים המלח
Death	מוות
Death	קטגוריה:מוות
December	דצמבר
December 31	31 בדצמבר
December 8	8 בדצמבר
Decibel	דציבל
Decimal	השיטה העשרונית
Decius (emperor)	דקיוס
Deco	דקו
Deconstruction	דקונסטרוקציה
Deductive reasoning	דדוקציה
Deer	אייליים
Definition	הגדרה
Deflation	דפלציה
Degree	מעלה
Degree (angle)	מעלה (זווית)
Deimos (moon)	דימוס (ירח)
Deism	דאיזם
Delaware	דלאוור
Delaware	קטגוריה:דלאוור
Delft	דלפט
Delhi	דלהי
Dell	דל
Delphi	דלפי
Delphinus	דולפין (קבוצת כוכבים)
Delta	דלתא (פירושונים)
Delta (letter)	דלתא (אות)
Deluge (mythology)	המבול
Demagogy	דמגוגיה
Dementia	שיטיון
Demeter	דמטר
Democracy	דמוקרטיה
Democratic Party (United States)	המפלגה הדמוקרטית
Democratic Republic of the Congo	הרפובליקה הדמוקרטית של קונגו
Democratic Republic of the Congo	קטגוריה:הרפובליקה הדמוקרטית של קונגו
Democritus	דמוקריטוס
Demography	דמוגרפיה
Demography	קטגוריה:דמוגרפיה
Demon	שד (מיתולוגיה)
Demosthenes	דמוסתנס
Deng Xiaoping	דנג שיאופינג
Denis Diderot	דני דידרו
Denmark	דנמרק
Denmark	קטגוריה:דנמרק
Dennis Gabor	דניס גאבור
Density	צפיפות החומר
Dental caries	עששת
Dentistry	קטגוריה:רפואת שיניים
Dentistry	רפואת שיניים
Denver	דנוור
Derivative	נגזרת
Dermatology	דרמטולוגיה
Des Moines	דה מוין
Desert	מדבר
Deserts	קטגוריה:מדבריות
Desiderius Erasmus	ארסמוס מרוטרדם
Design	עיצוב
Design	קטגוריה:עיצוב
Desmond Tutu	דזמונד טוטו
Destroyer	משחתת
Determinant	דטרמיננטה
Determinism	דטרמיניזם
Detroit	דטרויט
Deuterium	דאוטריום
Deuteronomy	דברים
Developmental psychology	פסיכולוגיה התפתחותית
Device driver	מנהל התקן
Devonian	דבון
Dew	טל
Dew point	נקודת הטל
Dewey Decimal Classification	שיטת דיואי
Dhaka	דאקה
Dharma	דהרמה
Dhole	דהול
Diabetes mellitus	סוכרת
Diacritic	סימן דיאקריטי
Dialect	ניב (סיווג שפה)
Dialectic	דיאלקטיקה
Dialectical materialism	מטריאליזם דיאלקטי
Diameter	קוטר
Diamond	יהלום
Diana	דיאנה, הנסיכה מוויילס
Diana (mythology)	דיאנה (מיתולוגיה)
Diarrhea	שלשול
Diaspora	גלות
Diatom	צורניות
Dice	קוביית משחק
Dicotyledon	דו-פסיגיים
Dictatorship	דיקטטורה
Dictionary	מילון
Diego Rivera	דייגו ריברה
Diesel	סולר
Diesel engine	מנוע דיזל
Dietrich Bonhoeffer	דיטריך בונהופר
Differential equation	משוואה דיפרנציאלית
Diffraction	עקיפה
Diffusion	פעפוע
Digestion	עיכול
Digital	דיגיטלי/אנלוגי
Digital photography	צילום דיגיטלי
Digital subscriber line	DSL
Dijon	דיז'ון
Dill	שבת ריחני
Dimension	ממד (מתמטיקה)
Dingo	דינגו
Dinosaur	דינוזאורים
Diocese	דיוקסיה
Diocletian	דיוקלטיאנוס
Diode	דיודה
Dionysus	דיוניסוס
Diphtheria	דיפתריה
Diphthong	דיפתונג
Diplodocus	דיפלודוקוס
Diplomacy	דיפלומטיה
Dire Straits	דייר סטרייטס
Direct current	זרם ישר
Disaccharide	דו-סוכר
Disambiguation	קטגוריה:פירושונים
Disc jockey	DJ
Discourse	שיח (מדעי החברה)
Discrimination	אפליה
Disease	מחלה
Distillation	זיקוק
Divergence	דיברגנץ
Division (military)	אוגדה
Divorce	גירושים
Dizzy Gillespie	דיזי גילספי
Djibouti	קטגוריה:ג'יבוטי
Djibouti (city)	ג'יבוטי (עיר)
Dmitri Mendeleev	דמיטרי מנדלייב
Dmitri Shostakovich	דמיטרי שוסטקוביץ'
Dnieper River	דנייפר
Dnipropetrovsk	דניפרופטרובסק
Doberman Pinscher	דוברמן פינצ'ר
Doctor of the Church	מורי הכנסייה
Dodecahedron	דודקהדרון
Dodecanese	האיים הדודקאנסיים
Dodo	דודו אפור
Dodoma	דודומה
Dog	כלב
Dogma	דוגמה
Doha	דוחה
Dollar	דולר
Dolly (sheep)	הכבשה דולי
Dolmen	דולמן
Dolomite	דולומיט (מינרל)
Dolphin	דולפין
Domain (biology)	על-ממלכה
Domain name	שם תחום
Dome	כיפה (מבנה)
Domesday Book	ספר יום הדין
Domestication	ביות
Dominica	דומיניקה
Dominica	קטגוריה:דומיניקה
Dominican Order	דומיניקנים
Dominican Republic	הרפובליקה הדומיניקנית
Dominican Republic	קטגוריה:הרפובליקה הדומיניקנית
Domitian	דומיטיאנוס
Don Quixote	דון קישוט
Don River (Russia)	דון (נהר)
Donald Duck	דונאלד דאק
Donatello	דונטלו
Donato Bramante	דונטו ברמנטה
Donetsk	דונצק
Donkey	חמור הבית
Door	דלת
Dopamine	דופמין
Doppler effect	אפקט דופלר
Dorado	דג זהב (קבוצת כוכבים)
Doric order	הסדר הדורי
Doris Lessing	דוריס לסינג
Dortmund	דורטמונד
Double bass	קונטרבס
Douglas MacArthur	דאגלס מקארתור
Dover	דובר (דלאוור)
Dover	דובר (אנגליה)
Down syndrome	תסמונת דאון
Draco (constellation)	דרקון (קבוצת כוכבים)
Dracula	דרקולה (ספר)
Dragon	דרקון
Drainage basin	אגן ניקוז
Drama	דרמה
Draughts	דמקה
Dream	חלום
Dresden	דרזדן
Drink	משקה
Dromedary	גמל חד-דבשתי
Drought	בצורת
Drug addiction	התמכרות
Druid	דרואידיות
Drum	תוף
Dualism	דואליזם
Dualism (philosophy of mind)	דואליזם
Dubai	דובאי
Dublin	דבלין
Dubnium	דובניום
Dubrovnik	דוברובניק
Dugong	תחש המשכן
Duke Ellington	דיוק אלינגטון
Duke University	אוניברסיטת דיוק
Dune	חולית (דיונה)
Dunkirk	דנקרק
Duodenum	תריסריון
Durban	דרבן (דרום אפריקה)
Dushanbe	דושנבה
Dustin Hoffman	דסטין הופמן
Dutch people	קטגוריה:הולנדים
Dwight D. Eisenhower	דווייט אייזנהאואר
Dynamics (physics)	דינמיקה (מכניקה)
Dynamite	דינמיט
Dynasty	שושלת
Dyslexia	דיסלקציה
Dysprosium	דיספרוסיום
Dystopia	דיסטופיה
E	E
E (mathematical constant)	E (קבוע מתמטי)
E-mail	דואר אלקטרוני
E. T. A. Hoffmann	א.ת.א. הופמן
ETA	ETA
Ear	אוזן
Eared seal	אוטריים
Earless seal	כלבי ים
Earth	כדור הארץ
Earth	קטגוריה:כדור הארץ
Earth science	מדעי כדור הארץ
Earthquake	רעידת אדמה
East	מזרח
East Africa	מזרח אפריקה
East China Sea	ים סין המזרחי
East Germany	גרמניה המזרחית
East Timor	מזרח טימור
East Timor	קטגוריה:מזרח טימור
Easter	פסחא
Eastern Orthodox Church	נצרות אורתודוכסית
Ebola	אבולה
Ebro	אברו
Eccentricity (mathematics)	אקסצנטריות (מתמטיקה)
Ecclesiastes	מגילת קהלת
Echidna	קיפודניים
Echidna (mythology)	אכידנה
Echinoderm	קווצי עור
Eclipse	ליקוי מאורות
Eclipse (software)	Eclipse
Ecliptic	מישור המילקה
Ecological niche	גומחה אקולוגית
Ecology	אקולוגיה
Ecology	קטגוריה:אקולוגיה
Econometrics	אקונומטריקה
Economics	כלכלה
Economics	קטגוריה:כלכלה
Economy	כלכלה
Ecosystem	מערכת אקולוגית
Ecuador	אקוודור
Ecuador	קטגוריה:אקוודור
Ecumenical council	ועידה אקומנית
Edgar Allan Poe	אדגר אלן פו
Edgar Degas	אדגר דגה
Edgar Rice Burroughs	אדגר רייס בורוז
Edinburgh	אדינבורו
Edirne	אדירנה
Edmond Halley	אדמונד האלי
Edmonton	אדמונטון
Edmund Burke	אדמונד ברק
Edmund Hillary	אדמונד הילרי
Edmund Husserl	אדמונד הוסרל
Eduard Buchner	אדוארד בוכנר
Education	חינוך
Education	קטגוריה:חינוך
Edvard Grieg	אדוורד גריג
Edvard Munch	אדוורד מונק
Edward Gibbon	אדוארד גיבון
Edward Jenner	אדוארד ג'נר
Edward Teller	אדוארד טלר
Edward the Confessor	אדוארד המוודה
Edwin Hubble	אדווין האבל
Eel	צלופחאים
Egg (biology)	ביצה
Eggplant	חציל
Egypt	מצרים
Egypt	קטגוריה:מצרים
Egyptian pound	לירה מצרית
Egyptology	אגיפטולוגיה
Eiffel Tower	מגדל אייפל
Einsteinium	איינשטייניום
El Cid	אל סיד
El Greco	אל גרקו
El Salvador	אל סלוודור
El Salvador	קטגוריה:אל סלוודור
Elam	עילם
Elbe	אלבה (נהר)
Eleanor Roosevelt	אלינור רוזוולט
Election	בחירות
Electra	אלקטרה
Electric charge	מטען חשמלי
Electric current	זרם חשמלי
Electric field	שדה חשמלי
Electric guitar	גיטרה חשמלית
Electric motor	מנוע חשמלי
Electrical engineering	קטגוריה:הנדסת חשמל
Electrical engineering	הנדסת חשמל
Electrical resistance	מוליכות חשמלית
Electricity	חשמל
Electricity	קטגוריה:חשמל
Electrocardiogram	אלקטרוקרדיוגרם
Electrochemistry	אלקטרוכימיה
Electrochemistry	קטגוריה:אלקטרוכימיה
Electrolysis	אלקטרוליזה
Electrolyte	אלקטרוליט
Electromagnetic radiation	קרינה אלקטרומגנטית
Electromagnetic spectrum	הספקטרום האלקטרומגנטי
Electromagnetism	אלקטרומגנטיות
Electromagnetism	קטגוריה:אלקטרומגנטיות
Electron	אלקטרון
Electron microscope	מיקרוסקופ אלקטרוני
Electronegativity	אלקטרושליליות
Electronics	אלקטרוניקה
Electronics	קטגוריה:אלקטרוניקה
Elegy	אלגיה
Element	יסודות
Elementary particle	חלקיק יסודי
Elephant	פיליים
Elevator	מעלית
Elf	אלף (פנטזיה)
Elia Kazan	איליה קאזאן
Elias Canetti	אליאס קנטי
Elijah	אליהו
Elizabeth Taylor	אליזבת טיילור
Ella Fitzgerald	אלה פיצג'רלד
Ellipse	אליפסה
Ellipsis	שלוש נקודות
Elvis Presley	אלביס פרסלי
Embryo	עובר#התפתחות עובר האדם
Embryology	אמבריולוגיה
Emerald	ברקת
Emilia-Romagna	אמיליה-רומאניה
Emily Dickinson	אמילי דיקנסון
Emir	אמיר
Emma Goldman	אמה גולדמן
Emoticon	רגשון
Emotion	רגש
Emotion	קטגוריה:רגשות
Empathy	אמפתיה
Empedocles	אמפדוקלס
Emperor	קיסר (תואר)
Emperor Penguin	פינגווין קיסרי
Empire	אימפריה
Empire State Building	בניין אמפייר סטייט
Empiricism	אמפיריציזם
Emu	אמו
Emulator	אמולציה
Emulsion	חומר מתחלב
Encyclopedia	אנציקלופדיה
Endemism	אנדמיות
Endocrine system	המערכת האנדוקרינית
Endocrinology	אנדוקרינולוגיה
Energy	אנרגיה
Energy	קטגוריה:אנרגיה
Energy (society)	אנרגיה
Engine	מנוע
Engineer	מהנדס
Engineering	הנדסה
Engineering	קטגוריה:הנדסה
England	אנגליה
England	קטגוריה:אנגליה
English Channel	תעלת למאנש
English Civil War	מלחמת האזרחים האנגלית
English language	אנגלית
English language	קטגוריה:אנגלית
English people	אנגלים
Enki	אנקי
Enrico Caruso	אנריקו קארוזו
Enrico Fermi	אנריקו פרמי
Entertainment	קטגוריה:בידור
Enthalpy	אנתלפיה
Entomology	אנטומולוגיה
Entropy	אנטרופיה
Environment	קטגוריה:סביבה
Environment	סביבה
Enzyme	אנזים
Eocene	איאוקן
Eos	אאוס
Ephesus	אפסוס
Epic poetry	שירה אפית
Epicenter	מוקד רעידת אדמה
Epictetus	אפיקטטוס
Epicurus	אפיקורוס
Epidemiology	אפידמיולוגיה
Epigraphy	אפיגרפיה
Epilepsy	מחלת הנפילה
Epimetheus (mythology)	אפימתאוס
Epinephrine	אדרנלין
Epiphany (Christian)	חג ההתגלות
Epirus (periphery)	אפירוס
Epistemology	תורת ההכרה
Epithelium	אפיתל
Epsilon	אפסילון
Equation	משוואה
Equator	קו המשווה
Equatorial Guinea	גינאה המשוונית
Equatorial Guinea	קטגוריה:גינאה המשוונית
Equidae	סוסיים
Equinox	נקודת השוויון
Equisetum	שבטבט
Erasure	אירייז'ר
Erato	אראטו
Eratosthenes	ארטוסתנס
Erbium	ארביום
Erebus	ארבוס (אל)
Erectile dysfunction	אין-אונות
Erection	זקפה
Ericaceae	אברשיים
Ericales	אברשאים
Eridanus (constellation)	ארידנוס (קבוצת כוכבים)
Erik Axel Karlfeldt	אריק אקסל קרלפלד
Erik Satie	אריק סאטי
Eris (dwarf planet)	אריס (כוכב לכת ננסי)
Eris (mythology)	אריס (מיתולוגיה)
Eritrea	קטגוריה:אריתריאה
Ernest Hemingway	ארנסט המינגווי
Ernest Rutherford	ארנסט רתרפורד
Eros (mythology)	ארוס
Erosion	שחיקה
Erotica	ארוטיקה
Erwin Rommel	ארווין רומל
Escape velocity	מהירות מילוט
Eschatology	אסכטולוגיה
Escherichia coli	Escherichia coli
Esfahan	אספהאן
Esophagus	ושט
Esperanto	אספרנטו
Espionage	ריגול
Espoo	אספו
Essay	מסה (חיבור עיוני)
Essen	אסן
Essential oil	שמן אתרי
Essex	אסקס
Ester	אסטר
Estonia	קטגוריה:אסטוניה
Estrogen	אסטרוגן
Eta (letter)	אטא
Ethane	אתאן
Ethanol	אתנול
Ether	אתר (כימיה)
Ethernet	Ethernet
Ethics	פילוסופיה של המוסר
Ethics	קטגוריה:אתיקה
Ethiopia	אתיופיה
Ethiopia	קטגוריה:אתיופיה
Ethnic group	אתניות
Ethnography	אתנוגרפיה
Ethology	אתולוגיה
Ethylene	אתן
Etymology	אטימולוגיה
Eucalyptus	אקליפטוס
Euclid	אוקלידס
Euclidean geometry	גאומטריה אוקלידית
Eugene O'Neill	יוג'ין או'ניל
Eukaryote	איקריוטיים
Eunuch	סריס
Euphemism	לשון נקייה
Euphrates	פרת
Eurasia	אירואסיה
Eurasian Badger	גירית מצויה
Euripides	אוריפידס
Euro	אירו
Europa (moon)	אירופה (ירח)
Europa (mythology)	אירופה (מיתולוגיה)
Europe	אירופה
Europe	קטגוריה:אירופה
European Central Bank	הבנק המרכזי האירופי
European Magpie	עקעק זנבתן
European Union	האיחוד האירופי
European Union	קטגוריה:האיחוד האירופי
Europium	אירופיום
Eusebius of Caesarea	אוסביוס מקיסריה
Euterpe	אוטרפה
Euthanasia	המתת חסד
Eva Braun	אווה בראון
Evanescence	אוונסנס
Evangelista Torricelli	אוונג'ליסטה טוריצ'לי
Evaporation	התאיידות
Even-toed ungulate	מכפילי פרסה
Evolution	אבולוציה
Excalibur	אקסקליבר
Exclamation mark	סימן קריאה
Excommunication	נידוי (הלכה)
Exhibitionism	אקסהיביציוניזם
Existentialism	אקזיסטנציאליזם
Exodus	שמות
Expected value	תוחלת
Experiment	ניסוי
Explosion	פיצוץ
Expo (exhibition)	תערוכה עולמית
Exponential function	פונקציה מעריכית
Exponentiation	חזקה (מתמטיקה)
Expressionism	אקספרסיוניזם
Extinction	מינים נעלמים
Eye	עין
Ezra Pound	עזרא פאונד
F	F
F. Scott Fitzgerald	פרנסיס סקוט פיצג'רלד
Fabaceae	קטניות
Fable	משל
Face	פנים
Fact	תבנית:מקור
Factorial	עצרת
Factory	בית חרושת
Facula	כתם שמש
Fado	פאדו
Fagaceae	קטגוריה:אלוניים
Fahrenheit	מעלות פרנהייט
Fair use	שימוש הוגן
Fairy	פיה (פנטזיה)
Fairy tale	מעשייה
Falcon	בז
Falconiformes	דורסי יום
Falkland Islands	איי פוקלנד
Fallacy	כשל לוגי
Fallopian tube	חצוצרה (איבר)
Fallow Deer	יחמור
Falun Gong	פאלון גונג
Family	קטגוריה:משפחה
Family (biology)	משפחה (טקסונומיה)
Family history	גנאלוגיה
Family name	שם משפחה
Fantasy	פנטזיה
Far East	המזרח הרחוק
Farad	פאראד
Faroe Islands	קטגוריה:איי פארו
Fascism	פשיזם
Fascism	קטגוריה:פשיזם
Fashion	קטגוריה:אופנה
Fashion	אופנה
Fast food	מזון מהיר
Fasting	צום
Fatah	פת"ח
Fatty acid	חומצת שומן
Fault (geology)	העתק
Fauna	פאונה
Fauvism	פוביזם
Fax	פקס
Fear	פחד
Feather	נוצה
February	פברואר
February 12	12 בפברואר
February 14	14 בפברואר
February 2	2 בפברואר
February 22	22 בפברואר
February 29	29 בפברואר
February Revolution	מהפכת פברואר
Feces	צואה
Federal Bureau of Investigation	FBI
Federal Reserve System	פדרל ריזרב
Federated States of Micronesia	מיקרונזיה
Federated States of Micronesia	קטגוריה:מיקרונזיה
Federico Fellini	פדריקו פליני
Fedora (Linux distribution)	פדורה (הפצת לינוקס)
Feedback	משוב
Feldspar	פצלת השדה
Felidae	חתוליים
Felix Mendelssohn	פליקס מנדלסון-ברתולדי
Feminism	פמיניזם
Feminism	קטגוריה:פמיניזם
Fencing	סיף
Feng shui	פנג שווי
Fennel	שומר פשוט
Fenugreek	גרגרנית יוונית
Ferdinand II	פרדיננד השני, קיסר האימפריה הרומית הקדושה
Ferdinand Magellan	פרדיננד מגלן
Ferdinand de Saussure	פרדינן דה סוסיר
Fermentation (biochemistry)	תסיסה
Fermentation (food)	תסיסה
Fermion	פרמיון
Fermium	פרמיום
Fern	שרכאים
Ferrara	פרארה
Ferry	מעבורת
Fertile Crescent	הסהר הפורה
Fertilisation	הפריה
Fertilizer	דשן
Fetus	עובר
Feudalism	פיאודליזם
Fever	חום (תסמין)
Fiat	פיאט
Fibonacci number	סדרת פיבונאצ'י
Fictional character	דמות ספרותית
Fidel Castro	פידל קסטרו
Field (mathematics)	שדה (מבנה אלגברי)
Field hockey	הוקי שדה
Fighter aircraft	מטוס קרב
Fiji	פיג'י
Fiji	קטגוריה:פיג'י
File Allocation Table	File Allocation Table
File Transfer Protocol	File Transfer Protocol
File system	מערכת קבצים
Filippo Brunelleschi	פיליפו ברונלסקי
Film	קטגוריה:קולנוע
Film	סרט קולנוע
Film	פורטל:קולנוע
Film director	במאי קולנוע
Fin Whale	לווייתן מצוי
Finance	מימון
Finger	אצבע
Fingerprint	טביעת אצבע
Finland	פינלנד
Finland	קטגוריה:פינלנד
Fir	אשוח
Fire	אש
Firearm	היסטוריה של כלי הירי
Firefighter	מכבי אש
Firewall (networking)	חומת אש
Firmware	קושחה
First Council of Constantinople	ועידת קונסטנטינופוליס הראשונה
First Council of Nicaea	ועידת ניקיאה
First Crusade	מסע הצלב הראשון
First language	שפת אם
Fish	דג
Fish	קטגוריה:דגים
Fishing	דיג
Fishing	קטגוריה:דיג
Fjord	פיורד
Flag	דגל
Flagellum	שוטון
Flamenco	פלמנקו
Flamingo	פלמינגואים
Flanders	פלנדריה
Flash memory	זיכרון הבזק
Flatulence	נפיחה
Flatworm	תולעים שטוחות
Flea	פרעושים
Flint	צור (סלע)
Flip-flop (electronics)	פליפ פלופ
Flood	שיטפון
Floppy disk	תקליטון
Florence	פירנצה
Florence Nightingale	פלורנס נייטינגייל
Florida	פלורידה
Florida	קטגוריה:פלורידה
Flour	קמח
Flower	פרח
Flowering plant	בעלי פרחים
Fluid mechanics	מכניקת הזורמים
Fluorite	פלואוריט
Flute	חליל
Fly	זבובאים
Fog	ערפל
Folic acid	חומצה פולית
Folk music	פולק
Folklore	פולקלור
Folklore	קטגוריה:פולקלור
Food	מזון
Food additive	תוסף מזון
Food and Agriculture Organization	ארגון המזון והחקלאות
Food chain	מארג מזון
Foot	כף רגל
Foot (unit of length)	רגל (יחידת מידה)
Football (soccer)	כדורגל
Football (soccer)	קטגוריה:כדורגל
Football (soccer) by country	קטגוריה:כדורגל לפי מדינה
Football (soccer) clubs	קטגוריה:קבוצות כדורגל
Football (soccer) managers	קטגוריה:מאמני כדורגל
Football (soccer) players	קטגוריה:כדורגלנים
Forbidden City	העיר האסורה
Force	כוח (פיזיקה)
Forest	יער
Forestry	יערנות
Fork	מזלג
Form of government	ממשל
Formaldehyde	פורמלין
Formic acid	חומצה פורמית
Fornax	תנור (קבוצת כוכבים)
Fort Worth	פורט וורת'
Fortification	מוצב
Fortran	FORTRAN
Fossil	מאובן
Fossil fuel	דלק מאובנים
Foucault pendulum	מטוטלת פוקו
Fountain	מזרקה
Fourier series	טור פורייה
Fourth Crusade	מסע הצלב הרביעי
Fractal	פרקטל
Fraction (mathematics)	שבר (מתמטיקה)
France	צרפת
France	קטגוריה:צרפת
Francis Bacon	פרנסיס בייקון
Francis Crick	פרנסיס קריק
Francis Drake	פרנסיס דרייק
Francis Ford Coppola	פרנסיס פורד קופולה
Francis II	פרנץ השני, קיסר האימפריה הרומית הקדושה
Francis Poulenc	פרנסיס פולנק
Francis of Assisi	פרנציסקוס מאסיזי
Franciscan	פרנציסקנים
Francisco Franco	פרנסיסקו פרנקו
Francisco Goya	פרנסיסקו דה גויה
Francisco Pizarro	פרנסיסקו פיסרו
Francium	פרנציום
Franco-Prussian War	מלחמת צרפת פרוסיה
Frank Lloyd Wright	פרנק לויד רייט
Frank Sinatra	פרנק סינטרה
Frankfort	פרנקפורט (קנטקי)
Frankfurt	פרנקפורט
Frankfurt	קטגוריה:פרנקפורט
Frankfurt (Oder)	פרנקפורט על האודר
Frankfurt (disambiguation)	פרנקפורט (פירושונים)
Franklin Pierce	פרנקלין פירס
Frans Hals	פרנס הלס
Franz Kafka	פרנץ קפקא
Franz Liszt	פרנץ ליסט
Franz Schubert	פרנץ שוברט
Fred Astaire	פרד אסטר
Frederick I	פרידריך הראשון, קיסר האימפריה הרומית הקדושה
Frederick II	פרידריך השני, קיסר האימפריה הרומית הקדושה
Frederick Sanger	פרדריק סנגר
Frederick Soddy	פרדריק סודי
Free will	בחירה חופשית
Freedom (philosophy)	חופש
Freedom of speech	חופש הביטוי
Freemasonry	הבונים החופשיים
Freetown	פריטאון
French Polynesia	פולינזיה הצרפתית
French Polynesia	קטגוריה:פולינזיה הצרפתית
French Revolution	המהפכה הצרפתית
French Revolution	קטגוריה:המהפכה הצרפתית
French franc	פרנק צרפתי
French people	קטגוריה:צרפתים
Frequency	תדירות
Fresco	פרסקו
Freshwater	מים מתוקים
Freyja	פריה
Friction	חיכוך
Friday	יום שישי
Fridtjof Nansen	פריטיוף ננסן
Friedrich Engels	פרידריך אנגלס
Frigate	פריגטה
Fritz Haber	פריץ האבר
Friuli-Venezia Giulia	פריולי-ונציה ג'וליה
Frog	חסרי זנב
Fructose	פרוקטוז
Fruit	פרי
Fruit	קטגוריה:פירות
Fucking	פוקינג (כפר)
Fuel	דלק
Fuel cell	תא דלק
Fugue	פוגה
Funafuti	פנאפוטי
Function (mathematics)	פונקציה
Fundamental	קטגוריה:קטגוריות
Fundamental interaction	כוחות היסוד
Fundamentalism	פונדמנטליזם
Fungi	קטגוריה:פטריות
Fungus	פטריות
Funicular	פוניקולר
Funk	פאנק (Funk)
Furniture	קטגוריה:ריהוט
Future	עתיד
Futurism (art)	פוטוריזם
Fuzzy logic	לוגיקה עמומה
Fyodor Dostoevsky	פיודור דוסטויבסקי
G	G
GIMP	GIMP
GNOME	GNOME
GNU	גנו (מערכת הפעלה)
Gabon	גבון
Gabon	קטגוריה:גבון
Gaborone	גאבורון
Gabriel	גבריאל
Gabriel Lippmann	גבריאל ליפמן
Gadolinium	גדוליניום
Gaetano Donizetti	גאטנו דוניצטי
Gaia (mythology)	גאיה
Galatia	גלטיה
Galaxy	גלקסיה
Galen	קלאודיוס גלנוס
Galena	גלנה
Galicia (Central Europe)	גליציה
Galicia (Spain)	גליסיה
Galilee	הגליל
Galileo (spacecraft)	גלילאו (גשושית)
Galileo Galilei	גלילאו גליליי
Gallbladder	כיס המרה
Galley	ספינת משוטים
Galliformes	תרנגולאים
Galliformes	קטגוריה:תרנגולאים
Gallium	גליום
Gallon	גלון
Gamal Abdel Nasser	גמאל עבד אל נאצר
Gambling	הימור
Game	משחק
Game theory	תורת המשחקים
Gamma	גמא (אות)
Gamma ray	קרינת גמא
Ganesha	גנש
Ganges	גנגס
Gansu	גאנסו
Ganymede	גנימדס
Ganymede (moon)	גנימד
Garden	גן (נוי)
Garden of Eden	גן עדן
Gardening	גינון
Garfield	גרפילד (קומיקס)
Gargoyle	גרגויל
Garlic	שום
Garnet	גארנט
Gas	גז
Gas constant	קבוע הגזים
Gas giant	ענק גזים
Gasoline	בנזין
Gastrointestinal tract	מערכת העיכול
Gastropoda	חלזונות
Gaul	גאליה
Gautama Buddha	גאוטמה בודהה
Gaza	עזה
Gaza Strip	רצועת עזה
Gear	גלגל שיניים
Geb	גב (אל)
Geisha	גיישה
Gemini (constellation)	תאומים (קבוצת כוכבים)
Gemstone	אבן חן
Gene	גן (ביולוגיה)
Genealogy	גנאלוגיה
Genealogy	קטגוריה:גנאלוגיה
General Agreement on Tariffs and Trade	גאט"ט
General Officer	גנרל
General relativity	תורת היחסות הכללית
Genesis	בראשית
Genetic code	הקוד הגנטי
Genetic engineering	הנדסה גנטית
Genetics	גנטיקה
Genetics	קטגוריה:גנטיקה
Geneva	ז'נבה
Genoa	ג'נובה
Genocide	רצח עם
Genocide	קטגוריה:רצח עם
Genome	גנום
Genotype	גן (ביולוגיה)#.D7.9E.D7.95.D7.A9.D7.92.D7.99.D7.9D .D7.91.D7.A1.D7.99.D7.A1.D7.99.D7.99.D7.9D
Genus	סוג (טקסונומיה)
Geochemistry	גאוכימיה
Geodesy	גאודזיה
Geoffrey Chaucer	ג'פרי צ'וסר
Geography	גאוגרפיה
Geography	קטגוריה:גאוגרפיה
Geography	פורטל:גאוגרפיה
Geology	קטגוריה:גאולוגיה
Geology	גאולוגיה
Geometric progression	סדרה הנדסית
Geometry	גאומטריה
