English	Slovenian
aviation law	zakon o zračnem prometu
aviculture	vzreja ptic
avid	željan
avifauna	ptice določenega območja
awe	strahospoštovanje
awhile	hipec
background level	ozadje
background noise	hrup ozadja
background radiation	radioaktivno sevanje ozadja
bacterial bed	bakterijska plast
bactericide	baktericid
bacteriological pollution	bakteriološko onesnaženje
bacteriology	bakteriologija
bacterium	bakterija
baking powder	pecilni prašek
balance	bilanca ; izravnava ; saldo ; stanje
balance of matter	ravnovesje snovi
balancing of interests	usklajevanje interesov
ballad	balada
ballroom	plesna dvorana
banana	banana
bank	breg
bank protection	varstvo obrežij
banking	bančništvo, bančno poslovanje
barium	barij
barley	ječmen
barometer	barometer
baron	baron
barrier beach	zemeljska kosa, sipina
barrier reef	koralni greben
base	baza
baseline monitoring	dolgoročni monitoring
basic food requirement	osnovna potreba po hrani
basicity	bazičnost
basidiomycete	prostotrosnice (Basidiomycetes)
basketball ; basketball game	košarka
bassoon	fagot
bastardisation of fauna	križanje živalskih vrst
bastardisation of flora	križanje rastlinskih vrst
batch process	serijski proces
bathing freshwater	kopane sladke vode
bathing seawater	kopalne morske vode
bathing water	kopalne vode
battery	baterija
battery disposal	odlaganje baterij
bay	zaliv
beach	plaža
beach cleansing	čiščenje obale
bean ; edible bean	fižol
beatification	beatifikacija
beaver	bober
bee	čebele
bee conservation	varstvo čebel
beef cattle	govedo za prirejo mesa
beer	pivo
beetle	hrošči (Coleoptera)
behaviour	vedenje
behaviour of substances	reaktivnost snovi
behaviour pattern	vedenjski vzorec
behavioural science	preučevanje obnašanja organizmov
beneficial organism	koristen organizem
benthic division	bentoško območje
benthos	bentos, organizmi na morskem dnu ; bentos ; organizmi na morskem dnu
benzene	benzen
benzopyrene	benzopiren
berkelium	berkelij
beryllium ; glucinium	berilij
beta radiation	sevanje beta
beverage ; drink	pijača
beverage industry	proizvodnja pijač
bibliographic information	bibliografska informacija ; bibliografska informacije
bibliographic information system	bibliografski informacijski sistem
bibliography	bibliografija
bicycle ; bike ; cycle	kolo
big game	velike prostoživeče živali
bilateral convention	bilateralna konvencija
bile	žolč
bilge oil	odpadno olje v podladju
bilge water	kalužna voda
bio-availability	biorazpoložljivost
bioaccumulation	bioakumulacija
bioaccumulative pollutant	bioakumulacijsko onesnaževalo
biochemical method	biokemijska metoda
biochemical oxygen demand	biološka potreba po kisiku
biochemical process	biokemijski proces
biochemical substance	biokemična snov
biochemistry	biokemija
biocide	biocid
bioclimatology	bioklimatologija
biocoenosis	biocenoza
bioconcentration factor	faktor biokoncentracije
biodegradability	biorazgradljivost
biodegradable pollutant	biorazgradljivo onesnaževalo
biodegradation	biorazgradnja
biodiversity	biotska raznovrstnost
bioethics	bioetika
biofiltration	biofiltracija
biofuel	biogorivo
biogas	bioplin
biogeochemical cycle	biogeokemijski cikel
biogeographical region	biogeografska regija
biogeography	biogeografija
biological analysis	biološka analiza
biological attribute	biološka lastnost/značilnost
biological contamination	biološka kontaminacija
biological cycle	biološki cikel/ciklus
biological development	biološki razvoj
biological effect	biološki učinek/vpliv, biološka posledica
biological effect of pollution	biološki vpliv/učinek onesnaženja
biological engineering	biološko inženirstvo
biological heritage	biološka dediščina
biological indicator	biološki indikator/kazalec
biological monitoring	biološki monitoring
biological pest control	biološko zatiranje škodljivcev
biological pollutant	biološko onesnaževalo
biological pollution	biološko onesnaženje
biological process	biološki proces
biological production	biološka proizvodnja
biological reserve ; wildlife reserve	biološki rezervat
biological resource	biološki viri
biological test	biološki preskus
biological treatment	biološko čiščenje odpadnih vod
biological waste gas purification	biološko čiščenje odpadnih plinov
biological waste treatment	biološka obdelava odpadkov
biological wastewater treatment	biološko čiščenje odpadnih vod
biological water balance	biološko vodno ravnovesje
biological weapon	biološko orožje
biology ; biological science	biologija
bioluminescence	bioluminiscenca
biomarker	biološki kazalec
biomass	biomasa
biomass energy	energija biomase
biome	biom
biophysics	biofizika
bioreactor	bioreaktor
biorhythm	bioritem
biosafety	biološka varnost
biosphere	biosfera
biosphere reserve	biosferno območje
biosynthesis	biosinteza
biotechnological hazard	biotehnološka nevarnost
biotechnology	biotehnologija
biotic factor	biotski dejavnik
biotic index	biotski indeks/kazalec
biotope	biotop
biotope network	mreža biotopov
biotope order	uredba o biotopih
biotope protection	varstvo biotopa
bird	ptice ; ptiči
bird of prey	ptica roparica
bird sanctuary	ptičji rezervat
bird species	ptičja vrsta
birth control	kontracepcija, nadzorovanje rojstev ; kontracepcija ; nadzorovanje rojstev
bishop	škof
bismuth	bizmut
bitumen	bitumen
black coal ; black coal ; black coal ; anthracite coal	črni premog
blackbird	kos
blast furnace	plavž
bleaching agent	belilo
bleaching clay	belilna glina
bleaching process	beljenje
blind	slep
blog ; weblog ; web log	blog
blood	kri
blue	moder
blue-green alga ; cyanobacteria	modrozelena cepljivka
boating	čolnarjenje
bocage	sistem zaprtih polj
bog	barje
boiler	kotel, grelec
boiling point	vrelišče
book	knjiga
bookkeeping	knjigovodstvo
border	meja
boron	bor
botanical conservatory	rastlinski rezervat
botanical garden	botanični vrt
botany ; phytology	botanika
bottle cap	zamašek
boundary crossing	prečkanje meje
boundary layer	mejna plast
bow	lok
brackish water	brakična voda
branch	veja
branch of activity	vrsta dejavnosti
bread	krúh
breast milk	materino mleko
breeding	gojenje rastlin ; vzreja živali ; vzreja živali, gojenje rastlin
breeding bird	starševska ptica
breeding technique	tehnologija reje
brick	opeka
bridge	most
bring	prinesti
broad-leaved tree	listavec
bromine	brom
brooding	valjenje
brook	potok
brushwood	grmovje
bryophyte	mahovi (Bryophyta) ; mahovi
bubble policy (emissions trading) ; bubble policy	politika mehurčka (trgovanje z emisijami) ; politika mehurčka
budget	proračun, finančni načrt, predračun
budget policy	proračunska politika
bug ; põrnikas	stenice (Heteroptera) ; stenice
building	zgradba, stavba, poslopje ; zgradba ; stavba ; poslopje
building area	zazidalno območje
building component	gradbena sestavina
building destruction	rušenje zgradb
building industry	gradbeništvo
building land	zazidljivo zemljišče
building material	gradbeni material
building materials industry	industrija gradbenega materiala
building permit	gradbeno dovoljenje
building planning	gradbeno načrtovanje
building regulation	gradbeni predpis
building related illness ; sick building syndrome	sindrom bolnih zgradb
building restoration	obnova, restavriranje zgradb
building service	gradbena storitev
building site	gradbišče
building site preparation	priprava gradbišča
building technology	gradbena tehnologija
building waste	gradbeni odpadki
built drainage system	drenažni ali osuševalni sistem
built environment	grajeno okolje
built structure	grajeni objekt
built-up area	pozidano območje, strnjeno naselje ; pozidano območje ; strnjeno naselje
bulb cultivation	gojenje čebulic
bulky waste	kosovni odpadki
bull	бык
bullet	krogla
bumblebee	čmrlj
bureaucratisation	birokratizacija
bus ; coach	avtobus
bus station	avtobusna postaja
bush clearing	odstranjevanje grmovja
business	delo ; poklic ; posel/delo, dejavnost/poklic, podjetje/firma ; posel ; dejavnost ; podjetje ; firma
business activity	poslovna dejavnost
business classification	klasifikacija podjetij
business economics	poslovna ekonomija/ekonomika
business organisation	poslovna organizacija
business policy	poslovna politika
butcher	mesar
butter	maslo
butterfly	metulji
button-cell battery	baterija v obliki gumba, gumb baterija
buy ; purchase	kupiti
buy ; purchase	nakup
by-catch	stranski ulov
by-product	stranski produkt
cable	kabel
cadmium	kadmij
caesium	cezij
caffeine	kofein
calcium	kalcij
calcium content	vsebnost kalcija
calculation	izračunavanje, preračunavanje, izračun ; izračunavanje ; preračunavanje ; izračun
calculation method	metoda izračunavanja
caliber	kaliber
calibration	kalibracija
californium	kalifornij
camel	kamela
camera	fotoaparat ; fotográfski aparát
camp ; military camp ; army camp ; campsite	kamp ; kamp, tabor ; tabor
camping ; camping ground	kamp
camping site	kamp, urejen prostor za taborjenje
canal	kanal
canal lock	zapornica
cancer	rak
cancer risk	tveganje obolelosti za rakom
canid	pes
canyon	kanjon
car ; automobile	avtomobil
car park	parkirišče
car tyre	avtomobilska pnevmatika
carbohydrate	ogljikov hidrat
carbon	ogljik
carbon dioxide	ogljikov dioksid
carbon dioxide tax	davek na ogljikov dioksid
carbon monoxide	ogljikov monoksid
carbonate	karbonat
carcass disposal	odlaganje živalskih trupel
carcinogen	rakotvoren
carcinogenicity	rakotvornost
carcinogenicity test	preskus za rakotvornost
cardinal	kardinal
cardiology	kardiologija
cardiovascular disease	kardiovaskularna bolezen, bolezen srca in ožilja ; kardiovaskularna bolezen ; bolezen srca in ožilja
cardiovascular system	kardiovaskularni sistem, sistem srca in ožilja ; kardiovaskularni sistem ; sistem srca in ožilja
carnivore	mesojed, karnivor
carry-over effect	učinek prenosa
cartography	kartografija
case ; lawsuit ; trial	sodni proces, sodna obravnava ; sodna obravnava ; sodni proces
cash crop	pridelek za trg
castle	grad
catalysis	kataliza
catalyst	katalizator
catalytic converter	avtomobilski katalizator
catapult	katapult
catastrophe	katastrofa
catch yield	ulov
catchment	(vodni) zbiralnik
catchment area	zbirno območje
category of endangered species	ogrožena vrsta
cation	kation
cattle	govedo, goveja živina
cause-effect relation	razmerje med vzrokom in posledico
cave	jama
cell ; cell	celica ; celica
cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο	galvanski člen
cellulose	celuloza
cellulose industry	celulozna industrija
cement	cement
cement industry	cementna industrija
cement manufacture	proizvodnja cementa
census survey	popis prebivalstva
central government	osrednja vlada
central park area	osrednje območje parka
centralisation	centralizacija
centrifugation	centrifugiranje
cephalopod	glavonožci (Cephalopoda) ; glavonožci
ceramics	keramika
ceramics industry	keramična industrija
cerium	cerij
certification	potrdilo
cetacean	kiti (Cetacea) ; kiti ; Cetacea ; veľryby
chair	stol
chalk	kreda
champagne	šampanjec
change in value	sprememba vrednosti
channelling	sistem vodov
charcoal	oglje
chart	zapisnik
chart ; nautical chart	karta
cheese	sir
chelicerate	pipalkarji (Chelicherata)
chemical	kemikalija
chemical addition	adicija
chemical analysis	kemijska analiza
chemical composition	kemična sestava
chemical contamination	kemična kontaminacija
chemical corrosivity	korozivnost
chemical decontamination	kemična dekontaminacija
chemical element ; element	kemični element
chemical fallout	usedanje delcev
chemical fertiliser	umetno gnojilo
chemical in the environment	prisotnost kemikalij v okolju
chemical industry	kemična industrija
chemical installation	obrat kemične proizvodnje
chemical measurement of pollution	kemične meritve onesnaženosti
chemical oxygen demand	kemična potreba po kisiku
chemical pest control	kemično zatiranje škodljivcev
chemical plant	kemična tovarna
chemical policy	kemijska politika
chemical pollutant	kemično onesnaževalo
chemical pollution	kemično onesnaženje
chemical process	kemijski proces
chemical product	kemični izdelek
chemical property	kemična lastnost
chemical reaction	kemijska reakcija
chemical reduction	kemična redukcija
chemical risk	kemično tveganje
chemical structure	kemična struktura
chemical treatment	kemična obdelava
chemical waste	kemični odpadki
chemical weapon	kemično orožje
chemicals act	zakon o kemikalijah
chemisorption	kemijska adsorpcija
chemistry	kemija
chess	šah
chestnut	kostanj
child	otrok
chimney	dimnik
chimney height	višina dimnika
chipmunk	vrsta severnoameriške veverice
chiropteran	netopir
chloride	klorid
chlorinated hydrocarbon	klorirani ogljikovodik
chlorination	kloriranje
chlorine	klor
chlorophenol	klorofenol
chlorophyll	klorofil
chlorosis	kloroza (pomanjkanje klorofila) ; kloroza
chordate	strunarji (Chordata) ; strunarji
chorology	horologija
chromatographic analysis	kromatografska analiza
chromatography	kromatografija
chromium	krom
chrysophyta	zlatorjave in oranžnorumene alge (Chrysophyta)
church	cerkev
cigarette	cigareta
cinematographic film	film
circular mail	okrožnica
citizen	državljan, meščan, občan ; državljan ; meščan ; občan
citizen awareness	ozaveščenost državljanov
citizen initiative	državljanska pobuda
citizen rights	državljanske pravice
city	mesto
city centre	mestno središče
civil air traffic	civilni zračni promet
civil engineering	gradbeništvo
civil law	civilno/zasebno pravo, rimsko pravo
civil safety	varnost ljudi
civilian protection	zaščita civilnega prebivalstva
claim for restitution	zahtevek za povračilo
clarinet	klarinet
classification	razvrstitev
clay	glina
clean air area	območje čistega zraka
clean air car	vozilo, ki ne onesnažuje zraka
clean technology	čista tehnologija
cleaning up	melioracija
cleanliness	čistoča ; čistost
cleansing department	komunalna služba
clearing sludge	aktivno blato
cliff	klif
climate	podnebje ; podnebje, klima ; klima
climate protection	varstvo podnebja
climate resource	podnebni vir
climate type	podnebni tip
climatic alteration	spreminjanje podnebja
climatic change ; climate change	podnebne spremembe
climatic effect	podnebni vpliv
climatic experiment	podnebni poskus/eksperiment
climatic zone	podnebni pas
climatology	klimatologija
climax	klimaks
climbing plant (wall) ; climbing plant	plezalka
clinical symptom	klinični simptom
cloning	kloniranje
closing down	zaprtje
closing down of firm	zaprtje podjetja
clothing ; apparel	oblačila, obleke ; oblačila ; obleke
clothing industry	industrija oblačil, konfekcijska industrija
cloud	oblak
co-incineration	sosežig
co-operation	sodelovanje
co-operation policy	politika sodelovanja
co-operation principle	načelo sodelovanja
co-ordinate system	koordinatni sistem
co-ordination	usklajevanje, koordinacija
coagulation	kosmičenje
coal	premog
coal industry	premogovništvo
coal liquefaction	utekočinjanje premoga
coal mining	premogovništvo
coal refining	rafiniranje premoga
coal technology	predelava premoga
coal-based energy	energija premoga
coal-fired power plant	termoelektrarna
coast	obala
coast protection	varstvo obale
coastal area	obalno območje
coastal development	razvoj obalnih območij
coastal ecosystem	obalni ekosistem
coastal environment	obalno okolje
coastal fishing	priobalni ribolov
coastal pollution	onesnaženje obale
coastal water	obalno morje
coastal zone planning	prostorsko načrtovanje na obalnih območjih
coastguard	obalna straža
coating	premaz
cobalt	kobalt
cockroach	ščurek
code	kodeks, zbirka pravil/zakonov, zakonik
code of practice	kodeks, pravila obnašanja
codification	kodifikacija
coelenterate	ožigalkarji (Cnidaria) in rebrače (Ctenophora)
coffee	kava
cogeneration	kogeneracija
coin ; money	kovanec
coke	koks
cold	mraz
coliform bacterium	koliformna bakterija
colina ; hill ; loma	grič
collective wastewater treatment	skupno čiščenje odpadne vode
colloid	koloid
colloidal state	koloidno stanje
colonisation	kolonizacija ; poselitev
colour ; colour ; colo(u)r	barva ; barva ; barva
colour composition	barvna sestava
colourimetry	kolorimetrija
colubrid	goži (Colubridae)
combination effect	sinergijski učinek
combined cycle-power station	kogeneracija električne energije
combined sewer system	kombinirani sistem kanalizacije
combined transport	kombinirani prevoz
combined waste water	mešane odpadne vode (komunalne, industrijske, meteorne)
combustibility	gorljivost
combustion engine	motor z notranjim zgorevanjem
combustion gas	izpušni plin
combustion residue	ostanek pri zgorevanju
comet	komet
commercial fishery	komercialni ribolov
commercial law	trgovinsko pravo, gospodarsko pravo
commercial noise	hrup gospodarskih dejavnosti
commercial traffic	trgovinski promet
commercial transaction	posel, kupčija
commercial vehicle	vozilo za prevoz blaga
commercialisation	komercializacija
common agreement	skupni dogovor
common agricultural policy ; common agricultural policy of the EU	skupna kmetijska politika
common commercial policy	skupna/enotna trgovinska politika
common tariff policy	skupna/enotna carinska politika
communications	komunikacije
communications industry	komunikacije (dejavnost)
communications policy	komunikacijska politika
communications system	komunikacijski sistem
communism	komunizem
community facility ; public facility	javna zgradba/oprema/storitev
community-pays principle	načelo, po katerem plača skupnost
commuter traffic	dnevna migracija
compaction	zgoščevanje ; zgoščevanje, kompaktiranje ; kompaktiranje
company policy	politika podjetja/družbe
company structure	struktura podjetja
comparative law	primerjalno pravo
comparative test	primerjalni preskus
comparison	primerjava
compensation	nadomestilo ; nadomestilo (škode), odškodnina, povračilo, kompenzacija ; odškodnina ; nadomestilo škode ; kompenzacija ; povračilo
compensation for damage	odškodnina, nadomestilo za škodo
compensatory measure	kompenzacijski ukrep
compensatory tax	kompenzacijski davek
competition	tekmovalnost
competition law	zakon o omejevanju konkurence
competitive examination	izbirni preskus
competitiveness	konkurenčnost, konkurenčna sposobnost
complex formation	tvorba kompleksa
complexing agent	snov, sposobna tvoriti kompleks
composite pollution	kombinirano onesnaženje
composition of population	sestava prebivalstva
compost	kompost
compostable waste	odpadki, primerni za kompostiranje
composting	kompostiranje
composting by producer	kompostiranje, ki ga izvaja proizvajalec
compression	stiskanje ; stiskanje, kompresija ; kompresija
compressor	kompresor
concentration	koncentracija
concept of environment	okoljski koncept
concession	dovoljenje ; koncesija, dovoljenje, izključna pravica ; koncesija ; izključna pravica
concrete	beton
concrete products industry	proizvodnja betonskih izdelkov
condensation (process) ; condensation	kondenzacija ; kondenzacija (proces)
conductivity ; electrical conductivity	prevodnost
conflict	konflikt, spor ; konflikt ; spor
conflict of aims	nasprotje/nasprotnost ciljev, križanje ciljev
conflict of interests	nasprotje/nasprotnost interesov, križanje interesov
conflicting use	sporna uporaba/raba
congress	kongres, zbor
conifer	iglavec
coniferous forest	iglasti gozd
coniferous tree	iglavec
conservation	ohranjanje, konzerviranje ; ohranjanje ; konzerviranje
conservation of monuments	ohranjanje spomenikov
conservation policy	politika ohranjanja
constitution	ustava
constitutional law	ustavno pravo, ustavni zakon
construction equipment	gradbena oprema
construction noise	hrup gradbenih dejavnosti
construction policy	gradbena politika
construction technology	gradbena tehnologija
construction with recycled material	gradnja z recikliranim materialom
construction work	gradbene dejavnosti
consultancy	svetovanje
consultation	posvetovanje, konzultacija ; posvetovanje ; konzultacija
consumer behaviour	vedenje potrošnika/kupca
consumer goods	blago/izdelki za široko porabo
consumer group	potrošniška skupina
consumer information	potrošniške informacije
consumer product	potrošniški izdelek
consumer protection	varstvo potrošnikov
consumer waste	gospodinjski odpadki
consumption	poraba, potrošnja ; poraba ; potrošnja
consumption pattern	vzorec/model porabe ; vzorec ; model porabe
container	kontejner ; zabojnik
containment (nuclear industry) ; containment	zadrževalni hram (jedrski reaktor) ; zadrževalni hram
contaminated soil	onesnažena tla
contamination	onesnaženje
continent	celina ; kontinent
continental climate	celinsko/kontinentalno podnebje
continental shelf	celinska polica
continuing education	stalno/permanentno izobraževanje
continuous load	stalna obremenitev
contour farming	kmetijska pridelava na terasah
contract	pogodba ; pogodba, sporazum ; sporazum
control measure	nadzorni ukrep, nadzor
controlled burning	nadzorovano požiganje
controlled hunting zone	območje nadzorovanega lova
controlling authority	nadzorna pristojnost, upravna pristojnost
conurbation	somestje, konurbacija ; somestje ; konurbacija
convention	konvencija ; mednarodni sporazum
conventional energy	konvencionalna energija
cooling	hlajenje
cooling oil	hladilno olje
cooling tower	hladilni stolp
cooling water	hladilna voda
copper	baker
coppice	panjevec
coppice with standards	panjevec s semenjaki, srednji gozd
coral	korala
coral reef	koralni greben
coral reef lagoon	laguna za koralnim grebenom
core meltdown	taljenje jedra
cork	pluta
corridor	koridor ; prehod
corrosion	korozija
corrosion inhibitor	inhibitor korozije
cosmetic industry	kozmetična industrija
cosmic radiation	kozmično sevanje
cosmology	kozmologija
cost	strošek, proizvodni stroški ; proizvodni stroški ; strošek
cost increase	zvišanje stroškov
cost reduction	znižanje stroškov
cost-benefit	stroški in koristi
cost-benefit analysis	analiza stroškov in koristi
cotton	bombaž
country ; nation ; state	država
country lodge	koča, brunarica
county	okrožje, okraj ; okraj ; okrožje
court	sodišče
court of justice	sodišče
cove	zajeda, soteska ; zajeda ; soteska
covering ; roofing	prekritje
cow	krava
craft ; arts and crafts	obrt
credit	posojilo, kredit
credit assistance	kreditna pomoč
credit policy	kreditna politika
creek	zalivček
crime	zločin, kaznivo dejanje ; zločin ; kaznivo dejanje
criminal law	kazensko pravo
criminal law procedure	kazenski postopek
criminal liability	kazenska odgovornost
criminality	kriminaliteta
crisis management	krizno upravljanje
critical level	kritična koncentracija
critical load	kritična obremenitev
crocodile	krokodil
crop production	pridelava poljščin
crop protection	zaščita pridelka
crop rotation	kolobarjenje
crop treatment	kemična zaščita pridelka
crossing place	prehod (čez cesto itd.)
crossing place for animals	prehod za živali
crossword	križanka
crude oil	surova nafta
cruising	križarjenje
crustacean	raki (Crustacea)
cryptogam	kritosemenka, brezcvetnica ; kritosemenka ; brezcvetnica
crystal	kristal
crystallisation	kristalizacija
crystallography	kristalografija
cultivated plant	kulturna rastlina
cultivation ; tillage	gojenje rastlin
cultivation method	tehnologija obdelovanja
cultivation of agricultural land	obdelovanje kmetijske zemlje
cultivation system	sistem obdelave tal
cultural development	kulturni razvoj
cultural facility	kulturna ustanova
cultural heritage	kulturna dediščina
cultural indicator	kulturni indikator/kazalec
cultural policy	kulturna politika
culture	kultura
curium	kirij
curriculum	življenjepis
customs	carinske dajatve
customs regulation	carinski predpis
customs tariff	carinska tarifa
cutting	sečnja
cutting ; cutting (vegetative propagation)	sečnja
cyanate	cianat
cyanide	cianid
cycle path	kolesarska pot
cyclone	ciklon
cytology	citologija
cytotoxicity	citotoksičnost
dairy farm	mlečna kmetija
dairy industry	mlečna industrija
dairy product	mlečni proizvod
dam	jez
dam draining	spuščanje vode iz akumulacije
damage	škoda
damage assessment	ocenitev škode
damage from military manoeuvres	škoda, ki jo povzročijo vojaški manevri
damage insurance	škodno zavarovanje
damage prevention	preprečevanje škode
dance	ples
danger analysis	analiza nevarnosti
dangerous goods	nevarno blago
dangerous goods law	zakon o nevarnem blagu
dangerous goods regulation	predpis o nevarnem blagu
dangerous installation	nevarne naprave/objekti
dangerous materials transport	prevoz nevarnih snovi
darmstadtium	darmštatij
data acquisition	pridobivanje podatkov
data analysis	analiza podatkov
data carrier	nosilec podatkov
data centre	podatkovno središče, podatkovni center
data exchange	izmenjava podatkov
data on the state of the environment	podatki o stanju okolja
data processing	obdelava podatkov
data processing law	zakon o obdelavi podatkov
data processing system	sistem obdelave podatkov
data protection	varstvo/varovanje podatkov
data recording technique	tehnika beleženja/evidentiranja podatkov
database	baza podatkov ; podatkovna baza
dating	datiranje
dazzle	zaslepiti
de-inking	razbarvanje, deinking
death penalty ; capital punishment ; death sentence	smrtna kazen
debit	bremeniti
debt	dolg
debt service	odplačevanje dolga
decay product	razpadni produkt
decentralisation	decentralizacija
dechlorination	dekloriranje
decibel	decibel
deciduous forest ; deciduous wood	listopadni gozd
deciduous tree	listavec
decision	odločitev
decision making support	podpora pri sprejemanju odločitev
decision process	proces odločanja
decision-support system	sistem za podporo pri odločanju
declaration of public utility	širši družbeni interes
decomposition	razpad
decontamination	dekontaminacija
decree	odredba, dekret, odlok, odločba ; odredba ; dekret ; odlok ; odločba
deep sea	globoko morje
deep sea fishing	ribolov na odprtem morju
deep sea mining	črpanje nafte v globokem morju
deep-sea disposal	odlaganje v globoko morje
deer	jeleni (Cervidae) ; jeleni
defence	obramba, odgovor na tožbo ; obramba ; odgovor na tožbo
defoliation	odpadanje listja/iglic, defoliacija
deforestation	izsekavanje, krčenje gozdov ; izsekavanje ; krčenje gozdov
degradability	razgradljivost
degradation	razgradnja
degradation of natural resources	propadanje/degradacija naravnih virov
degradation of the environment	degradacija okolja
degradation product	produkt razgradnje
degreasing	razmaščevanje
dehydrated sludge	dehidrirano blato
delegated management	upravljanje s prenosom pooblastil
delta	delta
demand	povpraševanje
demesnial water	javna voda
democracy	demokracija
demographic development	demografski razvoj
demographic evolution	demografski razvoj
demography	demografija
demolition business	rušenje
demolition waste	gradbeni odpadki (iz rušenja starih objektov)
demonstrability	dokaznost, nazornost
dendrochronology ; tree-ring dating	dendrokronologija
dendrometry	dendrometrija
denitrification	denitrifikacija
denitrification of waste gas	denitrifikacija odpadnih plinov
density	gostota
deposition	usedanje
deregulation	deregulacija
dermatology	dermatologija
desalination	razsoljevanje
desalination plant	obrat za razsoljevanje
desert	puščava
desert climate	puščavsko podnebje
desert locust	puščavska kobilica
desertification	širjenje puščavskih razmer, širjenje puščav
desertification control	preprečevanje širjenja puščav
design (project) ; design ; project design	načrt (projekt)
desk study	teoretična raziskava/študija
desorption	desorpcija
destination of transport	cilj, destinacija
desulphurisation	razžvepljevanje, odžvepljevanje ; razžvepljevanje ; odžvepljevanje
desulphurisation of fuel	razžvepljevanje/odžvepljevanje goriva
detection	detekcija, odkritje, preiskava ; detekcija ; odkritje ; preiskava
detector	detektor
detergent	detergent, čistilno sredstvo
determination method	metoda določanja
deterrence	svarilo, opomin
deterrent	ovira
detoxification	razstrupitev
deuterium	devterij
developed country	razvita država
developing country	država v razvoju
development aid	razvojna pomoč
development area	območje v razvoju
development co-operation	razvojno sodelovanje
development model	razvojni model
development pattern	razvojni vzorec
development plan	razvojni načrt
devolution	prenos odgovornosti na podrejene
dialysis	dializa
diary	dnevnik
diatom	kremenaste alge (Diatomeae)
dictionary	slovar
didactics	didaktika
diesel engine	dizelski motor
diesel fuel ; diesel	dizelsko gorivo
differentiation	diferenciacija
diffuse pollution	razpršeno onesnaženje
diffuse source	razpršeni vir
diffusion	razprševanje
digested sludge	pregnito blato
digester	gnilišče
digestion	prebava
digestion	anaerobna presnova ; gnitje
digital image processing technique	digitalna tehnika obdelave slik
digital land model	digitalni model reliefa
digitising	digitalizacija
diluted acid	razredčena kislina
dioxin	dioksin
dipteran	dvokrilec
direct discharger	onesnaževalec z neposrednim izpustom
directive	smernica, direktiva
disabled person	invalid
disaster	katastrofa ; nesreča
disaster cleanup operation	sanacija posledic nesreče/katastrofe
disaster contingency plan	načrt ravnanja ob nesreči/katastrofi
disaster control service	služba za varstvo pred nesrečami
disaster preparedness	pripravljenost v primeru nesreč
disaster prevention	preprečevanje nesreč
disaster relief	odpravljanje posledic nesreč
disaster zone	območje katastrofe/nesreče
discharge regime	rečni pretok
discrimination	diskriminacija ; diskriminácia
disease ; illness ; affliction	bolezen
disease cause	povzročitelj bolezni
disinfectant	dezinfekcijsko sredstvo
disinfection	dezinfekcija
dispatch note	obvestilo o odpremi, odpremnica, paketni list
dispersion	disperzija
dispersion calculation	izračun razpršitve
displaced person	pregnanec, razseljena oseba
disposal of the dead	odstranjevanje trupel
disposal of warfare materials	odstranjevanje vojnega materiala
dissolution	razkroj, raztopitev
dissolved organic carbon	raztopljeni organski ogljik
dissolved oxygen	raztopljeni kisik
distillation	destilacija
distortion of competition	motenje konkurence, izkrivljanje konkurenčnosti
distribution	širjenje onesnaženja
distribution area	območje razširjenosti
distributive trade	trgovina, prodajna dejavnost
district heating	daljinsko ogrevanje
district heating plant	toplarna
disused military site	opuščeno vojaško območje
ditch	jarek
division	deljenje
doctrine	doktrina
document	dokument
document lending	izposoja (knjižničnega) gradiva
document type	vrsta dokumenta
documentary film	dokumentarni film
documentary system	dokumentarni sistem
documentation	dokumentacija
documentation centre	dokumentacijski center
dog	pes
dolphin	delfin
domestic appliance	gospodinjski aparat
domestic fuel	gorivo za ogrevanje gospodinjstev
domestic fuel oil	kurilno olje za ogrevanje gospodinjstev
domestic noise	hrup iz gospodinjstev
domestic pollution	onesnaženje iz gospodinjstev
domestic trade	notranja trgovina
domestic waste	gospodinjski odpadki
domestic waste landfill	odlagališče komunalnih odpadkov
domestic waste water	odpadna voda iz gospodinjstev
domesticated animal	udomačena žival
donkey ; ass	osel
door	vrata
dosage	doziranje ; odmerjanje količin
dose	doza
dose-effect relationship	razmerje doza-učinek
draft legislation	osnutek zakonodaje
dragonfly	kačji pastir
drainage	odtok, odvodnja
drainage system	drenažni sistem
drainage water	padavinska voda
draining	izsuševanje
draught animal	vprežna žival
dredged material	material, odstranjen z morskega ali rečnega dna
dredging	poglabljanje (morskega, rečnega) dna
dress	obleka
drift net fishing	ribolov z visečimi mrežami
drilling	vrtanje
drilling for oil	naftna vrtina
drilling installation	vrtalna naprava
drinking water	pitna voda
drinking water protection area	območje varovanja pitne vode, vodovarstveno območje
drinking water supply	oskrba s pitno vodo
drinking water treatment	čiščenje pitne vode
dromedary	dromedar
drought	suša
drought control	ukrepi za zmanjševanje posledic suše
drug	zdravilo
dry	suh ; suha ; suho
dry cleaning	kemično čiščenje
dry deposition	suho usedanje
dry farming	ekstenzivno kmetijstvo v sušnih območjih
dry lawn	suhi travnik
drying	sušenje
drying out	izsuševanje
dual economy	dualno gospodarstvo
dual waste management	dvojni sistem ravnanja z odpadno embalažo
duck	raca
dumping	odlaganje (odpadkov) - črna odlagališča, smetišča
dune	peščena sipina
durable goods	obstojno blago
